,date,price
0,2022-05-01,119.99
1,2022-04-30,119.99
2,2022-04-29,119.99
3,2022-04-28,119.99
4,2022-04-27,119.99
5,2022-04-26,119.99
6,2022-04-25,119.99
7,2022-04-24,119.99
8,2022-04-23,119.99
9,2022-04-22,119.99
10,2022-04-21,119.99
11,2022-04-20,119.99
12,2022-04-19,119.99
13,2022-04-18,119.99
14,2022-04-17,119.99
15,2022-04-16,119.99
16,2022-04-15,119.99
17,2022-04-14,119.99
18,2022-04-13,119.99
19,2022-04-12,119.99
20,2022-04-11,119.99
21,2022-04-10,119.99
22,2022-04-09,119.99
23,2022-04-08,119.99
24,2022-04-07,119.99
25,2022-04-06,119.99
26,2022-04-05,119.11
27,2022-04-04,118.24
28,2022-04-03,117.8
29,2022-04-02,116.93
30,2022-04-01,116.05
31,2022-03-31,116.05
32,2022-03-30,115.18
33,2022-03-29,114.31
34,2022-03-28,113.43
35,2022-03-27,113.1
36,2022-03-26,112.56
37,2022-03-25,111.75
38,2022-03-24,110.88
39,2022-03-23,110.88
40,2022-03-22,110
41,2022-03-21,109.13
42,2022-03-20,109.13
43,2022-03-19,109.13
44,2022-03-18,109.13
45,2022-03-17,109.13
46,2022-03-16,109.13
47,2022-03-15,109.13
48,2022-03-14,109.13
49,2022-03-13,109.13
50,2022-03-12,109.13
51,2022-03-11,109.13
52,2022-03-10,109.13
53,2022-03-09,109.13
54,2022-03-08,109.13
55,2022-03-07,109.13
56,2022-03-06,109.13
57,2022-03-05,109.13
58,2022-03-04,109.13
59,2022-03-03,109.13
60,2022-03-02,109.13
61,2022-03-01,109.13
62,2022-02-28,109.13
63,2022-02-27,109.13
64,2022-02-26,109.13
65,2022-02-25,109.13
66,2022-02-24,109.13
67,2022-02-23,109.13
68,2022-02-22,109.13
69,2022-02-21,109.13
70,2022-02-20,109.13
71,2022-02-19,109.13
72,2022-02-18,109.13
73,2022-02-17,109.13
74,2022-02-16,109.13
75,2022-02-15,109.13
76,2022-02-14,109.13
77,2022-02-13,109.13
78,2022-02-12,109.13
79,2022-02-11,109.13
80,2022-02-10,109.13
81,2022-02-09,109.13
82,2022-02-08,109.13
83,2022-02-07,109.13
84,2022-02-06,109.13
85,2022-02-05,109.13
86,2022-02-04,109.13
87,2022-02-03,109.13
88,2022-02-02,109.13
89,2022-02-01,109.13
90,2022-01-31,109.13
91,2022-01-30,109.13
92,2022-01-29,109.13
93,2022-01-28,109.13
94,2022-01-27,109.13
95,2022-01-26,109.13
96,2022-01-25,109.13
97,2022-01-24,109.13
98,2022-01-23,109.13
99,2022-01-22,109.13
100,2022-01-21,109.13
101,2022-01-20,109.13
102,2022-01-19,109.13
103,2022-01-18,109.13
104,2022-01-17,109.13
105,2022-01-16,109.13
106,2022-01-15,109.13
107,2022-01-14,109.13
108,2022-01-13,109.13
109,2022-01-12,109.13
110,2022-01-11,109.13
111,2022-01-10,109.13
112,2022-01-09,109.13
113,2022-01-08,109.13
114,2022-01-07,109.13
115,2022-01-06,109.13
116,2022-01-05,109.13
117,2022-01-04,109.13
118,2022-01-03,109.13
119,2022-01-02,109.13
120,2022-01-01,109.13
121,2021-12-31,109.13
122,2021-12-30,109.13
123,2021-12-29,109.13
124,2021-12-28,109.13
125,2021-12-27,109.13
126,2021-12-26,109.13
127,2021-12-25,109.13
128,2021-12-24,109.13
129,2021-12-23,109.13
130,2021-12-22,109.13
131,2021-12-21,109.13
132,2021-12-20,109.13
133,2021-12-19,109.13
134,2021-12-18,109.13
135,2021-12-17,109.13
136,2021-12-16,109.13
137,2021-12-15,109.13
138,2021-12-14,109.13
139,2021-12-13,109.13
140,2021-12-12,109.13
141,2021-12-11,109.13
142,2021-12-10,109.13
143,2021-12-09,109.13
144,2021-12-08,109.13
145,2021-12-07,109.13
146,2021-12-06,109.13
147,2021-12-05,109.13
148,2021-12-04,109.13
149,2021-12-03,109.13
150,2021-12-02,109.13
151,2021-11-30,109.13
152,2021-11-29,109.13
153,2021-11-28,109.13
154,2021-11-27,109.13
155,2021-11-26,109.13
156,2021-11-25,109.13
157,2021-11-24,109.13
158,2021-11-23,109.13
159,2021-11-22,109.13
160,2021-11-21,109.13
161,2021-11-20,109.13
162,2021-11-19,109.13
163,2021-11-18,109.13
164,2021-11-17,109.13
165,2021-11-16,109.13
166,2021-11-15,109.13
167,2021-11-14,109.13
168,2021-11-13,109.13
169,2021-11-12,109.13
170,2021-11-11,109.13
171,2021-11-10,109.13
172,2021-11-09,109.13
173,2021-11-08,109.13
174,2021-11-07,109.13
175,2021-11-06,109.13
176,2021-11-05,109.13
177,2021-11-04,114.52
178,2021-11-03,120.79
179,2021-11-02,120.79
180,2021-11-01,120.41
181,2021-10-31,119.9
182,2021-10-30,119.54
183,2021-10-29,119.18
184,2021-10-28,118.81
185,2021-10-27,118.45
186,2021-10-26,118.09
187,2021-10-25,118.09
188,2021-10-24,118.09
189,2021-10-23,117.73
190,2021-10-22,117.37
191,2021-10-21,117
192,2021-10-20,116.64
193,2021-10-19,116.28
194,2021-10-18,116.28
195,2021-10-15,115.56
196,2021-10-14,115.2
197,2021-10-13,114.83
198,2021-10-12,114.83
199,2021-10-11,114.83
200,2021-10-10,114.52
201,2021-10-08,113.9
202,2021-10-07,113.59
203,2021-10-06,113.28
204,2021-10-05,112.97
205,2021-10-04,112.71
206,2021-10-03,112.71
207,2021-10-02,112.46
208,2021-10-01,112.2
209,2021-09-30,111.95
210,2021-09-29,111.71
211,2021-09-28,111.71
212,2021-09-27,111.51
213,2021-09-26,111.51
214,2021-09-25,111.51
215,2021-09-24,111.51
216,2021-09-23,111.51
217,2021-09-22,111.51
218,2021-09-21,111.51
219,2021-09-20,111.51
220,2021-09-19,111.51
221,2021-09-18,111.51
222,2021-09-17,111.51
223,2021-09-16,111.51
224,2021-09-15,111.51
225,2021-09-14,111.51
226,2021-09-13,111.51
227,2021-09-12,111.51
228,2021-09-11,111.51
229,2021-09-10,111.51
230,2021-09-09,111.51
231,2021-09-08,111.51
232,2021-09-07,111.51
233,2021-09-06,111.51
234,2021-09-05,111.51
235,2021-09-03,111.68
236,2021-09-02,111.68
237,2021-09-01,111.68
238,2021-08-31,111.85
239,2021-08-30,111.85
240,2021-08-29,111.85
241,2021-08-28,111.85
242,2021-08-27,111.85
243,2021-08-26,111.85
244,2021-08-25,111.85
245,2021-08-24,111.85
246,2021-08-23,111.99
247,2021-08-22,111.99
248,2021-08-21,111.98
249,2021-08-20,111.98
250,2021-08-19,111.98
251,2021-08-18,111.98
252,2021-08-17,111.98
253,2021-08-16,111.98
254,2021-08-15,111.98
255,2021-08-14,111.98
256,2021-08-13,111.98
257,2021-08-12,111.98
258,2021-08-11,111.98
259,2021-08-10,111.98
260,2021-08-09,111.98
261,2021-08-08,111.98
262,2021-08-07,111.98
263,2021-08-06,111.98
264,2021-08-05,111.98
265,2021-08-04,111.98
266,2021-08-03,111.98
267,2021-08-02,111.98
268,2021-08-01,111.98
269,2021-07-31,111.98
270,2021-07-30,111.98
271,2021-07-29,111.98
272,2021-07-28,111.98
273,2021-07-27,111.98
274,2021-07-26,111.98
275,2021-07-25,111.98
276,2021-07-24,111.98
277,2021-07-23,111.98
278,2021-07-22,111.98
279,2021-07-21,111.98
280,2021-07-20,111.98
281,2021-07-19,111.98
282,2021-07-18,111.98
283,2021-07-17,111.98
284,2021-07-16,111.67
285,2021-07-15,111.67
286,2021-07-14,111.3
287,2021-07-13,111.3
288,2021-07-12,111.3
289,2021-07-11,111.01
290,2021-07-10,111.01
291,2021-07-09,110.65
292,2021-07-08,110.65
293,2021-07-07,110.29
294,2021-07-06,109.93
295,2021-07-05,109.93
296,2021-07-04,109.57
297,2021-07-03,109.2
298,2021-07-02,109.2
299,2021-07-01,108.84
300,2021-06-30,108.84
301,2021-06-29,108.84
302,2021-06-28,108.48
303,2021-06-27,108.48
304,2021-06-26,108.12
305,2021-06-25,107.76
306,2021-06-24,107.76
307,2021-06-23,107.49
308,2021-06-22,107.49
309,2021-06-21,107.2
310,2021-06-20,107.2
311,2021-06-19,106.9
312,2021-06-18,106.9
313,2021-06-17,106.62
314,2021-06-16,106.62
315,2021-06-15,106.36
316,2021-06-14,106.36
317,2021-06-13,106.06
318,2021-06-12,106.06
319,2021-06-11,105.78
320,2021-06-10,105.48
321,2021-06-09,105.48
322,2021-06-08,105.23
323,2021-06-07,105.23
324,2021-06-06,104.94
325,2021-06-05,104.66
326,2021-06-04,104.66
327,2021-06-03,104.38
328,2021-06-02,104.38
329,2021-06-01,104.38
330,2021-05-31,104.11
331,2021-05-30,103.81
332,2021-05-29,103.81
333,2021-05-28,103.54
334,2021-05-27,103.54
335,2021-05-26,103.29
336,2021-05-25,103.29
337,2021-05-24,103.05
338,2021-05-23,103.05
339,2021-05-22,102.88
340,2021-05-21,102.88
341,2021-05-20,102.68
342,2021-05-19,102.68
343,2021-05-18,102.68
344,2021-05-17,102.4
345,2021-05-16,102.4
346,2021-05-15,102.15
347,2021-05-14,102.15
348,2021-05-13,101.86
349,2021-05-12,101.86
350,2021-05-11,101.6
351,2021-05-10,101.32
352,2021-05-09,101.05
353,2021-05-08,101.05
354,2021-05-07,101.05
355,2021-05-06,100.76
356,2021-05-05,100.5
357,2021-05-04,100.3
358,2021-05-03,99.97
359,2021-05-02,99.97
360,2021-05-01,99.97
361,2021-04-30,99.97
362,2021-04-29,99.97
363,2021-04-28,99.97
364,2021-04-27,99.97
