,date,price
0,2022-05-01,118.12
1,2022-04-30,118.12
2,2022-04-29,118.12
3,2022-04-28,118.12
4,2022-04-27,118.12
5,2022-04-26,118.12
6,2022-04-25,118.12
7,2022-04-24,118.12
8,2022-04-23,118.12
9,2022-04-22,118.12
10,2022-04-21,118.12
11,2022-04-20,118.12
12,2022-04-19,118.12
13,2022-04-18,118.12
14,2022-04-17,118.12
15,2022-04-16,118.12
16,2022-04-15,118.12
17,2022-04-14,118.12
18,2022-04-13,118.12
19,2022-04-12,118.12
20,2022-04-11,118.12
21,2022-04-10,118.12
22,2022-04-09,118.12
23,2022-04-08,118.12
24,2022-04-07,118.12
25,2022-04-06,118.12
26,2022-04-05,117.25
27,2022-04-04,116.38
28,2022-04-03,115.94
29,2022-04-02,115.07
30,2022-04-01,114.19
31,2022-03-31,114.19
32,2022-03-30,113.32
33,2022-03-29,112.44
34,2022-03-28,111.57
35,2022-03-27,111.24
36,2022-03-26,110.7
37,2022-03-25,109.83
38,2022-03-24,108.96
39,2022-03-23,108.96
40,2022-03-22,108.09
41,2022-03-21,107.21
42,2022-03-20,107.21
43,2022-03-19,107.21
44,2022-03-18,107.21
45,2022-03-17,107.21
46,2022-03-16,107.21
47,2022-03-15,107.21
48,2022-03-14,107.21
49,2022-03-13,107.21
50,2022-03-12,107.21
51,2022-03-11,107.21
52,2022-03-10,107.21
53,2022-03-09,107.21
54,2022-03-08,107.21
55,2022-03-07,107.21
56,2022-03-06,107.21
57,2022-03-05,107.21
58,2022-03-04,107.21
59,2022-03-03,107.21
60,2022-03-02,107.21
61,2022-03-01,107.21
62,2022-02-28,107.21
63,2022-02-27,107.21
64,2022-02-26,107.21
65,2022-02-25,107.21
66,2022-02-24,107.21
67,2022-02-23,107.21
68,2022-02-22,107.21
69,2022-02-21,107.21
70,2022-02-20,107.21
71,2022-02-19,107.21
72,2022-02-18,107.21
73,2022-02-17,107.21
74,2022-02-16,107.21
75,2022-02-15,107.21
76,2022-02-14,107.21
77,2022-02-13,107.21
78,2022-02-12,107.21
79,2022-02-11,107.21
80,2022-02-10,107.21
81,2022-02-09,107.21
82,2022-02-08,107.21
83,2022-02-07,107.21
84,2022-02-06,107.21
85,2022-02-05,107.21
86,2022-02-04,107.21
87,2022-02-03,107.21
88,2022-02-02,107.21
89,2022-02-01,107.21
90,2022-01-31,107.21
91,2022-01-30,107.21
92,2022-01-29,107.21
93,2022-01-28,107.21
94,2022-01-27,107.21
95,2022-01-26,107.21
96,2022-01-25,107.21
97,2022-01-24,107.21
98,2022-01-23,107.21
99,2022-01-22,107.21
100,2022-01-21,107.21
101,2022-01-20,107.21
102,2022-01-19,107.21
103,2022-01-18,107.21
104,2022-01-17,107.21
105,2022-01-16,107.21
106,2022-01-15,107.21
107,2022-01-14,107.21
108,2022-01-13,107.21
109,2022-01-12,107.21
110,2022-01-11,107.21
111,2022-01-10,107.21
112,2022-01-09,107.21
113,2022-01-08,107.21
114,2022-01-07,107.21
115,2022-01-06,107.21
116,2022-01-05,107.21
117,2022-01-04,107.21
118,2022-01-03,107.21
119,2022-01-02,107.21
120,2022-01-01,107.21
121,2021-12-31,107.21
122,2021-12-30,107.21
123,2021-12-29,107.21
124,2021-12-28,107.21
125,2021-12-27,107.21
126,2021-12-26,107.21
127,2021-12-25,107.21
128,2021-12-24,107.21
129,2021-12-23,107.21
130,2021-12-22,107.21
131,2021-12-21,107.21
132,2021-12-20,107.21
133,2021-12-19,107.21
134,2021-12-18,107.21
135,2021-12-17,107.21
136,2021-12-16,107.21
137,2021-12-15,107.21
138,2021-12-14,107.21
139,2021-12-13,107.21
140,2021-12-12,107.21
141,2021-12-11,107.21
142,2021-12-10,107.21
143,2021-12-09,107.21
144,2021-12-08,107.21
145,2021-12-07,107.21
146,2021-12-06,107.21
147,2021-12-05,107.21
148,2021-12-04,107.21
149,2021-12-03,107.21
150,2021-12-02,107.21
151,2021-11-30,107.21
152,2021-11-29,107.21
153,2021-11-28,107.21
154,2021-11-27,107.21
155,2021-11-26,107.21
156,2021-11-25,107.21
157,2021-11-24,107.21
158,2021-11-23,107.21
159,2021-11-22,107.21
160,2021-11-21,107.21
161,2021-11-20,107.21
162,2021-11-19,107.21
163,2021-11-18,107.21
164,2021-11-17,107.21
165,2021-11-16,107.21
166,2021-11-15,107.21
167,2021-11-14,107.21
168,2021-11-13,107.21
169,2021-11-12,107.21
170,2021-11-11,107.21
171,2021-11-10,107.21
172,2021-11-09,107.21
173,2021-11-08,107.21
174,2021-11-07,107.21
175,2021-11-06,107.21
176,2021-11-05,107.21
177,2021-11-04,112.54
178,2021-11-03,118.81
179,2021-11-02,118.81
180,2021-11-01,118.43
181,2021-10-31,118.03
182,2021-10-30,117.67
183,2021-10-29,117.3
184,2021-10-28,116.94
185,2021-10-27,116.58
186,2021-10-26,116.22
187,2021-10-25,116.22
188,2021-10-24,116.22
189,2021-10-23,115.86
190,2021-10-22,115.5
191,2021-10-21,115.13
192,2021-10-20,114.77
193,2021-10-19,114.41
194,2021-10-18,114.41
195,2021-10-15,113.69
196,2021-10-14,113.32
197,2021-10-13,112.96
198,2021-10-12,112.96
199,2021-10-11,112.96
200,2021-10-10,112.65
201,2021-10-08,112.03
202,2021-10-07,111.72
203,2021-10-06,111.41
204,2021-10-05,111.1
205,2021-10-04,110.84
206,2021-10-03,110.84
207,2021-10-02,110.59
208,2021-10-01,110.33
209,2021-09-30,110.08
210,2021-09-29,109.84
211,2021-09-28,109.84
212,2021-09-27,109.64
213,2021-09-26,109.64
214,2021-09-25,109.64
215,2021-09-24,109.64
216,2021-09-23,109.64
217,2021-09-22,109.64
218,2021-09-21,109.64
219,2021-09-20,109.64
220,2021-09-19,109.64
221,2021-09-18,109.64
222,2021-09-17,109.64
223,2021-09-16,109.64
224,2021-09-15,109.64
225,2021-09-14,109.64
226,2021-09-13,109.64
227,2021-09-12,109.64
228,2021-09-11,109.64
229,2021-09-10,109.64
230,2021-09-09,109.64
231,2021-09-08,109.64
232,2021-09-07,109.64
233,2021-09-06,109.64
234,2021-09-05,109.64
235,2021-09-03,109.81
236,2021-09-02,109.81
237,2021-09-01,109.81
238,2021-08-31,109.97
239,2021-08-30,109.97
240,2021-08-29,109.97
241,2021-08-28,109.97
