,date,price
0,2022-05-01,119.94
1,2022-04-30,119.94
2,2022-04-29,119.94
3,2022-04-28,119.94
4,2022-04-27,119.94
5,2022-04-26,119.94
6,2022-04-25,119.94
7,2022-04-24,119.94
8,2022-04-23,119.94
9,2022-04-22,119.94
10,2022-04-21,119.94
11,2022-04-20,119.94
12,2022-04-19,119.94
13,2022-04-18,119.94
14,2022-04-17,119.94
15,2022-04-16,119.94
16,2022-04-15,119.94
17,2022-04-14,119.94
18,2022-04-13,119.94
19,2022-04-12,119.94
20,2022-04-11,119.94
21,2022-04-10,119.94
22,2022-04-09,119.94
23,2022-04-08,119.94
24,2022-04-07,119.94
25,2022-04-06,119.94
26,2022-04-05,119.06
27,2022-04-04,118.19
28,2022-04-03,117.75
29,2022-04-02,116.88
30,2022-04-01,116.01
31,2022-03-31,116.01
32,2022-03-30,115.13
33,2022-03-29,114.26
34,2022-03-28,113.38
35,2022-03-27,113.06
36,2022-03-26,112.51
37,2022-03-25,111.7
38,2022-03-24,110.82
39,2022-03-23,110.82
40,2022-03-22,109.95
41,2022-03-21,109.08
42,2022-03-20,109.08
43,2022-03-19,109.08
44,2022-03-18,109.08
45,2022-03-17,109.08
46,2022-03-16,109.08
47,2022-03-15,109.08
48,2022-03-14,109.08
49,2022-03-13,109.08
50,2022-03-12,109.08
51,2022-03-11,109.08
52,2022-03-10,109.08
53,2022-03-09,109.08
54,2022-03-08,109.08
55,2022-03-07,109.08
56,2022-03-06,109.08
57,2022-03-05,109.08
58,2022-03-04,109.08
59,2022-03-03,109.08
60,2022-03-02,109.08
61,2022-03-01,109.08
62,2022-02-28,109.08
63,2022-02-27,109.08
64,2022-02-26,109.08
65,2022-02-25,109.08
66,2022-02-24,109.08
67,2022-02-23,109.08
68,2022-02-22,109.08
69,2022-02-21,109.08
70,2022-02-20,109.08
71,2022-02-19,109.08
72,2022-02-18,109.08
73,2022-02-17,109.08
74,2022-02-16,109.08
75,2022-02-15,109.08
76,2022-02-14,109.08
77,2022-02-13,109.08
78,2022-02-12,109.08
79,2022-02-11,109.08
80,2022-02-10,109.08
81,2022-02-09,109.08
82,2022-02-08,109.08
83,2022-02-07,109.08
84,2022-02-06,109.08
85,2022-02-05,109.08
86,2022-02-04,109.08
87,2022-02-03,109.08
88,2022-02-02,109.08
89,2022-02-01,109.08
90,2022-01-31,109.08
91,2022-01-30,109.08
92,2022-01-29,109.08
93,2022-01-28,109.08
94,2022-01-27,109.08
95,2022-01-26,109.08
96,2022-01-25,109.08
97,2022-01-24,109.08
98,2022-01-23,109.08
99,2022-01-22,109.08
100,2022-01-21,109.08
101,2022-01-20,109.08
102,2022-01-19,109.08
103,2022-01-18,109.08
104,2022-01-17,109.08
105,2022-01-16,109.08
106,2022-01-15,109.08
107,2022-01-14,109.08
108,2022-01-13,109.08
109,2022-01-12,109.08
110,2022-01-11,109.08
111,2022-01-10,109.08
112,2022-01-09,109.08
113,2022-01-08,109.08
114,2022-01-07,109.08
115,2022-01-06,109.08
116,2022-01-05,109.08
117,2022-01-04,109.08
118,2022-01-03,109.08
119,2022-01-02,109.08
120,2022-01-01,109.08
121,2021-12-31,109.08
122,2021-12-30,109.08
123,2021-12-29,109.08
124,2021-12-28,109.08
125,2021-12-27,109.08
126,2021-12-26,109.08
127,2021-12-25,109.08
128,2021-12-24,109.08
129,2021-12-23,109.08
130,2021-12-22,109.08
131,2021-12-21,109.08
132,2021-12-20,109.08
133,2021-12-19,109.08
134,2021-12-18,109.08
135,2021-12-17,109.08
136,2021-12-16,109.08
137,2021-12-15,109.08
138,2021-12-14,109.08
139,2021-12-13,109.08
140,2021-12-12,109.08
141,2021-12-11,109.08
142,2021-12-10,109.08
143,2021-12-09,109.08
144,2021-12-08,109.08
145,2021-12-07,109.08
146,2021-12-06,109.08
147,2021-12-05,109.08
148,2021-12-04,109.08
149,2021-12-03,109.08
150,2021-12-02,109.08
151,2021-11-30,109.08
152,2021-11-29,109.08
153,2021-11-28,109.08
154,2021-11-27,109.08
155,2021-11-26,109.08
156,2021-11-25,109.08
157,2021-11-24,109.08
158,2021-11-23,109.08
159,2021-11-22,109.08
160,2021-11-21,109.08
161,2021-11-20,109.08
162,2021-11-19,109.08
163,2021-11-18,109.08
164,2021-11-17,109.08
165,2021-11-16,109.08
166,2021-11-15,109.08
167,2021-11-14,109.08
168,2021-11-13,109.08
169,2021-11-12,109.08
170,2021-11-11,109.08
171,2021-11-10,109.08
172,2021-11-09,109.08
173,2021-11-08,109.08
174,2021-11-07,109.08
175,2021-11-06,109.08
176,2021-11-05,109.08
177,2021-11-04,114.46
178,2021-11-03,120.74
179,2021-11-02,120.74
180,2021-11-01,120.35
181,2021-10-31,119.85
182,2021-10-30,119.49
183,2021-10-29,119.13
184,2021-10-28,118.77
185,2021-10-27,118.41
186,2021-10-26,118.04
187,2021-10-25,118.04
188,2021-10-24,118.04
189,2021-10-23,117.68
190,2021-10-22,117.32
191,2021-10-21,116.96
192,2021-10-20,116.6
193,2021-10-19,116.24
194,2021-10-18,116.24
195,2021-10-15,115.51
196,2021-10-14,115.15
197,2021-10-13,114.79
198,2021-10-12,114.79
199,2021-10-11,114.79
200,2021-10-10,114.48
201,2021-10-08,113.86
202,2021-10-07,113.55
203,2021-10-06,113.24
204,2021-10-05,112.93
205,2021-10-04,112.67
206,2021-10-03,112.67
207,2021-10-02,112.41
208,2021-10-01,112.15
209,2021-09-30,111.91
210,2021-09-29,111.66
211,2021-09-28,111.66
212,2021-09-27,111.47
213,2021-09-26,111.47
214,2021-09-25,111.47
215,2021-09-24,111.47
216,2021-09-23,111.47
217,2021-09-22,111.47
218,2021-09-21,111.47
219,2021-09-20,111.47
220,2021-09-19,111.47
221,2021-09-18,111.47
222,2021-09-17,111.47
223,2021-09-16,111.47
224,2021-09-15,111.47
225,2021-09-14,111.47
226,2021-09-13,111.47
227,2021-09-12,111.47
228,2021-09-11,111.47
229,2021-09-10,111.47
230,2021-09-09,111.47
231,2021-09-08,111.47
232,2021-09-07,111.47
233,2021-09-06,111.47
234,2021-09-05,111.47
235,2021-09-03,111.63
236,2021-09-02,111.63
237,2021-09-01,111.63
238,2021-08-31,111.8
239,2021-08-30,111.8
240,2021-08-29,111.8
241,2021-08-28,111.8
242,2021-08-27,111.8
243,2021-08-26,111.8
244,2021-08-25,111.8
245,2021-08-24,111.8
246,2021-08-23,111.95
247,2021-08-22,111.95
248,2021-08-21,111.95
249,2021-08-20,111.95
250,2021-08-19,111.95
251,2021-08-18,111.96
252,2021-08-17,111.96
253,2021-08-16,111.96
254,2021-08-15,111.96
255,2021-08-14,111.96
256,2021-08-13,111.96
257,2021-08-12,111.96
258,2021-08-11,111.96
259,2021-08-10,111.96
260,2021-08-09,111.96
261,2021-08-08,111.96
262,2021-08-07,111.96
263,2021-08-06,111.96
264,2021-08-05,111.96
265,2021-08-04,111.96
266,2021-08-03,111.96
267,2021-08-02,111.96
268,2021-08-01,111.96
269,2021-07-31,111.96
270,2021-07-30,111.96
271,2021-07-29,111.96
272,2021-07-28,111.96
273,2021-07-27,111.96
274,2021-07-26,111.96
275,2021-07-25,111.96
276,2021-07-24,111.96
277,2021-07-23,111.96
278,2021-07-22,111.96
279,2021-07-21,111.96
280,2021-07-20,111.96
281,2021-07-19,111.96
282,2021-07-18,111.96
283,2021-07-17,111.96
284,2021-07-16,111.65
285,2021-07-15,111.65
286,2021-07-14,111.29
287,2021-07-13,111.29
288,2021-07-12,111.29
289,2021-07-11,111
290,2021-07-10,111
291,2021-07-09,110.64
292,2021-07-08,110.64
293,2021-07-07,110.28
294,2021-07-06,109.91
295,2021-07-05,109.91
296,2021-07-04,109.55
297,2021-07-03,109.19
298,2021-07-02,109.19
299,2021-07-01,108.83
300,2021-06-30,108.83
301,2021-06-29,108.83
302,2021-06-28,108.47
303,2021-06-27,108.47
304,2021-06-26,108.11
305,2021-06-25,107.74
306,2021-06-24,107.74
307,2021-06-23,107.48
308,2021-06-22,107.48
309,2021-06-21,107.19
310,2021-06-20,107.19
311,2021-06-19,106.89
312,2021-06-18,106.89
313,2021-06-17,106.61
314,2021-06-16,106.61
315,2021-06-15,106.35
316,2021-06-14,106.35
317,2021-06-13,106.05
318,2021-06-12,106.05
319,2021-06-11,105.77
320,2021-06-10,105.47
321,2021-06-09,105.47
322,2021-06-08,105.21
323,2021-06-07,105.21
324,2021-06-06,104.92
325,2021-06-05,104.64
326,2021-06-04,104.64
327,2021-06-03,104.36
328,2021-06-02,104.36
329,2021-06-01,104.36
330,2021-05-31,104.1
331,2021-05-30,103.8
332,2021-05-29,103.8
333,2021-05-28,103.53
334,2021-05-27,103.53
335,2021-05-26,103.28
336,2021-05-25,103.28
337,2021-05-24,103.04
338,2021-05-23,103.04
339,2021-05-22,102.86
340,2021-05-21,102.86
341,2021-05-20,102.67
342,2021-05-19,102.67
343,2021-05-18,102.67
344,2021-05-17,102.39
345,2021-05-16,102.39
346,2021-05-15,102.14
347,2021-05-14,102.14
348,2021-05-13,101.84
349,2021-05-12,101.84
350,2021-05-11,101.58
351,2021-05-10,101.3
352,2021-05-09,101.04
353,2021-05-08,101.04
354,2021-05-07,101.04
355,2021-05-06,100.75
356,2021-05-05,100.49
357,2021-05-04,100.29
358,2021-05-03,99.97
359,2021-05-02,99.97
360,2021-05-01,99.97
361,2021-04-30,99.97
362,2021-04-29,99.97
363,2021-04-28,99.97
364,2021-04-27,99.97
