,date,price
0,2022-05-01,119.53
1,2022-04-30,119.53
2,2022-04-29,119.53
3,2022-04-28,119.53
4,2022-04-27,119.53
5,2022-04-26,119.53
6,2022-04-25,119.53
7,2022-04-24,119.53
8,2022-04-23,119.53
9,2022-04-22,119.53
10,2022-04-21,119.53
11,2022-04-20,119.53
12,2022-04-19,119.53
13,2022-04-18,119.53
14,2022-04-17,119.53
15,2022-04-16,119.53
16,2022-04-15,119.53
17,2022-04-14,119.53
18,2022-04-13,119.53
19,2022-04-12,119.53
20,2022-04-11,119.53
21,2022-04-10,119.53
22,2022-04-09,119.53
23,2022-04-08,119.53
24,2022-04-07,119.53
25,2022-04-06,119.53
26,2022-04-05,118.66
27,2022-04-04,117.79
28,2022-04-03,117.35
29,2022-04-02,116.48
30,2022-04-01,115.6
31,2022-03-31,115.6
32,2022-03-30,114.73
33,2022-03-29,113.85
34,2022-03-28,112.98
35,2022-03-27,112.65
36,2022-03-26,112.11
37,2022-03-25,111.29
38,2022-03-24,110.42
39,2022-03-23,110.42
40,2022-03-22,109.54
41,2022-03-21,108.67
42,2022-03-20,108.67
43,2022-03-19,108.67
44,2022-03-18,108.67
45,2022-03-17,108.67
46,2022-03-16,108.67
47,2022-03-15,108.67
48,2022-03-14,108.67
49,2022-03-13,108.67
50,2022-03-12,108.67
51,2022-03-11,108.67
52,2022-03-10,108.67
53,2022-03-09,108.67
54,2022-03-08,108.67
55,2022-03-07,108.67
56,2022-03-06,108.67
57,2022-03-05,108.67
58,2022-03-04,108.67
59,2022-03-03,108.67
60,2022-03-02,108.67
61,2022-03-01,108.67
62,2022-02-28,108.67
63,2022-02-27,108.67
64,2022-02-26,108.67
65,2022-02-25,108.67
66,2022-02-24,108.67
67,2022-02-23,108.67
68,2022-02-22,108.67
69,2022-02-21,108.67
70,2022-02-20,108.67
71,2022-02-19,108.67
72,2022-02-18,108.67
73,2022-02-17,108.67
74,2022-02-16,108.67
75,2022-02-15,108.67
76,2022-02-14,108.67
77,2022-02-13,108.67
78,2022-02-12,108.67
79,2022-02-11,108.67
80,2022-02-10,108.67
81,2022-02-09,108.67
82,2022-02-08,108.67
83,2022-02-07,108.67
84,2022-02-06,108.67
85,2022-02-05,108.67
86,2022-02-04,108.67
87,2022-02-03,108.67
88,2022-02-02,108.67
89,2022-02-01,108.67
90,2022-01-31,108.67
91,2022-01-30,108.67
92,2022-01-29,108.67
93,2022-01-28,108.67
94,2022-01-27,108.67
95,2022-01-26,108.67
96,2022-01-25,108.67
97,2022-01-24,108.67
98,2022-01-23,108.67
99,2022-01-22,108.67
100,2022-01-21,108.67
101,2022-01-20,108.67
102,2022-01-19,108.67
103,2022-01-18,108.67
104,2022-01-17,108.67
105,2022-01-16,108.67
106,2022-01-15,108.67
107,2022-01-14,108.67
108,2022-01-13,108.67
109,2022-01-12,108.67
110,2022-01-11,108.67
111,2022-01-10,108.67
112,2022-01-09,108.67
113,2022-01-08,108.67
114,2022-01-07,108.67
115,2022-01-06,108.67
116,2022-01-05,108.67
117,2022-01-04,108.67
118,2022-01-03,108.67
119,2022-01-02,108.67
120,2022-01-01,108.67
121,2021-12-31,108.67
122,2021-12-30,108.67
123,2021-12-29,108.67
124,2021-12-28,108.67
125,2021-12-27,108.67
126,2021-12-26,108.67
127,2021-12-25,108.67
128,2021-12-24,108.67
129,2021-12-23,108.67
130,2021-12-22,108.67
131,2021-12-21,108.67
132,2021-12-20,108.67
133,2021-12-19,108.67
134,2021-12-18,108.67
135,2021-12-17,108.67
136,2021-12-16,108.67
137,2021-12-15,108.67
138,2021-12-14,108.67
139,2021-12-13,108.67
140,2021-12-12,108.67
141,2021-12-11,108.67
142,2021-12-10,108.67
143,2021-12-09,108.67
144,2021-12-08,108.67
145,2021-12-07,108.67
146,2021-12-06,108.67
147,2021-12-05,108.67
148,2021-12-04,108.67
149,2021-12-03,108.67
150,2021-12-02,108.67
151,2021-11-30,108.67
152,2021-11-29,108.67
153,2021-11-28,108.67
154,2021-11-27,108.67
155,2021-11-26,108.67
156,2021-11-25,108.67
157,2021-11-24,108.67
158,2021-11-23,108.67
159,2021-11-22,108.67
160,2021-11-21,108.67
161,2021-11-20,108.67
162,2021-11-19,108.67
163,2021-11-18,108.67
164,2021-11-17,108.67
165,2021-11-16,108.67
166,2021-11-15,108.67
167,2021-11-14,108.67
168,2021-11-13,108.67
169,2021-11-12,108.67
170,2021-11-11,108.67
171,2021-11-10,108.67
172,2021-11-09,108.67
173,2021-11-08,108.67
174,2021-11-07,108.67
175,2021-11-06,108.67
176,2021-11-05,108.67
177,2021-11-04,114.04
178,2021-11-03,120.31
179,2021-11-02,120.31
180,2021-11-01,119.93
181,2021-10-31,119.44
182,2021-10-30,119.08
183,2021-10-29,118.72
184,2021-10-28,118.36
185,2021-10-27,117.99
186,2021-10-26,117.63
187,2021-10-25,117.63
188,2021-10-24,117.63
189,2021-10-23,117.27
190,2021-10-22,116.91
191,2021-10-21,116.55
192,2021-10-20,116.19
193,2021-10-19,115.82
194,2021-10-18,115.82
195,2021-10-15,115.1
196,2021-10-14,114.74
197,2021-10-13,114.38
198,2021-10-12,114.38
199,2021-10-11,114.38
200,2021-10-10,114.07
201,2021-10-08,113.45
202,2021-10-07,113.14
203,2021-10-06,112.83
204,2021-10-05,112.52
205,2021-10-04,112.26
206,2021-10-03,112.26
207,2021-10-02,112
208,2021-10-01,111.74
209,2021-09-30,111.5
210,2021-09-29,111.25
211,2021-09-28,111.25
212,2021-09-27,111.06
213,2021-09-26,111.06
214,2021-09-25,111.06
215,2021-09-24,111.06
216,2021-09-23,111.06
217,2021-09-22,111.06
218,2021-09-21,111.06
219,2021-09-20,111.06
220,2021-09-19,111.06
221,2021-09-18,111.06
222,2021-09-17,111.06
223,2021-09-16,111.06
224,2021-09-15,111.06
225,2021-09-14,111.06
226,2021-09-13,111.06
227,2021-09-12,111.06
228,2021-09-11,111.06
229,2021-09-10,111.06
230,2021-09-09,111.06
231,2021-09-08,111.06
232,2021-09-07,111.06
233,2021-09-06,111.06
234,2021-09-05,111.06
235,2021-09-03,111.22
236,2021-09-02,111.22
237,2021-09-01,111.22
238,2021-08-31,111.39
239,2021-08-30,111.39
240,2021-08-29,111.39
241,2021-08-28,111.39
242,2021-08-27,111.39
243,2021-08-26,111.39
244,2021-08-25,111.39
245,2021-08-24,111.39
246,2021-08-23,111.53
247,2021-08-22,111.53
248,2021-08-21,111.55
249,2021-08-20,111.55
250,2021-08-19,111.55
