,date,price
0,2022-05-01,120.14
1,2022-04-30,120.14
2,2022-04-29,120.14
3,2022-04-28,120.14
4,2022-04-27,120.14
5,2022-04-26,120.14
6,2022-04-25,120.14
7,2022-04-24,120.14
8,2022-04-23,120.14
9,2022-04-22,120.14
10,2022-04-21,120.14
11,2022-04-20,120.14
12,2022-04-19,120.14
13,2022-04-18,120.14
14,2022-04-17,120.14
15,2022-04-16,120.14
16,2022-04-15,120.14
17,2022-04-14,120.14
18,2022-04-13,120.14
19,2022-04-12,120.14
20,2022-04-11,120.14
21,2022-04-10,120.14
22,2022-04-09,120.14
23,2022-04-08,120.14
24,2022-04-07,120.14
25,2022-04-06,120.14
26,2022-04-05,119.27
27,2022-04-04,118.39
28,2022-04-03,117.96
29,2022-04-02,117.08
30,2022-04-01,116.21
31,2022-03-31,116.21
32,2022-03-30,115.33
33,2022-03-29,114.46
34,2022-03-28,113.59
35,2022-03-27,113.26
36,2022-03-26,112.71
37,2022-03-25,111.91
38,2022-03-24,111.04
39,2022-03-23,111.04
40,2022-03-22,110.17
41,2022-03-21,109.29
42,2022-03-20,109.29
43,2022-03-19,109.29
44,2022-03-18,109.29
45,2022-03-17,109.29
46,2022-03-16,109.29
47,2022-03-15,109.29
48,2022-03-14,109.29
49,2022-03-13,109.29
50,2022-03-12,109.29
51,2022-03-11,109.29
52,2022-03-10,109.29
53,2022-03-09,109.29
54,2022-03-08,109.29
55,2022-03-07,109.29
56,2022-03-06,109.29
57,2022-03-05,109.29
58,2022-03-04,109.29
59,2022-03-03,109.29
60,2022-03-02,109.29
61,2022-03-01,109.29
62,2022-02-28,109.29
63,2022-02-27,109.29
64,2022-02-26,109.29
65,2022-02-25,109.29
66,2022-02-24,109.29
67,2022-02-23,109.29
68,2022-02-22,109.29
69,2022-02-21,109.29
70,2022-02-20,109.29
71,2022-02-19,109.29
72,2022-02-18,109.29
73,2022-02-17,109.29
74,2022-02-16,109.29
75,2022-02-15,109.29
76,2022-02-14,109.29
77,2022-02-13,109.29
78,2022-02-12,109.29
79,2022-02-11,109.29
80,2022-02-10,109.29
81,2022-02-09,109.29
82,2022-02-08,109.29
83,2022-02-07,109.29
84,2022-02-06,109.29
85,2022-02-05,109.29
86,2022-02-04,109.29
87,2022-02-03,109.29
88,2022-02-02,109.29
89,2022-02-01,109.29
90,2022-01-31,109.29
91,2022-01-30,109.29
92,2022-01-29,109.29
93,2022-01-28,109.29
94,2022-01-27,109.29
95,2022-01-26,109.29
96,2022-01-25,109.29
97,2022-01-24,109.29
98,2022-01-23,109.29
99,2022-01-22,109.29
100,2022-01-21,109.29
101,2022-01-20,109.29
102,2022-01-19,109.29
103,2022-01-18,109.29
104,2022-01-17,109.29
105,2022-01-16,109.29
106,2022-01-15,109.29
107,2022-01-14,109.29
108,2022-01-13,109.29
109,2022-01-12,109.29
110,2022-01-11,109.29
111,2022-01-10,109.29
112,2022-01-09,109.29
113,2022-01-08,109.29
114,2022-01-07,109.29
115,2022-01-06,109.29
116,2022-01-05,109.29
117,2022-01-04,109.29
118,2022-01-03,109.29
119,2022-01-02,109.29
120,2022-01-01,109.29
121,2021-12-31,109.29
122,2021-12-30,109.29
123,2021-12-29,109.29
124,2021-12-28,109.29
125,2021-12-27,109.29
126,2021-12-26,109.29
127,2021-12-25,109.29
128,2021-12-24,109.29
129,2021-12-23,109.29
130,2021-12-22,109.29
131,2021-12-21,109.29
132,2021-12-20,109.29
133,2021-12-19,109.29
134,2021-12-18,109.29
135,2021-12-17,109.29
136,2021-12-16,109.29
137,2021-12-15,109.29
138,2021-12-14,109.29
139,2021-12-13,109.29
140,2021-12-12,109.29
141,2021-12-11,109.29
142,2021-12-10,109.29
143,2021-12-09,109.29
144,2021-12-08,109.29
145,2021-12-07,109.29
146,2021-12-06,109.29
147,2021-12-05,109.29
148,2021-12-04,109.29
149,2021-12-03,109.29
150,2021-12-02,109.29
151,2021-11-30,109.29
152,2021-11-29,109.29
153,2021-11-28,109.29
154,2021-11-27,109.29
155,2021-11-26,109.29
156,2021-11-25,109.29
157,2021-11-24,109.29
158,2021-11-23,109.29
159,2021-11-22,109.29
160,2021-11-21,109.29
161,2021-11-20,109.29
162,2021-11-19,109.29
163,2021-11-18,109.29
164,2021-11-17,109.29
165,2021-11-16,109.29
166,2021-11-15,109.29
167,2021-11-14,109.29
168,2021-11-13,109.29
169,2021-11-12,109.29
170,2021-11-11,109.29
171,2021-11-10,109.29
172,2021-11-09,109.29
173,2021-11-08,109.29
174,2021-11-07,109.29
175,2021-11-06,109.29
176,2021-11-05,109.29
177,2021-11-04,114.68
178,2021-11-03,120.96
179,2021-11-02,120.96
180,2021-11-01,120.58
181,2021-10-31,120.05
182,2021-10-30,119.69
183,2021-10-29,119.33
184,2021-10-28,118.97
185,2021-10-27,118.61
186,2021-10-26,118.24
187,2021-10-25,118.24
