,date,price
0,2022-05-01,118.69
1,2022-04-30,118.69
2,2022-04-29,118.69
3,2022-04-28,118.69
4,2022-04-27,118.69
5,2022-04-26,118.69
6,2022-04-25,118.69
7,2022-04-24,118.69
8,2022-04-23,118.69
9,2022-04-22,118.69
10,2022-04-21,118.69
11,2022-04-20,118.69
12,2022-04-19,118.69
13,2022-04-18,118.69
14,2022-04-17,118.69
15,2022-04-16,118.69
16,2022-04-15,118.69
17,2022-04-14,118.69
18,2022-04-13,118.69
19,2022-04-12,118.69
20,2022-04-11,118.69
21,2022-04-10,118.69
22,2022-04-09,118.69
23,2022-04-08,118.69
24,2022-04-07,118.69
25,2022-04-06,118.69
26,2022-04-05,117.82
27,2022-04-04,116.94
28,2022-04-03,116.51
29,2022-04-02,115.63
30,2022-04-01,114.76
31,2022-03-31,114.76
32,2022-03-30,113.89
33,2022-03-29,113.01
34,2022-03-28,112.14
35,2022-03-27,111.81
36,2022-03-26,111.26
37,2022-03-25,110.42
38,2022-03-24,109.55
39,2022-03-23,109.55
40,2022-03-22,108.67
41,2022-03-21,107.8
42,2022-03-20,107.8
43,2022-03-19,107.8
44,2022-03-18,107.8
45,2022-03-17,107.8
46,2022-03-16,107.8
47,2022-03-15,107.8
48,2022-03-14,107.8
49,2022-03-13,107.8
50,2022-03-12,107.8
51,2022-03-11,107.8
52,2022-03-10,107.8
53,2022-03-09,107.8
54,2022-03-08,107.8
55,2022-03-07,107.8
56,2022-03-06,107.8
57,2022-03-05,107.8
58,2022-03-04,107.8
59,2022-03-03,107.8
60,2022-03-02,107.8
61,2022-03-01,107.8
62,2022-02-28,107.8
63,2022-02-27,107.8
64,2022-02-26,107.8
65,2022-02-25,107.8
66,2022-02-24,107.8
67,2022-02-23,107.8
68,2022-02-22,107.8
69,2022-02-21,107.8
70,2022-02-20,107.8
71,2022-02-19,107.8
72,2022-02-18,107.8
73,2022-02-17,107.8
74,2022-02-16,107.8
75,2022-02-15,107.8
76,2022-02-14,107.8
77,2022-02-13,107.8
78,2022-02-12,107.8
79,2022-02-11,107.8
80,2022-02-10,107.8
81,2022-02-09,107.8
82,2022-02-08,107.8
83,2022-02-07,107.8
84,2022-02-06,107.8
85,2022-02-05,107.8
86,2022-02-04,107.8
87,2022-02-03,107.8
88,2022-02-02,107.8
89,2022-02-01,107.8
90,2022-01-31,107.8
91,2022-01-30,107.8
92,2022-01-29,107.8
93,2022-01-28,107.8
94,2022-01-27,107.8
95,2022-01-26,107.8
96,2022-01-25,107.8
97,2022-01-24,107.8
98,2022-01-23,107.8
99,2022-01-22,107.8
100,2022-01-21,107.8
101,2022-01-20,107.8
102,2022-01-19,107.8
103,2022-01-18,107.8
104,2022-01-17,107.8
105,2022-01-16,107.8
106,2022-01-15,107.8
107,2022-01-14,107.8
108,2022-01-13,107.8
109,2022-01-12,107.8
110,2022-01-11,107.8
111,2022-01-10,107.8
112,2022-01-09,107.8
113,2022-01-08,107.8
114,2022-01-07,107.8
115,2022-01-06,107.8
116,2022-01-05,107.8
117,2022-01-04,107.8
118,2022-01-03,107.8
119,2022-01-02,107.8
120,2022-01-01,107.8
121,2021-12-31,107.8
122,2021-12-30,107.8
123,2021-12-29,107.8
124,2021-12-28,107.8
125,2021-12-27,107.8
126,2021-12-26,107.8
127,2021-12-25,107.8
128,2021-12-24,107.8
129,2021-12-23,107.8
130,2021-12-22,107.8
131,2021-12-21,107.8
132,2021-12-20,107.8
133,2021-12-19,107.8
134,2021-12-18,107.8
135,2021-12-17,107.8
136,2021-12-16,107.8
137,2021-12-15,107.8
138,2021-12-14,107.8
139,2021-12-13,107.8
140,2021-12-12,107.8
141,2021-12-11,107.8
142,2021-12-10,107.8
143,2021-12-09,107.8
144,2021-12-08,107.8
145,2021-12-07,107.8
146,2021-12-06,107.8
147,2021-12-05,107.8
148,2021-12-04,107.8
149,2021-12-03,107.8
150,2021-12-02,107.8
151,2021-11-30,107.8
152,2021-11-29,107.8
153,2021-11-28,107.8
154,2021-11-27,107.8
155,2021-11-26,107.8
156,2021-11-25,107.8
157,2021-11-24,107.8
158,2021-11-23,107.8
159,2021-11-22,107.8
160,2021-11-21,107.8
161,2021-11-20,107.8
162,2021-11-19,107.8
163,2021-11-18,107.8
164,2021-11-17,107.8
165,2021-11-16,107.8
166,2021-11-15,107.8
167,2021-11-14,107.8
168,2021-11-13,107.8
169,2021-11-12,107.8
170,2021-11-11,107.8
171,2021-11-10,107.8
172,2021-11-09,107.8
173,2021-11-08,107.8
174,2021-11-07,107.8
175,2021-11-06,107.8
176,2021-11-05,107.8
177,2021-11-04,113.14
178,2021-11-03,119.42
179,2021-11-02,119.42
180,2021-11-01,119.04
181,2021-10-31,118.6
182,2021-10-30,118.23
183,2021-10-29,117.87
184,2021-10-28,117.51
185,2021-10-27,117.15
186,2021-10-26,116.79
187,2021-10-25,116.79
188,2021-10-24,116.79
189,2021-10-23,116.43
190,2021-10-22,116.06
191,2021-10-21,115.7
192,2021-10-20,115.34
193,2021-10-19,114.98
194,2021-10-18,114.98
195,2021-10-15,114.25
196,2021-10-14,113.89
197,2021-10-13,113.53
198,2021-10-12,113.53
199,2021-10-11,113.53
200,2021-10-10,113.22
201,2021-10-08,112.6
202,2021-10-07,112.29
203,2021-10-06,111.98
204,2021-10-05,111.67
205,2021-10-04,111.41
206,2021-10-03,111.41
207,2021-10-02,111.15
208,2021-10-01,110.9
209,2021-09-30,110.65
210,2021-09-29,110.41
211,2021-09-28,110.41
212,2021-09-27,110.21
213,2021-09-26,110.21
214,2021-09-25,110.21
215,2021-09-24,110.21
216,2021-09-23,110.21
217,2021-09-22,110.21
218,2021-09-21,110.21
219,2021-09-20,110.21
220,2021-09-19,110.21
221,2021-09-18,110.21
222,2021-09-17,110.21
223,2021-09-16,110.21
224,2021-09-15,110.21
225,2021-09-14,110.21
226,2021-09-13,110.21
227,2021-09-12,110.21
228,2021-09-11,110.21
229,2021-09-10,110.21
230,2021-09-09,110.21
231,2021-09-08,110.21
232,2021-09-07,110.21
233,2021-09-06,110.21
234,2021-09-05,110.21
235,2021-09-03,110.38
236,2021-09-02,110.38
237,2021-09-01,110.38
238,2021-08-31,110.54
239,2021-08-30,110.54
240,2021-08-29,110.54
241,2021-08-28,110.54
242,2021-08-27,110.54
243,2021-08-26,110.54
244,2021-08-25,110.54
245,2021-08-24,110.54
246,2021-08-23,110.69
247,2021-08-22,110.69
248,2021-08-21,110.78
249,2021-08-20,110.78
250,2021-08-19,110.78
251,2021-08-18,110.77
252,2021-08-17,110.77
253,2021-08-16,110.77
254,2021-08-15,110.77
255,2021-08-14,110.77
256,2021-08-13,110.77
257,2021-08-12,110.77
258,2021-08-11,110.77
259,2021-08-10,110.77
260,2021-08-09,110.77
261,2021-08-08,110.77
262,2021-08-07,110.77
263,2021-08-06,110.77
264,2021-08-05,110.77
