,date,price
0,2022-05-01,118.83
1,2022-04-30,118.83
2,2022-04-29,118.83
3,2022-04-28,118.83
4,2022-04-27,118.83
5,2022-04-26,118.83
6,2022-04-25,118.83
7,2022-04-24,118.83
8,2022-04-23,118.83
9,2022-04-22,118.83
10,2022-04-21,118.83
11,2022-04-20,118.83
12,2022-04-19,118.83
13,2022-04-18,118.83
14,2022-04-17,118.83
15,2022-04-16,118.83
16,2022-04-15,118.83
17,2022-04-14,118.83
18,2022-04-13,118.83
19,2022-04-12,118.83
20,2022-04-11,118.83
21,2022-04-10,118.83
22,2022-04-09,118.83
23,2022-04-08,118.83
24,2022-04-07,118.83
25,2022-04-06,118.83
26,2022-04-05,117.95
27,2022-04-04,117.08
28,2022-04-03,116.64
29,2022-04-02,115.77
30,2022-04-01,114.9
31,2022-03-31,114.9
32,2022-03-30,114.02
33,2022-03-29,113.15
34,2022-03-28,112.27
35,2022-03-27,111.95
36,2022-03-26,111.4
37,2022-03-25,110.56
38,2022-03-24,109.68
39,2022-03-23,109.68
40,2022-03-22,108.81
41,2022-03-21,107.93
42,2022-03-20,107.93
43,2022-03-19,107.93
44,2022-03-18,107.93
45,2022-03-17,107.93
46,2022-03-16,107.93
47,2022-03-15,107.93
48,2022-03-14,107.93
49,2022-03-13,107.93
50,2022-03-12,107.93
51,2022-03-11,107.93
52,2022-03-10,107.93
53,2022-03-09,107.93
54,2022-03-08,107.93
55,2022-03-07,107.93
56,2022-03-06,107.93
57,2022-03-05,107.93
58,2022-03-04,107.93
59,2022-03-03,107.93
60,2022-03-02,107.93
61,2022-03-01,107.93
62,2022-02-28,107.93
63,2022-02-27,107.93
64,2022-02-26,107.93
65,2022-02-25,107.93
66,2022-02-24,107.93
67,2022-02-23,107.93
68,2022-02-22,107.93
69,2022-02-21,107.93
70,2022-02-20,107.93
71,2022-02-19,107.93
72,2022-02-18,107.93
73,2022-02-17,107.93
74,2022-02-16,107.93
75,2022-02-15,107.93
76,2022-02-14,107.93
77,2022-02-13,107.93
78,2022-02-12,107.93
79,2022-02-11,107.93
80,2022-02-10,107.93
81,2022-02-09,107.93
82,2022-02-08,107.93
83,2022-02-07,107.93
84,2022-02-06,107.93
85,2022-02-05,107.93
86,2022-02-04,107.93
87,2022-02-03,107.93
88,2022-02-02,107.93
89,2022-02-01,107.93
90,2022-01-31,107.93
91,2022-01-30,107.93
92,2022-01-29,107.93
93,2022-01-28,107.93
94,2022-01-27,107.93
95,2022-01-26,107.93
96,2022-01-25,107.93
97,2022-01-24,107.93
98,2022-01-23,107.93
99,2022-01-22,107.93
100,2022-01-21,107.93
101,2022-01-20,107.93
102,2022-01-19,107.93
103,2022-01-18,107.93
104,2022-01-17,107.93
105,2022-01-16,107.93
106,2022-01-15,107.93
107,2022-01-14,107.93
108,2022-01-13,107.93
109,2022-01-12,107.93
110,2022-01-11,107.93
111,2022-01-10,107.93
112,2022-01-09,107.93
113,2022-01-08,107.93
114,2022-01-07,107.93
115,2022-01-06,107.93
116,2022-01-05,107.93
117,2022-01-04,107.93
118,2022-01-03,107.93
119,2022-01-02,107.93
120,2022-01-01,107.93
121,2021-12-31,107.93
122,2021-12-30,107.93
123,2021-12-29,107.93
124,2021-12-28,107.93
125,2021-12-27,107.93
126,2021-12-26,107.93
127,2021-12-25,107.93
128,2021-12-24,107.93
129,2021-12-23,107.93
130,2021-12-22,107.93
131,2021-12-21,107.93
132,2021-12-20,107.93
133,2021-12-19,107.93
134,2021-12-18,107.93
135,2021-12-17,107.93
136,2021-12-16,107.93
137,2021-12-15,107.93
138,2021-12-14,107.93
139,2021-12-13,107.93
140,2021-12-12,107.93
141,2021-12-11,107.93
142,2021-12-10,107.93
143,2021-12-09,107.93
144,2021-12-08,107.93
145,2021-12-07,107.93
146,2021-12-06,107.93
147,2021-12-05,107.93
148,2021-12-04,107.93
149,2021-12-03,107.93
150,2021-12-02,107.93
151,2021-11-30,107.93
152,2021-11-29,107.93
153,2021-11-28,107.93
154,2021-11-27,107.93
155,2021-11-26,107.93
156,2021-11-25,107.93
157,2021-11-24,107.93
158,2021-11-23,107.93
159,2021-11-22,107.93
160,2021-11-21,107.93
161,2021-11-20,107.93
162,2021-11-19,107.93
163,2021-11-18,107.93
164,2021-11-17,107.93
165,2021-11-16,107.93
166,2021-11-15,107.93
167,2021-11-14,107.93
168,2021-11-13,107.93
169,2021-11-12,107.93
170,2021-11-11,107.93
171,2021-11-10,107.93
172,2021-11-09,107.93
173,2021-11-08,107.93
174,2021-11-07,107.93
175,2021-11-06,107.93
176,2021-11-05,107.93
177,2021-11-04,113.28
178,2021-11-03,119.56
179,2021-11-02,119.56
180,2021-11-01,119.18
181,2021-10-31,118.74
182,2021-10-30,118.37
183,2021-10-29,118.01
184,2021-10-28,117.65
185,2021-10-27,117.29
186,2021-10-26,116.93
187,2021-10-25,116.93
188,2021-10-24,116.93
