,date,price
0,2022-05-01,120.9
1,2022-04-30,120.9
2,2022-04-29,120.9
3,2022-04-28,120.9
4,2022-04-27,120.9
5,2022-04-26,120.9
6,2022-04-25,120.9
7,2022-04-24,120.9
8,2022-04-23,120.9
9,2022-04-22,120.9
10,2022-04-21,120.9
11,2022-04-20,120.9
12,2022-04-19,120.9
13,2022-04-18,120.9
14,2022-04-17,120.9
15,2022-04-16,120.9
16,2022-04-15,120.9
17,2022-04-14,120.9
18,2022-04-13,120.9
19,2022-04-12,120.9
20,2022-04-11,120.9
21,2022-04-10,120.9
22,2022-04-09,120.9
23,2022-04-08,120.9
24,2022-04-07,120.9
25,2022-04-06,120.9
26,2022-04-05,120.06
27,2022-04-04,119.23
28,2022-04-03,118.81
29,2022-04-02,117.97
30,2022-04-01,117.14
31,2022-03-31,117.14
32,2022-03-30,116.3
33,2022-03-29,115.47
34,2022-03-28,114.63
35,2022-03-27,114.32
36,2022-03-26,113.79
37,2022-03-25,112.99
38,2022-03-24,112.15
39,2022-03-23,112.15
40,2022-03-22,111.32
41,2022-03-21,110.47
42,2022-03-20,110.47
43,2022-03-19,110.47
44,2022-03-18,110.47
45,2022-03-17,110.47
46,2022-03-16,110.47
47,2022-03-15,110.47
48,2022-03-14,110.47
49,2022-03-13,110.47
50,2022-03-12,110.47
51,2022-03-11,110.47
52,2022-03-10,110.47
53,2022-03-09,110.47
54,2022-03-08,110.47
55,2022-03-07,110.47
56,2022-03-06,110.47
57,2022-03-05,110.47
58,2022-03-04,110.47
59,2022-03-03,110.47
60,2022-03-02,110.47
61,2022-03-01,110.47
62,2022-02-28,110.47
63,2022-02-27,110.47
64,2022-02-26,110.47
65,2022-02-25,110.47
66,2022-02-24,110.47
67,2022-02-23,110.47
68,2022-02-22,110.47
69,2022-02-21,110.47
70,2022-02-20,110.47
71,2022-02-19,110.47
72,2022-02-18,110.47
73,2022-02-17,110.47
74,2022-02-16,110.47
75,2022-02-15,110.47
76,2022-02-14,110.47
77,2022-02-13,110.47
78,2022-02-12,110.47
79,2022-02-11,110.47
80,2022-02-10,110.47
81,2022-02-09,110.47
82,2022-02-08,110.47
83,2022-02-07,110.47
84,2022-02-06,110.47
85,2022-02-05,110.47
86,2022-02-04,110.47
87,2022-02-03,110.47
88,2022-02-02,110.47
89,2022-02-01,110.47
90,2022-01-31,110.47
91,2022-01-30,110.47
92,2022-01-29,110.47
93,2022-01-28,110.47
94,2022-01-27,110.47
95,2022-01-26,110.47
96,2022-01-25,110.47
97,2022-01-24,110.47
98,2022-01-23,110.47
99,2022-01-22,110.47
100,2022-01-21,110.47
101,2022-01-20,110.47
102,2022-01-19,110.47
103,2022-01-18,110.47
104,2022-01-17,110.47
105,2022-01-16,110.47
106,2022-01-15,110.47
107,2022-01-14,110.47
108,2022-01-13,110.47
109,2022-01-12,110.47
110,2022-01-11,110.47
111,2022-01-10,110.47
112,2022-01-09,110.47
113,2022-01-08,110.47
114,2022-01-07,110.47
115,2022-01-06,110.47
116,2022-01-05,110.47
117,2022-01-04,110.47
118,2022-01-03,110.47
119,2022-01-02,110.47
120,2022-01-01,110.47
121,2021-12-31,110.47
122,2021-12-30,110.47
123,2021-12-29,110.47
124,2021-12-28,110.47
125,2021-12-27,110.47
126,2021-12-26,110.47
127,2021-12-25,110.47
128,2021-12-24,110.47
129,2021-12-23,110.47
130,2021-12-22,110.47
131,2021-12-21,110.47
132,2021-12-20,110.47
133,2021-12-19,110.47
134,2021-12-18,110.47
135,2021-12-17,110.47
136,2021-12-16,110.47
137,2021-12-15,110.47
138,2021-12-14,110.47
139,2021-12-13,110.47
140,2021-12-12,110.47
141,2021-12-11,110.47
142,2021-12-10,110.47
143,2021-12-09,110.47
144,2021-12-08,110.47
145,2021-12-07,110.47
146,2021-12-06,110.47
147,2021-12-05,110.47
148,2021-12-04,110.47
149,2021-12-03,110.47
150,2021-12-02,110.47
151,2021-11-30,110.47
152,2021-11-29,110.47
153,2021-11-28,110.47
154,2021-11-27,110.47
155,2021-11-26,110.47
156,2021-11-25,110.47
157,2021-11-24,110.47
158,2021-11-23,110.47
159,2021-11-22,110.47
160,2021-11-21,110.47
161,2021-11-20,110.47
162,2021-11-19,110.47
163,2021-11-18,110.47
164,2021-11-17,110.47
165,2021-11-16,110.47
166,2021-11-15,110.47
167,2021-11-14,110.47
168,2021-11-13,110.47
169,2021-11-12,110.47
170,2021-11-11,110.47
171,2021-11-10,110.47
172,2021-11-09,110.47
173,2021-11-08,110.47
174,2021-11-07,110.47
175,2021-11-06,110.47
176,2021-11-05,110.47
177,2021-11-04,110.47
178,2021-11-03,116.29
179,2021-11-02,116.29
180,2021-11-01,115.94
181,2021-10-31,115.53
182,2021-10-30,115.19
183,2021-10-29,114.85
184,2021-10-28,114.52
185,2021-10-27,114.18
186,2021-10-26,113.85
187,2021-10-25,113.85
188,2021-10-24,113.85
189,2021-10-23,113.51
190,2021-10-22,113.18
191,2021-10-21,112.84
192,2021-10-20,112.5
193,2021-10-19,112.17
194,2021-10-18,112.17
195,2021-10-15,111.5
196,2021-10-14,111.16
197,2021-10-13,110.83
198,2021-10-12,110.83
199,2021-10-11,110.83
200,2021-10-10,110.54
201,2021-10-08,109.96
202,2021-10-07,109.68
203,2021-10-06,109.39
204,2021-10-05,109.1
205,2021-10-04,108.86
206,2021-10-03,108.86
207,2021-10-02,108.62
208,2021-10-01,108.38
209,2021-09-30,108.15
210,2021-09-29,107.93
211,2021-09-28,107.93
212,2021-09-27,107.75
213,2021-09-26,107.75
214,2021-09-25,107.75
215,2021-09-24,107.75
216,2021-09-23,107.75
217,2021-09-22,107.75
218,2021-09-21,107.75
219,2021-09-20,107.75
220,2021-09-19,107.75
221,2021-09-18,107.75
222,2021-09-17,107.75
