,date,price
0,2022-05-01,119.04
1,2022-04-30,119.04
2,2022-04-29,119.04
3,2022-04-28,119.04
4,2022-04-27,119.04
5,2022-04-26,119.04
6,2022-04-25,119.04
7,2022-04-24,119.04
8,2022-04-23,119.04
9,2022-04-22,119.04
10,2022-04-21,119.04
11,2022-04-20,119.04
12,2022-04-19,119.04
13,2022-04-18,119.04
14,2022-04-17,119.04
15,2022-04-16,119.04
16,2022-04-15,119.04
17,2022-04-14,119.04
18,2022-04-13,119.04
19,2022-04-12,119.04
20,2022-04-11,119.04
21,2022-04-10,119.04
22,2022-04-09,119.04
23,2022-04-08,119.04
24,2022-04-07,119.04
25,2022-04-06,119.04
26,2022-04-05,118.16
27,2022-04-04,117.29
28,2022-04-03,116.85
29,2022-04-02,115.98
30,2022-04-01,115.11
31,2022-03-31,115.11
32,2022-03-30,114.23
33,2022-03-29,113.36
34,2022-03-28,112.48
35,2022-03-27,112.16
36,2022-03-26,111.61
37,2022-03-25,110.78
38,2022-03-24,109.91
39,2022-03-23,109.91
40,2022-03-22,109.03
41,2022-03-21,108.16
42,2022-03-20,108.16
43,2022-03-19,108.16
44,2022-03-18,108.16
45,2022-03-17,108.16
46,2022-03-16,108.16
47,2022-03-15,108.16
48,2022-03-14,108.16
49,2022-03-13,108.16
50,2022-03-12,108.16
51,2022-03-11,108.16
52,2022-03-10,108.16
53,2022-03-09,108.16
54,2022-03-08,108.16
55,2022-03-07,108.16
56,2022-03-06,108.16
57,2022-03-05,108.16
58,2022-03-04,108.16
59,2022-03-03,108.16
60,2022-03-02,108.16
61,2022-03-01,108.16
62,2022-02-28,108.16
63,2022-02-27,108.16
64,2022-02-26,108.16
65,2022-02-25,108.16
66,2022-02-24,108.16
67,2022-02-23,108.16
68,2022-02-22,108.16
69,2022-02-21,108.16
70,2022-02-20,108.16
71,2022-02-19,108.16
72,2022-02-18,108.16
73,2022-02-17,108.16
74,2022-02-16,108.16
75,2022-02-15,108.16
76,2022-02-14,108.16
77,2022-02-13,108.16
78,2022-02-12,108.16
79,2022-02-11,108.16
80,2022-02-10,108.16
81,2022-02-09,108.16
82,2022-02-08,108.16
83,2022-02-07,108.16
84,2022-02-06,108.16
85,2022-02-05,108.16
86,2022-02-04,108.16
