,date,price
0,2022-05-01,118.63
1,2022-04-30,118.63
2,2022-04-29,118.63
3,2022-04-28,118.63
4,2022-04-27,118.63
5,2022-04-26,118.63
6,2022-04-25,118.63
7,2022-04-24,118.63
8,2022-04-23,118.63
9,2022-04-22,118.63
10,2022-04-21,118.63
11,2022-04-20,118.63
12,2022-04-19,118.63
13,2022-04-18,118.63
14,2022-04-17,118.63
15,2022-04-16,118.63
16,2022-04-15,118.63
17,2022-04-14,118.63
18,2022-04-13,118.63
19,2022-04-12,118.63
20,2022-04-11,118.63
21,2022-04-10,118.63
22,2022-04-09,118.63
23,2022-04-08,118.63
24,2022-04-07,118.63
25,2022-04-06,118.63
26,2022-04-05,117.75
27,2022-04-04,116.88
28,2022-04-03,116.44
29,2022-04-02,115.57
30,2022-04-01,114.7
31,2022-03-31,114.7
32,2022-03-30,113.82
33,2022-03-29,112.95
34,2022-03-28,112.07
35,2022-03-27,111.75
36,2022-03-26,111.2
37,2022-03-25,110.35
38,2022-03-24,109.48
39,2022-03-23,109.48
40,2022-03-22,108.6
41,2022-03-21,107.73
42,2022-03-20,107.73
43,2022-03-19,107.73
44,2022-03-18,107.73
45,2022-03-17,107.73
46,2022-03-16,107.73
47,2022-03-15,107.73
48,2022-03-14,107.73
49,2022-03-13,107.73
50,2022-03-12,107.73
51,2022-03-11,107.73
52,2022-03-10,107.73
53,2022-03-09,107.73
54,2022-03-08,107.73
55,2022-03-07,107.73
56,2022-03-06,107.73
57,2022-03-05,107.73
58,2022-03-04,107.73
59,2022-03-03,107.73
60,2022-03-02,107.73
61,2022-03-01,107.73
62,2022-02-28,107.73
63,2022-02-27,107.73
64,2022-02-26,107.73
65,2022-02-25,107.73
66,2022-02-24,107.73
67,2022-02-23,107.73
68,2022-02-22,107.73
69,2022-02-21,107.73
70,2022-02-20,107.73
71,2022-02-19,107.73
72,2022-02-18,107.73
73,2022-02-17,107.73
74,2022-02-16,107.73
75,2022-02-15,107.73
76,2022-02-14,107.73
77,2022-02-13,107.73
78,2022-02-12,107.73
79,2022-02-11,107.73
80,2022-02-10,107.73
81,2022-02-09,107.73
82,2022-02-08,107.73
83,2022-02-07,107.73
84,2022-02-06,107.73
85,2022-02-05,107.73
86,2022-02-04,107.73
87,2022-02-03,107.73
88,2022-02-02,107.73
89,2022-02-01,107.73
90,2022-01-31,107.73
91,2022-01-30,107.73
92,2022-01-29,107.73
93,2022-01-28,107.73
94,2022-01-27,107.73
95,2022-01-26,107.73
96,2022-01-25,107.73
97,2022-01-24,107.73
98,2022-01-23,107.73
99,2022-01-22,107.73
100,2022-01-21,107.73
101,2022-01-20,107.73
102,2022-01-19,107.73
103,2022-01-18,107.73
104,2022-01-17,107.73
105,2022-01-16,107.73
106,2022-01-15,107.73
107,2022-01-14,107.73
108,2022-01-13,107.73
109,2022-01-12,107.73
110,2022-01-11,107.73
111,2022-01-10,107.73
112,2022-01-09,107.73
113,2022-01-08,107.73
114,2022-01-07,107.73
115,2022-01-06,107.73
116,2022-01-05,107.73
117,2022-01-04,107.73
118,2022-01-03,107.73
119,2022-01-02,107.73
120,2022-01-01,107.73
121,2021-12-31,107.73
122,2021-12-30,107.73
123,2021-12-29,107.73
124,2021-12-28,107.73
125,2021-12-27,107.73
126,2021-12-26,107.73
127,2021-12-25,107.73
128,2021-12-24,107.73
129,2021-12-23,107.73
130,2021-12-22,107.73
131,2021-12-21,107.73
132,2021-12-20,107.73
133,2021-12-19,107.73
134,2021-12-18,107.73
135,2021-12-17,107.73
136,2021-12-16,107.73
137,2021-12-15,107.73
138,2021-12-14,107.73
139,2021-12-13,107.73
140,2021-12-12,107.73
141,2021-12-11,107.73
142,2021-12-10,107.73
143,2021-12-09,107.73
144,2021-12-08,107.73
145,2021-12-07,107.73
