,date,price
0,2022-05-01,118.11
1,2022-04-30,118.11
2,2022-04-29,118.11
3,2022-04-28,118.11
4,2022-04-27,118.11
5,2022-04-26,118.11
6,2022-04-25,118.11
7,2022-04-24,118.11
8,2022-04-23,118.11
9,2022-04-22,118.11
10,2022-04-21,118.11
11,2022-04-20,118.11
12,2022-04-19,118.11
13,2022-04-18,118.11
14,2022-04-17,118.11
15,2022-04-16,118.11
16,2022-04-15,118.11
17,2022-04-14,118.11
18,2022-04-13,118.11
19,2022-04-12,118.11
20,2022-04-11,118.11
21,2022-04-10,118.11
22,2022-04-09,118.11
23,2022-04-08,118.11
24,2022-04-07,118.11
25,2022-04-06,118.11
26,2022-04-05,117.23
27,2022-04-04,116.36
28,2022-04-03,115.92
29,2022-04-02,115.05
30,2022-04-01,114.18
31,2022-03-31,114.18
32,2022-03-30,113.3
33,2022-03-29,112.43
34,2022-03-28,111.56
35,2022-03-27,111.23
36,2022-03-26,110.68
37,2022-03-25,109.81
38,2022-03-24,108.94
39,2022-03-23,108.94
40,2022-03-22,108.06
41,2022-03-21,107.19
42,2022-03-20,107.19
43,2022-03-19,107.19
44,2022-03-18,107.19
45,2022-03-17,107.19
46,2022-03-16,107.19
47,2022-03-15,107.19
48,2022-03-14,107.19
49,2022-03-13,107.19
50,2022-03-12,107.19
51,2022-03-11,107.19
52,2022-03-10,107.19
53,2022-03-09,107.19
54,2022-03-08,107.19
55,2022-03-07,107.19
56,2022-03-06,107.19
57,2022-03-05,107.19
58,2022-03-04,107.19
59,2022-03-03,107.19
60,2022-03-02,107.19
61,2022-03-01,107.19
62,2022-02-28,107.19
63,2022-02-27,107.19
64,2022-02-26,107.19
65,2022-02-25,107.19
66,2022-02-24,107.19
67,2022-02-23,107.19
68,2022-02-22,107.19
69,2022-02-21,107.19
70,2022-02-20,107.19
71,2022-02-19,107.19
72,2022-02-18,107.19
73,2022-02-17,107.19
74,2022-02-16,107.19
75,2022-02-15,107.19
76,2022-02-14,107.19
77,2022-02-13,107.19
78,2022-02-12,107.19
79,2022-02-11,107.19
80,2022-02-10,107.19
81,2022-02-09,107.19
82,2022-02-08,107.19
83,2022-02-07,107.19
84,2022-02-06,107.19
85,2022-02-05,107.19
86,2022-02-04,107.19
87,2022-02-03,107.19
88,2022-02-02,107.19
89,2022-02-01,107.19
90,2022-01-31,107.19
91,2022-01-30,107.19
92,2022-01-29,107.19
93,2022-01-28,107.19
94,2022-01-27,107.19
95,2022-01-26,107.19
96,2022-01-25,107.19
97,2022-01-24,107.19
98,2022-01-23,107.19
99,2022-01-22,107.19
100,2022-01-21,107.19
101,2022-01-20,107.19
102,2022-01-19,107.19
103,2022-01-18,107.19
104,2022-01-17,107.19
105,2022-01-16,107.19
106,2022-01-15,107.19
107,2022-01-14,107.19
108,2022-01-13,107.19
109,2022-01-12,107.19
110,2022-01-11,107.19
111,2022-01-10,107.19
112,2022-01-09,107.19
113,2022-01-08,107.19
114,2022-01-07,107.19
115,2022-01-06,107.19
116,2022-01-05,107.19
117,2022-01-04,107.19
118,2022-01-03,107.19
119,2022-01-02,107.19
120,2022-01-01,107.19
121,2021-12-31,107.19
122,2021-12-30,107.19
123,2021-12-29,107.19
124,2021-12-28,107.19
125,2021-12-27,107.19
126,2021-12-26,107.19
127,2021-12-25,107.19
128,2021-12-24,107.19
129,2021-12-23,107.19
130,2021-12-22,107.19
131,2021-12-21,107.19
132,2021-12-20,107.19
133,2021-12-19,107.19
134,2021-12-18,107.19
135,2021-12-17,107.19
136,2021-12-16,107.19
137,2021-12-15,107.19
138,2021-12-14,107.19
139,2021-12-13,107.19
140,2021-12-12,107.19
141,2021-12-11,107.19
142,2021-12-10,107.19
143,2021-12-09,107.19
144,2021-12-08,107.19
145,2021-12-07,107.19
146,2021-12-06,107.19
147,2021-12-05,107.19
148,2021-12-04,107.19
149,2021-12-03,107.19
150,2021-12-02,107.19
151,2021-11-30,107.19
152,2021-11-29,107.19
153,2021-11-28,107.19
154,2021-11-27,107.19
155,2021-11-26,107.19
156,2021-11-25,107.19
157,2021-11-24,107.19
158,2021-11-23,107.19
159,2021-11-22,107.19
160,2021-11-21,107.19
161,2021-11-20,107.19
162,2021-11-19,107.19
163,2021-11-18,107.19
164,2021-11-17,107.19
165,2021-11-16,107.19
166,2021-11-15,107.19
167,2021-11-14,107.19
168,2021-11-13,107.19
169,2021-11-12,107.19
170,2021-11-11,107.19
171,2021-11-10,107.19
172,2021-11-09,107.19
173,2021-11-08,107.19
174,2021-11-07,107.19
175,2021-11-06,107.19
176,2021-11-05,107.19
177,2021-11-04,112.52
178,2021-11-03,118.79
179,2021-11-02,118.79
180,2021-11-01,118.41
181,2021-10-31,118.02
182,2021-10-30,117.66
183,2021-10-29,117.3
184,2021-10-28,116.93
185,2021-10-27,116.57
186,2021-10-26,116.21
187,2021-10-25,116.21
188,2021-10-24,116.21
189,2021-10-23,115.85
190,2021-10-22,115.49
191,2021-10-21,115.12
192,2021-10-20,114.76
193,2021-10-19,114.4
194,2021-10-18,114.4
195,2021-10-15,113.68
196,2021-10-14,113.32
197,2021-10-13,112.95
198,2021-10-12,112.95
199,2021-10-11,112.95
200,2021-10-10,112.64
201,2021-10-08,112.02
202,2021-10-07,111.71
203,2021-10-06,111.4
204,2021-10-05,111.09
205,2021-10-04,110.83
206,2021-10-03,110.83
207,2021-10-02,110.58
208,2021-10-01,110.32
209,2021-09-30,110.07
210,2021-09-29,109.83
211,2021-09-28,109.83
212,2021-09-27,109.63
213,2021-09-26,109.63
214,2021-09-25,109.63
215,2021-09-24,109.63
216,2021-09-23,109.63
217,2021-09-22,109.63
218,2021-09-21,109.63
219,2021-09-20,109.63
220,2021-09-19,109.63
221,2021-09-18,109.63
222,2021-09-17,109.63
223,2021-09-16,109.63
224,2021-09-15,109.63
225,2021-09-14,109.63
226,2021-09-13,109.63
227,2021-09-12,109.63
228,2021-09-11,109.63
229,2021-09-10,109.63
230,2021-09-09,109.63
231,2021-09-08,109.63
232,2021-09-07,109.63
233,2021-09-06,109.63
234,2021-09-05,109.63
235,2021-09-03,109.8
236,2021-09-02,109.8
237,2021-09-01,109.8
238,2021-08-31,109.97
239,2021-08-30,109.97
240,2021-08-29,109.97
241,2021-08-28,109.97
242,2021-08-27,109.97
243,2021-08-26,109.97
244,2021-08-25,109.97
245,2021-08-24,109.97
246,2021-08-23,110.11
247,2021-08-22,110.11
248,2021-08-21,110.28
249,2021-08-20,110.28
250,2021-08-19,110.28
251,2021-08-18,110.29
252,2021-08-17,110.29
253,2021-08-16,110.29
254,2021-08-15,110.29
255,2021-08-14,110.29
256,2021-08-13,110.29
257,2021-08-12,110.29
258,2021-08-11,110.29
259,2021-08-10,110.29
260,2021-08-09,110.29
261,2021-08-08,110.29
262,2021-08-07,110.29
263,2021-08-06,110.29
264,2021-08-05,110.29
265,2021-08-04,110.29
266,2021-08-03,110.29
267,2021-08-02,110.29
268,2021-08-01,110.29
269,2021-07-31,110.29
270,2021-07-30,110.29
271,2021-07-29,110.29
272,2021-07-28,110.29
273,2021-07-27,110.29
274,2021-07-26,110.29
275,2021-07-25,110.29
276,2021-07-24,110.29
277,2021-07-23,110.29
278,2021-07-22,110.29
279,2021-07-21,110.29
280,2021-07-20,110.29
281,2021-07-19,110.29
282,2021-07-18,110.29
283,2021-07-17,110.29
284,2021-07-16,109.98
285,2021-07-15,109.98
286,2021-07-14,109.62
287,2021-07-13,109.62
288,2021-07-12,109.62
289,2021-07-11,109.33
290,2021-07-10,109.33
291,2021-07-09,108.97
292,2021-07-08,108.97
293,2021-07-07,108.61
294,2021-07-06,108.25
295,2021-07-05,108.25
296,2021-07-04,107.88
297,2021-07-03,107.52
298,2021-07-02,107.52
299,2021-07-01,107.16
300,2021-06-30,107.16
301,2021-06-29,107.16
302,2021-06-28,106.8
303,2021-06-27,106.8
304,2021-06-26,106.44
305,2021-06-25,106.08
306,2021-06-24,106.08
307,2021-06-23,105.81
308,2021-06-22,105.81
309,2021-06-21,105.52
310,2021-06-20,105.52
311,2021-06-19,105.22
312,2021-06-18,105.22
313,2021-06-17,104.94
314,2021-06-16,104.94
315,2021-06-15,104.68
316,2021-06-14,104.68
317,2021-06-13,104.38
318,2021-06-12,104.38
319,2021-06-11,104.1
320,2021-06-10,103.8
321,2021-06-09,103.8
322,2021-06-08,103.54
323,2021-06-07,103.54
324,2021-06-06,103.25
325,2021-06-05,102.97
326,2021-06-04,102.97
327,2021-06-03,102.7
328,2021-06-02,102.7
329,2021-06-01,102.7
330,2021-05-31,102.43
331,2021-05-30,102.13
332,2021-05-29,102.13
333,2021-05-28,101.86
334,2021-05-27,101.86
335,2021-05-26,101.61
336,2021-05-25,101.61
337,2021-05-24,101.37
338,2021-05-23,101.37
339,2021-05-22,101.2
340,2021-05-21,101.2
341,2021-05-20,101
342,2021-05-19,101
343,2021-05-18,101
344,2021-05-17,100.72
345,2021-05-16,100.72
346,2021-05-15,100.47
347,2021-05-14,100.47
348,2021-05-13,100.17
349,2021-05-12,100.17
350,2021-05-11,99.92
351,2021-05-10,99.64
352,2021-05-09,99.37
353,2021-05-08,99.37
354,2021-05-07,99.37
355,2021-05-06,99.08
356,2021-05-05,98.82
357,2021-05-04,98.62
358,2021-05-03,98.44
359,2021-05-02,98.44
360,2021-05-01,98.44
361,2021-04-30,98.44
362,2021-04-29,98.44
363,2021-04-28,98.44
364,2021-04-27,98.44
