,date,price
0,2022-05-01,119.11
1,2022-04-30,119.11
2,2022-04-29,119.11
3,2022-04-28,119.11
4,2022-04-27,119.11
5,2022-04-26,119.11
6,2022-04-25,119.11
7,2022-04-24,119.11
8,2022-04-23,119.11
9,2022-04-22,119.11
10,2022-04-21,119.11
11,2022-04-20,119.11
12,2022-04-19,119.11
13,2022-04-18,119.11
14,2022-04-17,119.11
15,2022-04-16,119.11
16,2022-04-15,119.11
17,2022-04-14,119.11
18,2022-04-13,119.11
19,2022-04-12,119.11
20,2022-04-11,119.11
21,2022-04-10,119.11
22,2022-04-09,119.11
23,2022-04-08,119.11
24,2022-04-07,119.11
25,2022-04-06,119.11
26,2022-04-05,118.23
27,2022-04-04,117.36
28,2022-04-03,116.92
29,2022-04-02,116.05
30,2022-04-01,115.17
31,2022-03-31,115.17
32,2022-03-30,114.3
33,2022-03-29,113.43
34,2022-03-28,112.55
35,2022-03-27,112.22
36,2022-03-26,111.68
37,2022-03-25,110.84
38,2022-03-24,109.97
39,2022-03-23,109.97
40,2022-03-22,109.1
41,2022-03-21,108.22
42,2022-03-20,108.22
43,2022-03-19,108.22
44,2022-03-18,108.22
45,2022-03-17,108.22
46,2022-03-16,108.22
47,2022-03-15,108.22
48,2022-03-14,108.22
49,2022-03-13,108.22
50,2022-03-12,108.22
51,2022-03-11,108.22
52,2022-03-10,108.22
53,2022-03-09,108.22
54,2022-03-08,108.22
55,2022-03-07,108.22
56,2022-03-06,108.22
57,2022-03-05,108.22
58,2022-03-04,108.22
59,2022-03-03,108.22
60,2022-03-02,108.22
61,2022-03-01,108.22
62,2022-02-28,108.22
63,2022-02-27,108.22
64,2022-02-26,108.22
65,2022-02-25,108.22
66,2022-02-24,108.22
67,2022-02-23,108.22
68,2022-02-22,108.22
69,2022-02-21,108.22
70,2022-02-20,108.22
71,2022-02-19,108.22
72,2022-02-18,108.22
73,2022-02-17,108.22
74,2022-02-16,108.22
75,2022-02-15,108.22
76,2022-02-14,108.22
77,2022-02-13,108.22
78,2022-02-12,108.22
79,2022-02-11,108.22
80,2022-02-10,108.22
81,2022-02-09,108.22
82,2022-02-08,108.22
83,2022-02-07,108.22
84,2022-02-06,108.22
85,2022-02-05,108.22
86,2022-02-04,108.22
87,2022-02-03,108.22
88,2022-02-02,108.22
89,2022-02-01,108.22
90,2022-01-31,108.22
91,2022-01-30,108.22
92,2022-01-29,108.22
93,2022-01-28,108.22
94,2022-01-27,108.22
95,2022-01-26,108.22
96,2022-01-25,108.22
97,2022-01-24,108.22
98,2022-01-23,108.22
99,2022-01-22,108.22
100,2022-01-21,108.22
101,2022-01-20,108.22
102,2022-01-19,108.22
103,2022-01-18,108.22
104,2022-01-17,108.22
105,2022-01-16,108.22
106,2022-01-15,108.22
107,2022-01-14,108.22
108,2022-01-13,108.22
109,2022-01-12,108.22
110,2022-01-11,108.22
111,2022-01-10,108.22
112,2022-01-09,108.22
113,2022-01-08,108.22
114,2022-01-07,108.22
115,2022-01-06,108.22
116,2022-01-05,108.22
117,2022-01-04,108.22
118,2022-01-03,108.22
119,2022-01-02,108.22
120,2022-01-01,108.22
121,2021-12-31,108.22
122,2021-12-30,108.22
123,2021-12-29,108.22
124,2021-12-28,108.22
125,2021-12-27,108.22
126,2021-12-26,108.22
127,2021-12-25,108.22
128,2021-12-24,108.22
129,2021-12-23,108.22
130,2021-12-22,108.22
131,2021-12-21,108.22
132,2021-12-20,108.22
133,2021-12-19,108.22
134,2021-12-18,108.22
135,2021-12-17,108.22
136,2021-12-16,108.22
137,2021-12-15,108.22
138,2021-12-14,108.22
139,2021-12-13,108.22
140,2021-12-12,108.22
141,2021-12-11,108.22
142,2021-12-10,108.22
143,2021-12-09,108.22
144,2021-12-08,108.22
145,2021-12-07,108.22
146,2021-12-06,108.22
147,2021-12-05,108.22
148,2021-12-04,108.22
149,2021-12-03,108.22
150,2021-12-02,108.22
151,2021-11-30,108.22
152,2021-11-29,108.22
153,2021-11-28,108.22
154,2021-11-27,108.22
155,2021-11-26,108.22
156,2021-11-25,108.22
157,2021-11-24,108.22
158,2021-11-23,108.22
159,2021-11-22,108.22
160,2021-11-21,108.22
161,2021-11-20,108.22
162,2021-11-19,108.22
163,2021-11-18,108.22
164,2021-11-17,108.22
165,2021-11-16,108.22
166,2021-11-15,108.22
167,2021-11-14,108.22
168,2021-11-13,108.22
169,2021-11-12,108.22
170,2021-11-11,108.22
171,2021-11-10,108.22
172,2021-11-09,108.22
173,2021-11-08,108.22
174,2021-11-07,108.22
175,2021-11-06,108.22
176,2021-11-05,108.22
177,2021-11-04,113.58
178,2021-11-03,119.85
179,2021-11-02,119.85
180,2021-11-01,119.47
181,2021-10-31,119.02
182,2021-10-30,118.65
183,2021-10-29,118.29
184,2021-10-28,117.93
185,2021-10-27,117.57
186,2021-10-26,117.21
187,2021-10-25,117.21
188,2021-10-24,117.21
189,2021-10-23,116.85
190,2021-10-22,116.48
191,2021-10-21,116.12
192,2021-10-20,115.76
193,2021-10-19,115.4
194,2021-10-18,115.4
195,2021-10-15,114.67
196,2021-10-14,114.31
197,2021-10-13,113.95
198,2021-10-12,113.95
199,2021-10-11,113.95
