,date,price
0,2022-05-01,119.6
1,2022-04-30,119.6
2,2022-04-29,119.6
3,2022-04-28,119.6
4,2022-04-27,119.6
5,2022-04-26,119.6
6,2022-04-25,119.6
7,2022-04-24,119.6
8,2022-04-23,119.6
9,2022-04-22,119.6
10,2022-04-21,119.6
11,2022-04-20,119.6
12,2022-04-19,119.6
13,2022-04-18,119.6
14,2022-04-17,119.6
15,2022-04-16,119.6
16,2022-04-15,119.6
17,2022-04-14,119.6
18,2022-04-13,119.6
19,2022-04-12,119.6
20,2022-04-11,119.6
21,2022-04-10,119.6
22,2022-04-09,119.6
23,2022-04-08,119.6
24,2022-04-07,119.6
25,2022-04-06,119.6
26,2022-04-05,118.73
27,2022-04-04,117.85
28,2022-04-03,117.41
29,2022-04-02,116.54
30,2022-04-01,115.67
31,2022-03-31,115.67
32,2022-03-30,114.79
33,2022-03-29,113.92
34,2022-03-28,113.05
35,2022-03-27,112.72
36,2022-03-26,112.17
37,2022-03-25,111.35
38,2022-03-24,110.48
39,2022-03-23,110.48
40,2022-03-22,109.6
41,2022-03-21,108.73
42,2022-03-20,108.73
43,2022-03-19,108.73
44,2022-03-18,108.73
45,2022-03-17,108.73
46,2022-03-16,108.73
47,2022-03-15,108.73
48,2022-03-14,108.73
49,2022-03-13,108.73
50,2022-03-12,108.73
51,2022-03-11,108.73
52,2022-03-10,108.73
53,2022-03-09,108.73
54,2022-03-08,108.73
55,2022-03-07,108.73
56,2022-03-06,108.73
57,2022-03-05,108.73
58,2022-03-04,108.73
59,2022-03-03,108.73
60,2022-03-02,108.73
61,2022-03-01,108.73
62,2022-02-28,108.73
63,2022-02-27,108.73
64,2022-02-26,108.73
65,2022-02-25,108.73
66,2022-02-24,108.73
67,2022-02-23,108.73
68,2022-02-22,108.73
69,2022-02-21,108.73
70,2022-02-20,108.73
71,2022-02-19,108.73
72,2022-02-18,108.73
73,2022-02-17,108.73
74,2022-02-16,108.73
75,2022-02-15,108.73
76,2022-02-14,108.73
77,2022-02-13,108.73
78,2022-02-12,108.73
79,2022-02-11,108.73
80,2022-02-10,108.73
81,2022-02-09,108.73
82,2022-02-08,108.73
83,2022-02-07,108.73
84,2022-02-06,108.73
85,2022-02-05,108.73
86,2022-02-04,108.73
87,2022-02-03,108.73
88,2022-02-02,108.73
89,2022-02-01,108.73
90,2022-01-31,108.73
91,2022-01-30,108.73
92,2022-01-29,108.73
93,2022-01-28,108.73
94,2022-01-27,108.73
95,2022-01-26,108.73
96,2022-01-25,108.73
97,2022-01-24,108.73
98,2022-01-23,108.73
99,2022-01-22,108.73
100,2022-01-21,108.73
101,2022-01-20,108.73
102,2022-01-19,108.73
103,2022-01-18,108.73
104,2022-01-17,108.73
105,2022-01-16,108.73
106,2022-01-15,108.73
107,2022-01-14,108.73
108,2022-01-13,108.73
109,2022-01-12,108.73
110,2022-01-11,108.73
111,2022-01-10,108.73
112,2022-01-09,108.73
113,2022-01-08,108.73
114,2022-01-07,108.73
115,2022-01-06,108.73
116,2022-01-05,108.73
117,2022-01-04,108.73
118,2022-01-03,108.73
119,2022-01-02,108.73
120,2022-01-01,108.73
121,2021-12-31,108.73
122,2021-12-30,108.73
123,2021-12-29,108.73
124,2021-12-28,108.73
125,2021-12-27,108.73
126,2021-12-26,108.73
127,2021-12-25,108.73
128,2021-12-24,108.73
129,2021-12-23,108.73
130,2021-12-22,108.73
131,2021-12-21,108.73
132,2021-12-20,108.73
133,2021-12-19,108.73
134,2021-12-18,108.73
135,2021-12-17,108.73
136,2021-12-16,108.73
137,2021-12-15,108.73
138,2021-12-14,108.73
139,2021-12-13,108.73
140,2021-12-12,108.73
141,2021-12-11,108.73
142,2021-12-10,108.73
143,2021-12-09,108.73
144,2021-12-08,108.73
145,2021-12-07,108.73
146,2021-12-06,108.73
147,2021-12-05,108.73
148,2021-12-04,108.73
149,2021-12-03,108.73
150,2021-12-02,108.73
151,2021-11-30,108.73
152,2021-11-29,108.73
153,2021-11-28,108.73
154,2021-11-27,108.73
155,2021-11-26,108.73
156,2021-11-25,108.73
157,2021-11-24,108.73
158,2021-11-23,108.73
159,2021-11-22,108.73
160,2021-11-21,108.73
161,2021-11-20,108.73
162,2021-11-19,108.73
163,2021-11-18,108.73
164,2021-11-17,108.73
165,2021-11-16,108.73
166,2021-11-15,108.73
167,2021-11-14,108.73
168,2021-11-13,108.73
169,2021-11-12,108.73
170,2021-11-11,108.73
171,2021-11-10,108.73
172,2021-11-09,108.73
173,2021-11-08,108.73
174,2021-11-07,108.73
175,2021-11-06,108.73
176,2021-11-05,108.73
177,2021-11-04,114.1
178,2021-11-03,120.38
179,2021-11-02,120.38
180,2021-11-01,119.99
181,2021-10-31,119.51
182,2021-10-30,119.15
183,2021-10-29,118.79
184,2021-10-28,118.43
185,2021-10-27,118.07
186,2021-10-26,117.71
187,2021-10-25,117.71
188,2021-10-24,117.71
189,2021-10-23,117.34
190,2021-10-22,116.98
191,2021-10-21,116.62
192,2021-10-20,116.26
193,2021-10-19,115.9
194,2021-10-18,115.9
195,2021-10-15,115.17
196,2021-10-14,114.81
197,2021-10-13,114.45
198,2021-10-12,114.45
199,2021-10-11,114.45
200,2021-10-10,114.14
201,2021-10-08,113.52
202,2021-10-07,113.21
203,2021-10-06,112.9
204,2021-10-05,112.59
205,2021-10-04,112.33
206,2021-10-03,112.33
207,2021-10-02,112.07
208,2021-10-01,111.81
209,2021-09-30,111.57
210,2021-09-29,111.32
211,2021-09-28,111.32
212,2021-09-27,111.13
213,2021-09-26,111.13
214,2021-09-25,111.13
215,2021-09-24,111.13
216,2021-09-23,111.08
217,2021-09-22,111.08
218,2021-09-21,111.08
219,2021-09-20,111.08
220,2021-09-19,111.08
221,2021-09-18,111.08
222,2021-09-17,111.08
223,2021-09-16,111.08
224,2021-09-15,111.08
225,2021-09-14,111.08
226,2021-09-13,111.08
227,2021-09-12,111.08
228,2021-09-11,111.08
229,2021-09-10,111.08
230,2021-09-09,111.08
231,2021-09-08,111.08
232,2021-09-07,111.08
233,2021-09-06,111.08
234,2021-09-05,111.08
235,2021-09-03,111.24
236,2021-09-02,111.24
237,2021-09-01,111.24
238,2021-08-31,111.41
239,2021-08-30,111.41
240,2021-08-29,111.41
241,2021-08-28,111.41
242,2021-08-27,111.41
243,2021-08-26,111.41
244,2021-08-25,111.41
245,2021-08-24,111.41
246,2021-08-23,111.55
247,2021-08-22,111.55
248,2021-08-21,111.59
249,2021-08-20,111.59
250,2021-08-19,111.59
251,2021-08-18,111.6
252,2021-08-17,111.6
253,2021-08-16,111.6
254,2021-08-15,111.6
255,2021-08-14,111.6
256,2021-08-13,111.6
257,2021-08-12,111.6
258,2021-08-11,111.6
259,2021-08-10,111.6
260,2021-08-09,111.6
261,2021-08-08,111.6
262,2021-08-07,111.6
263,2021-08-06,111.6
264,2021-08-05,111.6
265,2021-08-04,111.6
266,2021-08-03,111.6
267,2021-08-02,111.6
268,2021-08-01,111.6
269,2021-07-31,111.6
270,2021-07-30,111.6
271,2021-07-29,111.6
272,2021-07-28,111.6
273,2021-07-27,111.6
274,2021-07-26,111.6
275,2021-07-25,111.6
276,2021-07-24,111.6
277,2021-07-23,111.6
278,2021-07-22,111.6
279,2021-07-21,111.6
280,2021-07-20,111.6
281,2021-07-19,111.6
282,2021-07-18,111.6
283,2021-07-17,111.6
284,2021-07-16,111.29
285,2021-07-15,111.29
286,2021-07-14,110.93
287,2021-07-13,110.93
288,2021-07-12,110.93
289,2021-07-11,110.64
290,2021-07-10,110.64
291,2021-07-09,110.28
292,2021-07-08,110.28
293,2021-07-07,109.92
294,2021-07-06,109.56
295,2021-07-05,109.56
296,2021-07-04,109.2
297,2021-07-03,108.83
298,2021-07-02,108.83
299,2021-07-01,108.47
300,2021-06-30,108.47
301,2021-06-29,108.47
302,2021-06-28,108.11
303,2021-06-27,108.11
304,2021-06-26,107.75
305,2021-06-25,107.39
306,2021-06-24,107.39
307,2021-06-23,107.12
308,2021-06-22,107.12
309,2021-06-21,106.83
310,2021-06-20,106.83
311,2021-06-19,106.53
312,2021-06-18,106.53
313,2021-06-17,106.25
314,2021-06-16,106.25
315,2021-06-15,105.99
316,2021-06-14,105.99
317,2021-06-13,105.69
318,2021-06-12,105.69
319,2021-06-11,105.41
320,2021-06-10,105.11
321,2021-06-09,105.11
322,2021-06-08,104.85
323,2021-06-07,104.85
324,2021-06-06,104.56
325,2021-06-05,104.29
326,2021-06-04,104.29
327,2021-06-03,104.01
328,2021-06-02,104.01
329,2021-06-01,104.01
330,2021-05-31,103.74
331,2021-05-30,103.44
