,date,price
0,2022-05-01,119.27
1,2022-04-30,119.27
2,2022-04-29,119.27
3,2022-04-28,119.27
4,2022-04-27,119.27
5,2022-04-26,119.27
6,2022-04-25,119.27
7,2022-04-24,119.27
8,2022-04-23,119.27
9,2022-04-22,119.27
10,2022-04-21,119.27
11,2022-04-20,119.27
12,2022-04-19,119.27
13,2022-04-18,119.27
14,2022-04-17,119.27
15,2022-04-16,119.27
16,2022-04-15,119.27
17,2022-04-14,119.27
18,2022-04-13,119.27
19,2022-04-12,119.27
20,2022-04-11,119.27
21,2022-04-10,119.27
22,2022-04-09,119.27
23,2022-04-08,119.27
24,2022-04-07,119.27
25,2022-04-06,119.27
26,2022-04-05,118.39
27,2022-04-04,117.52
28,2022-04-03,117.08
29,2022-04-02,116.21
30,2022-04-01,115.33
31,2022-03-31,115.33
32,2022-03-30,114.46
33,2022-03-29,113.59
34,2022-03-28,112.71
35,2022-03-27,112.39
36,2022-03-26,111.84
37,2022-03-25,111.01
38,2022-03-24,110.14
39,2022-03-23,110.14
40,2022-03-22,109.26
41,2022-03-21,108.39
42,2022-03-20,108.39
43,2022-03-19,108.39
44,2022-03-18,108.39
45,2022-03-17,108.39
46,2022-03-16,108.39
47,2022-03-15,108.39
48,2022-03-14,108.39
49,2022-03-13,108.39
50,2022-03-12,108.39
51,2022-03-11,108.39
52,2022-03-10,108.39
53,2022-03-09,108.39
54,2022-03-08,108.39
55,2022-03-07,108.39
56,2022-03-06,108.39
57,2022-03-05,108.39
58,2022-03-04,108.39
59,2022-03-03,108.39
60,2022-03-02,108.39
61,2022-03-01,108.39
62,2022-02-28,108.39
63,2022-02-27,108.39
64,2022-02-26,108.39
65,2022-02-25,108.39
66,2022-02-24,108.39
67,2022-02-23,108.39
68,2022-02-22,108.39
69,2022-02-21,108.39
70,2022-02-20,108.39
71,2022-02-19,108.39
72,2022-02-18,108.39
73,2022-02-17,108.39
74,2022-02-16,108.39
75,2022-02-15,108.39
76,2022-02-14,108.39
77,2022-02-13,108.39
78,2022-02-12,108.39
79,2022-02-11,108.39
80,2022-02-10,108.39
81,2022-02-09,108.39
82,2022-02-08,108.39
83,2022-02-07,108.39
84,2022-02-06,108.39
85,2022-02-05,108.39
86,2022-02-04,108.39
87,2022-02-03,108.39
88,2022-02-02,108.39
89,2022-02-01,108.39
90,2022-01-31,108.39
91,2022-01-30,108.39
92,2022-01-29,108.39
93,2022-01-28,108.39
94,2022-01-27,108.39
95,2022-01-26,108.39
96,2022-01-25,108.39
97,2022-01-24,108.39
98,2022-01-23,108.39
99,2022-01-22,108.39
100,2022-01-21,108.39
101,2022-01-20,108.39
102,2022-01-19,108.39
103,2022-01-18,108.39
104,2022-01-17,108.39
105,2022-01-16,108.39
106,2022-01-15,108.39
107,2022-01-14,108.39
108,2022-01-13,108.39
109,2022-01-12,108.39
110,2022-01-11,108.39
111,2022-01-10,108.39
112,2022-01-09,108.39
113,2022-01-08,108.39
114,2022-01-07,108.39
115,2022-01-06,108.39
116,2022-01-05,108.39
117,2022-01-04,108.39
118,2022-01-03,108.39
119,2022-01-02,108.39
120,2022-01-01,108.39
121,2021-12-31,108.39
122,2021-12-30,108.39
123,2021-12-29,108.39
124,2021-12-28,108.39
125,2021-12-27,108.39
126,2021-12-26,108.39
127,2021-12-25,108.39
128,2021-12-24,108.39
129,2021-12-23,108.39
130,2021-12-22,108.39
131,2021-12-21,108.39
132,2021-12-20,108.39
133,2021-12-19,108.39
134,2021-12-18,108.39
135,2021-12-17,108.39
136,2021-12-16,108.39
137,2021-12-15,108.39
138,2021-12-14,108.39
139,2021-12-13,108.39
140,2021-12-12,108.39
141,2021-12-11,108.39
142,2021-12-10,108.39
143,2021-12-09,108.39
144,2021-12-08,108.39
145,2021-12-07,108.39
146,2021-12-06,108.39
147,2021-12-05,108.39
148,2021-12-04,108.39
149,2021-12-03,108.39
150,2021-12-02,108.39
151,2021-11-30,108.39
152,2021-11-29,108.39
153,2021-11-28,108.39
154,2021-11-27,108.39
155,2021-11-26,108.39
156,2021-11-25,108.39
157,2021-11-24,108.39
158,2021-11-23,108.39
159,2021-11-22,108.39
160,2021-11-21,108.39
161,2021-11-20,108.39
162,2021-11-19,108.39
163,2021-11-18,108.39
164,2021-11-17,108.39
165,2021-11-16,108.39
166,2021-11-15,108.39
167,2021-11-14,108.39
168,2021-11-13,108.39
169,2021-11-12,108.39
170,2021-11-11,108.39
171,2021-11-10,108.39
172,2021-11-09,108.39
173,2021-11-08,108.39
174,2021-11-07,108.39
175,2021-11-06,108.39
176,2021-11-05,108.39
177,2021-11-04,113.75
178,2021-11-03,120.03
179,2021-11-02,120.03
180,2021-11-01,119.64
181,2021-10-31,119.18
182,2021-10-30,118.82
183,2021-10-29,118.45
184,2021-10-28,118.09
185,2021-10-27,117.73
186,2021-10-26,117.37
187,2021-10-25,117.37
188,2021-10-24,117.37
189,2021-10-23,117.01
190,2021-10-22,116.65
191,2021-10-21,116.28
192,2021-10-20,115.92
193,2021-10-19,115.56
194,2021-10-18,115.56
195,2021-10-15,114.84
196,2021-10-14,114.47
197,2021-10-13,114.11
198,2021-10-12,114.11
199,2021-10-11,114.11
200,2021-10-10,113.8
201,2021-10-08,113.18
202,2021-10-07,112.87
203,2021-10-06,112.56
204,2021-10-05,112.25
205,2021-10-04,111.99
206,2021-10-03,111.99
207,2021-10-02,111.74
208,2021-10-01,111.48
209,2021-09-30,111.23
210,2021-09-29,110.99
211,2021-09-28,110.99
212,2021-09-27,110.79
213,2021-09-26,110.79
214,2021-09-25,110.79
215,2021-09-24,110.79
216,2021-09-23,110.79
217,2021-09-22,110.79
218,2021-09-21,110.79
219,2021-09-20,110.79
220,2021-09-19,110.79
221,2021-09-18,110.79
222,2021-09-17,110.79
223,2021-09-16,110.79
224,2021-09-15,110.79
225,2021-09-14,110.79
226,2021-09-13,110.79
227,2021-09-12,110.79
228,2021-09-11,110.79
229,2021-09-10,110.79
230,2021-09-09,110.79
231,2021-09-08,110.79
232,2021-09-07,110.79
233,2021-09-06,110.79
234,2021-09-05,110.79
235,2021-09-03,110.96
236,2021-09-02,110.96
237,2021-09-01,110.96
238,2021-08-31,111.12
239,2021-08-30,111.12
240,2021-08-29,111.12
241,2021-08-28,111.12
242,2021-08-27,111.12
243,2021-08-26,111.12
244,2021-08-25,111.12
245,2021-08-24,111.12
246,2021-08-23,111.27
247,2021-08-22,111.27
248,2021-08-21,111.33
249,2021-08-20,111.33
250,2021-08-19,111.33
251,2021-08-18,111.32
252,2021-08-17,111.32
253,2021-08-16,111.32
254,2021-08-15,111.32
255,2021-08-14,111.32
256,2021-08-13,111.32
257,2021-08-12,111.32
258,2021-08-11,111.32
259,2021-08-10,111.32
260,2021-08-09,111.32
261,2021-08-08,111.32
262,2021-08-07,111.32
263,2021-08-06,111.32
264,2021-08-05,111.32
265,2021-08-04,111.32
266,2021-08-03,111.32
267,2021-08-02,111.32
268,2021-08-01,111.32
269,2021-07-31,111.32
270,2021-07-30,111.32
271,2021-07-29,111.32
272,2021-07-28,111.32
273,2021-07-27,111.32
274,2021-07-26,111.32
275,2021-07-25,111.32
276,2021-07-24,111.32
277,2021-07-23,111.32
278,2021-07-22,111.32
279,2021-07-21,111.32
280,2021-07-20,111.32
281,2021-07-19,111.32
282,2021-07-18,111.32
283,2021-07-17,111.32
284,2021-07-16,111.01
285,2021-07-15,111.01
286,2021-07-14,110.65
287,2021-07-13,110.65
288,2021-07-12,110.65
289,2021-07-11,110.36
290,2021-07-10,110.36
291,2021-07-09,110
292,2021-07-08,110
293,2021-07-07,109.63
294,2021-07-06,109.27
295,2021-07-05,109.27
296,2021-07-04,108.91
297,2021-07-03,108.55
298,2021-07-02,108.55
299,2021-07-01,108.19
300,2021-06-30,108.19
301,2021-06-29,108.19
302,2021-06-28,107.83
303,2021-06-27,107.83
304,2021-06-26,107.46
305,2021-06-25,107.1
306,2021-06-24,107.1
307,2021-06-23,106.83
308,2021-06-22,106.83
309,2021-06-21,106.54
310,2021-06-20,106.54
311,2021-06-19,106.24
312,2021-06-18,106.24
313,2021-06-17,105.97
314,2021-06-16,105.97
315,2021-06-15,105.71
316,2021-06-14,105.71
317,2021-06-13,105.41
318,2021-06-12,105.41
319,2021-06-11,105.13
320,2021-06-10,104.83
321,2021-06-09,104.83
322,2021-06-08,104.57
323,2021-06-07,104.57
324,2021-06-06,104.28
325,2021-06-05,104
326,2021-06-04,104
327,2021-06-03,103.72
328,2021-06-02,103.72
329,2021-06-01,103.72
330,2021-05-31,103.45
331,2021-05-30,103.15
332,2021-05-29,103.15
333,2021-05-28,102.88
334,2021-05-27,102.88
335,2021-05-26,102.64
336,2021-05-25,102.64
337,2021-05-24,102.4
338,2021-05-23,102.4
339,2021-05-22,102.22
340,2021-05-21,102.22
341,2021-05-20,102.03
342,2021-05-19,102.03
343,2021-05-18,102.03
344,2021-05-17,101.75
345,2021-05-16,101.75
346,2021-05-15,101.5
347,2021-05-14,101.5
348,2021-05-13,101.2
349,2021-05-12,101.2
350,2021-05-11,100.94
351,2021-05-10,100.66
352,2021-05-09,100.39
353,2021-05-08,100.39
354,2021-05-07,100.39
355,2021-05-06,100.1
356,2021-05-05,99.85
357,2021-05-04,99.65
358,2021-05-03,99.37
359,2021-05-02,99.37
360,2021-05-01,99.37
361,2021-04-30,99.37
362,2021-04-29,99.37
363,2021-04-28,99.37
364,2021-04-27,99.37
