,date,price
0,2022-05-01,120.18
1,2022-04-30,120.18
2,2022-04-29,120.18
3,2022-04-28,120.18
4,2022-04-27,120.18
5,2022-04-26,120.18
6,2022-04-25,120.18
7,2022-04-24,120.18
8,2022-04-23,120.18
9,2022-04-22,120.18
10,2022-04-21,120.18
11,2022-04-20,120.18
12,2022-04-19,120.18
13,2022-04-18,120.18
14,2022-04-17,120.18
15,2022-04-16,120.18
16,2022-04-15,120.18
17,2022-04-14,120.18
18,2022-04-13,120.18
19,2022-04-12,120.18
20,2022-04-11,120.18
21,2022-04-10,120.18
22,2022-04-09,120.18
23,2022-04-08,120.18
24,2022-04-07,120.18
25,2022-04-06,120.18
26,2022-04-05,119.31
27,2022-04-04,118.43
28,2022-04-03,118
29,2022-04-02,117.12
30,2022-04-01,116.25
31,2022-03-31,116.25
32,2022-03-30,115.38
33,2022-03-29,114.5
34,2022-03-28,113.63
35,2022-03-27,113.3
36,2022-03-26,112.76
37,2022-03-25,111.96
38,2022-03-24,111.09
39,2022-03-23,111.09
40,2022-03-22,110.21
41,2022-03-21,109.3
42,2022-03-20,109.3
43,2022-03-19,109.3
44,2022-03-18,109.3
45,2022-03-17,109.3
46,2022-03-16,109.3
47,2022-03-15,109.3
48,2022-03-14,109.3
49,2022-03-13,109.3
50,2022-03-12,109.3
51,2022-03-11,109.3
52,2022-03-10,109.3
53,2022-03-09,109.3
54,2022-03-08,109.3
55,2022-03-07,109.3
56,2022-03-06,109.3
57,2022-03-05,109.3
58,2022-03-04,109.3
59,2022-03-03,109.3
60,2022-03-02,109.3
61,2022-03-01,109.3
62,2022-02-28,109.3
63,2022-02-27,109.3
64,2022-02-26,109.3
65,2022-02-25,109.3
66,2022-02-24,109.3
67,2022-02-23,109.3
68,2022-02-22,109.3
69,2022-02-21,109.3
70,2022-02-20,109.3
71,2022-02-19,109.3
72,2022-02-18,109.3
73,2022-02-17,109.3
74,2022-02-16,109.3
75,2022-02-15,109.3
76,2022-02-14,109.3
77,2022-02-13,109.3
78,2022-02-12,109.3
79,2022-02-11,109.3
80,2022-02-10,109.3
81,2022-02-09,109.3
82,2022-02-08,109.3
83,2022-02-07,109.3
84,2022-02-06,109.3
85,2022-02-05,109.3
86,2022-02-04,109.3
87,2022-02-03,109.3
88,2022-02-02,109.3
89,2022-02-01,109.3
90,2022-01-31,109.3
91,2022-01-30,109.3
92,2022-01-29,109.3
93,2022-01-28,109.3
94,2022-01-27,109.3
95,2022-01-26,109.3
96,2022-01-25,109.3
97,2022-01-24,109.3
98,2022-01-23,109.3
99,2022-01-22,109.3
100,2022-01-21,109.3
101,2022-01-20,109.3
102,2022-01-19,109.3
103,2022-01-18,109.3
104,2022-01-17,109.3
105,2022-01-16,109.3
106,2022-01-15,109.3
107,2022-01-14,109.3
108,2022-01-13,109.3
109,2022-01-12,109.3
110,2022-01-11,109.3
111,2022-01-10,109.3
112,2022-01-09,109.3
113,2022-01-08,109.3
