,date,price
0,2022-05-01,118.78
1,2022-04-30,118.78
2,2022-04-29,118.78
3,2022-04-28,118.78
4,2022-04-27,118.78
5,2022-04-26,118.78
6,2022-04-25,118.78
7,2022-04-24,118.78
8,2022-04-23,118.78
9,2022-04-22,118.78
10,2022-04-21,118.78
11,2022-04-20,118.78
12,2022-04-19,118.78
13,2022-04-18,118.78
14,2022-04-17,118.78
15,2022-04-16,118.78
16,2022-04-15,118.78
17,2022-04-14,118.78
18,2022-04-13,118.78
19,2022-04-12,118.78
20,2022-04-11,118.78
21,2022-04-10,118.78
22,2022-04-09,118.78
23,2022-04-08,118.78
24,2022-04-07,118.78
25,2022-04-06,118.78
26,2022-04-05,117.91
27,2022-04-04,117.03
28,2022-04-03,116.59
29,2022-04-02,115.72
30,2022-04-01,114.85
31,2022-03-31,114.85
32,2022-03-30,113.97
33,2022-03-29,113.1
34,2022-03-28,112.23
35,2022-03-27,111.9
36,2022-03-26,111.35
37,2022-03-25,110.5
38,2022-03-24,109.63
39,2022-03-23,109.63
40,2022-03-22,108.76
41,2022-03-21,107.88
42,2022-03-20,107.88
43,2022-03-19,107.88
44,2022-03-18,107.88
45,2022-03-17,107.88
46,2022-03-16,107.88
47,2022-03-15,107.88
48,2022-03-14,107.88
49,2022-03-13,107.88
50,2022-03-12,107.88
51,2022-03-11,107.88
52,2022-03-10,107.88
53,2022-03-09,107.88
54,2022-03-08,107.88
55,2022-03-07,107.88
56,2022-03-06,107.88
57,2022-03-05,107.88
58,2022-03-04,107.88
59,2022-03-03,107.88
60,2022-03-02,107.88
61,2022-03-01,107.88
62,2022-02-28,107.88
63,2022-02-27,107.88
64,2022-02-26,107.88
65,2022-02-25,107.88
66,2022-02-24,107.88
67,2022-02-23,107.88
68,2022-02-22,107.88
69,2022-02-21,107.88
70,2022-02-20,107.88
71,2022-02-19,107.88
72,2022-02-18,107.88
73,2022-02-17,107.88
74,2022-02-16,107.88
75,2022-02-15,107.88
76,2022-02-14,107.88
77,2022-02-13,107.88
78,2022-02-12,107.88
79,2022-02-11,107.88
80,2022-02-10,107.88
81,2022-02-09,107.88
82,2022-02-08,107.88
83,2022-02-07,107.88
84,2022-02-06,107.88
85,2022-02-05,107.88
86,2022-02-04,107.88
87,2022-02-03,107.88
88,2022-02-02,107.88
89,2022-02-01,107.88
90,2022-01-31,107.88
91,2022-01-30,107.88
92,2022-01-29,107.88
93,2022-01-28,107.88
94,2022-01-27,107.88
95,2022-01-26,107.88
96,2022-01-25,107.88
97,2022-01-24,107.88
98,2022-01-23,107.88
99,2022-01-22,107.88
100,2022-01-21,107.88
101,2022-01-20,107.88
102,2022-01-19,107.88
103,2022-01-18,107.88
104,2022-01-17,107.88
105,2022-01-16,107.88
106,2022-01-15,107.88
107,2022-01-14,107.88
108,2022-01-13,107.88
109,2022-01-12,107.88
110,2022-01-11,107.88
111,2022-01-10,107.88
112,2022-01-09,107.88
113,2022-01-08,107.88
114,2022-01-07,107.88
115,2022-01-06,107.88
116,2022-01-05,107.88
117,2022-01-04,107.88
118,2022-01-03,107.88
119,2022-01-02,107.88
120,2022-01-01,107.88
121,2021-12-31,107.88
122,2021-12-30,107.88
123,2021-12-29,107.88
124,2021-12-28,107.88
125,2021-12-27,107.88
126,2021-12-26,107.88
127,2021-12-25,107.88
128,2021-12-24,107.88
129,2021-12-23,107.88
130,2021-12-22,107.88
131,2021-12-21,107.88
132,2021-12-20,107.88
133,2021-12-19,107.88
134,2021-12-18,107.88
135,2021-12-17,107.88
136,2021-12-16,107.88
137,2021-12-15,107.88
138,2021-12-14,107.88
139,2021-12-13,107.88
140,2021-12-12,107.88
141,2021-12-11,107.88
142,2021-12-10,107.88
143,2021-12-09,107.88
144,2021-12-08,107.88
145,2021-12-07,107.88
146,2021-12-06,107.88
147,2021-12-05,107.88
148,2021-12-04,107.88
