,date,price
0,2022-05-01,73.95
1,2022-04-30,73.95
2,2022-04-29,73.95
3,2022-04-28,73.95
4,2022-04-27,73.95
5,2022-04-26,73.95
6,2022-04-25,73.95
7,2022-04-24,73.95
8,2022-04-23,73.95
9,2022-04-22,73.95
10,2022-04-21,73.95
11,2022-04-20,73.95
12,2022-04-19,73.95
13,2022-04-18,73.95
14,2022-04-17,73.95
15,2022-04-16,73.95
16,2022-04-15,73.95
17,2022-04-14,73.95
18,2022-04-13,73.95
19,2022-04-12,73.95
20,2022-04-11,73.95
21,2022-04-10,73.95
22,2022-04-09,73.95
23,2022-04-08,73.95
24,2022-04-07,73.95
25,2022-04-06,73.95
26,2022-04-05,73.95
27,2022-04-04,73.95
28,2022-04-03,73.95
29,2022-04-02,73.95
30,2022-04-01,73.95
31,2022-03-31,73.95
32,2022-03-30,73.95
33,2022-03-29,73.95
34,2022-03-28,73.95
35,2022-03-27,73.95
36,2022-03-26,73.95
37,2022-03-25,73.95
38,2022-03-24,73.95
39,2022-03-23,73.95
40,2022-03-22,73.95
41,2022-03-21,73.95
42,2022-03-20,73.95
43,2022-03-19,73.95
44,2022-03-18,73.95
45,2022-03-17,73.95
46,2022-03-16,73.95
47,2022-03-15,73.95
48,2022-03-14,73.95
49,2022-03-13,73.95
50,2022-03-12,73.95
51,2022-03-11,73.95
52,2022-03-10,73.95
53,2022-03-09,73.95
54,2022-03-08,73.95
55,2022-03-07,73.95
56,2022-03-06,73.95
57,2022-03-05,73.95
58,2022-03-04,73.95
59,2022-03-03,73.95
60,2022-03-02,73.95
61,2022-03-01,73.95
62,2022-02-28,73.95
63,2022-02-27,73.95
64,2022-02-26,73.95
65,2022-02-25,73.95
66,2022-02-24,73.95
67,2022-02-23,73.95
68,2022-02-22,73.95
69,2022-02-21,73.95
70,2022-02-20,73.95
71,2022-02-19,73.95
72,2022-02-18,73.95
73,2022-02-17,73.95
74,2022-02-16,73.95
75,2022-02-15,73.95
76,2022-02-14,73.95
77,2022-02-13,73.95
78,2022-02-12,73.95
79,2022-02-11,73.95
80,2022-02-10,73.95
81,2022-02-09,73.95
82,2022-02-08,73.95
83,2022-02-07,73.95
84,2022-02-06,73.95
85,2022-02-05,73.95
86,2022-02-04,73.95
87,2022-02-03,73.95
88,2022-02-02,73.95
89,2022-02-01,73.95
90,2022-01-31,73.95
91,2022-01-30,73.95
92,2022-01-29,73.95
93,2022-01-28,73.95
94,2022-01-27,73.95
95,2022-01-26,73.95
96,2022-01-25,73.95
97,2022-01-24,73.95
98,2022-01-23,73.95
99,2022-01-22,73.95
100,2022-01-21,73.95
101,2022-01-20,73.95
102,2022-01-19,73.95
103,2022-01-18,73.95
104,2022-01-17,73.95
105,2022-01-16,73.95
106,2022-01-15,73.95
107,2022-01-14,73.95
108,2022-01-13,73.95
109,2022-01-12,73.95
110,2022-01-11,73.95
111,2022-01-10,73.95
112,2022-01-09,73.95
113,2022-01-08,73.95
114,2022-01-07,73.95
115,2022-01-06,73.95
116,2022-01-05,73.95
117,2022-01-04,73.95
118,2022-01-03,73.95
119,2022-01-02,73.95
120,2022-01-01,73.95
121,2021-12-31,73.95
122,2021-12-30,73.95
123,2021-12-29,73.95
124,2021-12-28,73.95
125,2021-12-27,73.95
126,2021-12-26,73.95
127,2021-12-25,73.95
128,2021-12-24,73.95
129,2021-12-23,73.95
130,2021-12-22,73.95
131,2021-12-21,73.95
132,2021-12-20,73.95
133,2021-12-19,73.95
134,2021-12-18,73.95
135,2021-12-17,73.95
136,2021-12-16,73.95
137,2021-12-15,73.95
138,2021-12-14,73.95
139,2021-12-13,73.95
140,2021-12-12,73.95
141,2021-12-11,73.95
142,2021-12-10,73.95
143,2021-12-09,73.95
144,2021-12-08,73.95
145,2021-12-07,73.95
146,2021-12-06,73.95
147,2021-12-05,73.95
148,2021-12-04,73.95
149,2021-12-03,73.95
150,2021-12-02,73.95
151,2021-11-30,73.95
152,2021-11-29,73.95
153,2021-11-28,73.95
154,2021-11-27,73.95
155,2021-11-26,73.95
156,2021-11-25,73.95
157,2021-11-24,73.95
158,2021-11-23,73.95
159,2021-11-22,73.95
160,2021-11-21,73.95
161,2021-11-20,73.95
162,2021-11-19,73.95
163,2021-11-18,73.95
164,2021-11-17,73.95
165,2021-11-16,73.95
166,2021-11-15,73.95
167,2021-11-14,73.95
168,2021-11-13,73.95
169,2021-11-12,73.95
170,2021-11-11,73.95
171,2021-11-10,73.95
172,2021-11-09,73.95
173,2021-11-08,73.95
174,2021-11-07,73.95
175,2021-11-06,73.95
176,2021-11-05,73.95
177,2021-11-04,73.95
178,2021-11-03,73.95
179,2021-11-02,73.95
180,2021-11-01,73.95
181,2021-10-31,73.95
182,2021-10-30,73.95
183,2021-10-29,73.95
184,2021-10-28,73.95
185,2021-10-27,73.95
186,2021-10-26,73.95
187,2021-10-25,73.95
188,2021-10-24,73.95
189,2021-10-23,73.95
190,2021-10-22,73.95
191,2021-10-21,73.95
192,2021-10-20,73.95
193,2021-10-19,73.95
194,2021-10-18,73.95
195,2021-10-15,73.95
196,2021-10-14,73.95
197,2021-10-13,73.95
198,2021-10-12,73.95
199,2021-10-11,73.95
200,2021-10-10,73.95
201,2021-10-08,73.95
202,2021-10-07,73.95
203,2021-10-06,73.95
204,2021-10-05,73.95
205,2021-10-04,73.95
206,2021-10-03,73.95
207,2021-10-02,73.95
208,2021-10-01,73.95
209,2021-09-30,73.95
210,2021-09-29,73.95
211,2021-09-28,73.95
212,2021-09-27,73.95
213,2021-09-26,73.95
214,2021-09-25,73.95
215,2021-09-24,73.95
216,2021-09-23,73.95
217,2021-09-22,73.95
218,2021-09-21,73.95
219,2021-09-20,73.95
220,2021-09-19,73.95
221,2021-09-18,73.95
222,2021-09-17,73.95
223,2021-09-16,73.95
224,2021-09-15,73.95
225,2021-09-14,73.95
226,2021-09-13,73.95
227,2021-09-12,73.95
228,2021-09-11,73.95
229,2021-09-10,73.95
230,2021-09-09,73.95
231,2021-09-08,73.95
232,2021-09-07,73.95
233,2021-09-06,73.95
234,2021-09-05,73.95
235,2021-09-03,73.95
236,2021-09-02,73.95
237,2021-09-01,73.95
238,2021-08-31,73.95
239,2021-08-30,73.95
240,2021-08-29,73.95
241,2021-08-28,73.95
242,2021-08-27,73.95
243,2021-08-26,73.95
244,2021-08-25,73.95
245,2021-08-24,73.95
246,2021-08-23,73.95
247,2021-08-22,73.95
248,2021-08-21,73.95
249,2021-08-20,73.95
250,2021-08-19,73.95
251,2021-08-18,73.95
252,2021-08-17,73.95
253,2021-08-16,73.95
254,2021-08-15,73.95
255,2021-08-14,73.95
256,2021-08-13,73.95
257,2021-08-12,73.95
258,2021-08-11,73.95
259,2021-08-10,73.95
260,2021-08-09,73.95
261,2021-08-08,73.95
262,2021-08-07,73.95
263,2021-08-06,73.95
264,2021-08-05,73.95
265,2021-08-04,73.95
266,2021-08-03,73.95
267,2021-08-02,73.95
268,2021-08-01,73.95
269,2021-07-31,73.95
270,2021-07-30,73.95
271,2021-07-29,73.95
272,2021-07-28,73.95
273,2021-07-27,73.95
274,2021-07-26,73.95
275,2021-07-25,73.95
276,2021-07-24,73.95
277,2021-07-23,73.95
278,2021-07-22,73.95
279,2021-07-21,73.95
280,2021-07-20,73.95
281,2021-07-19,73.95
282,2021-07-18,73.95
283,2021-07-17,73.95
284,2021-07-16,73.95
285,2021-07-15,73.95
286,2021-07-14,73.95
287,2021-07-13,73.95
288,2021-07-12,73.95
289,2021-07-11,73.95
290,2021-07-10,73.95
291,2021-07-09,73.95
292,2021-07-08,73.95
293,2021-07-07,73.95
294,2021-07-06,73.95
295,2021-07-05,73.95
296,2021-07-04,73.95
297,2021-07-03,73.95
298,2021-07-02,73.95
299,2021-07-01,73.95
300,2021-06-30,73.95
301,2021-06-29,73.95
302,2021-06-28,73.95
303,2021-06-27,73.95
304,2021-06-26,73.95
305,2021-06-25,73.95
306,2021-06-24,73.95
307,2021-06-23,73.95
308,2021-06-22,73.95
309,2021-06-21,73.95
310,2021-06-20,73.95
311,2021-06-19,73.95
312,2021-06-18,73.95
313,2021-06-17,73.95
314,2021-06-16,73.95
315,2021-06-15,73.95
316,2021-06-14,73.95
317,2021-06-13,73.95
318,2021-06-12,73.95
319,2021-06-11,73.95
320,2021-06-10,73.95
321,2021-06-09,73.95
322,2021-06-08,73.95
323,2021-06-07,73.95
324,2021-06-06,73.95
325,2021-06-05,73.95
326,2021-06-04,73.95
327,2021-06-03,73.95
328,2021-06-02,73.95
329,2021-06-01,73.95
330,2021-05-31,73.95
331,2021-05-30,73.95
332,2021-05-29,73.95
333,2021-05-28,73.95
334,2021-05-27,73.95
335,2021-05-26,73.95
336,2021-05-25,73.95
337,2021-05-24,73.95
338,2021-05-23,73.95
339,2021-05-22,73.95
340,2021-05-21,73.95
341,2021-05-20,73.95
342,2021-05-19,73.95
343,2021-05-18,73.95
344,2021-05-17,73.95
345,2021-05-16,73.95
346,2021-05-15,73.95
347,2021-05-14,73.95
348,2021-05-13,73.95
349,2021-05-12,73.95
350,2021-05-11,73.95
351,2021-05-10,73.95
352,2021-05-09,73.95
353,2021-05-08,73.95
354,2021-05-07,73.95
355,2021-05-06,73.95
356,2021-05-05,73.95
357,2021-05-04,73.95
358,2021-05-03,73.95
359,2021-05-02,73.95
360,2021-05-01,73.95
361,2021-04-30,73.95
362,2021-04-29,73.95
363,2021-04-28,73.95
364,2021-04-27,73.95
