,date,price
0,2022-05-01,119.29
1,2022-04-30,119.29
2,2022-04-29,119.29
3,2022-04-28,119.29
4,2022-04-27,119.29
5,2022-04-26,119.29
6,2022-04-25,119.29
7,2022-04-24,119.29
8,2022-04-23,119.29
9,2022-04-22,119.29
10,2022-04-21,119.29
11,2022-04-20,119.29
12,2022-04-19,119.29
13,2022-04-18,119.29
14,2022-04-17,119.29
15,2022-04-16,119.29
16,2022-04-15,119.29
17,2022-04-14,119.29
18,2022-04-13,119.29
19,2022-04-12,119.29
20,2022-04-11,119.29
21,2022-04-10,119.29
22,2022-04-09,119.29
23,2022-04-08,119.29
24,2022-04-07,119.29
25,2022-04-06,119.29
26,2022-04-05,118.42
27,2022-04-04,117.54
28,2022-04-03,117.1
29,2022-04-02,116.23
30,2022-04-01,115.36
31,2022-03-31,115.36
32,2022-03-30,114.48
33,2022-03-29,113.61
34,2022-03-28,112.74
35,2022-03-27,112.41
36,2022-03-26,111.86
37,2022-03-25,111.02
38,2022-03-24,110.15
39,2022-03-23,110.15
40,2022-03-22,109.28
41,2022-03-21,108.4
42,2022-03-20,108.4
43,2022-03-19,108.4
44,2022-03-18,108.4
45,2022-03-17,108.4
46,2022-03-16,108.4
47,2022-03-15,108.4
48,2022-03-14,108.4
49,2022-03-13,108.4
50,2022-03-12,108.4
51,2022-03-11,108.4
52,2022-03-10,108.4
53,2022-03-09,108.4
54,2022-03-08,108.4
55,2022-03-07,108.4
56,2022-03-06,108.4
57,2022-03-05,108.4
58,2022-03-04,108.4
59,2022-03-03,108.4
60,2022-03-02,108.4
61,2022-03-01,108.4
62,2022-02-28,108.4
63,2022-02-27,108.4
64,2022-02-26,108.4
65,2022-02-25,108.4
66,2022-02-24,108.4
67,2022-02-23,108.4
68,2022-02-22,108.4
69,2022-02-21,108.4
70,2022-02-20,108.4
71,2022-02-19,108.4
72,2022-02-18,108.4
73,2022-02-17,108.4
74,2022-02-16,108.4
75,2022-02-15,108.4
76,2022-02-14,108.4
77,2022-02-13,108.4
78,2022-02-12,108.4
79,2022-02-11,108.4
80,2022-02-10,108.4
81,2022-02-09,108.4
82,2022-02-08,108.4
83,2022-02-07,108.4
84,2022-02-06,108.4
85,2022-02-05,108.4
86,2022-02-04,108.4
87,2022-02-03,108.4
88,2022-02-02,108.4
89,2022-02-01,108.4
90,2022-01-31,108.4
91,2022-01-30,108.4
92,2022-01-29,108.4
93,2022-01-28,108.4
94,2022-01-27,108.4
95,2022-01-26,108.4
96,2022-01-25,108.4
97,2022-01-24,108.4
98,2022-01-23,108.4
99,2022-01-22,108.4
100,2022-01-21,108.4
101,2022-01-20,108.4
102,2022-01-19,108.4
103,2022-01-18,108.4
104,2022-01-17,108.4
105,2022-01-16,108.4
106,2022-01-15,108.4
107,2022-01-14,108.4
108,2022-01-13,108.4
109,2022-01-12,108.4
110,2022-01-11,108.4
111,2022-01-10,108.4
112,2022-01-09,108.4
113,2022-01-08,108.4
114,2022-01-07,108.4
115,2022-01-06,108.4
116,2022-01-05,108.4
117,2022-01-04,108.4
118,2022-01-03,108.4
119,2022-01-02,108.4
120,2022-01-01,108.4
121,2021-12-31,108.4
122,2021-12-30,108.4
123,2021-12-29,108.4
124,2021-12-28,108.4
125,2021-12-27,108.4
126,2021-12-26,108.4
127,2021-12-25,108.4
128,2021-12-24,108.4
129,2021-12-23,108.4
130,2021-12-22,108.4
131,2021-12-21,108.4
132,2021-12-20,108.4
133,2021-12-19,108.4
134,2021-12-18,108.4
135,2021-12-17,108.4
136,2021-12-16,108.4
137,2021-12-15,108.4
138,2021-12-14,108.4
139,2021-12-13,108.4
140,2021-12-12,108.4
141,2021-12-11,108.4
142,2021-12-10,108.4
143,2021-12-09,108.4
144,2021-12-08,108.4
145,2021-12-07,108.4
146,2021-12-06,108.4
147,2021-12-05,108.4
148,2021-12-04,108.4
149,2021-12-03,108.4
150,2021-12-02,108.4
151,2021-11-30,108.4
152,2021-11-29,108.4
153,2021-11-28,108.4
154,2021-11-27,108.4
155,2021-11-26,108.4
156,2021-11-25,108.4
157,2021-11-24,108.4
158,2021-11-23,108.4
159,2021-11-22,108.4
160,2021-11-21,108.4
161,2021-11-20,108.4
162,2021-11-19,108.4
163,2021-11-18,108.4
164,2021-11-17,108.4
165,2021-11-16,108.4
166,2021-11-15,108.4
167,2021-11-14,108.4
168,2021-11-13,108.4
169,2021-11-12,108.4
170,2021-11-11,108.4
171,2021-11-10,108.4
172,2021-11-09,108.4
173,2021-11-08,108.4
174,2021-11-07,108.4
175,2021-11-06,108.4
176,2021-11-05,108.4
177,2021-11-04,113.77
178,2021-11-03,120.04
179,2021-11-02,120.04
180,2021-11-01,119.66
181,2021-10-31,119.21
182,2021-10-30,118.85
183,2021-10-29,118.48
184,2021-10-28,118.12
185,2021-10-27,117.76
186,2021-10-26,117.4
187,2021-10-25,117.4
188,2021-10-24,117.4
189,2021-10-23,117.04
190,2021-10-22,116.68
191,2021-10-21,116.31
192,2021-10-20,115.95
193,2021-10-19,115.59
194,2021-10-18,115.59
195,2021-10-15,114.87
196,2021-10-14,114.5
197,2021-10-13,114.14
198,2021-10-12,114.14
199,2021-10-11,114.14
200,2021-10-10,113.83
201,2021-10-08,113.21
202,2021-10-07,112.9
203,2021-10-06,112.59
204,2021-10-05,112.28
205,2021-10-04,112.02
206,2021-10-03,112.02
207,2021-10-02,111.77
208,2021-10-01,111.51
209,2021-09-30,111.26
210,2021-09-29,111.02
211,2021-09-28,111.02
212,2021-09-27,110.82
213,2021-09-26,110.82
214,2021-09-25,110.82
215,2021-09-24,110.82
216,2021-09-23,110.82
217,2021-09-22,110.82
218,2021-09-21,110.82
219,2021-09-20,110.82
220,2021-09-19,110.82
221,2021-09-18,110.82
222,2021-09-17,110.82
223,2021-09-16,110.82
224,2021-09-15,110.82
225,2021-09-14,110.82
226,2021-09-13,110.82
227,2021-09-12,110.82
228,2021-09-11,110.82
229,2021-09-10,110.82
230,2021-09-09,110.82
231,2021-09-08,110.82
232,2021-09-07,110.82
233,2021-09-06,110.82
234,2021-09-05,110.82
235,2021-09-03,110.99
236,2021-09-02,110.99
237,2021-09-01,110.99
238,2021-08-31,111.15
239,2021-08-30,111.15
240,2021-08-29,111.15
241,2021-08-28,111.15
242,2021-08-27,111.15
243,2021-08-26,111.15
244,2021-08-25,111.15
245,2021-08-24,111.15
246,2021-08-23,111.3
247,2021-08-22,111.3
248,2021-08-21,111.38
249,2021-08-20,111.38
250,2021-08-19,111.38
251,2021-08-18,111.38
252,2021-08-17,111.38
253,2021-08-16,111.38
254,2021-08-15,111.38
255,2021-08-14,111.38
256,2021-08-13,111.38
257,2021-08-12,111.38
258,2021-08-11,111.38
259,2021-08-10,111.38
260,2021-08-09,111.38
261,2021-08-08,111.38
262,2021-08-07,111.38
263,2021-08-06,111.38
264,2021-08-05,111.38
265,2021-08-04,111.38
266,2021-08-03,111.38
267,2021-08-02,111.38
268,2021-08-01,111.38
269,2021-07-31,111.38
270,2021-07-30,111.38
271,2021-07-29,111.38
272,2021-07-28,111.38
273,2021-07-27,111.38
274,2021-07-26,111.38
275,2021-07-25,111.38
276,2021-07-24,111.38
277,2021-07-23,111.38
278,2021-07-22,111.38
279,2021-07-21,111.38
280,2021-07-20,111.38
281,2021-07-19,111.38
282,2021-07-18,111.38
283,2021-07-17,111.38
284,2021-07-16,111.07
285,2021-07-15,111.07
286,2021-07-14,110.7
287,2021-07-13,110.7
288,2021-07-12,110.7
289,2021-07-11,110.41
290,2021-07-10,110.41
291,2021-07-09,110.05
292,2021-07-08,110.05
293,2021-07-07,109.69
294,2021-07-06,109.33
295,2021-07-05,109.33
296,2021-07-04,108.97
297,2021-07-03,108.61
298,2021-07-02,108.61
299,2021-07-01,108.24
300,2021-06-30,108.24
301,2021-06-29,108.24
302,2021-06-28,107.88
303,2021-06-27,107.88
304,2021-06-26,107.52
305,2021-06-25,107.16
306,2021-06-24,107.16
307,2021-06-23,106.89
308,2021-06-22,106.89
309,2021-06-21,106.6
310,2021-06-20,106.6
311,2021-06-19,106.3
312,2021-06-18,106.3
313,2021-06-17,106.02
314,2021-06-16,106.02
315,2021-06-15,105.76
316,2021-06-14,105.76
317,2021-06-13,105.46
318,2021-06-12,105.46
319,2021-06-11,105.18
320,2021-06-10,104.88
321,2021-06-09,104.88
322,2021-06-08,104.63
323,2021-06-07,104.63
324,2021-06-06,104.34
325,2021-06-05,104.06
326,2021-06-04,104.06
327,2021-06-03,103.78
328,2021-06-02,103.78
329,2021-06-01,103.78
330,2021-05-31,103.51
331,2021-05-30,103.21
332,2021-05-29,103.21
333,2021-05-28,102.94
334,2021-05-27,102.94
335,2021-05-26,102.69
336,2021-05-25,102.69
337,2021-05-24,102.46
338,2021-05-23,102.46
339,2021-05-22,102.28
340,2021-05-21,102.28
341,2021-05-20,102.08
342,2021-05-19,102.08
343,2021-05-18,102.08
344,2021-05-17,101.8
345,2021-05-16,101.8
346,2021-05-15,101.56
347,2021-05-14,101.56
348,2021-05-13,101.26
349,2021-05-12,101.26
350,2021-05-11,101
351,2021-05-10,100.72
352,2021-05-09,100.45
353,2021-05-08,100.45
354,2021-05-07,100.45
355,2021-05-06,100.16
356,2021-05-05,99.9
