,date,price
0,2022-05-01,118.16
1,2022-04-30,118.16
2,2022-04-29,118.16
3,2022-04-28,118.16
4,2022-04-27,118.16
5,2022-04-26,118.16
6,2022-04-25,118.16
7,2022-04-24,118.16
8,2022-04-23,118.16
9,2022-04-22,118.16
10,2022-04-21,118.16
11,2022-04-20,118.16
12,2022-04-19,118.16
13,2022-04-18,118.16
14,2022-04-17,118.16
15,2022-04-16,118.16
16,2022-04-15,118.16
17,2022-04-14,118.16
18,2022-04-13,118.16
19,2022-04-12,118.16
20,2022-04-11,118.16
21,2022-04-10,118.16
22,2022-04-09,118.16
23,2022-04-08,118.16
24,2022-04-07,118.16
25,2022-04-06,118.16
26,2022-04-05,117.28
27,2022-04-04,116.41
28,2022-04-03,115.97
29,2022-04-02,115.1
30,2022-04-01,114.23
31,2022-03-31,114.23
32,2022-03-30,113.35
33,2022-03-29,112.48
34,2022-03-28,111.6
35,2022-03-27,111.28
36,2022-03-26,110.73
37,2022-03-25,109.86
38,2022-03-24,108.98
39,2022-03-23,108.98
40,2022-03-22,108.11
41,2022-03-21,107.23
42,2022-03-20,107.23
43,2022-03-19,107.23
44,2022-03-18,107.23
45,2022-03-17,107.23
46,2022-03-16,107.23
47,2022-03-15,107.23
48,2022-03-14,107.23
49,2022-03-13,107.23
50,2022-03-12,107.23
51,2022-03-11,107.23
52,2022-03-10,107.23
53,2022-03-09,107.23
54,2022-03-08,107.23
55,2022-03-07,107.23
56,2022-03-06,107.23
57,2022-03-05,107.23
58,2022-03-04,107.23
59,2022-03-03,107.23
60,2022-03-02,107.23
61,2022-03-01,107.23
62,2022-02-28,107.23
63,2022-02-27,107.23
64,2022-02-26,107.23
65,2022-02-25,107.23
66,2022-02-24,107.23
67,2022-02-23,107.23
68,2022-02-22,107.23
69,2022-02-21,107.23
70,2022-02-20,107.23
71,2022-02-19,107.23
72,2022-02-18,107.23
73,2022-02-17,107.23
74,2022-02-16,107.23
75,2022-02-15,107.23
76,2022-02-14,107.23
77,2022-02-13,107.23
78,2022-02-12,107.23
79,2022-02-11,107.23
80,2022-02-10,107.23
81,2022-02-09,107.23
82,2022-02-08,107.23
83,2022-02-07,107.23
84,2022-02-06,107.23
85,2022-02-05,107.23
86,2022-02-04,107.23
87,2022-02-03,107.23
88,2022-02-02,107.23
89,2022-02-01,107.23
90,2022-01-31,107.23
91,2022-01-30,107.23
92,2022-01-29,107.23
93,2022-01-28,107.23
94,2022-01-27,107.23
95,2022-01-26,107.23
96,2022-01-25,107.23
97,2022-01-24,107.23
98,2022-01-23,107.23
99,2022-01-22,107.23
100,2022-01-21,107.23
101,2022-01-20,107.23
102,2022-01-19,107.23
103,2022-01-18,107.23
104,2022-01-17,107.23
105,2022-01-16,107.23
106,2022-01-15,107.23
107,2022-01-14,107.23
108,2022-01-13,107.23
109,2022-01-12,107.23
110,2022-01-11,107.23
111,2022-01-10,107.23
112,2022-01-09,107.23
113,2022-01-08,107.23
114,2022-01-07,107.23
115,2022-01-06,107.23
116,2022-01-05,107.23
117,2022-01-04,107.23
118,2022-01-03,107.23
119,2022-01-02,107.23
120,2022-01-01,107.23
121,2021-12-31,107.23
122,2021-12-30,107.23
123,2021-12-29,107.23
124,2021-12-28,107.23
125,2021-12-27,107.23
126,2021-12-26,107.23
127,2021-12-25,107.23
128,2021-12-24,107.23
129,2021-12-23,107.23
130,2021-12-22,107.23
131,2021-12-21,107.23
132,2021-12-20,107.23
133,2021-12-19,107.23
134,2021-12-18,107.23
135,2021-12-17,107.23
136,2021-12-16,107.23
137,2021-12-15,107.23
138,2021-12-14,107.23
139,2021-12-13,107.23
140,2021-12-12,107.23
141,2021-12-11,107.23
142,2021-12-10,107.23
143,2021-12-09,107.23
144,2021-12-08,107.23
145,2021-12-07,107.23
146,2021-12-06,107.23
147,2021-12-05,107.23
148,2021-12-04,107.23
149,2021-12-03,107.23
150,2021-12-02,107.23
151,2021-11-30,107.23
152,2021-11-29,107.23
153,2021-11-28,107.23
154,2021-11-27,107.23
155,2021-11-26,107.23
156,2021-11-25,107.23
157,2021-11-24,107.23
158,2021-11-23,107.23
159,2021-11-22,107.23
160,2021-11-21,107.23
161,2021-11-20,107.23
162,2021-11-19,107.23
163,2021-11-18,107.23
164,2021-11-17,107.23
165,2021-11-16,107.23
166,2021-11-15,107.23
167,2021-11-14,107.23
168,2021-11-13,107.23
