,date,price
0,2022-05-01,118.49
1,2022-04-30,118.49
2,2022-04-29,118.49
3,2022-04-28,118.49
4,2022-04-27,118.49
5,2022-04-26,118.49
6,2022-04-25,118.49
7,2022-04-24,118.49
8,2022-04-23,118.49
9,2022-04-22,118.49
10,2022-04-21,118.49
11,2022-04-20,118.49
12,2022-04-19,118.49
13,2022-04-18,118.49
14,2022-04-17,118.49
15,2022-04-16,118.49
16,2022-04-15,118.49
17,2022-04-14,118.49
18,2022-04-13,118.49
19,2022-04-12,118.49
20,2022-04-11,118.49
21,2022-04-10,118.49
22,2022-04-09,118.49
23,2022-04-08,118.49
24,2022-04-07,118.49
25,2022-04-06,118.49
26,2022-04-05,117.62
27,2022-04-04,116.74
28,2022-04-03,116.3
29,2022-04-02,115.43
30,2022-04-01,114.56
31,2022-03-31,114.56
32,2022-03-30,113.68
33,2022-03-29,112.81
34,2022-03-28,111.94
35,2022-03-27,111.61
36,2022-03-26,111.06
37,2022-03-25,110.2
38,2022-03-24,109.33
39,2022-03-23,109.33
40,2022-03-22,108.46
41,2022-03-21,107.58
42,2022-03-20,107.58
43,2022-03-19,107.58
44,2022-03-18,107.58
45,2022-03-17,107.58
46,2022-03-16,107.58
47,2022-03-15,107.58
48,2022-03-14,107.58
49,2022-03-13,107.58
50,2022-03-12,107.58
51,2022-03-11,107.58
52,2022-03-10,107.58
53,2022-03-09,107.58
54,2022-03-08,107.58
55,2022-03-07,107.58
56,2022-03-06,107.58
57,2022-03-05,107.58
58,2022-03-04,107.58
59,2022-03-03,107.58
60,2022-03-02,107.58
61,2022-03-01,107.58
62,2022-02-28,107.58
63,2022-02-27,107.58
64,2022-02-26,107.58
65,2022-02-25,107.58
66,2022-02-24,107.58
67,2022-02-23,107.58
68,2022-02-22,107.58
69,2022-02-21,107.58
70,2022-02-20,107.58
71,2022-02-19,107.58
72,2022-02-18,107.58
73,2022-02-17,107.58
74,2022-02-16,107.58
75,2022-02-15,107.58
76,2022-02-14,107.58
77,2022-02-13,107.58
78,2022-02-12,107.58
79,2022-02-11,107.58
80,2022-02-10,107.58
81,2022-02-09,107.58
82,2022-02-08,107.58
83,2022-02-07,107.58
84,2022-02-06,107.58
85,2022-02-05,107.58
86,2022-02-04,107.58
87,2022-02-03,107.58
88,2022-02-02,107.58
89,2022-02-01,107.58
90,2022-01-31,107.58
91,2022-01-30,107.58
92,2022-01-29,107.58
93,2022-01-28,107.58
94,2022-01-27,107.58
95,2022-01-26,107.58
96,2022-01-25,107.58
97,2022-01-24,107.58
98,2022-01-23,107.58
99,2022-01-22,107.58
100,2022-01-21,107.58
101,2022-01-20,107.58
102,2022-01-19,107.58
103,2022-01-18,107.58
104,2022-01-17,107.58
105,2022-01-16,107.58
106,2022-01-15,107.58
107,2022-01-14,107.58
108,2022-01-13,107.58
109,2022-01-12,107.58
110,2022-01-11,107.58
111,2022-01-10,107.58
112,2022-01-09,107.58
113,2022-01-08,107.58
114,2022-01-07,107.58
115,2022-01-06,107.58
116,2022-01-05,107.58
117,2022-01-04,107.58
118,2022-01-03,107.58
119,2022-01-02,107.58
120,2022-01-01,107.58
121,2021-12-31,107.58
122,2021-12-30,107.58
123,2021-12-29,107.58
124,2021-12-28,107.58
125,2021-12-27,107.58
126,2021-12-26,107.58
127,2021-12-25,107.58
128,2021-12-24,107.58
129,2021-12-23,107.58
130,2021-12-22,107.58
131,2021-12-21,107.58
132,2021-12-20,107.58
133,2021-12-19,107.58
134,2021-12-18,107.58
135,2021-12-17,107.58
136,2021-12-16,107.58
137,2021-12-15,107.58
138,2021-12-14,107.58
139,2021-12-13,107.58
140,2021-12-12,107.58
141,2021-12-11,107.58
142,2021-12-10,107.58
143,2021-12-09,107.58
144,2021-12-08,107.58
145,2021-12-07,107.58
146,2021-12-06,107.58
147,2021-12-05,107.58
148,2021-12-04,107.58
149,2021-12-03,107.58
150,2021-12-02,107.58
151,2021-11-30,107.58
152,2021-11-29,107.58
153,2021-11-28,107.58
154,2021-11-27,107.58
155,2021-11-26,107.58
156,2021-11-25,107.58
157,2021-11-24,107.58
158,2021-11-23,107.58
159,2021-11-22,107.58
160,2021-11-21,107.58
161,2021-11-20,107.58
162,2021-11-19,107.58
163,2021-11-18,107.58
164,2021-11-17,107.58
165,2021-11-16,107.58
166,2021-11-15,107.58
167,2021-11-14,107.58
168,2021-11-13,107.58
169,2021-11-12,107.58
170,2021-11-11,107.58
171,2021-11-10,107.58
172,2021-11-09,107.58
173,2021-11-08,107.58
174,2021-11-07,107.58
175,2021-11-06,107.58
176,2021-11-05,107.58
177,2021-11-04,112.92
178,2021-11-03,119.2
179,2021-11-02,119.2
180,2021-11-01,118.81
181,2021-10-31,118.4
182,2021-10-30,118.04
183,2021-10-29,117.68
184,2021-10-28,117.32
185,2021-10-27,116.95
186,2021-10-26,116.59
187,2021-10-25,116.59
188,2021-10-24,116.59
189,2021-10-23,116.23
190,2021-10-22,115.87
191,2021-10-21,115.51
192,2021-10-20,115.14
193,2021-10-19,114.78
194,2021-10-18,114.78
195,2021-10-15,114.06
196,2021-10-14,113.7
197,2021-10-13,113.34
198,2021-10-12,113.34
199,2021-10-11,113.34
200,2021-10-10,113.03
201,2021-10-08,112.41
202,2021-10-07,112.1
203,2021-10-06,111.78
204,2021-10-05,111.47
205,2021-10-04,111.22
206,2021-10-03,111.22
207,2021-10-02,110.96
208,2021-10-01,110.7
209,2021-09-30,110.45
210,2021-09-29,110.21
211,2021-09-28,110.21
212,2021-09-27,110.02
213,2021-09-26,110.02
214,2021-09-25,110.02
215,2021-09-24,110.02
216,2021-09-23,110.02
217,2021-09-22,110.02
218,2021-09-21,110.02
219,2021-09-20,110.02
220,2021-09-19,110.02
221,2021-09-18,110.02
222,2021-09-17,110.02
223,2021-09-16,110.02
224,2021-09-15,110.02
225,2021-09-14,110.02
226,2021-09-13,110.02
227,2021-09-12,110.02
228,2021-09-11,110.02
229,2021-09-10,110.02
230,2021-09-09,110.02
231,2021-09-08,110.02
232,2021-09-07,110.02
233,2021-09-06,110.02
234,2021-09-05,110.02
235,2021-09-03,110.18
236,2021-09-02,110.18
237,2021-09-01,110.18
238,2021-08-31,110.35
239,2021-08-30,110.35
240,2021-08-29,110.35
241,2021-08-28,110.35
242,2021-08-27,110.35
243,2021-08-26,110.35
244,2021-08-25,110.35
245,2021-08-24,110.35
246,2021-08-23,110.49
247,2021-08-22,110.49
248,2021-08-21,110.63
249,2021-08-20,110.63
250,2021-08-19,110.63
251,2021-08-18,110.64
252,2021-08-17,110.64
253,2021-08-16,110.64
254,2021-08-15,110.64
255,2021-08-14,110.64
256,2021-08-13,110.64
257,2021-08-12,110.64
258,2021-08-11,110.64
259,2021-08-10,110.64
260,2021-08-09,110.64
261,2021-08-08,110.64
262,2021-08-07,110.64
263,2021-08-06,110.64
264,2021-08-05,110.64
265,2021-08-04,110.64
266,2021-08-03,110.64
267,2021-08-02,110.64
268,2021-08-01,110.64
269,2021-07-31,110.64
270,2021-07-30,110.64
271,2021-07-29,110.64
272,2021-07-28,110.64
273,2021-07-27,110.64
274,2021-07-26,110.64
275,2021-07-25,110.64
276,2021-07-24,110.64
277,2021-07-23,110.64
278,2021-07-22,110.64
279,2021-07-21,110.64
280,2021-07-20,110.64
281,2021-07-19,110.64
282,2021-07-18,110.64
283,2021-07-17,110.64
284,2021-07-16,110.33
285,2021-07-15,110.33
286,2021-07-14,109.97
287,2021-07-13,109.97
288,2021-07-12,109.97
289,2021-07-11,109.68
290,2021-07-10,109.68
291,2021-07-09,109.32
292,2021-07-08,109.32
293,2021-07-07,108.96
294,2021-07-06,108.59
295,2021-07-05,108.59
296,2021-07-04,108.23
297,2021-07-03,107.87
298,2021-07-02,107.87
299,2021-07-01,107.51
300,2021-06-30,107.51
301,2021-06-29,107.51
302,2021-06-28,107.15
303,2021-06-27,107.15
304,2021-06-26,106.79
305,2021-06-25,106.42
306,2021-06-24,106.42
307,2021-06-23,106.15
308,2021-06-22,106.15
309,2021-06-21,105.87
310,2021-06-20,105.87
311,2021-06-19,105.57
312,2021-06-18,105.57
313,2021-06-17,105.29
314,2021-06-16,105.29
315,2021-06-15,105.03
316,2021-06-14,105.03
317,2021-06-13,104.73
318,2021-06-12,104.73
319,2021-06-11,104.45
320,2021-06-10,104.15
321,2021-06-09,104.15
322,2021-06-08,103.89
323,2021-06-07,103.89
324,2021-06-06,103.6
325,2021-06-05,103.32
326,2021-06-04,103.32
327,2021-06-03,103.04
328,2021-06-02,103.04
329,2021-06-01,103.04
330,2021-05-31,102.77
331,2021-05-30,102.47
332,2021-05-29,102.47
333,2021-05-28,102.21
334,2021-05-27,102.21
335,2021-05-26,101.96
336,2021-05-25,101.96
337,2021-05-24,101.72
338,2021-05-23,101.72
339,2021-05-22,101.54
340,2021-05-21,101.54
341,2021-05-20,101.35
342,2021-05-19,101.35
343,2021-05-18,101.35
344,2021-05-17,101.07
345,2021-05-16,101.07
346,2021-05-15,100.82
347,2021-05-14,100.82
348,2021-05-13,100.52
349,2021-05-12,100.52
350,2021-05-11,100.26
351,2021-05-10,99.98
352,2021-05-09,99.71
353,2021-05-08,99.71
354,2021-05-07,99.71
355,2021-05-06,99.43
356,2021-05-05,99.17
357,2021-05-04,98.97
358,2021-05-03,98.76
359,2021-05-02,98.76
360,2021-05-01,98.76
361,2021-04-30,98.76
362,2021-04-29,98.76
363,2021-04-28,98.76
364,2021-04-27,98.76
