,date,price
0,2022-05-01,118.61
1,2022-04-30,118.61
2,2022-04-29,118.61
3,2022-04-28,118.61
4,2022-04-27,118.61
5,2022-04-26,118.61
6,2022-04-25,118.61
7,2022-04-24,118.61
8,2022-04-23,118.61
9,2022-04-22,118.61
10,2022-04-21,118.61
11,2022-04-20,118.61
12,2022-04-19,118.61
13,2022-04-18,118.61
14,2022-04-17,118.61
15,2022-04-16,118.61
16,2022-04-15,118.61
17,2022-04-14,118.61
18,2022-04-13,118.61
19,2022-04-12,118.61
20,2022-04-11,118.61
21,2022-04-10,118.61
22,2022-04-09,118.61
23,2022-04-08,118.61
24,2022-04-07,118.61
25,2022-04-06,118.61
26,2022-04-05,117.73
27,2022-04-04,116.86
28,2022-04-03,116.42
29,2022-04-02,115.55
30,2022-04-01,114.68
31,2022-03-31,114.68
32,2022-03-30,113.8
33,2022-03-29,112.93
34,2022-03-28,112.05
35,2022-03-27,111.73
36,2022-03-26,111.18
37,2022-03-25,110.34
38,2022-03-24,109.47
39,2022-03-23,109.47
40,2022-03-22,108.59
41,2022-03-21,107.72
42,2022-03-20,107.72
43,2022-03-19,107.72
44,2022-03-18,107.72
45,2022-03-17,107.72
46,2022-03-16,107.72
47,2022-03-15,107.72
48,2022-03-14,107.72
49,2022-03-13,107.72
50,2022-03-12,107.72
51,2022-03-11,107.72
52,2022-03-10,107.72
53,2022-03-09,107.72
54,2022-03-08,107.72
55,2022-03-07,107.72
56,2022-03-06,107.72
57,2022-03-05,107.72
58,2022-03-04,107.72
59,2022-03-03,107.72
60,2022-03-02,107.72
61,2022-03-01,107.72
62,2022-02-28,107.72
63,2022-02-27,107.72
64,2022-02-26,107.72
65,2022-02-25,107.72
66,2022-02-24,107.72
67,2022-02-23,107.72
68,2022-02-22,107.72
69,2022-02-21,107.72
70,2022-02-20,107.72
71,2022-02-19,107.72
72,2022-02-18,107.72
73,2022-02-17,107.72
74,2022-02-16,107.72
75,2022-02-15,107.72
76,2022-02-14,107.72
77,2022-02-13,107.72
78,2022-02-12,107.72
79,2022-02-11,107.72
80,2022-02-10,107.72
81,2022-02-09,107.72
82,2022-02-08,107.72
83,2022-02-07,107.72
84,2022-02-06,107.72
85,2022-02-05,107.72
86,2022-02-04,107.72
87,2022-02-03,107.72
88,2022-02-02,107.72
89,2022-02-01,107.72
90,2022-01-31,107.72
91,2022-01-30,107.72
92,2022-01-29,107.72
93,2022-01-28,107.72
94,2022-01-27,107.72
95,2022-01-26,107.72
96,2022-01-25,107.72
97,2022-01-24,107.72
98,2022-01-23,107.72
99,2022-01-22,107.72
100,2022-01-21,107.72
101,2022-01-20,107.72
102,2022-01-19,107.72
103,2022-01-18,107.72
104,2022-01-17,107.72
105,2022-01-16,107.72
106,2022-01-15,107.72
107,2022-01-14,107.72
108,2022-01-13,107.72
109,2022-01-12,107.72
110,2022-01-11,107.72
111,2022-01-10,107.72
112,2022-01-09,107.72
113,2022-01-08,107.72
114,2022-01-07,107.72
115,2022-01-06,107.72
116,2022-01-05,107.72
117,2022-01-04,107.72
118,2022-01-03,107.72
119,2022-01-02,107.72
120,2022-01-01,107.72
121,2021-12-31,107.72
122,2021-12-30,107.72
123,2021-12-29,107.72
124,2021-12-28,107.72
125,2021-12-27,107.72
126,2021-12-26,107.72
127,2021-12-25,107.72
128,2021-12-24,107.72
129,2021-12-23,107.72
130,2021-12-22,107.72
131,2021-12-21,107.72
132,2021-12-20,107.72
133,2021-12-19,107.72
134,2021-12-18,107.72
135,2021-12-17,107.72
136,2021-12-16,107.72
137,2021-12-15,107.72
138,2021-12-14,107.72
139,2021-12-13,107.72
140,2021-12-12,107.72
141,2021-12-11,107.72
142,2021-12-10,107.72
143,2021-12-09,107.72
144,2021-12-08,107.72
145,2021-12-07,107.72
146,2021-12-06,107.72
147,2021-12-05,107.72
148,2021-12-04,107.72
149,2021-12-03,107.72
150,2021-12-02,107.72
151,2021-11-30,107.72
152,2021-11-29,107.72
153,2021-11-28,107.72
154,2021-11-27,107.72
155,2021-11-26,107.72
156,2021-11-25,107.72
157,2021-11-24,107.72
158,2021-11-23,107.72
159,2021-11-22,107.72
160,2021-11-21,107.72
161,2021-11-20,107.72
162,2021-11-19,107.72
163,2021-11-18,107.72
164,2021-11-17,107.72
165,2021-11-16,107.72
166,2021-11-15,107.72
167,2021-11-14,107.72
168,2021-11-13,107.72
169,2021-11-12,107.72
170,2021-11-11,107.72
171,2021-11-10,107.72
172,2021-11-09,107.72
173,2021-11-08,107.72
174,2021-11-07,107.72
175,2021-11-06,107.72
176,2021-11-05,107.72
177,2021-11-04,113.06
178,2021-11-03,119.33
179,2021-11-02,119.33
180,2021-11-01,118.95
181,2021-10-31,118.51
182,2021-10-30,118.15
183,2021-10-29,117.79
184,2021-10-28,117.42
185,2021-10-27,117.06
186,2021-10-26,116.7
187,2021-10-25,116.7
188,2021-10-24,116.7
189,2021-10-23,116.34
190,2021-10-22,115.98
191,2021-10-21,115.61
192,2021-10-20,115.25
193,2021-10-19,114.89
194,2021-10-18,114.89
195,2021-10-15,114.17
196,2021-10-14,113.81
197,2021-10-13,113.44
198,2021-10-12,113.44
199,2021-10-11,113.44
200,2021-10-10,113.13
201,2021-10-08,112.51
202,2021-10-07,112.2
203,2021-10-06,111.89
204,2021-10-05,111.58
205,2021-10-04,111.32
206,2021-10-03,111.32
207,2021-10-02,111.07
208,2021-10-01,110.81
209,2021-09-30,110.56
210,2021-09-29,110.32
211,2021-09-28,110.32
212,2021-09-27,110.13
213,2021-09-26,110.13
214,2021-09-25,110.13
215,2021-09-24,110.13
216,2021-09-23,110.13
217,2021-09-22,110.13
218,2021-09-21,110.13
219,2021-09-20,110.13
220,2021-09-19,110.13
221,2021-09-18,110.13
222,2021-09-17,110.13
223,2021-09-16,110.13
224,2021-09-15,110.13
225,2021-09-14,110.13
226,2021-09-13,110.13
227,2021-09-12,110.13
228,2021-09-11,110.13
229,2021-09-10,110.13
230,2021-09-09,110.13
231,2021-09-08,110.13
232,2021-09-07,110.13
233,2021-09-06,110.13
234,2021-09-05,110.13
235,2021-09-03,110.29
236,2021-09-02,110.29
237,2021-09-01,110.29
238,2021-08-31,110.46
239,2021-08-30,110.46
240,2021-08-29,110.46
241,2021-08-28,110.46
242,2021-08-27,110.46
243,2021-08-26,110.46
244,2021-08-25,110.46
245,2021-08-24,110.46
246,2021-08-23,110.6
247,2021-08-22,110.6
248,2021-08-21,110.69
249,2021-08-20,110.69
250,2021-08-19,110.69
251,2021-08-18,110.69
252,2021-08-17,110.69
253,2021-08-16,110.69
254,2021-08-15,110.69
255,2021-08-14,110.69
256,2021-08-13,110.69
257,2021-08-12,110.69
258,2021-08-11,110.69
259,2021-08-10,110.69
260,2021-08-09,110.69
261,2021-08-08,110.69
262,2021-08-07,110.69
263,2021-08-06,110.69
264,2021-08-05,110.69
265,2021-08-04,110.69
266,2021-08-03,110.69
267,2021-08-02,110.69
268,2021-08-01,110.69
269,2021-07-31,110.69
270,2021-07-30,110.69
271,2021-07-29,110.69
272,2021-07-28,110.69
273,2021-07-27,110.69
274,2021-07-26,110.69
275,2021-07-25,110.69
276,2021-07-24,110.69
277,2021-07-23,110.69
278,2021-07-22,110.69
279,2021-07-21,110.69
280,2021-07-20,110.69
281,2021-07-19,110.69
282,2021-07-18,110.69
283,2021-07-17,110.69
284,2021-07-16,110.38
285,2021-07-15,110.38
286,2021-07-14,110.02
287,2021-07-13,110.02
288,2021-07-12,110.02
289,2021-07-11,109.73
290,2021-07-10,109.73
291,2021-07-09,109.37
292,2021-07-08,109.37
293,2021-07-07,109.01
294,2021-07-06,108.64
295,2021-07-05,108.64
296,2021-07-04,108.28
297,2021-07-03,107.92
298,2021-07-02,107.92
299,2021-07-01,107.56
300,2021-06-30,107.56
301,2021-06-29,107.56
302,2021-06-28,107.2
303,2021-06-27,107.2
304,2021-06-26,106.83
305,2021-06-25,106.47
306,2021-06-24,106.47
307,2021-06-23,106.2
308,2021-06-22,106.2
309,2021-06-21,105.91
310,2021-06-20,105.91
311,2021-06-19,105.62
312,2021-06-18,105.62
313,2021-06-17,105.34
314,2021-06-16,105.34
315,2021-06-15,105.08
316,2021-06-14,105.08
317,2021-06-13,104.78
318,2021-06-12,104.78
319,2021-06-11,104.5
320,2021-06-10,104.2
321,2021-06-09,104.2
322,2021-06-08,103.94
323,2021-06-07,103.94
324,2021-06-06,103.65
325,2021-06-05,103.37
326,2021-06-04,103.37
327,2021-06-03,103.09
328,2021-06-02,103.09
329,2021-06-01,103.09
330,2021-05-31,102.82
331,2021-05-30,102.52
332,2021-05-29,102.52
333,2021-05-28,102.26
334,2021-05-27,102.26
335,2021-05-26,102.01
336,2021-05-25,102.01
337,2021-05-24,101.77
338,2021-05-23,101.77
339,2021-05-22,101.59
340,2021-05-21,101.59
341,2021-05-20,101.4
342,2021-05-19,101.4
343,2021-05-18,101.4
344,2021-05-17,101.12
345,2021-05-16,101.12
346,2021-05-15,100.87
347,2021-05-14,100.87
348,2021-05-13,100.57
349,2021-05-12,100.57
350,2021-05-11,100.31
351,2021-05-10,100.03
352,2021-05-09,99.76
353,2021-05-08,99.76
354,2021-05-07,99.76
355,2021-05-06,99.47
356,2021-05-05,99.22
357,2021-05-04,99.02
358,2021-05-03,98.77
359,2021-05-02,98.77
360,2021-05-01,98.77
361,2021-04-30,98.77
362,2021-04-29,98.77
363,2021-04-28,98.77
364,2021-04-27,98.77
