,date,price
0,2022-05-01,120.56
1,2022-04-30,120.56
2,2022-04-29,120.56
3,2022-04-28,120.56
4,2022-04-27,120.56
5,2022-04-26,120.56
6,2022-04-25,120.56
7,2022-04-24,120.56
8,2022-04-23,120.56
9,2022-04-22,120.56
10,2022-04-21,120.56
11,2022-04-20,120.56
12,2022-04-19,120.56
13,2022-04-18,120.56
14,2022-04-17,120.56
15,2022-04-16,120.56
16,2022-04-15,120.56
17,2022-04-14,120.56
18,2022-04-13,120.56
19,2022-04-12,120.56
20,2022-04-11,120.56
21,2022-04-10,120.56
22,2022-04-09,120.56
23,2022-04-08,120.56
24,2022-04-07,120.56
25,2022-04-06,120.56
26,2022-04-05,119.72
27,2022-04-04,118.89
28,2022-04-03,118.47
29,2022-04-02,117.63
30,2022-04-01,116.8
31,2022-03-31,116.8
32,2022-03-30,115.96
33,2022-03-29,115.12
34,2022-03-28,114.29
35,2022-03-27,113.97
36,2022-03-26,113.45
37,2022-03-25,112.64
38,2022-03-24,111.81
39,2022-03-23,111.81
40,2022-03-22,110.97
41,2022-03-21,110.13
42,2022-03-20,110.13
43,2022-03-19,110.13
44,2022-03-18,110.13
45,2022-03-17,110.13
46,2022-03-16,110.13
47,2022-03-15,110.13
48,2022-03-14,110.13
49,2022-03-13,110.13
50,2022-03-12,110.13
51,2022-03-11,110.13
52,2022-03-10,110.13
53,2022-03-09,110.13
54,2022-03-08,110.13
55,2022-03-07,110.13
56,2022-03-06,110.13
57,2022-03-05,110.13
58,2022-03-04,110.13
59,2022-03-03,110.13
60,2022-03-02,110.13
61,2022-03-01,110.13
62,2022-02-28,110.13
63,2022-02-27,110.13
64,2022-02-26,110.13
65,2022-02-25,110.13
66,2022-02-24,110.13
67,2022-02-23,110.13
68,2022-02-22,110.13
69,2022-02-21,110.13
70,2022-02-20,110.13
71,2022-02-19,110.13
72,2022-02-18,110.13
73,2022-02-17,110.13
74,2022-02-16,110.13
75,2022-02-15,110.13
76,2022-02-14,110.13
77,2022-02-13,110.13
78,2022-02-12,110.13
79,2022-02-11,110.13
80,2022-02-10,110.13
81,2022-02-09,110.13
82,2022-02-08,110.13
83,2022-02-07,110.13
84,2022-02-06,110.13
85,2022-02-05,110.13
86,2022-02-04,110.13
87,2022-02-03,110.13
88,2022-02-02,110.13
89,2022-02-01,110.13
90,2022-01-31,110.13
91,2022-01-30,110.13
92,2022-01-29,110.13
93,2022-01-28,110.13
94,2022-01-27,110.13
95,2022-01-26,110.13
96,2022-01-25,110.13
97,2022-01-24,110.13
98,2022-01-23,110.13
99,2022-01-22,110.13
100,2022-01-21,110.13
101,2022-01-20,110.13
102,2022-01-19,110.13
103,2022-01-18,110.13
104,2022-01-17,110.13
105,2022-01-16,110.13
106,2022-01-15,110.13
107,2022-01-14,110.13
108,2022-01-13,110.13
109,2022-01-12,110.13
110,2022-01-11,110.13
111,2022-01-10,110.13
112,2022-01-09,110.13
113,2022-01-08,110.13
114,2022-01-07,110.13
115,2022-01-06,110.13
116,2022-01-05,110.13
117,2022-01-04,110.13
118,2022-01-03,110.13
119,2022-01-02,110.13
120,2022-01-01,110.13
121,2021-12-31,110.13
122,2021-12-30,110.13
123,2021-12-29,110.13
124,2021-12-28,110.13
125,2021-12-27,110.13
126,2021-12-26,110.13
127,2021-12-25,110.13
128,2021-12-24,110.13
129,2021-12-23,110.13
130,2021-12-22,110.13
131,2021-12-21,110.13
132,2021-12-20,110.13
133,2021-12-19,110.13
134,2021-12-18,110.13
135,2021-12-17,110.13
136,2021-12-16,110.13
137,2021-12-15,110.13
138,2021-12-14,110.13
139,2021-12-13,110.13
140,2021-12-12,110.13
141,2021-12-11,110.13
142,2021-12-10,110.13
143,2021-12-09,110.13
144,2021-12-08,110.13
145,2021-12-07,110.13
146,2021-12-06,110.13
147,2021-12-05,110.13
148,2021-12-04,110.13
149,2021-12-03,110.13
150,2021-12-02,110.13
151,2021-11-30,110.13
152,2021-11-29,110.13
153,2021-11-28,110.13
154,2021-11-27,110.13
155,2021-11-26,110.13
156,2021-11-25,110.13
157,2021-11-24,110.13
158,2021-11-23,110.13
159,2021-11-22,110.13
160,2021-11-21,110.13
161,2021-11-20,110.13
162,2021-11-19,110.13
163,2021-11-18,110.13
164,2021-11-17,110.13
165,2021-11-16,110.13
166,2021-11-15,110.13
167,2021-11-14,110.13
168,2021-11-13,110.13
169,2021-11-12,110.13
170,2021-11-11,110.13
171,2021-11-10,110.13
172,2021-11-09,110.13
173,2021-11-08,110.13
174,2021-11-07,110.13
175,2021-11-06,110.13
176,2021-11-05,110.13
177,2021-11-04,110.13
178,2021-11-03,115.95
179,2021-11-02,115.95
180,2021-11-01,115.59
181,2021-10-31,115.19
182,2021-10-30,114.85
183,2021-10-29,114.51
184,2021-10-28,114.18
185,2021-10-27,113.84
186,2021-10-26,113.51
187,2021-10-25,113.51
188,2021-10-24,113.51
189,2021-10-23,113.17
190,2021-10-22,112.84
191,2021-10-21,112.5
192,2021-10-20,112.16
193,2021-10-19,111.83
194,2021-10-18,111.83
195,2021-10-15,111.16
196,2021-10-14,110.82
197,2021-10-13,110.49
198,2021-10-12,110.49
199,2021-10-11,110.49
200,2021-10-10,110.2
201,2021-10-09,109.91
202,2021-10-08,109.62
203,2021-10-07,109.33
204,2021-10-06,109.05
205,2021-10-05,108.76
206,2021-10-04,108.52
207,2021-10-03,108.52
208,2021-10-02,108.28
209,2021-10-01,108.04
210,2021-09-30,107.81
211,2021-09-29,107.59
212,2021-09-28,107.59
213,2021-09-27,107.41
214,2021-09-26,107.41
215,2021-09-25,107.41
216,2021-09-24,107.41
217,2021-09-23,107.41
218,2021-09-22,107.41
219,2021-09-21,107.41
220,2021-09-20,107.41
