,date,price
0,2022-05-01,121.18
1,2022-04-30,121.18
2,2022-04-29,121.18
3,2022-04-28,121.18
4,2022-04-27,121.18
5,2022-04-26,121.18
6,2022-04-25,121.18
7,2022-04-24,121.18
8,2022-04-23,121.18
9,2022-04-22,121.18
10,2022-04-21,121.18
11,2022-04-20,121.18
12,2022-04-19,121.18
13,2022-04-18,121.18
14,2022-04-17,121.18
15,2022-04-16,121.18
16,2022-04-15,121.18
17,2022-04-14,121.18
18,2022-04-13,121.18
19,2022-04-12,121.18
20,2022-04-11,121.18
21,2022-04-10,121.18
22,2022-04-09,121.18
23,2022-04-08,121.18
24,2022-04-07,121.18
25,2022-04-06,121.18
26,2022-04-05,120.35
27,2022-04-04,119.51
28,2022-04-03,119.09
29,2022-04-02,118.26
30,2022-04-01,118.26
31,2022-03-31,118.26
32,2022-03-30,117.41
33,2022-03-29,116.57
34,2022-03-28,115.73
35,2022-03-27,115.41
36,2022-03-26,114.88
37,2022-03-25,114.07
38,2022-03-24,113.23
39,2022-03-23,113.23
40,2022-03-22,112.39
41,2022-03-21,111.54
42,2022-03-20,111.54
43,2022-03-19,111.54
44,2022-03-18,111.54
45,2022-03-17,111.54
46,2022-03-16,111.54
47,2022-03-15,111.54
48,2022-03-14,111.54
49,2022-03-13,111.54
50,2022-03-12,111.54
51,2022-03-11,111.54
52,2022-03-10,111.54
53,2022-03-09,111.54
54,2022-03-08,111.54
55,2022-03-07,111.54
56,2022-03-06,111.54
57,2022-03-05,111.54
58,2022-03-04,111.54
59,2022-03-03,111.54
60,2022-03-02,111.54
61,2022-03-01,111.54
62,2022-02-28,111.54
63,2022-02-27,111.54
64,2022-02-26,111.54
65,2022-02-25,111.54
66,2022-02-24,111.54
67,2022-02-23,111.54
68,2022-02-22,111.54
69,2022-02-21,111.54
70,2022-02-20,111.54
71,2022-02-19,111.54
72,2022-02-18,111.54
73,2022-02-17,111.54
74,2022-02-16,111.54
75,2022-02-15,111.54
76,2022-02-14,111.54
77,2022-02-13,111.54
78,2022-02-12,111.54
79,2022-02-11,111.54
80,2022-02-10,111.54
81,2022-02-09,111.54
82,2022-02-08,111.54
83,2022-02-07,111.54
84,2022-02-06,111.54
85,2022-02-05,111.54
86,2022-02-04,111.54
87,2022-02-03,111.54
88,2022-02-02,111.54
89,2022-02-01,111.54
90,2022-01-31,111.54
91,2022-01-30,111.54
92,2022-01-29,111.54
93,2022-01-28,111.54
94,2022-01-27,111.54
95,2022-01-26,111.54
96,2022-01-25,111.54
97,2022-01-24,111.54
98,2022-01-23,111.54
99,2022-01-22,111.54
100,2022-01-21,111.54
101,2022-01-20,111.54
102,2022-01-19,111.54
103,2022-01-18,111.54
104,2022-01-17,111.54
105,2022-01-16,111.54
106,2022-01-15,111.54
107,2022-01-14,111.54
108,2022-01-13,111.54
109,2022-01-12,111.54
110,2022-01-11,111.54
111,2022-01-10,111.54
112,2022-01-09,111.54
113,2022-01-08,111.54
114,2022-01-07,111.54
115,2022-01-06,111.54
116,2022-01-05,111.54
117,2022-01-04,111.54
118,2022-01-03,111.54
119,2022-01-02,111.54
120,2022-01-01,111.54
121,2021-12-31,111.54
122,2021-12-30,111.54
123,2021-12-29,111.54
124,2021-12-28,111.54
125,2021-12-27,111.54
126,2021-12-26,111.54
127,2021-12-25,111.54
128,2021-12-24,111.54
129,2021-12-23,111.54
130,2021-12-22,111.54
131,2021-12-21,111.54
132,2021-12-20,111.54
133,2021-12-19,111.54
134,2021-12-18,111.54
135,2021-12-17,111.54
136,2021-12-16,111.54
137,2021-12-15,111.54
138,2021-12-14,111.54
139,2021-12-13,111.54
140,2021-12-12,111.54
141,2021-12-11,111.54
142,2021-12-10,111.54
143,2021-12-09,111.54
144,2021-12-08,111.54
145,2021-12-07,111.54
146,2021-12-06,111.54
147,2021-12-05,111.54
148,2021-12-04,111.54
149,2021-12-03,111.54
150,2021-12-02,111.54
151,2021-11-30,111.54
152,2021-11-29,111.54
153,2021-11-28,111.54
154,2021-11-27,111.54
155,2021-11-26,111.54
156,2021-11-25,111.54
157,2021-11-24,111.54
158,2021-11-23,111.54
159,2021-11-22,111.54
160,2021-11-21,111.54
161,2021-11-20,111.54
162,2021-11-19,111.54
163,2021-11-18,111.54
164,2021-11-17,111.54
165,2021-11-16,111.54
166,2021-11-15,111.54
167,2021-11-14,111.54
168,2021-11-13,111.54
169,2021-11-12,111.54
170,2021-11-11,111.54
171,2021-11-10,111.54
172,2021-11-09,111.54
173,2021-11-08,111.54
174,2021-11-07,111.54
175,2021-11-06,111.54
176,2021-11-05,111.54
177,2021-11-04,111.54
