,date,price
0,2022-05-01,120.13
1,2022-04-30,120.13
2,2022-04-29,120.13
3,2022-04-28,120.13
4,2022-04-27,120.13
5,2022-04-26,120.13
6,2022-04-25,120.13
7,2022-04-24,120.13
8,2022-04-23,120.13
9,2022-04-22,120.13
10,2022-04-21,120.13
11,2022-04-20,120.13
12,2022-04-19,120.13
13,2022-04-18,120.13
14,2022-04-17,120.13
15,2022-04-16,120.13
16,2022-04-15,120.13
17,2022-04-14,120.13
18,2022-04-13,120.13
19,2022-04-12,120.13
20,2022-04-11,120.13
21,2022-04-10,120.13
22,2022-04-09,120.13
23,2022-04-08,120.13
24,2022-04-07,120.13
25,2022-04-06,120.13
26,2022-04-05,119.29
27,2022-04-04,118.46
28,2022-04-03,118.04
29,2022-04-02,117.2
30,2022-04-01,116.37
31,2022-03-31,116.37
32,2022-03-30,115.53
33,2022-03-29,114.69
34,2022-03-28,113.86
35,2022-03-27,113.54
36,2022-03-26,113.02
37,2022-03-25,112.19
38,2022-03-24,111.35
39,2022-03-23,111.35
40,2022-03-22,110.52
41,2022-03-21,109.67
42,2022-03-20,109.67
43,2022-03-19,109.67
44,2022-03-18,109.67
45,2022-03-17,109.67
46,2022-03-16,109.67
47,2022-03-15,109.67
48,2022-03-14,109.67
49,2022-03-13,109.67
50,2022-03-12,109.67
51,2022-03-11,109.67
52,2022-03-10,109.67
53,2022-03-09,109.67
54,2022-03-08,109.67
55,2022-03-07,109.67
56,2022-03-06,109.67
57,2022-03-05,109.67
58,2022-03-04,109.67
59,2022-03-03,109.67
60,2022-03-02,109.67
61,2022-03-01,109.67
62,2022-02-28,109.67
63,2022-02-27,109.67
64,2022-02-26,109.67
65,2022-02-25,109.67
66,2022-02-24,109.67
67,2022-02-23,109.67
68,2022-02-22,109.67
69,2022-02-21,109.67
70,2022-02-20,109.67
71,2022-02-19,109.67
72,2022-02-18,109.67
73,2022-02-17,109.67
74,2022-02-16,109.67
75,2022-02-15,109.67
76,2022-02-14,109.67
77,2022-02-13,109.67
78,2022-02-12,109.67
79,2022-02-11,109.67
80,2022-02-10,109.67
81,2022-02-09,109.67
82,2022-02-08,109.67
83,2022-02-07,109.67
84,2022-02-06,109.67
85,2022-02-05,109.67
86,2022-02-04,109.67
87,2022-02-03,109.67
88,2022-02-02,109.67
89,2022-02-01,109.67
90,2022-01-31,109.67
91,2022-01-30,109.67
92,2022-01-29,109.67
93,2022-01-28,109.67
94,2022-01-27,109.67
95,2022-01-26,109.67
96,2022-01-25,109.67
97,2022-01-24,109.67
98,2022-01-23,109.67
99,2022-01-22,109.67
100,2022-01-21,109.67
101,2022-01-20,109.67
102,2022-01-19,109.67
103,2022-01-18,109.67
104,2022-01-17,109.67
105,2022-01-16,109.67
106,2022-01-15,109.67
107,2022-01-14,109.67
108,2022-01-13,109.67
109,2022-01-12,109.67
110,2022-01-11,109.67
111,2022-01-10,109.67
112,2022-01-09,109.67
113,2022-01-08,109.67
114,2022-01-07,109.67
115,2022-01-06,109.67
116,2022-01-05,109.67
117,2022-01-04,109.67
118,2022-01-03,109.67
119,2022-01-02,109.67
120,2022-01-01,109.67
121,2021-12-31,109.67
122,2021-12-30,109.67
123,2021-12-29,109.67
124,2021-12-28,109.67
125,2021-12-27,109.67
126,2021-12-26,109.67
127,2021-12-25,109.67
128,2021-12-24,109.67
129,2021-12-23,109.67
130,2021-12-22,109.67
131,2021-12-21,109.67
132,2021-12-20,109.67
133,2021-12-19,109.67
134,2021-12-18,109.67
135,2021-12-17,109.67
136,2021-12-16,109.67
137,2021-12-15,109.67
138,2021-12-14,109.67
139,2021-12-13,109.67
140,2021-12-12,109.67
141,2021-12-11,109.67
142,2021-12-10,109.67
143,2021-12-09,109.67
144,2021-12-08,109.67
145,2021-12-07,109.67
146,2021-12-06,109.67
147,2021-12-05,109.67
148,2021-12-04,109.67
149,2021-12-03,109.67
150,2021-12-02,109.67
151,2021-11-30,109.67
152,2021-11-29,109.67
153,2021-11-28,109.67
154,2021-11-27,109.67
155,2021-11-26,109.67
156,2021-11-25,109.67
157,2021-11-24,109.67
158,2021-11-23,109.67
159,2021-11-22,109.67
160,2021-11-21,109.67
161,2021-11-20,109.67
162,2021-11-19,109.67
163,2021-11-18,109.67
164,2021-11-17,109.67
165,2021-11-16,109.67
166,2021-11-15,109.67
167,2021-11-14,109.67
168,2021-11-13,109.67
169,2021-11-12,109.67
170,2021-11-11,109.67
171,2021-11-10,109.67
172,2021-11-09,109.67
173,2021-11-08,109.67
174,2021-11-07,109.67
175,2021-11-06,109.67
176,2021-11-05,109.67
177,2021-11-04,109.67
178,2021-11-03,115.49
179,2021-11-02,115.49
180,2021-11-01,115.14
181,2021-10-31,114.78
182,2021-10-30,114.44
183,2021-10-29,114.11
184,2021-10-28,113.77
185,2021-10-27,113.43
186,2021-10-26,113.1
187,2021-10-25,113.1
188,2021-10-24,113.1
189,2021-10-23,112.76
190,2021-10-22,112.43
191,2021-10-21,112.09
192,2021-10-20,111.76
193,2021-10-19,111.42
194,2021-10-18,111.42
195,2021-10-15,110.75
196,2021-10-14,110.41
197,2021-10-13,110.08
198,2021-10-12,110.08
199,2021-10-11,110.08
200,2021-10-10,109.79
201,2021-10-09,109.5
202,2021-10-08,109.21
203,2021-10-07,108.93
204,2021-10-06,108.64
205,2021-10-05,108.35
206,2021-10-04,108.11
207,2021-10-03,108.11
208,2021-10-02,107.87
209,2021-10-01,107.63
210,2021-09-30,107.4
211,2021-09-29,107.18
212,2021-09-28,107.18
213,2021-09-27,107
214,2021-09-26,107
215,2021-09-25,107
216,2021-09-24,107
217,2021-09-23,107
218,2021-09-22,107
219,2021-09-21,107
220,2021-09-20,107
221,2021-09-19,107
222,2021-09-18,107
223,2021-09-17,107
224,2021-09-16,107
225,2021-09-15,107
226,2021-09-14,107
227,2021-09-13,107
228,2021-09-12,107
229,2021-09-11,107
230,2021-09-10,107
231,2021-09-09,107
232,2021-09-08,107
233,2021-09-07,107
234,2021-09-06,107
235,2021-09-05,107
236,2021-09-03,107.15
237,2021-09-02,107.15
238,2021-09-01,107.15
239,2021-08-31,107.31
240,2021-08-30,107.31
241,2021-08-29,107.31
242,2021-08-28,107.31
243,2021-08-27,107.31
244,2021-08-26,107.31
245,2021-08-25,107.31
246,2021-08-24,107.31
247,2021-08-23,107.44
248,2021-08-22,107.44
249,2021-08-21,107.6
250,2021-08-20,107.6
251,2021-08-19,107.6
252,2021-08-18,107.69
253,2021-08-17,107.69
254,2021-08-16,107.69
255,2021-08-15,107.69
256,2021-08-14,107.69
