,date,price
0,2022-05-01,121.78
1,2022-04-30,121.78
2,2022-04-29,121.78
3,2022-04-28,121.78
4,2022-04-27,121.78
5,2022-04-26,121.78
6,2022-04-25,121.78
7,2022-04-24,121.78
8,2022-04-23,121.78
9,2022-04-22,121.78
10,2022-04-21,121.78
11,2022-04-20,121.78
12,2022-04-19,121.78
13,2022-04-18,121.78
14,2022-04-17,121.78
15,2022-04-16,121.78
16,2022-04-15,121.78
17,2022-04-14,121.78
18,2022-04-13,121.78
19,2022-04-12,121.78
20,2022-04-11,121.78
21,2022-04-10,121.78
22,2022-04-09,121.78
23,2022-04-08,121.78
24,2022-04-07,121.78
25,2022-04-06,121.78
26,2022-04-05,120.95
27,2022-04-04,120.11
28,2022-04-03,119.69
29,2022-04-02,118.86
30,2022-04-01,118.02
31,2022-03-31,118.02
32,2022-03-30,117.18
33,2022-03-29,116.35
34,2022-03-28,115.51
35,2022-03-27,115.2
36,2022-03-26,114.67
37,2022-03-25,113.89
38,2022-03-24,113.05
39,2022-03-23,113.05
40,2022-03-22,112.22
41,2022-03-21,111.37
42,2022-03-20,111.37
43,2022-03-19,111.37
44,2022-03-18,111.37
45,2022-03-17,111.37
46,2022-03-16,111.37
47,2022-03-15,111.37
48,2022-03-14,111.37
49,2022-03-13,111.37
50,2022-03-12,111.37
51,2022-03-11,111.37
52,2022-03-10,111.37
53,2022-03-09,111.37
54,2022-03-08,111.37
55,2022-03-07,111.37
56,2022-03-06,111.37
57,2022-03-05,111.37
58,2022-03-04,111.37
59,2022-03-03,111.37
60,2022-03-02,111.37
61,2022-03-01,111.37
62,2022-02-28,111.37
63,2022-02-27,111.37
64,2022-02-26,111.37
65,2022-02-25,111.37
66,2022-02-24,111.37
67,2022-02-23,111.37
68,2022-02-22,111.37
69,2022-02-21,111.37
70,2022-02-20,111.37
71,2022-02-19,111.37
72,2022-02-18,111.37
73,2022-02-17,111.37
74,2022-02-16,111.37
75,2022-02-15,111.37
76,2022-02-14,111.37
77,2022-02-13,111.37
78,2022-02-12,111.37
