,date,price
0,2022-05-01,121.42
1,2022-04-30,121.42
2,2022-04-29,121.42
3,2022-04-28,121.42
4,2022-04-27,121.42
5,2022-04-26,121.42
6,2022-04-25,121.42
7,2022-04-24,121.42
8,2022-04-23,121.42
9,2022-04-22,121.42
10,2022-04-21,121.42
11,2022-04-20,121.42
12,2022-04-19,121.42
13,2022-04-18,121.42
14,2022-04-17,121.42
15,2022-04-16,121.42
16,2022-04-15,121.42
17,2022-04-14,121.42
18,2022-04-13,121.42
19,2022-04-12,121.42
20,2022-04-11,121.42
21,2022-04-10,121.42
22,2022-04-09,121.42
23,2022-04-08,121.42
24,2022-04-07,121.42
25,2022-04-06,121.42
26,2022-04-05,120.59
27,2022-04-04,119.75
28,2022-04-03,119.33
29,2022-04-02,118.5
30,2022-04-01,117.66
31,2022-03-31,117.66
32,2022-03-30,116.82
33,2022-03-29,115.99
34,2022-03-28,115.15
35,2022-03-27,114.84
36,2022-03-26,114.32
37,2022-03-25,113.52
38,2022-03-24,112.68
39,2022-03-23,112.68
40,2022-03-22,111.85
41,2022-03-21,111
42,2022-03-20,111
43,2022-03-19,111
44,2022-03-18,111
45,2022-03-17,111
46,2022-03-16,111
47,2022-03-15,111
48,2022-03-14,111
49,2022-03-13,111
50,2022-03-12,111
51,2022-03-11,111
52,2022-03-10,111
53,2022-03-09,111
54,2022-03-08,111
55,2022-03-07,111
56,2022-03-06,111
57,2022-03-05,111
58,2022-03-04,111
59,2022-03-03,111
60,2022-03-02,111
61,2022-03-01,111
62,2022-02-28,111
63,2022-02-27,111
64,2022-02-26,111
65,2022-02-25,111
66,2022-02-24,111
67,2022-02-23,111
68,2022-02-22,111
69,2022-02-21,111
70,2022-02-20,111
71,2022-02-19,111
72,2022-02-18,111
73,2022-02-17,111
74,2022-02-16,111
75,2022-02-15,111
76,2022-02-14,111
77,2022-02-13,111
78,2022-02-12,111
79,2022-02-11,111
80,2022-02-10,111
81,2022-02-09,111
82,2022-02-08,111
83,2022-02-07,111
84,2022-02-06,111
85,2022-02-05,111
86,2022-02-04,111
87,2022-02-03,111
88,2022-02-02,111
89,2022-02-01,111
90,2022-01-31,111
91,2022-01-30,111
92,2022-01-29,111
93,2022-01-28,111
94,2022-01-27,111
95,2022-01-26,111
96,2022-01-25,111
97,2022-01-24,111
98,2022-01-23,111
99,2022-01-22,111
100,2022-01-21,111
101,2022-01-20,111
102,2022-01-19,111
103,2022-01-18,111
104,2022-01-17,111
105,2022-01-16,111
106,2022-01-15,111
107,2022-01-14,111
108,2022-01-13,111
109,2022-01-12,111
110,2022-01-11,111
111,2022-01-10,111
112,2022-01-09,111
113,2022-01-08,111
114,2022-01-07,111
115,2022-01-06,111
116,2022-01-05,111
117,2022-01-04,111
118,2022-01-03,111
119,2022-01-02,111
120,2022-01-01,111
121,2021-12-31,111
122,2021-12-30,111
123,2021-12-29,111
124,2021-12-28,111
125,2021-12-27,111
126,2021-12-26,111
127,2021-12-25,111
128,2021-12-24,111
129,2021-12-23,111
130,2021-12-22,111
131,2021-12-21,111
132,2021-12-20,111
133,2021-12-19,111
134,2021-12-18,111
135,2021-12-17,111
136,2021-12-16,111
137,2021-12-15,111
138,2021-12-14,111
139,2021-12-13,111
140,2021-12-12,111
141,2021-12-11,111
142,2021-12-10,111
143,2021-12-09,111
144,2021-12-08,111
145,2021-12-07,111
146,2021-12-06,111
147,2021-12-05,111
148,2021-12-04,111
149,2021-12-03,111
150,2021-12-02,111
151,2021-11-30,111
152,2021-11-29,111
153,2021-11-28,111
154,2021-11-27,111
155,2021-11-26,111
156,2021-11-25,111
157,2021-11-24,111
158,2021-11-23,111
159,2021-11-22,111
160,2021-11-21,111
161,2021-11-20,111
162,2021-11-19,111
163,2021-11-18,111
164,2021-11-17,111
165,2021-11-16,111
166,2021-11-15,111
167,2021-11-14,111
168,2021-11-13,111
169,2021-11-12,111
170,2021-11-11,111
171,2021-11-10,111
172,2021-11-09,111
173,2021-11-08,111
174,2021-11-07,111
175,2021-11-06,111
176,2021-11-05,111
177,2021-11-04,111
178,2021-11-03,116.82
179,2021-11-02,116.82
180,2021-11-01,116.47
181,2021-10-31,116.04
182,2021-10-30,115.7
183,2021-10-29,115.37
184,2021-10-28,115.03
185,2021-10-27,114.7
186,2021-10-26,114.36
187,2021-10-25,114.36
188,2021-10-24,114.36
189,2021-10-23,114.03
190,2021-10-22,113.69
191,2021-10-21,113.35
192,2021-10-20,113.02
193,2021-10-19,112.68
194,2021-10-18,112.68
195,2021-10-15,112.01
196,2021-10-14,111.68
197,2021-10-13,111.34
198,2021-10-12,111.34
199,2021-10-11,111.34
200,2021-10-10,111.05
201,2021-10-09,110.77
202,2021-10-08,110.48
203,2021-10-07,110.19
204,2021-10-06,109.9
205,2021-10-05,109.61
206,2021-10-04,109.37
207,2021-10-03,109.37
208,2021-10-02,109.13
209,2021-10-01,108.9
210,2021-09-30,108.67
211,2021-09-29,108.44
212,2021-09-28,108.44
213,2021-09-27,108.26
214,2021-09-26,108.26
215,2021-09-25,108.26
216,2021-09-24,108.26
217,2021-09-23,108.26
218,2021-09-22,108.26
219,2021-09-21,108.26
220,2021-09-20,108.26
221,2021-09-19,108.26
222,2021-09-18,108.26
223,2021-09-17,108.26
224,2021-09-16,108.26
225,2021-09-15,108.26
226,2021-09-14,108.26
227,2021-09-13,108.26
228,2021-09-12,108.26
229,2021-09-11,108.26
230,2021-09-10,108.26
231,2021-09-09,108.26
232,2021-09-08,108.26
233,2021-09-07,108.26
234,2021-09-06,108.26
235,2021-09-05,108.26
236,2021-09-03,108.41
237,2021-09-02,108.41
238,2021-09-01,108.41
239,2021-08-31,108.57
240,2021-08-30,108.57
241,2021-08-29,108.57
242,2021-08-28,108.57
243,2021-08-27,108.57
244,2021-08-26,108.57
245,2021-08-25,108.57
246,2021-08-24,108.57
247,2021-08-23,108.7
248,2021-08-22,108.7
249,2021-08-21,108.76
250,2021-08-20,108.76
251,2021-08-19,108.76
252,2021-08-18,108.77
253,2021-08-17,108.77
254,2021-08-16,108.77
255,2021-08-15,108.77
256,2021-08-14,108.77
257,2021-08-13,108.77
258,2021-08-12,108.77
259,2021-08-11,108.77
260,2021-08-10,108.77
261,2021-08-09,108.77
262,2021-08-08,108.77
263,2021-08-07,108.77
264,2021-08-06,108.77
265,2021-08-05,108.77
266,2021-08-04,108.77
267,2021-08-03,108.77
268,2021-08-02,108.77
269,2021-08-01,108.77
270,2021-07-31,108.77
271,2021-07-30,108.77
272,2021-07-29,108.77
273,2021-07-28,108.77
274,2021-07-27,108.77
275,2021-07-26,108.77
276,2021-07-25,108.77
277,2021-07-24,108.77
278,2021-07-23,108.77
279,2021-07-22,108.77
280,2021-07-21,108.77
281,2021-07-20,108.77
282,2021-07-19,108.77
283,2021-07-18,108.77
284,2021-07-17,108.77
285,2021-07-16,108.48
286,2021-07-15,108.48
287,2021-07-14,108.14
288,2021-07-13,108.14
289,2021-07-12,108.14
290,2021-07-11,107.87
291,2021-07-10,107.87
292,2021-07-09,107.54
293,2021-07-08,107.54
294,2021-07-07,107.2
295,2021-07-06,106.87
296,2021-07-05,106.87
297,2021-07-04,106.53
298,2021-07-03,106.2
299,2021-07-02,106.2
300,2021-07-01,105.86
301,2021-06-30,105.86
302,2021-06-29,105.86
303,2021-06-28,105.52
304,2021-06-27,105.52
305,2021-06-26,105.19
306,2021-06-25,104.85
307,2021-06-24,104.85
308,2021-06-23,104.6
309,2021-06-22,104.6
310,2021-06-21,104.34
311,2021-06-20,104.34
312,2021-06-19,104.06
313,2021-06-18,104.06
314,2021-06-17,103.8
315,2021-06-16,103.8
316,2021-06-15,103.56
317,2021-06-14,103.56
318,2021-06-13,103.28
319,2021-06-12,103.28
320,2021-06-11,103.02
321,2021-06-10,102.74
322,2021-06-09,102.74
323,2021-06-08,102.5
324,2021-06-07,102.5
325,2021-06-06,102.23
326,2021-06-05,101.98
327,2021-06-04,101.98
328,2021-06-03,101.72
329,2021-06-02,101.72
330,2021-06-01,101.72
331,2021-05-31,101.47
332,2021-05-30,101.19
333,2021-05-29,101.19
334,2021-05-28,100.94
335,2021-05-27,100.94
336,2021-05-26,100.71
337,2021-05-25,100.71
338,2021-05-24,100.49
339,2021-05-23,100.49
340,2021-05-22,100.33
341,2021-05-21,100.33
342,2021-05-20,100.14
343,2021-05-19,100.14
344,2021-05-18,100.14
345,2021-05-17,99.89
346,2021-05-16,99.89
347,2021-05-15,99.65
348,2021-05-14,99.65
349,2021-05-13,99.38
350,2021-05-12,99.38
351,2021-05-11,99.14
352,2021-05-10,98.88
353,2021-05-09,98.63
354,2021-05-08,98.63
355,2021-05-07,98.63
356,2021-05-06,98.36
357,2021-05-05,98.12
358,2021-05-04,97.94
359,2021-05-03,97.68
360,2021-05-02,97.68
361,2021-05-01,97.68
362,2021-04-30,97.68
363,2021-04-29,97.68
364,2021-04-28,97.68
