,date,price
0,2022-05-01,121.48
1,2022-04-30,121.48
2,2022-04-29,121.48
3,2022-04-28,121.48
4,2022-04-27,121.48
5,2022-04-26,121.48
6,2022-04-25,121.48
7,2022-04-24,121.48
8,2022-04-23,121.48
9,2022-04-22,121.48
10,2022-04-21,121.48
11,2022-04-20,121.48
12,2022-04-19,121.48
13,2022-04-18,121.48
14,2022-04-17,121.48
15,2022-04-16,121.48
16,2022-04-15,121.48
17,2022-04-14,121.48
18,2022-04-13,121.48
19,2022-04-12,121.48
20,2022-04-11,121.48
21,2022-04-10,121.48
22,2022-04-09,121.48
23,2022-04-08,121.48
24,2022-04-07,121.48
25,2022-04-06,121.48
26,2022-04-05,120.64
27,2022-04-04,119.8
28,2022-04-03,119.38
29,2022-04-02,118.55
30,2022-04-01,117.71
31,2022-03-31,117.71
32,2022-03-30,116.88
33,2022-03-29,116.04
34,2022-03-28,115.2
35,2022-03-27,114.89
36,2022-03-26,114.37
37,2022-03-25,113.58
38,2022-03-24,112.74
39,2022-03-23,112.74
40,2022-03-22,111.9
41,2022-03-21,111.06
42,2022-03-20,111.06
43,2022-03-19,111.06
44,2022-03-18,111.06
45,2022-03-17,111.06
46,2022-03-16,111.06
47,2022-03-15,111.06
48,2022-03-14,111.06
49,2022-03-13,111.06
50,2022-03-12,111.06
51,2022-03-11,111.06
52,2022-03-10,111.06
53,2022-03-09,111.06
54,2022-03-08,111.06
55,2022-03-07,111.06
56,2022-03-06,111.06
57,2022-03-05,111.06
58,2022-03-04,111.06
59,2022-03-03,111.06
60,2022-03-02,111.06
61,2022-03-01,111.06
62,2022-02-28,111.06
63,2022-02-27,111.06
64,2022-02-26,111.06
65,2022-02-25,111.06
66,2022-02-24,111.06
67,2022-02-23,111.06
68,2022-02-22,111.06
69,2022-02-21,111.06
70,2022-02-20,111.06
71,2022-02-19,111.06
72,2022-02-18,111.06
73,2022-02-17,111.06
74,2022-02-16,111.06
75,2022-02-15,111.06
76,2022-02-14,111.06
77,2022-02-13,111.06
78,2022-02-12,111.06
79,2022-02-11,111.06
80,2022-02-10,111.06
81,2022-02-09,111.06
82,2022-02-08,111.06
83,2022-02-07,111.06
84,2022-02-06,111.06
85,2022-02-05,111.06
86,2022-02-04,111.06
87,2022-02-03,111.06
88,2022-02-02,111.06
89,2022-02-01,111.06
90,2022-01-31,111.06
91,2022-01-30,111.06
92,2022-01-29,111.06
93,2022-01-28,111.06
94,2022-01-27,111.06
95,2022-01-26,111.06
96,2022-01-25,111.06
97,2022-01-24,111.06
98,2022-01-23,111.06
99,2022-01-22,111.06
100,2022-01-21,111.06
101,2022-01-20,111.06
102,2022-01-19,111.06
103,2022-01-18,111.06
104,2022-01-17,111.06
105,2022-01-16,111.06
106,2022-01-15,111.06
107,2022-01-14,111.06
108,2022-01-13,111.06
109,2022-01-12,111.06
110,2022-01-11,111.06
111,2022-01-10,111.06
112,2022-01-09,111.06
113,2022-01-08,111.06
114,2022-01-07,111.06
115,2022-01-06,111.06
116,2022-01-05,111.06
117,2022-01-04,111.06
118,2022-01-03,111.06
119,2022-01-02,111.06
120,2022-01-01,111.06
121,2021-12-31,111.06
122,2021-12-30,111.06
123,2021-12-29,111.06
124,2021-12-28,111.06
125,2021-12-27,111.06
126,2021-12-26,111.06
127,2021-12-25,111.06
128,2021-12-24,111.06
129,2021-12-23,111.06
130,2021-12-22,111.06
131,2021-12-21,111.06
132,2021-12-20,111.06
133,2021-12-19,111.06
134,2021-12-18,111.06
135,2021-12-17,111.06
136,2021-12-16,111.06
137,2021-12-15,111.06
138,2021-12-14,111.06
139,2021-12-13,111.06
140,2021-12-12,111.06
141,2021-12-11,111.06
142,2021-12-10,111.06
143,2021-12-09,111.06
144,2021-12-08,111.06
145,2021-12-07,111.06
146,2021-12-06,111.06
147,2021-12-05,111.06
148,2021-12-04,111.06
149,2021-12-03,111.06
150,2021-12-02,111.06
151,2021-11-30,111.06
152,2021-11-29,111.06
153,2021-11-28,111.06
154,2021-11-27,111.06
