,date,price
0,2022-05-01,120.14
1,2022-04-30,120.14
2,2022-04-29,120.14
3,2022-04-28,120.14
4,2022-04-27,120.14
5,2022-04-26,120.14
6,2022-04-25,120.14
7,2022-04-24,120.14
8,2022-04-23,120.14
9,2022-04-22,120.14
10,2022-04-21,120.14
11,2022-04-20,120.14
12,2022-04-19,120.14
13,2022-04-18,120.14
14,2022-04-17,120.14
15,2022-04-16,120.14
16,2022-04-15,120.14
17,2022-04-14,120.14
18,2022-04-13,120.14
19,2022-04-12,120.14
20,2022-04-11,120.14
21,2022-04-10,120.14
22,2022-04-09,120.14
23,2022-04-08,120.14
24,2022-04-07,120.14
25,2022-04-06,120.14
26,2022-04-05,119.31
27,2022-04-04,118.47
28,2022-04-03,118.05
29,2022-04-02,117.22
30,2022-04-01,116.38
31,2022-03-31,116.38
32,2022-03-30,115.55
33,2022-03-29,114.71
34,2022-03-28,113.87
35,2022-03-27,113.56
36,2022-03-26,113.04
37,2022-03-25,112.2
38,2022-03-24,111.37
39,2022-03-23,111.37
40,2022-03-22,110.53
41,2022-03-21,109.68
42,2022-03-20,109.68
43,2022-03-19,109.68
44,2022-03-18,109.68
45,2022-03-17,109.68
46,2022-03-16,109.68
47,2022-03-15,109.68
48,2022-03-14,109.68
49,2022-03-13,109.68
50,2022-03-12,109.68
51,2022-03-11,109.68
52,2022-03-10,109.68
53,2022-03-09,109.68
54,2022-03-08,109.68
55,2022-03-07,109.68
56,2022-03-06,109.68
57,2022-03-05,109.68
58,2022-03-04,109.68
59,2022-03-03,109.68
60,2022-03-02,109.68
61,2022-03-01,109.68
62,2022-02-28,109.68
63,2022-02-27,109.68
64,2022-02-26,109.68
65,2022-02-25,109.68
66,2022-02-24,109.68
67,2022-02-23,109.68
68,2022-02-22,109.68
69,2022-02-21,109.68
70,2022-02-20,109.68
71,2022-02-19,109.68
72,2022-02-18,109.68
73,2022-02-17,109.68
74,2022-02-16,109.68
75,2022-02-15,109.68
76,2022-02-14,109.68
77,2022-02-13,109.68
78,2022-02-12,109.68
79,2022-02-11,109.68
80,2022-02-10,109.68
81,2022-02-09,109.68
82,2022-02-08,109.68
83,2022-02-07,109.68
84,2022-02-06,109.68
85,2022-02-05,109.68
86,2022-02-04,109.68
87,2022-02-03,109.68
88,2022-02-02,109.68
89,2022-02-01,109.68
90,2022-01-31,109.68
91,2022-01-30,109.68
92,2022-01-29,109.68
93,2022-01-28,109.68
94,2022-01-27,109.68
95,2022-01-26,109.68
96,2022-01-25,109.68
97,2022-01-24,109.68
98,2022-01-23,109.68
99,2022-01-22,109.68
100,2022-01-21,109.68
101,2022-01-20,109.68
102,2022-01-19,109.68
103,2022-01-18,109.68
104,2022-01-17,109.68
105,2022-01-16,109.68
106,2022-01-15,109.68
107,2022-01-14,109.68
108,2022-01-13,109.68
109,2022-01-12,109.68
110,2022-01-11,109.68
111,2022-01-10,109.68
112,2022-01-09,109.68
113,2022-01-08,109.68
114,2022-01-07,109.68
115,2022-01-06,109.68
116,2022-01-05,109.68
117,2022-01-04,109.68
118,2022-01-03,109.68
119,2022-01-02,109.68
120,2022-01-01,109.68
121,2021-12-31,109.68
122,2021-12-30,109.68
123,2021-12-29,109.68
124,2021-12-28,109.68
125,2021-12-27,109.68
126,2021-12-26,109.68
127,2021-12-25,109.68
128,2021-12-24,109.68
129,2021-12-23,109.68
130,2021-12-22,109.68
131,2021-12-21,109.68
132,2021-12-20,109.68
133,2021-12-19,109.68
134,2021-12-18,109.68
135,2021-12-17,109.68
136,2021-12-16,109.68
137,2021-12-15,109.68
138,2021-12-14,109.68
139,2021-12-13,109.68
140,2021-12-12,109.68
141,2021-12-11,109.68
142,2021-12-10,109.68
143,2021-12-09,109.68
144,2021-12-08,109.68
145,2021-12-07,109.68
146,2021-12-06,109.68
147,2021-12-05,109.68
148,2021-12-04,109.68
149,2021-12-03,109.68
150,2021-12-02,109.68
151,2021-11-30,109.68
152,2021-11-29,109.68
153,2021-11-28,109.68
154,2021-11-27,109.68
155,2021-11-26,109.68
156,2021-11-25,109.68
157,2021-11-24,109.68
158,2021-11-23,109.68
159,2021-11-22,109.68
160,2021-11-21,109.68
161,2021-11-20,109.68
162,2021-11-19,109.68
163,2021-11-18,109.68
164,2021-11-17,109.68
165,2021-11-16,109.68
166,2021-11-15,109.68
167,2021-11-14,109.68
168,2021-11-13,109.68
169,2021-11-12,109.68
170,2021-11-11,109.68
171,2021-11-10,109.68
172,2021-11-09,109.68
173,2021-11-08,109.68
174,2021-11-07,109.68
175,2021-11-06,109.68
176,2021-11-05,109.68
177,2021-11-04,109.68
178,2021-11-03,115.5
179,2021-11-02,115.5
180,2021-11-01,115.15
181,2021-10-31,114.8
182,2021-10-30,114.46
183,2021-10-29,114.12
184,2021-10-28,113.79
185,2021-10-27,113.45
186,2021-10-26,113.12
187,2021-10-25,113.12
