,date,price
0,2022-05-01,119.95
1,2022-04-30,119.95
2,2022-04-29,119.95
3,2022-04-28,119.95
4,2022-04-27,119.95
5,2022-04-26,119.95
6,2022-04-25,119.95
7,2022-04-24,119.95
8,2022-04-23,119.95
9,2022-04-22,119.95
10,2022-04-21,119.95
11,2022-04-20,119.95
12,2022-04-19,119.95
13,2022-04-18,119.95
14,2022-04-17,119.95
15,2022-04-16,119.95
16,2022-04-15,119.95
17,2022-04-14,119.95
18,2022-04-13,119.95
19,2022-04-12,119.95
20,2022-04-11,119.95
21,2022-04-10,119.95
22,2022-04-09,119.95
23,2022-04-08,119.95
24,2022-04-07,119.95
25,2022-04-06,119.95
26,2022-04-05,119.12
27,2022-04-04,118.28
28,2022-04-03,117.86
29,2022-04-02,117.03
30,2022-04-01,116.19
31,2022-03-31,116.19
32,2022-03-30,115.35
33,2022-03-29,114.52
34,2022-03-28,113.68
35,2022-03-27,113.37
36,2022-03-26,112.85
37,2022-03-25,112.01
38,2022-03-24,111.18
39,2022-03-23,111.18
40,2022-03-22,110.34
41,2022-03-21,109.5
42,2022-03-20,109.5
43,2022-03-19,109.5
44,2022-03-18,109.5
45,2022-03-17,109.5
46,2022-03-16,109.5
47,2022-03-15,109.5
48,2022-03-14,109.5
49,2022-03-13,109.5
50,2022-03-12,109.5
51,2022-03-11,109.5
52,2022-03-10,109.5
53,2022-03-09,109.5
54,2022-03-08,109.5
55,2022-03-07,109.5
56,2022-03-06,109.5
57,2022-03-05,109.5
58,2022-03-04,109.5
59,2022-03-03,109.5
60,2022-03-02,109.5
61,2022-03-01,109.5
62,2022-02-28,109.5
63,2022-02-27,109.5
64,2022-02-26,109.5
65,2022-02-25,109.5
66,2022-02-24,109.5
67,2022-02-23,109.5
68,2022-02-22,109.5
69,2022-02-21,109.5
70,2022-02-20,109.5
71,2022-02-19,109.5
72,2022-02-18,109.5
73,2022-02-17,109.5
74,2022-02-16,109.5
75,2022-02-15,109.5
76,2022-02-14,109.5
77,2022-02-13,109.5
78,2022-02-12,109.5
79,2022-02-11,109.5
80,2022-02-10,109.5
81,2022-02-09,109.5
82,2022-02-08,109.5
83,2022-02-07,109.5
84,2022-02-06,109.5
85,2022-02-05,109.5
86,2022-02-04,109.5
87,2022-02-03,109.5
88,2022-02-02,109.5
89,2022-02-01,109.5
90,2022-01-31,109.5
91,2022-01-30,109.5
92,2022-01-29,109.5
93,2022-01-28,109.5
94,2022-01-27,109.5
95,2022-01-26,109.5
96,2022-01-25,109.5
97,2022-01-24,109.5
98,2022-01-23,109.5
99,2022-01-22,109.5
100,2022-01-21,109.5
101,2022-01-20,109.5
102,2022-01-19,109.5
103,2022-01-18,109.5
104,2022-01-17,109.5
105,2022-01-16,109.5
106,2022-01-15,109.5
107,2022-01-14,109.5
108,2022-01-13,109.5
109,2022-01-12,109.5
110,2022-01-11,109.5
111,2022-01-10,109.5
112,2022-01-09,109.5
113,2022-01-08,109.5
114,2022-01-07,109.5
115,2022-01-06,109.5
116,2022-01-05,109.5
117,2022-01-04,109.5
118,2022-01-03,109.5
119,2022-01-02,109.5
120,2022-01-01,109.5
121,2021-12-31,109.5
122,2021-12-30,109.5
123,2021-12-29,109.5
124,2021-12-28,109.5
125,2021-12-27,109.5
126,2021-12-26,109.5
127,2021-12-25,109.5
128,2021-12-24,109.5
129,2021-12-23,109.5
130,2021-12-22,109.5
131,2021-12-21,109.5
132,2021-12-20,109.5
133,2021-12-19,109.5
134,2021-12-18,109.5
135,2021-12-17,109.5
136,2021-12-16,109.5
137,2021-12-15,109.5
138,2021-12-14,109.5
139,2021-12-13,109.5
140,2021-12-12,109.5
141,2021-12-11,109.5
142,2021-12-10,109.5
143,2021-12-09,109.5
144,2021-12-08,109.5
145,2021-12-07,109.5
146,2021-12-06,109.5
147,2021-12-05,109.5
148,2021-12-04,109.5
149,2021-12-03,109.5
150,2021-12-02,109.5
151,2021-11-30,109.5
152,2021-11-29,109.5
153,2021-11-28,109.5
154,2021-11-27,109.5
155,2021-11-26,109.5
156,2021-11-25,109.5
157,2021-11-24,109.5
158,2021-11-23,109.5
159,2021-11-22,109.5
160,2021-11-21,109.5
161,2021-11-20,109.5
162,2021-11-19,109.5
163,2021-11-18,109.5
164,2021-11-17,109.5
165,2021-11-16,109.5
166,2021-11-15,109.5
167,2021-11-14,109.5
168,2021-11-13,109.5
169,2021-11-12,109.5
170,2021-11-11,109.5
171,2021-11-10,109.5
172,2021-11-09,109.5
173,2021-11-08,109.5
174,2021-11-07,109.5
175,2021-11-06,109.5
176,2021-11-05,109.5
177,2021-11-04,109.5
178,2021-11-03,115.32
179,2021-11-02,115.32
180,2021-11-01,114.97
181,2021-10-31,114.61
182,2021-10-30,114.28
183,2021-10-29,113.94
184,2021-10-28,113.6
185,2021-10-27,113.27
186,2021-10-26,112.93
187,2021-10-25,112.93
188,2021-10-24,112.93
189,2021-10-23,112.6
190,2021-10-22,112.26
191,2021-10-21,111.93
192,2021-10-20,111.59
193,2021-10-19,111.25
194,2021-10-18,111.25
195,2021-10-15,110.58
196,2021-10-14,110.25
197,2021-10-13,109.91
198,2021-10-12,109.91
199,2021-10-11,109.91
200,2021-10-10,109.62
201,2021-10-09,109.34
202,2021-10-08,109.05
203,2021-10-07,108.76
204,2021-10-06,108.47
205,2021-10-05,108.19
206,2021-10-04,107.95
207,2021-10-03,107.95
208,2021-10-02,107.71
209,2021-10-01,107.47
210,2021-09-30,107.24
211,2021-09-29,107.01
212,2021-09-28,107.01
213,2021-09-27,106.83
214,2021-09-26,106.83
215,2021-09-25,106.83
216,2021-09-24,106.83
217,2021-09-23,106.83
218,2021-09-22,106.83
219,2021-09-21,106.83
220,2021-09-20,106.83
221,2021-09-19,106.83
222,2021-09-18,106.83
223,2021-09-17,106.83
224,2021-09-16,106.83
225,2021-09-15,106.83
226,2021-09-14,106.83
227,2021-09-13,106.83
228,2021-09-12,106.83
229,2021-09-11,106.83
230,2021-09-10,106.83
231,2021-09-09,106.83
232,2021-09-08,106.83
233,2021-09-07,106.83
234,2021-09-06,106.83
235,2021-09-05,106.83
236,2021-09-03,106.99
237,2021-09-02,106.99
238,2021-09-01,106.99
239,2021-08-31,107.14
240,2021-08-30,107.14
241,2021-08-29,107.14
242,2021-08-28,107.14
243,2021-08-27,107.14
244,2021-08-26,107.14
245,2021-08-25,107.14
246,2021-08-24,107.14
247,2021-08-23,107.28
248,2021-08-22,107.28
249,2021-08-21,107.45
250,2021-08-20,107.45
251,2021-08-19,107.45
252,2021-08-18,107.45
253,2021-08-17,107.45
254,2021-08-16,107.45
255,2021-08-15,107.45
256,2021-08-14,107.45
257,2021-08-13,107.45
258,2021-08-12,107.45
259,2021-08-11,107.45
260,2021-08-10,107.45
261,2021-08-09,107.45
262,2021-08-08,107.45
263,2021-08-07,107.45
264,2021-08-06,107.45
265,2021-08-05,107.45
266,2021-08-04,107.45
267,2021-08-03,107.45
268,2021-08-02,107.45
269,2021-08-01,107.45
270,2021-07-31,107.45
271,2021-07-30,107.45
272,2021-07-29,107.45
273,2021-07-28,107.45
274,2021-07-27,107.45
275,2021-07-26,107.45
276,2021-07-25,107.45
277,2021-07-24,107.45
278,2021-07-23,107.45
279,2021-07-22,107.45
280,2021-07-21,107.45
281,2021-07-20,107.45
282,2021-07-19,107.45
283,2021-07-18,107.45
284,2021-07-17,107.45
285,2021-07-16,107.16
286,2021-07-15,107.16
287,2021-07-14,106.82
288,2021-07-13,106.82
289,2021-07-12,106.82
290,2021-07-11,106.55
291,2021-07-10,106.55
292,2021-07-09,106.22
293,2021-07-08,106.22
294,2021-07-07,105.88
295,2021-07-06,105.55
296,2021-07-05,105.55
297,2021-07-04,105.21
298,2021-07-03,104.88
299,2021-07-02,104.88
300,2021-07-01,104.54
301,2021-06-30,104.54
302,2021-06-29,104.54
303,2021-06-28,104.2
304,2021-06-27,104.2
305,2021-06-26,103.87
306,2021-06-25,103.53
307,2021-06-24,103.53
308,2021-06-23,103.28
309,2021-06-22,103.28
310,2021-06-21,103.02
311,2021-06-20,103.02
312,2021-06-19,102.74
313,2021-06-18,102.74
314,2021-06-17,102.48
315,2021-06-16,102.48
316,2021-06-15,102.24
317,2021-06-14,102.24
318,2021-06-13,101.96
319,2021-06-12,101.96
320,2021-06-11,101.7
321,2021-06-10,101.42
322,2021-06-09,101.42
323,2021-06-08,101.18
324,2021-06-07,101.18
325,2021-06-06,100.91
326,2021-06-05,100.66
327,2021-06-04,100.66
328,2021-06-03,100.4
329,2021-06-02,100.4
330,2021-06-01,100.4
331,2021-05-31,100.15
332,2021-05-30,99.87
333,2021-05-29,99.87
334,2021-05-28,99.62
335,2021-05-27,99.62
336,2021-05-26,99.39
337,2021-05-25,99.39
338,2021-05-24,99.17
339,2021-05-23,99.17
340,2021-05-22,99.01
341,2021-05-21,99.01
342,2021-05-20,98.82
343,2021-05-19,98.82
344,2021-05-18,98.82
345,2021-05-17,98.57
346,2021-05-16,98.57
347,2021-05-15,98.33
348,2021-05-14,98.33
349,2021-05-13,98.06
350,2021-05-12,98.06
351,2021-05-11,97.82
352,2021-05-10,97.56
353,2021-05-09,97.31
354,2021-05-08,97.31
355,2021-05-07,97.31
356,2021-05-06,97.04
357,2021-05-05,96.8
358,2021-05-04,96.62
359,2021-05-03,96.45
360,2021-05-02,96.45
361,2021-05-01,96.45
362,2021-04-30,96.45
363,2021-04-29,96.45
364,2021-04-28,96.45
