,date,price
0,2022-05-01,120.15
1,2022-04-30,120.15
2,2022-04-29,120.15
3,2022-04-28,120.15
4,2022-04-27,120.15
5,2022-04-26,120.15
6,2022-04-25,120.15
7,2022-04-24,120.15
8,2022-04-23,120.15
9,2022-04-22,120.15
10,2022-04-21,120.15
11,2022-04-20,120.15
12,2022-04-19,120.15
13,2022-04-18,120.15
14,2022-04-17,120.15
15,2022-04-16,120.15
16,2022-04-15,120.15
17,2022-04-14,120.15
18,2022-04-13,120.15
19,2022-04-12,120.15
20,2022-04-11,120.15
21,2022-04-10,120.15
22,2022-04-09,120.15
23,2022-04-08,120.15
24,2022-04-07,120.15
25,2022-04-06,120.15
26,2022-04-05,119.31
27,2022-04-04,118.48
28,2022-04-03,118.06
29,2022-04-02,117.22
30,2022-04-01,116.39
31,2022-03-31,116.39
32,2022-03-30,115.55
33,2022-03-29,114.72
34,2022-03-28,113.88
35,2022-03-27,113.57
36,2022-03-26,113.04
37,2022-03-25,112.21
38,2022-03-24,111.37
39,2022-03-23,111.37
40,2022-03-22,110.54
41,2022-03-21,109.69
42,2022-03-20,109.69
43,2022-03-19,109.69
44,2022-03-18,109.69
45,2022-03-17,109.69
46,2022-03-16,109.69
47,2022-03-15,109.69
48,2022-03-14,109.69
49,2022-03-13,109.69
50,2022-03-12,109.69
51,2022-03-11,109.69
52,2022-03-10,109.69
53,2022-03-09,109.69
54,2022-03-08,109.69
55,2022-03-07,109.69
56,2022-03-06,109.69
57,2022-03-05,109.69
58,2022-03-04,109.69
59,2022-03-03,109.69
60,2022-03-02,109.69
61,2022-03-01,109.69
62,2022-02-28,109.69
63,2022-02-27,109.69
64,2022-02-26,109.69
65,2022-02-25,109.69
66,2022-02-24,109.69
67,2022-02-23,109.69
68,2022-02-22,109.69
69,2022-02-21,109.69
70,2022-02-20,109.69
71,2022-02-19,109.69
72,2022-02-18,109.69
73,2022-02-17,109.69
74,2022-02-16,109.69
75,2022-02-15,109.69
76,2022-02-14,109.69
77,2022-02-13,109.69
78,2022-02-12,109.69
79,2022-02-11,109.69
80,2022-02-10,109.69
81,2022-02-09,109.69
82,2022-02-08,109.69
83,2022-02-07,109.69
84,2022-02-06,109.69
85,2022-02-05,109.69
86,2022-02-04,109.69
87,2022-02-03,109.69
88,2022-02-02,109.69
89,2022-02-01,109.69
90,2022-01-31,109.69
91,2022-01-30,109.69
92,2022-01-29,109.69
93,2022-01-28,109.69
94,2022-01-27,109.69
95,2022-01-26,109.69
96,2022-01-25,109.69
97,2022-01-24,109.69
98,2022-01-23,109.69
99,2022-01-22,109.69
100,2022-01-21,109.69
101,2022-01-20,109.69
102,2022-01-19,109.69
103,2022-01-18,109.69
104,2022-01-17,109.69
105,2022-01-16,109.69
106,2022-01-15,109.69
107,2022-01-14,109.69
108,2022-01-13,109.69
109,2022-01-12,109.69
110,2022-01-11,109.69
111,2022-01-10,109.69
112,2022-01-09,109.69
113,2022-01-08,109.69
114,2022-01-07,109.69
115,2022-01-06,109.69
116,2022-01-05,109.69
117,2022-01-04,109.69
118,2022-01-03,109.69
119,2022-01-02,109.69
120,2022-01-01,109.69
121,2021-12-31,109.69
122,2021-12-30,109.69
123,2021-12-29,109.69
124,2021-12-28,109.69
125,2021-12-27,109.69
126,2021-12-26,109.69
127,2021-12-25,109.69
128,2021-12-24,109.69
129,2021-12-23,109.69
130,2021-12-22,109.69
131,2021-12-21,109.69
132,2021-12-20,109.69
133,2021-12-19,109.69
134,2021-12-18,109.69
135,2021-12-17,109.69
136,2021-12-16,109.69
137,2021-12-15,109.69
138,2021-12-14,109.69
139,2021-12-13,109.69
140,2021-12-12,109.69
141,2021-12-11,109.69
142,2021-12-10,109.69
143,2021-12-09,109.69
144,2021-12-08,109.69
145,2021-12-07,109.69
146,2021-12-06,109.69
147,2021-12-05,109.69
148,2021-12-04,109.69
149,2021-12-03,109.69
150,2021-12-02,109.69
151,2021-11-30,109.69
152,2021-11-29,109.69
153,2021-11-28,109.69
154,2021-11-27,109.69
155,2021-11-26,109.69
156,2021-11-25,109.69
157,2021-11-24,109.69
158,2021-11-23,109.69
159,2021-11-22,109.69
160,2021-11-21,109.69
161,2021-11-20,109.69
162,2021-11-19,109.69
163,2021-11-18,109.69
164,2021-11-17,109.69
165,2021-11-16,109.69
166,2021-11-15,109.69
167,2021-11-14,109.69
168,2021-11-13,109.69
169,2021-11-12,109.69
170,2021-11-11,109.69
171,2021-11-10,109.69
172,2021-11-09,109.69
173,2021-11-08,109.69
174,2021-11-07,109.69
175,2021-11-06,109.69
176,2021-11-05,109.69
177,2021-11-04,109.69
178,2021-11-03,115.51
179,2021-11-02,115.51
180,2021-11-01,115.16
181,2021-10-31,114.8
182,2021-10-30,114.46
183,2021-10-29,114.13
184,2021-10-28,113.79
185,2021-10-27,113.46
186,2021-10-26,113.12
187,2021-10-25,113.12
188,2021-10-24,113.12
189,2021-10-23,112.78
190,2021-10-22,112.45
191,2021-10-21,112.11
192,2021-10-20,111.78
193,2021-10-19,111.44
194,2021-10-18,111.44
195,2021-10-15,110.77
196,2021-10-14,110.44
197,2021-10-13,110.1
198,2021-10-12,110.1
199,2021-10-11,110.1
200,2021-10-10,109.81
201,2021-10-09,109.52
202,2021-10-08,109.24
203,2021-10-07,108.95
204,2021-10-06,108.66
205,2021-10-05,108.37
206,2021-10-04,108.13
207,2021-10-03,108.13
208,2021-10-02,107.89
209,2021-10-01,107.65
210,2021-09-30,107.43
211,2021-09-29,107.2
212,2021-09-28,107.2
213,2021-09-27,107.02
214,2021-09-26,107.02
215,2021-09-25,107.02
216,2021-09-24,107.02
217,2021-09-23,107.02
218,2021-09-22,107.02
219,2021-09-21,107.02
220,2021-09-20,107.02
221,2021-09-19,107.02
222,2021-09-18,107.02
223,2021-09-17,107.02
224,2021-09-16,107.02
225,2021-09-15,107.02
226,2021-09-14,107.02
227,2021-09-13,107.02
228,2021-09-12,107.02
229,2021-09-11,107.02
230,2021-09-10,107.02
231,2021-09-09,107.02
232,2021-09-08,107.02
233,2021-09-07,107.02
234,2021-09-06,107.02
235,2021-09-05,107.02
236,2021-09-03,107.17
237,2021-09-02,107.17
238,2021-09-01,107.17
239,2021-08-31,107.33
240,2021-08-30,107.33
241,2021-08-29,107.33
242,2021-08-28,107.33
243,2021-08-27,107.33
244,2021-08-26,107.33
245,2021-08-25,107.33
246,2021-08-24,107.33
247,2021-08-23,107.46
248,2021-08-22,107.46
249,2021-08-21,107.62
250,2021-08-20,107.62
251,2021-08-19,107.62
252,2021-08-18,107.63
253,2021-08-17,107.63
254,2021-08-16,107.63
255,2021-08-15,107.63
256,2021-08-14,107.63
257,2021-08-13,107.63
258,2021-08-12,107.63
259,2021-08-11,107.63
260,2021-08-10,107.63
261,2021-08-09,107.63
262,2021-08-08,107.63
263,2021-08-07,107.63
264,2021-08-06,107.63
265,2021-08-05,107.63
266,2021-08-04,107.63
267,2021-08-03,107.63
268,2021-08-02,107.63
269,2021-08-01,107.63
270,2021-07-31,107.63
271,2021-07-30,107.63
272,2021-07-29,107.63
273,2021-07-28,107.63
274,2021-07-27,107.63
275,2021-07-26,107.63
276,2021-07-25,107.63
277,2021-07-24,107.63
278,2021-07-23,107.63
279,2021-07-22,107.63
280,2021-07-21,107.63
281,2021-07-20,107.63
282,2021-07-19,107.63
283,2021-07-18,107.63
284,2021-07-17,107.63
285,2021-07-16,107.34
286,2021-07-15,107.34
287,2021-07-14,107.01
288,2021-07-13,107.01
289,2021-07-12,107.01
290,2021-07-11,106.74
291,2021-07-10,106.74
292,2021-07-09,106.4
293,2021-07-08,106.4
294,2021-07-07,106.07
295,2021-07-06,105.73
296,2021-07-05,105.73
297,2021-07-04,105.4
298,2021-07-03,105.06
299,2021-07-02,105.06
300,2021-07-01,104.73
301,2021-06-30,104.73
302,2021-06-29,104.73
303,2021-06-28,104.39
304,2021-06-27,104.39
305,2021-06-26,104.05
306,2021-06-25,103.72
307,2021-06-24,103.72
308,2021-06-23,103.47
309,2021-06-22,103.47
310,2021-06-21,103.2
311,2021-06-20,103.2
312,2021-06-19,102.92
313,2021-06-18,102.92
314,2021-06-17,102.66
315,2021-06-16,102.66
316,2021-06-15,102.42
317,2021-06-14,102.42
318,2021-06-13,102.15
319,2021-06-12,102.15
320,2021-06-11,101.89
321,2021-06-10,101.61
322,2021-06-09,101.61
323,2021-06-08,101.37
324,2021-06-07,101.37
325,2021-06-06,101.1
326,2021-06-05,100.84
327,2021-06-04,100.84
328,2021-06-03,100.58
329,2021-06-02,100.58
330,2021-06-01,100.58
331,2021-05-31,100.33
332,2021-05-30,100.05
333,2021-05-29,100.05
334,2021-05-28,99.8
335,2021-05-27,99.8
336,2021-05-26,99.57
337,2021-05-25,99.57
338,2021-05-24,99.35
339,2021-05-23,99.35
340,2021-05-22,99.19
341,2021-05-21,99.19
342,2021-05-20,99.01
343,2021-05-19,99.01
344,2021-05-18,99.01
345,2021-05-17,98.75
346,2021-05-16,98.75
347,2021-05-15,98.52
348,2021-05-14,98.52
349,2021-05-13,98.24
350,2021-05-12,98.24
351,2021-05-11,98
352,2021-05-10,97.74
353,2021-05-09,97.49
354,2021-05-08,97.49
355,2021-05-07,97.49
356,2021-05-06,97.22
357,2021-05-05,96.99
358,2021-05-04,96.8
359,2021-05-03,96.64
360,2021-05-02,96.64
361,2021-05-01,96.64
362,2021-04-30,96.64
363,2021-04-29,96.64
364,2021-04-28,96.64
