,date,price
0,2022-05-01,121.02
1,2022-04-30,121.02
2,2022-04-29,121.02
3,2022-04-28,121.02
4,2022-04-27,121.02
5,2022-04-26,121.02
6,2022-04-25,121.02
7,2022-04-24,121.02
8,2022-04-23,121.02
9,2022-04-22,121.02
10,2022-04-21,121.02
11,2022-04-20,121.02
12,2022-04-19,121.02
13,2022-04-18,121.02
14,2022-04-17,121.02
15,2022-04-16,121.02
16,2022-04-15,121.02
17,2022-04-14,121.02
18,2022-04-13,121.02
19,2022-04-12,121.02
20,2022-04-11,121.02
21,2022-04-10,121.02
22,2022-04-09,121.02
23,2022-04-08,121.02
24,2022-04-07,121.02
25,2022-04-06,121.02
26,2022-04-05,120.18
27,2022-04-04,119.35
28,2022-04-03,118.93
29,2022-04-02,118.09
30,2022-04-01,117.26
31,2022-03-31,117.26
32,2022-03-30,116.42
33,2022-03-29,115.58
34,2022-03-28,114.75
35,2022-03-27,114.43
36,2022-03-26,113.91
37,2022-03-25,113.11
38,2022-03-24,112.28
39,2022-03-23,112.28
40,2022-03-22,111.44
41,2022-03-21,110.59
42,2022-03-20,110.59
43,2022-03-19,110.59
44,2022-03-18,110.59
45,2022-03-17,110.59
46,2022-03-16,110.59
47,2022-03-15,110.59
48,2022-03-14,110.59
49,2022-03-13,110.59
50,2022-03-12,110.59
51,2022-03-11,110.59
52,2022-03-10,110.59
53,2022-03-09,110.59
54,2022-03-08,110.59
55,2022-03-07,110.59
56,2022-03-06,110.59
57,2022-03-05,110.59
58,2022-03-04,110.59
59,2022-03-03,110.59
60,2022-03-02,110.59
61,2022-03-01,110.59
62,2022-02-28,110.59
63,2022-02-27,110.59
64,2022-02-26,110.59
65,2022-02-25,110.59
66,2022-02-24,110.59
67,2022-02-23,110.59
68,2022-02-22,110.59
69,2022-02-21,110.59
70,2022-02-20,110.59
71,2022-02-19,110.59
72,2022-02-18,110.59
73,2022-02-17,110.59
74,2022-02-16,110.59
75,2022-02-15,110.59
76,2022-02-14,110.59
77,2022-02-13,110.59
78,2022-02-12,110.59
79,2022-02-11,110.59
80,2022-02-10,110.59
81,2022-02-09,110.59
82,2022-02-08,110.59
83,2022-02-07,110.59
84,2022-02-06,110.59
85,2022-02-05,110.59
86,2022-02-04,110.59
87,2022-02-03,110.59
88,2022-02-02,110.59
89,2022-02-01,110.59
90,2022-01-31,110.59
91,2022-01-30,110.59
92,2022-01-29,110.59
93,2022-01-28,110.59
94,2022-01-27,110.59
95,2022-01-26,110.59
96,2022-01-25,110.59
97,2022-01-24,110.59
98,2022-01-23,110.59
99,2022-01-22,110.59
100,2022-01-21,110.59
101,2022-01-20,110.59
102,2022-01-19,110.59
103,2022-01-18,110.59
104,2022-01-17,110.59
105,2022-01-16,110.59
106,2022-01-15,110.59
107,2022-01-14,110.59
108,2022-01-13,110.59
109,2022-01-12,110.59
110,2022-01-11,110.59
111,2022-01-10,110.59
112,2022-01-09,110.59
113,2022-01-08,110.59
114,2022-01-07,110.59
115,2022-01-06,110.59
116,2022-01-05,110.59
117,2022-01-04,110.59
118,2022-01-03,110.59
119,2022-01-02,110.59
120,2022-01-01,110.59
121,2021-12-31,110.59
122,2021-12-30,110.59
123,2021-12-29,110.59
124,2021-12-28,110.59
125,2021-12-27,110.59
126,2021-12-26,110.59
127,2021-12-25,110.59
128,2021-12-24,110.59
129,2021-12-23,110.59
130,2021-12-22,110.59
131,2021-12-21,110.59
132,2021-12-20,110.59
133,2021-12-19,110.59
134,2021-12-18,110.59
135,2021-12-17,110.59
136,2021-12-16,110.59
137,2021-12-15,110.59
138,2021-12-14,110.59
139,2021-12-13,110.59
140,2021-12-12,110.59
141,2021-12-11,110.59
142,2021-12-10,110.59
143,2021-12-09,110.59
144,2021-12-08,110.59
145,2021-12-07,110.59
146,2021-12-06,110.59
147,2021-12-05,110.59
148,2021-12-04,110.59
149,2021-12-03,110.59
150,2021-12-02,110.59
151,2021-11-30,110.59
152,2021-11-29,110.59
153,2021-11-28,110.59
154,2021-11-27,110.59
155,2021-11-26,110.59
156,2021-11-25,110.59
157,2021-11-24,110.59
158,2021-11-23,110.59
159,2021-11-22,110.59
160,2021-11-21,110.59
161,2021-11-20,110.59
162,2021-11-19,110.59
163,2021-11-18,110.59
164,2021-11-17,110.59
165,2021-11-16,110.59
166,2021-11-15,110.59
167,2021-11-14,110.59
168,2021-11-13,110.59
169,2021-11-12,110.59
170,2021-11-11,110.59
171,2021-11-10,110.59
172,2021-11-09,110.59
173,2021-11-08,110.59
174,2021-11-07,110.59
175,2021-11-06,110.59
176,2021-11-05,110.59
177,2021-11-04,110.59
178,2021-11-03,116.42
179,2021-11-02,116.42
180,2021-11-01,116.06
181,2021-10-31,115.64
182,2021-10-30,115.3
183,2021-10-29,114.97
184,2021-10-28,114.63
185,2021-10-27,114.3
186,2021-10-26,113.96
187,2021-10-25,113.96
188,2021-10-24,113.96
189,2021-10-23,113.63
190,2021-10-22,113.29
191,2021-10-21,112.95
192,2021-10-20,112.62
193,2021-10-19,112.28
194,2021-10-18,112.28
195,2021-10-15,111.61
196,2021-10-14,111.28
197,2021-10-13,110.94
198,2021-10-12,110.94
199,2021-10-11,110.94
200,2021-10-10,110.65
201,2021-10-09,110.36
202,2021-10-08,110.08
203,2021-10-07,109.79
204,2021-10-06,109.5
205,2021-10-05,109.21
206,2021-10-04,108.97
207,2021-10-03,108.97
208,2021-10-02,108.73
209,2021-10-01,108.49
210,2021-09-30,108.27
211,2021-09-29,108.04
212,2021-09-28,108.04
213,2021-09-27,107.86
214,2021-09-26,107.86
215,2021-09-25,107.86
216,2021-09-24,107.86
217,2021-09-23,107.86
218,2021-09-22,107.86
219,2021-09-21,107.86
220,2021-09-20,107.86
221,2021-09-19,107.86
222,2021-09-18,107.86
223,2021-09-17,107.86
224,2021-09-16,107.86
225,2021-09-15,107.86
226,2021-09-14,107.86
227,2021-09-13,107.86
228,2021-09-12,107.86
229,2021-09-11,107.86
230,2021-09-10,107.86
231,2021-09-09,107.86
232,2021-09-08,107.86
233,2021-09-07,107.86
234,2021-09-06,107.86
235,2021-09-05,107.86
236,2021-09-03,108.01
237,2021-09-02,108.01
238,2021-09-01,108.01
239,2021-08-31,108.17
240,2021-08-30,108.17
241,2021-08-29,108.17
242,2021-08-28,108.17
243,2021-08-27,108.17
244,2021-08-26,108.17
245,2021-08-25,108.17
246,2021-08-24,108.17
247,2021-08-23,108.3
248,2021-08-22,108.3
249,2021-08-21,108.38
250,2021-08-20,108.38
251,2021-08-19,108.38
252,2021-08-18,108.38
253,2021-08-17,108.38
254,2021-08-16,108.38
255,2021-08-15,108.38
256,2021-08-14,108.38
257,2021-08-13,108.38
258,2021-08-12,108.38
259,2021-08-11,108.38
260,2021-08-10,108.38
261,2021-08-09,108.38
262,2021-08-08,108.38
263,2021-08-07,108.38
264,2021-08-06,108.38
265,2021-08-05,108.38
266,2021-08-04,108.38
267,2021-08-03,108.38
268,2021-08-02,108.38
269,2021-08-01,108.38
270,2021-07-31,108.38
271,2021-07-30,108.38
272,2021-07-29,108.38
273,2021-07-28,108.38
274,2021-07-27,108.38
275,2021-07-26,108.38
276,2021-07-25,108.38
277,2021-07-24,108.38
278,2021-07-23,108.38
279,2021-07-22,108.38
280,2021-07-21,108.38
281,2021-07-20,108.38
282,2021-07-19,108.38
283,2021-07-18,108.38
284,2021-07-17,108.38
285,2021-07-16,108.09
286,2021-07-15,108.09
287,2021-07-14,107.76
288,2021-07-13,107.76
289,2021-07-12,107.76
290,2021-07-11,107.49
291,2021-07-10,107.49
292,2021-07-09,107.15
293,2021-07-08,107.15
294,2021-07-07,106.82
295,2021-07-06,106.48
296,2021-07-05,106.48
297,2021-07-04,106.15
298,2021-07-03,105.81
299,2021-07-02,105.81
300,2021-07-01,105.48
301,2021-06-30,105.48
302,2021-06-29,105.48
303,2021-06-28,105.14
304,2021-06-27,105.14
305,2021-06-26,104.8
306,2021-06-25,104.47
307,2021-06-24,104.47
308,2021-06-23,104.22
309,2021-06-22,104.22
310,2021-06-21,103.95
311,2021-06-20,103.95
312,2021-06-19,103.67
313,2021-06-18,103.67
314,2021-06-17,103.41
315,2021-06-16,103.41
316,2021-06-15,103.17
317,2021-06-14,103.17
318,2021-06-13,102.9
319,2021-06-12,102.9
320,2021-06-11,102.64
321,2021-06-10,102.36
322,2021-06-09,102.36
323,2021-06-08,102.12
324,2021-06-07,102.12
325,2021-06-06,101.85
326,2021-06-05,101.59
327,2021-06-04,101.59
328,2021-06-03,101.33
329,2021-06-02,101.33
330,2021-06-01,101.33
331,2021-05-31,101.08
332,2021-05-30,100.8
