,date,price
0,2022-05-01,120.26
1,2022-04-30,120.26
2,2022-04-29,120.26
3,2022-04-28,120.26
4,2022-04-27,120.26
5,2022-04-26,120.26
6,2022-04-25,120.26
7,2022-04-24,120.26
8,2022-04-23,120.26
9,2022-04-22,120.26
10,2022-04-21,120.26
11,2022-04-20,120.26
12,2022-04-19,120.26
13,2022-04-18,120.26
14,2022-04-17,120.26
15,2022-04-16,120.26
16,2022-04-15,120.26
17,2022-04-14,120.26
18,2022-04-13,120.26
19,2022-04-12,120.26
20,2022-04-11,120.26
21,2022-04-10,120.26
22,2022-04-09,120.26
23,2022-04-08,120.26
24,2022-04-07,120.26
25,2022-04-06,120.26
26,2022-04-05,119.42
27,2022-04-04,118.59
28,2022-04-03,118.17
29,2022-04-02,117.33
30,2022-04-01,116.5
31,2022-03-31,116.5
32,2022-03-30,115.66
33,2022-03-29,114.82
34,2022-03-28,113.99
35,2022-03-27,113.67
36,2022-03-26,113.15
37,2022-03-25,112.32
38,2022-03-24,111.49
39,2022-03-23,111.49
40,2022-03-22,110.65
41,2022-03-21,109.8
42,2022-03-20,109.8
43,2022-03-19,109.8
44,2022-03-18,109.8
45,2022-03-17,109.8
46,2022-03-16,109.8
47,2022-03-15,109.8
48,2022-03-14,109.8
49,2022-03-13,109.8
50,2022-03-12,109.8
51,2022-03-11,109.8
52,2022-03-10,109.8
53,2022-03-09,109.8
54,2022-03-08,109.8
55,2022-03-07,109.8
56,2022-03-06,109.8
57,2022-03-05,109.8
58,2022-03-04,109.8
59,2022-03-03,109.8
60,2022-03-02,109.8
61,2022-03-01,109.8
62,2022-02-28,109.8
63,2022-02-27,109.8
64,2022-02-26,109.8
65,2022-02-25,109.8
66,2022-02-24,109.8
67,2022-02-23,109.8
68,2022-02-22,109.8
69,2022-02-21,109.8
70,2022-02-20,109.8
71,2022-02-19,109.8
72,2022-02-18,109.8
73,2022-02-17,109.8
74,2022-02-16,109.8
75,2022-02-15,109.8
76,2022-02-14,109.8
77,2022-02-13,109.8
78,2022-02-12,109.8
79,2022-02-11,109.8
80,2022-02-10,109.8
81,2022-02-09,109.8
82,2022-02-08,109.8
83,2022-02-07,109.8
84,2022-02-06,109.8
85,2022-02-05,109.8
86,2022-02-04,109.8
87,2022-02-03,109.8
88,2022-02-02,109.8
89,2022-02-01,109.8
90,2022-01-31,109.8
91,2022-01-30,109.8
92,2022-01-29,109.8
93,2022-01-28,109.8
94,2022-01-27,109.8
95,2022-01-26,109.8
96,2022-01-25,109.8
97,2022-01-24,109.8
98,2022-01-23,109.8
99,2022-01-22,109.8
100,2022-01-21,109.8
101,2022-01-20,109.8
102,2022-01-19,109.8
103,2022-01-18,109.8
104,2022-01-17,109.8
105,2022-01-16,109.8
106,2022-01-15,109.8
107,2022-01-14,109.8
108,2022-01-13,109.8
109,2022-01-12,109.8
110,2022-01-11,109.8
111,2022-01-10,109.8
112,2022-01-09,109.8
113,2022-01-08,109.8
114,2022-01-07,109.8
115,2022-01-06,109.8
116,2022-01-05,109.8
117,2022-01-04,109.8
118,2022-01-03,109.8
119,2022-01-02,109.8
120,2022-01-01,109.8
121,2021-12-31,109.8
122,2021-12-30,109.8
123,2021-12-29,109.8
124,2021-12-28,109.8
125,2021-12-27,109.8
126,2021-12-26,109.8
127,2021-12-25,109.8
128,2021-12-24,109.8
129,2021-12-23,109.8
130,2021-12-22,109.8
131,2021-12-21,109.8
132,2021-12-20,109.8
133,2021-12-19,109.8
134,2021-12-18,109.8
135,2021-12-17,109.8
136,2021-12-16,109.8
137,2021-12-15,109.8
138,2021-12-14,109.8
139,2021-12-13,109.8
140,2021-12-12,109.8
141,2021-12-11,109.8
142,2021-12-10,109.8
143,2021-12-09,109.8
144,2021-12-08,109.8
145,2021-12-07,109.8
146,2021-12-06,109.8
147,2021-12-05,109.8
148,2021-12-04,109.8
149,2021-12-03,109.8
150,2021-12-02,109.8
151,2021-11-30,109.8
152,2021-11-29,109.8
153,2021-11-28,109.8
154,2021-11-27,109.8
155,2021-11-26,109.8
156,2021-11-25,109.8
157,2021-11-24,109.8
158,2021-11-23,109.8
159,2021-11-22,109.8
160,2021-11-21,109.8
161,2021-11-20,109.8
162,2021-11-19,109.8
163,2021-11-18,109.8
164,2021-11-17,109.8
165,2021-11-16,109.8
166,2021-11-15,109.8
167,2021-11-14,109.8
168,2021-11-13,109.8
169,2021-11-12,109.8
170,2021-11-11,109.8
171,2021-11-10,109.8
172,2021-11-09,109.8
173,2021-11-08,109.8
174,2021-11-07,109.8
175,2021-11-06,109.8
176,2021-11-05,109.8
177,2021-11-04,109.8
178,2021-11-03,115.63
179,2021-11-02,115.63
180,2021-11-01,115.27
181,2021-10-31,114.9
182,2021-10-30,114.57
183,2021-10-29,114.23
184,2021-10-28,113.9
185,2021-10-27,113.56
