,date,price
0,2022-05-01,120.84
1,2022-04-30,120.84
2,2022-04-29,120.84
3,2022-04-28,120.84
4,2022-04-27,120.84
5,2022-04-26,120.84
6,2022-04-25,120.84
7,2022-04-24,120.84
8,2022-04-23,120.84
9,2022-04-22,120.84
10,2022-04-21,120.84
11,2022-04-20,120.84
12,2022-04-19,120.84
13,2022-04-18,120.84
14,2022-04-17,120.84
15,2022-04-16,120.84
16,2022-04-15,120.84
17,2022-04-14,120.84
18,2022-04-13,120.84
19,2022-04-12,120.84
20,2022-04-11,120.84
21,2022-04-10,120.84
22,2022-04-09,120.84
23,2022-04-08,120.84
24,2022-04-07,120.84
25,2022-04-06,120.84
26,2022-04-05,120.01
27,2022-04-04,119.17
28,2022-04-03,118.75
29,2022-04-02,117.92
30,2022-04-01,117.08
31,2022-03-31,117.08
32,2022-03-30,116.24
33,2022-03-29,115.41
34,2022-03-28,114.57
35,2022-03-27,114.26
36,2022-03-26,113.74
37,2022-03-25,112.92
38,2022-03-24,112.09
39,2022-03-23,112.09
40,2022-03-22,111.25
41,2022-03-21,110.4
42,2022-03-20,110.4
43,2022-03-19,110.4
44,2022-03-18,110.4
45,2022-03-17,110.4
46,2022-03-16,110.4
47,2022-03-15,110.4
48,2022-03-14,110.4
49,2022-03-13,110.4
50,2022-03-12,110.4
51,2022-03-11,110.4
52,2022-03-10,110.4
53,2022-03-09,110.4
54,2022-03-08,110.4
55,2022-03-07,110.4
56,2022-03-06,110.4
57,2022-03-05,110.4
58,2022-03-04,110.4
59,2022-03-03,110.4
60,2022-03-02,110.4
61,2022-03-01,110.4
62,2022-02-28,110.4
63,2022-02-27,110.4
64,2022-02-26,110.4
65,2022-02-25,110.4
66,2022-02-24,110.4
67,2022-02-23,110.4
68,2022-02-22,110.4
69,2022-02-21,110.4
70,2022-02-20,110.4
71,2022-02-19,110.4
72,2022-02-18,110.4
73,2022-02-17,110.4
74,2022-02-16,110.4
75,2022-02-15,110.4
76,2022-02-14,110.4
77,2022-02-13,110.4
78,2022-02-12,110.4
79,2022-02-11,110.4
80,2022-02-10,110.4
81,2022-02-09,110.4
82,2022-02-08,110.4
83,2022-02-07,110.4
84,2022-02-06,110.4
85,2022-02-05,110.4
86,2022-02-04,110.4
87,2022-02-03,110.4
88,2022-02-02,110.4
89,2022-02-01,110.4
90,2022-01-31,110.4
91,2022-01-30,110.4
92,2022-01-29,110.4
93,2022-01-28,110.4
94,2022-01-27,110.4
95,2022-01-26,110.4
96,2022-01-25,110.4
97,2022-01-24,110.4
98,2022-01-23,110.4
99,2022-01-22,110.4
100,2022-01-21,110.4
101,2022-01-20,110.4
102,2022-01-19,110.4
103,2022-01-18,110.4
104,2022-01-17,110.4
105,2022-01-16,110.4
106,2022-01-15,110.4
107,2022-01-14,110.4
108,2022-01-13,110.4
109,2022-01-12,110.4
110,2022-01-11,110.4
111,2022-01-10,110.4
112,2022-01-09,110.4
113,2022-01-08,110.4
114,2022-01-07,110.4
115,2022-01-06,110.4
116,2022-01-05,110.4
117,2022-01-04,110.4
118,2022-01-03,110.4
119,2022-01-02,110.4
