,date,price
0,2022-05-01,120.96
1,2022-04-30,120.96
2,2022-04-29,120.96
3,2022-04-28,120.96
4,2022-04-27,120.96
5,2022-04-26,120.96
6,2022-04-25,120.96
7,2022-04-24,120.96
8,2022-04-23,120.96
9,2022-04-22,120.96
10,2022-04-21,120.96
11,2022-04-20,120.96
12,2022-04-19,120.96
13,2022-04-18,120.96
14,2022-04-17,120.96
15,2022-04-16,120.96
16,2022-04-15,120.96
17,2022-04-14,120.96
18,2022-04-13,120.96
19,2022-04-12,120.96
20,2022-04-11,120.96
21,2022-04-10,120.96
22,2022-04-09,120.96
23,2022-04-08,120.96
24,2022-04-07,120.96
25,2022-04-06,120.96
26,2022-04-05,120.12
27,2022-04-04,119.28
28,2022-04-03,118.87
29,2022-04-02,118.03
30,2022-04-01,117.19
31,2022-03-31,117.19
32,2022-03-30,116.36
33,2022-03-29,115.52
34,2022-03-28,114.69
35,2022-03-27,114.37
36,2022-03-26,113.85
37,2022-03-25,113.04
38,2022-03-24,112.2
39,2022-03-23,112.2
40,2022-03-22,111.37
41,2022-03-21,110.52
42,2022-03-20,110.52
43,2022-03-19,110.52
44,2022-03-18,110.52
45,2022-03-17,110.52
46,2022-03-16,110.52
47,2022-03-15,110.52
48,2022-03-14,110.52
49,2022-03-13,110.52
50,2022-03-12,110.52
51,2022-03-11,110.52
52,2022-03-10,110.52
53,2022-03-09,110.52
54,2022-03-08,110.52
55,2022-03-07,110.52
56,2022-03-06,110.52
57,2022-03-05,110.52
58,2022-03-04,110.52
59,2022-03-03,110.52
60,2022-03-02,110.52
61,2022-03-01,110.52
62,2022-02-28,110.52
63,2022-02-27,110.52
64,2022-02-26,110.52
65,2022-02-25,110.52
66,2022-02-24,110.52
67,2022-02-23,110.52
68,2022-02-22,110.52
69,2022-02-21,110.52
70,2022-02-20,110.52
71,2022-02-19,110.52
72,2022-02-18,110.52
73,2022-02-17,110.52
74,2022-02-16,110.52
75,2022-02-15,110.52
76,2022-02-14,110.52
77,2022-02-13,110.52
78,2022-02-12,110.52
79,2022-02-11,110.52
80,2022-02-10,110.52
81,2022-02-09,110.52
82,2022-02-08,110.52
83,2022-02-07,110.52
84,2022-02-06,110.52
85,2022-02-05,110.52
86,2022-02-04,110.52
87,2022-02-03,110.52
88,2022-02-02,110.52
89,2022-02-01,110.52
90,2022-01-31,110.52
91,2022-01-30,110.52
92,2022-01-29,110.52
93,2022-01-28,110.52
94,2022-01-27,110.52
95,2022-01-26,110.52
96,2022-01-25,110.52
97,2022-01-24,110.52
98,2022-01-23,110.52
99,2022-01-22,110.52
100,2022-01-21,110.52
101,2022-01-20,110.52
102,2022-01-19,110.52
103,2022-01-18,110.52
104,2022-01-17,110.52
105,2022-01-16,110.52
106,2022-01-15,110.52
107,2022-01-14,110.52
108,2022-01-13,110.52
109,2022-01-12,110.52
110,2022-01-11,110.52
111,2022-01-10,110.52
112,2022-01-09,110.52
113,2022-01-08,110.52
114,2022-01-07,110.52
115,2022-01-06,110.52
116,2022-01-05,110.52
117,2022-01-04,110.52
118,2022-01-03,110.52
119,2022-01-02,110.52
120,2022-01-01,110.52
121,2021-12-31,110.52
122,2021-12-30,110.52
123,2021-12-29,110.52
124,2021-12-28,110.52
125,2021-12-27,110.52
126,2021-12-26,110.52
127,2021-12-25,110.52
128,2021-12-24,110.52
129,2021-12-23,110.52
130,2021-12-22,110.52
131,2021-12-21,110.52
132,2021-12-20,110.52
133,2021-12-19,110.52
134,2021-12-18,110.52
135,2021-12-17,110.52
136,2021-12-16,110.52
137,2021-12-15,110.52
138,2021-12-14,110.52
139,2021-12-13,110.52
140,2021-12-12,110.52
141,2021-12-11,110.52
142,2021-12-10,110.52
143,2021-12-09,110.52
144,2021-12-08,110.52
145,2021-12-07,110.52
146,2021-12-06,110.52
147,2021-12-05,110.52
148,2021-12-04,110.52
149,2021-12-03,110.52
150,2021-12-02,110.52
151,2021-11-30,110.52
152,2021-11-29,110.52
153,2021-11-28,110.52
154,2021-11-27,110.52
155,2021-11-26,110.52
156,2021-11-25,110.52
157,2021-11-24,110.52
158,2021-11-23,110.52
159,2021-11-22,110.52
160,2021-11-21,110.52
161,2021-11-20,110.52
162,2021-11-19,110.52
163,2021-11-18,110.52
164,2021-11-17,110.52
165,2021-11-16,110.52
166,2021-11-15,110.52
167,2021-11-14,110.52
168,2021-11-13,110.52
169,2021-11-12,110.52
170,2021-11-11,110.52
171,2021-11-10,110.52
172,2021-11-09,110.52
173,2021-11-08,110.52
174,2021-11-07,110.52
175,2021-11-06,110.52
176,2021-11-05,110.52
177,2021-11-04,110.52
178,2021-11-03,116.34
179,2021-11-02,116.34
180,2021-11-01,115.99
181,2021-10-31,115.59
182,2021-10-30,115.25
183,2021-10-29,114.91
184,2021-10-28,114.58
185,2021-10-27,114.24
186,2021-10-26,113.91
187,2021-10-25,113.91
188,2021-10-24,113.91
189,2021-10-23,113.57
190,2021-10-22,113.24
191,2021-10-21,112.9
192,2021-10-20,112.56
193,2021-10-19,112.23
194,2021-10-18,112.23
195,2021-10-15,111.56
196,2021-10-14,111.22
197,2021-10-13,110.89
198,2021-10-12,110.89
199,2021-10-11,110.89
200,2021-10-10,110.6
201,2021-10-09,110.31
202,2021-10-08,110.02
203,2021-10-07,109.74
204,2021-10-06,109.45
205,2021-10-05,109.16
206,2021-10-04,108.92
207,2021-10-03,108.92
208,2021-10-02,108.68
209,2021-10-01,108.44
210,2021-09-30,108.21
211,2021-09-29,107.99
212,2021-09-28,107.99
213,2021-09-27,107.81
214,2021-09-26,107.81
215,2021-09-25,107.81
216,2021-09-24,107.81
217,2021-09-23,107.81
218,2021-09-22,107.81
219,2021-09-21,107.81
220,2021-09-20,107.81
221,2021-09-19,107.81
222,2021-09-18,107.81
