,date,price
0,2022-05-01,104.14
1,2022-04-30,104.14
2,2022-04-29,104.14
3,2022-04-28,104.14
4,2022-04-27,104.14
5,2022-04-26,104.14
6,2022-04-25,104.14
7,2022-04-24,104.14
8,2022-04-23,104.14
9,2022-04-22,104.14
10,2022-04-21,104.14
11,2022-04-20,104.14
12,2022-04-19,104.14
13,2022-04-18,104.14
14,2022-04-17,104.14
15,2022-04-16,104.14
16,2022-04-15,104.14
17,2022-04-14,104.14
18,2022-04-13,104.14
19,2022-04-12,104.14
20,2022-04-11,104.14
21,2022-04-10,104.14
22,2022-04-09,104.14
23,2022-04-08,104.14
24,2022-04-07,104.14
25,2022-04-06,104.14
26,2022-04-05,103.37
27,2022-04-04,102.59
28,2022-04-03,102.21
29,2022-04-02,101.43
30,2022-04-01,100.66
31,2022-03-31,100.66
32,2022-03-30,99.88
33,2022-03-29,99.11
34,2022-03-28,98.34
35,2022-03-27,98.05
36,2022-03-26,97.56
37,2022-03-25,96.86
38,2022-03-24,96.08
39,2022-03-23,96.08
40,2022-03-22,95.31
41,2022-03-21,94.53
42,2022-03-20,94.53
43,2022-03-19,94.53
44,2022-03-18,94.53
45,2022-03-17,94.53
46,2022-03-16,94.53
47,2022-03-15,94.53
48,2022-03-14,94.53
49,2022-03-13,94.53
50,2022-03-12,94.53
51,2022-03-11,94.53
52,2022-03-10,94.53
53,2022-03-09,94.53
54,2022-03-08,94.53
55,2022-03-07,94.53
56,2022-03-06,94.53
57,2022-03-05,94.53
58,2022-03-04,94.53
59,2022-03-03,94.53
60,2022-03-02,94.53
61,2022-03-01,94.53
62,2022-02-28,94.53
63,2022-02-27,94.53
64,2022-02-26,94.53
65,2022-02-25,94.53
66,2022-02-24,94.53
67,2022-02-23,94.53
68,2022-02-22,94.53
69,2022-02-21,94.53
70,2022-02-20,94.53
71,2022-02-19,94.53
72,2022-02-18,94.53
73,2022-02-17,94.53
74,2022-02-16,94.53
75,2022-02-15,94.53
76,2022-02-14,94.53
77,2022-02-13,94.53
78,2022-02-12,94.53
79,2022-02-11,94.53
80,2022-02-10,94.53
81,2022-02-09,94.53
82,2022-02-08,94.53
83,2022-02-07,94.53
84,2022-02-06,94.53
85,2022-02-05,94.53
86,2022-02-04,94.53
87,2022-02-03,94.53
88,2022-02-02,94.53
89,2022-02-01,94.53
90,2022-01-31,94.53
91,2022-01-30,94.53
92,2022-01-29,94.53
93,2022-01-28,94.53
94,2022-01-27,94.53
95,2022-01-26,94.53
96,2022-01-25,94.53
97,2022-01-24,94.53
98,2022-01-23,94.53
99,2022-01-22,94.53
100,2022-01-21,94.53
101,2022-01-20,94.53
102,2022-01-19,94.53
103,2022-01-18,94.53
104,2022-01-17,94.53
105,2022-01-16,94.53
106,2022-01-15,94.53
107,2022-01-14,94.53
108,2022-01-13,94.53
109,2022-01-12,94.53
110,2022-01-11,94.53
111,2022-01-10,94.53
112,2022-01-09,94.53
113,2022-01-08,94.53
114,2022-01-07,94.53
115,2022-01-06,94.53
116,2022-01-05,94.53
117,2022-01-04,94.53
118,2022-01-03,94.53
119,2022-01-02,94.53
120,2022-01-01,94.53
121,2021-12-31,94.53
122,2021-12-30,94.53
123,2021-12-29,94.53
124,2021-12-28,94.53
125,2021-12-27,94.53
126,2021-12-26,94.53
127,2021-12-25,94.53
128,2021-12-24,94.53
129,2021-12-23,94.53
130,2021-12-22,94.53
131,2021-12-21,94.53
132,2021-12-20,94.53
133,2021-12-19,94.53
134,2021-12-18,94.53
135,2021-12-17,94.53
136,2021-12-16,94.53
137,2021-12-15,94.53
138,2021-12-14,94.53
139,2021-12-13,94.53
140,2021-12-12,94.53
141,2021-12-11,94.53
142,2021-12-10,94.53
143,2021-12-09,94.53
144,2021-12-08,94.53
145,2021-12-07,94.53
146,2021-12-06,94.53
147,2021-12-05,94.53
148,2021-12-04,94.53
149,2021-12-03,94.53
150,2021-12-02,94.53
151,2021-11-30,94.53
152,2021-11-29,94.53
153,2021-11-28,94.53
154,2021-11-27,94.53
155,2021-11-26,94.53
156,2021-11-25,94.53
157,2021-11-24,94.53
158,2021-11-23,94.53
159,2021-11-22,94.53
160,2021-11-21,94.53
161,2021-11-20,94.53
162,2021-11-19,94.53
163,2021-11-18,94.53
164,2021-11-17,94.53
165,2021-11-16,94.53
166,2021-11-15,94.53
167,2021-11-14,94.53
168,2021-11-13,94.53
169,2021-11-12,94.53
170,2021-11-11,94.53
171,2021-11-10,94.53
172,2021-11-09,94.53
173,2021-11-08,94.53
174,2021-11-07,94.53
175,2021-11-06,94.53
176,2021-11-05,99.94
177,2021-11-04,99.94
178,2021-11-03,105.64
179,2021-11-02,105.64
180,2021-11-01,105.29
181,2021-10-31,104.81
182,2021-10-30,104.48
183,2021-10-29,104.15
184,2021-10-28,103.83
185,2021-10-27,103.5
186,2021-10-26,103.17
187,2021-10-25,103.17
188,2021-10-24,103.17
189,2021-10-23,102.84
190,2021-10-22,102.51
191,2021-10-21,102.18
192,2021-10-20,101.85
193,2021-10-19,101.52
194,2021-10-18,101.52
195,2021-10-15,100.87
196,2021-10-14,100.54
197,2021-10-13,100.21
198,2021-10-12,100.21
199,2021-10-11,100.21
200,2021-10-10,99.93
201,2021-10-09,99.65
202,2021-10-08,99.36
203,2021-10-07,99.08
204,2021-10-06,98.8
205,2021-10-05,98.52
206,2021-10-04,98.28
207,2021-10-03,98.28
208,2021-10-02,98.05
209,2021-10-01,97.82
210,2021-09-30,97.59
211,2021-09-29,97.37
212,2021-09-28,97.37
213,2021-09-27,97.19
214,2021-09-26,97.19
215,2021-09-25,97.19
216,2021-09-24,97.19
217,2021-09-23,97.19
218,2021-09-22,97.19
219,2021-09-21,97.19
220,2021-09-20,97.19
221,2021-09-19,97.19
222,2021-09-18,97.19
223,2021-09-17,97.19
224,2021-09-16,97.19
225,2021-09-15,97.19
226,2021-09-14,97.19
227,2021-09-13,97.19
228,2021-09-12,97.19
229,2021-09-11,97.19
230,2021-09-10,97.19
231,2021-09-09,97.19
232,2021-09-08,97.19
233,2021-09-07,97.19
234,2021-09-06,97.19
235,2021-09-05,97.19
236,2021-08-31,97.5
237,2021-08-30,97.5
238,2021-08-29,97.5
239,2021-08-28,97.5
240,2021-08-27,97.5
241,2021-08-26,97.5
242,2021-08-25,97.5
243,2021-08-24,97.5
244,2021-08-23,97.63
245,2021-08-22,97.63
246,2021-08-21,97.59
247,2021-08-20,97.59
248,2021-08-19,97.59
249,2021-08-18,97.59
250,2021-08-17,97.59
251,2021-08-16,97.59
252,2021-08-15,97.59
253,2021-08-14,97.59
254,2021-08-13,97.59
255,2021-08-12,97.59
256,2021-08-11,97.59
257,2021-08-10,97.59
258,2021-08-09,97.59
259,2021-08-08,97.59
260,2021-08-07,97.59
261,2021-08-06,97.59
262,2021-08-05,97.59
263,2021-08-04,97.59
264,2021-08-03,97.59
265,2021-08-02,97.59
266,2021-08-01,97.59
267,2021-07-31,97.59
268,2021-07-30,97.59
269,2021-07-29,97.59
270,2021-07-28,97.59
271,2021-07-27,97.59
272,2021-07-26,97.59
273,2021-07-25,97.59
274,2021-07-24,97.59
275,2021-07-23,97.59
276,2021-07-22,97.59
