,date,price
0,2022-05-01,103.54
1,2022-04-30,103.54
2,2022-04-29,103.54
3,2022-04-28,103.54
4,2022-04-27,103.54
5,2022-04-26,103.54
6,2022-04-25,103.54
7,2022-04-24,103.54
8,2022-04-23,103.54
9,2022-04-22,103.54
10,2022-04-21,103.54
11,2022-04-20,103.54
12,2022-04-19,103.54
13,2022-04-18,103.54
14,2022-04-17,103.54
15,2022-04-16,103.54
16,2022-04-15,103.54
17,2022-04-14,103.54
18,2022-04-13,103.54
19,2022-04-12,103.54
20,2022-04-11,103.54
21,2022-04-10,103.54
22,2022-04-09,103.54
23,2022-04-08,103.54
24,2022-04-07,103.54
25,2022-04-06,103.54
26,2022-04-05,102.77
27,2022-04-04,101.99
28,2022-04-03,101.61
29,2022-04-02,100.83
30,2022-04-01,100.06
31,2022-03-31,100.06
32,2022-03-30,99.28
33,2022-03-29,98.51
34,2022-03-28,97.73
35,2022-03-27,97.44
36,2022-03-26,96.96
37,2022-03-25,96.21
38,2022-03-24,95.44
39,2022-03-23,95.44
40,2022-03-22,94.66
41,2022-03-21,93.89
42,2022-03-20,93.89
43,2022-03-19,93.89
44,2022-03-18,93.89
45,2022-03-17,93.89
46,2022-03-16,93.89
47,2022-03-15,93.89
48,2022-03-14,93.89
49,2022-03-13,93.89
50,2022-03-12,93.89
51,2022-03-11,93.89
52,2022-03-10,93.89
53,2022-03-09,93.89
54,2022-03-08,93.89
55,2022-03-07,93.89
56,2022-03-06,93.89
57,2022-03-05,93.89
58,2022-03-04,93.89
59,2022-03-03,93.89
60,2022-03-02,93.89
61,2022-03-01,93.89
62,2022-02-28,93.89
63,2022-02-27,93.89
64,2022-02-26,93.89
65,2022-02-25,93.89
66,2022-02-24,93.89
67,2022-02-23,93.89
68,2022-02-22,93.89
69,2022-02-21,93.89
70,2022-02-20,93.89
71,2022-02-19,93.89
72,2022-02-18,93.89
73,2022-02-17,93.89
74,2022-02-16,93.89
75,2022-02-15,93.89
76,2022-02-14,93.89
77,2022-02-13,93.89
78,2022-02-12,93.89
79,2022-02-11,93.89
80,2022-02-10,93.89
81,2022-02-09,93.89
82,2022-02-08,93.89
83,2022-02-07,93.89
84,2022-02-06,93.89
85,2022-02-05,93.89
86,2022-02-04,93.89
87,2022-02-03,93.89
88,2022-02-02,93.89
89,2022-02-01,93.89
90,2022-01-31,93.89
91,2022-01-30,93.89
92,2022-01-29,93.89
93,2022-01-28,93.89
94,2022-01-27,93.89
95,2022-01-26,93.89
96,2022-01-25,93.89
97,2022-01-24,93.89
98,2022-01-23,93.89
99,2022-01-22,93.89
100,2022-01-21,93.89
101,2022-01-20,93.89
102,2022-01-19,93.89
103,2022-01-18,93.89
104,2022-01-17,93.89
105,2022-01-16,93.89
106,2022-01-15,93.89
107,2022-01-14,93.89
108,2022-01-13,93.89
109,2022-01-12,93.89
110,2022-01-11,93.89
111,2022-01-10,93.89
112,2022-01-09,93.89
113,2022-01-08,93.89
114,2022-01-07,93.89
115,2022-01-06,93.89
116,2022-01-05,93.89
117,2022-01-04,93.89
118,2022-01-03,93.89
119,2022-01-02,93.89
120,2022-01-01,93.89
121,2021-12-31,93.89
122,2021-12-30,93.89
123,2021-12-29,93.89
124,2021-12-28,93.89
125,2021-12-27,93.89
126,2021-12-26,93.89
127,2021-12-25,93.89
128,2021-12-24,93.89
129,2021-12-23,93.89
130,2021-12-22,93.89
131,2021-12-21,93.89
132,2021-12-20,93.89
133,2021-12-19,93.89
