,date,price
0,2022-05-01,103.49
1,2022-04-30,103.49
2,2022-04-29,103.49
3,2022-04-28,103.49
4,2022-04-27,103.49
5,2022-04-26,103.49
6,2022-04-25,103.49
7,2022-04-24,103.49
8,2022-04-23,103.49
9,2022-04-22,103.49
10,2022-04-21,103.49
11,2022-04-20,103.49
12,2022-04-19,103.49
13,2022-04-18,103.49
14,2022-04-17,103.49
15,2022-04-16,103.49
16,2022-04-15,103.49
17,2022-04-14,103.49
18,2022-04-13,103.49
19,2022-04-12,103.49
20,2022-04-11,103.49
21,2022-04-10,103.49
22,2022-04-09,103.49
23,2022-04-08,103.49
24,2022-04-07,103.49
25,2022-04-06,103.49
26,2022-04-05,102.72
27,2022-04-04,101.94
28,2022-04-03,101.55
29,2022-04-02,100.78
30,2022-04-01,100.01
31,2022-03-31,100.01
32,2022-03-30,99.23
33,2022-03-29,98.46
34,2022-03-28,97.68
35,2022-03-27,97.39
36,2022-03-26,96.91
37,2022-03-25,96.18
38,2022-03-24,95.4
39,2022-03-23,95.4
40,2022-03-22,94.63
41,2022-03-21,93.85
42,2022-03-20,93.85
43,2022-03-19,93.85
44,2022-03-18,93.85
45,2022-03-17,93.85
46,2022-03-16,93.85
47,2022-03-15,93.85
48,2022-03-14,93.85
49,2022-03-13,93.85
50,2022-03-12,93.85
51,2022-03-11,93.85
52,2022-03-10,93.85
53,2022-03-09,93.85
54,2022-03-08,93.85
55,2022-03-07,93.85
56,2022-03-06,93.85
57,2022-03-05,93.85
58,2022-03-04,93.85
59,2022-03-03,93.85
60,2022-03-02,93.85
61,2022-03-01,93.85
62,2022-02-28,93.85
63,2022-02-27,93.85
64,2022-02-26,93.85
65,2022-02-25,93.85
66,2022-02-24,93.85
67,2022-02-23,93.85
68,2022-02-22,93.85
69,2022-02-21,93.85
70,2022-02-20,93.85
71,2022-02-19,93.85
72,2022-02-18,93.85
73,2022-02-17,93.85
74,2022-02-16,93.85
75,2022-02-15,93.85
76,2022-02-14,93.85
77,2022-02-13,93.85
78,2022-02-12,93.85
79,2022-02-11,93.85
