,date,price
0,2022-05-01,108.55
1,2022-04-30,108.55
2,2022-04-29,108.55
3,2022-04-28,108.55
4,2022-04-27,108.55
5,2022-04-26,108.55
6,2022-04-25,108.55
7,2022-04-24,108.55
8,2022-04-23,108.55
9,2022-04-22,108.55
10,2022-04-21,108.55
11,2022-04-20,108.55
12,2022-04-19,108.55
13,2022-04-18,108.55
14,2022-04-17,108.55
15,2022-04-16,108.55
16,2022-04-15,108.55
17,2022-04-14,108.55
18,2022-04-13,108.55
19,2022-04-12,108.55
20,2022-04-11,108.55
21,2022-04-10,108.55
22,2022-04-09,108.55
23,2022-04-08,108.55
24,2022-04-07,108.55
25,2022-04-06,108.55
26,2022-04-05,107.71
27,2022-04-04,106.87
28,2022-04-03,106.44
29,2022-04-02,105.6
30,2022-04-01,104.75
31,2022-03-31,104.75
32,2022-03-30,103.91
33,2022-03-29,103.06
34,2022-03-28,102.22
35,2022-03-27,101.9
36,2022-03-26,101.38
37,2022-03-25,100.55
38,2022-03-24,99.71
39,2022-03-23,99.71
40,2022-03-22,98.86
41,2022-03-21,98.02
42,2022-03-20,98.02
43,2022-03-19,98.02
44,2022-03-18,98.02
45,2022-03-17,98.02
46,2022-03-16,98.02
47,2022-03-15,98.02
48,2022-03-14,98.02
49,2022-03-13,98.02
50,2022-03-12,98.02
51,2022-03-11,98.02
52,2022-03-10,98.02
53,2022-03-09,98.02
54,2022-03-08,98.02
55,2022-03-07,98.02
56,2022-03-06,98.02
57,2022-03-05,98.02
58,2022-03-04,98.02
59,2022-03-03,98.02
60,2022-03-02,98.02
61,2022-03-01,98.02
62,2022-02-28,98.02
63,2022-02-27,98.02
64,2022-02-26,98.02
65,2022-02-25,98.02
66,2022-02-24,98.02
67,2022-02-23,98.02
68,2022-02-22,98.02
69,2022-02-21,98.02
70,2022-02-20,98.02
71,2022-02-19,98.02
72,2022-02-18,98.02
73,2022-02-17,98.02
74,2022-02-16,98.02
75,2022-02-15,98.02
76,2022-02-14,98.02
77,2022-02-13,98.02
78,2022-02-12,98.02
79,2022-02-11,98.02
80,2022-02-10,98.02
81,2022-02-09,98.02
82,2022-02-08,98.02
83,2022-02-07,98.02
84,2022-02-06,98.02
85,2022-02-05,98.02
86,2022-02-04,98.02
87,2022-02-03,98.02
88,2022-02-02,98.02
89,2022-02-01,98.02
90,2022-01-31,98.02
91,2022-01-30,98.02
92,2022-01-29,98.02
93,2022-01-28,98.02
94,2022-01-27,98.02
95,2022-01-26,98.02
96,2022-01-25,98.02
97,2022-01-24,98.02
98,2022-01-23,98.02
99,2022-01-22,98.02
100,2022-01-21,98.02
101,2022-01-20,98.02
102,2022-01-19,98.02
103,2022-01-18,98.02
104,2022-01-17,98.02
105,2022-01-16,98.02
106,2022-01-15,98.02
107,2022-01-14,98.02
108,2022-01-13,98.02
109,2022-01-12,98.02
110,2022-01-11,98.02
111,2022-01-10,98.02
112,2022-01-09,98.02
113,2022-01-08,98.02
114,2022-01-07,98.02
115,2022-01-06,98.02
116,2022-01-05,98.02
117,2022-01-04,98.02
118,2022-01-03,98.02
119,2022-01-02,98.02
120,2022-01-01,98.02
121,2021-12-31,98.02
122,2021-12-30,98.02
123,2021-12-29,98.02
124,2021-12-28,98.02
125,2021-12-27,98.02
126,2021-12-26,98.02
127,2021-12-25,98.02
128,2021-12-24,98.02
129,2021-12-23,98.02
130,2021-12-22,98.02
131,2021-12-21,98.02
132,2021-12-20,98.02
133,2021-12-19,98.02
134,2021-12-18,98.02
135,2021-12-17,98.02
136,2021-12-16,98.02
137,2021-12-15,98.02
138,2021-12-14,98.02
139,2021-12-13,98.02
140,2021-12-12,98.02
141,2021-12-11,98.02
142,2021-12-10,98.02
143,2021-12-09,98.02
144,2021-12-08,98.02
145,2021-12-07,98.02
146,2021-12-06,98.02
147,2021-12-05,98.02
148,2021-12-04,98.02
149,2021-12-03,98.02
150,2021-12-02,98.02
151,2021-11-30,98.02
152,2021-11-29,98.02
153,2021-11-28,98.02
154,2021-11-27,98.02
155,2021-11-26,98.02
156,2021-11-25,98.02
157,2021-11-24,98.02
158,2021-11-23,98.02
159,2021-11-22,98.02
160,2021-11-21,98.02
161,2021-11-20,98.02
162,2021-11-19,98.02
163,2021-11-18,98.02
164,2021-11-17,98.02
165,2021-11-16,98.02
166,2021-11-15,98.02
167,2021-11-14,98.02
168,2021-11-13,98.02
169,2021-11-12,98.02
170,2021-11-11,98.02
171,2021-11-10,98.02
172,2021-11-09,98.02
173,2021-11-08,98.02
174,2021-11-07,98.02
175,2021-11-06,98.02
176,2021-11-05,98.02
177,2021-11-04,103.57
