,date,price
0,2022-05-01,112.45
1,2022-04-30,112.45
2,2022-04-29,112.45
3,2022-04-28,112.45
4,2022-04-27,112.45
5,2022-04-26,112.45
6,2022-04-25,112.45
7,2022-04-24,112.45
8,2022-04-23,112.45
9,2022-04-22,112.45
10,2022-04-21,112.45
11,2022-04-20,112.45
12,2022-04-19,112.45
13,2022-04-18,112.45
14,2022-04-17,112.45
15,2022-04-16,112.45
16,2022-04-15,112.45
17,2022-04-14,112.45
18,2022-04-13,112.45
19,2022-04-12,112.45
20,2022-04-11,112.45
21,2022-04-10,112.45
22,2022-04-09,112.45
23,2022-04-08,112.45
24,2022-04-07,112.45
25,2022-04-06,112.45
26,2022-04-05,111.6
27,2022-04-04,110.74
28,2022-04-03,110.31
29,2022-04-02,109.46
30,2022-04-01,108.6
31,2022-03-31,108.6
32,2022-03-30,107.74
33,2022-03-29,106.89
34,2022-03-28,106.03
35,2022-03-27,105.71
36,2022-03-26,105.18
37,2022-03-25,104.32
38,2022-03-24,103.46
39,2022-03-23,103.46
40,2022-03-22,102.61
41,2022-03-21,101.75
42,2022-03-20,101.75
43,2022-03-19,101.75
44,2022-03-18,101.75
45,2022-03-17,101.75
46,2022-03-16,101.75
47,2022-03-15,101.75
48,2022-03-14,101.75
49,2022-03-13,101.75
50,2022-03-12,101.75
51,2022-03-11,101.75
52,2022-03-10,101.75
53,2022-03-09,101.75
54,2022-03-08,101.75
55,2022-03-07,101.75
56,2022-03-06,101.75
57,2022-03-05,101.75
58,2022-03-04,101.75
59,2022-03-03,101.75
60,2022-03-02,101.75
61,2022-03-01,101.75
62,2022-02-28,101.75
63,2022-02-27,101.75
64,2022-02-26,101.75
65,2022-02-25,101.75
66,2022-02-24,101.75
67,2022-02-23,101.75
68,2022-02-22,101.75
69,2022-02-21,101.75
70,2022-02-20,101.75
71,2022-02-19,101.75
72,2022-02-18,101.75
73,2022-02-17,101.75
74,2022-02-16,101.75
75,2022-02-15,101.75
76,2022-02-14,101.75
77,2022-02-13,101.75
78,2022-02-12,101.75
79,2022-02-11,101.75
80,2022-02-10,101.75
81,2022-02-09,101.75
82,2022-02-08,101.75
83,2022-02-07,101.75
84,2022-02-06,101.75
85,2022-02-05,101.75
86,2022-02-04,101.75
87,2022-02-03,101.75
88,2022-02-02,101.75
89,2022-02-01,101.75
90,2022-01-31,101.75
91,2022-01-30,101.75
92,2022-01-29,101.75
93,2022-01-28,101.75
94,2022-01-27,101.75
95,2022-01-26,101.75
96,2022-01-25,101.75
97,2022-01-24,101.75
98,2022-01-23,101.75
99,2022-01-22,101.75
100,2022-01-21,101.75
101,2022-01-20,101.75
102,2022-01-19,101.75
103,2022-01-18,101.75
104,2022-01-17,101.75
105,2022-01-16,101.75
106,2022-01-15,101.75
107,2022-01-14,101.75
108,2022-01-13,101.75
109,2022-01-12,101.75
110,2022-01-11,101.75
111,2022-01-10,101.75
112,2022-01-09,101.75
113,2022-01-08,101.75
114,2022-01-07,101.75
115,2022-01-06,101.75
116,2022-01-05,101.75
117,2022-01-04,101.75
118,2022-01-03,101.75
119,2022-01-02,101.75
120,2022-01-01,101.75
121,2021-12-31,101.75
122,2021-12-30,101.75
123,2021-12-29,101.75
124,2021-12-28,101.75
125,2021-12-27,101.75
126,2021-12-26,101.75
127,2021-12-25,101.75
128,2021-12-24,101.75
129,2021-12-23,101.75
130,2021-12-22,101.75
131,2021-12-21,101.75
132,2021-12-20,101.75
133,2021-12-19,101.75
134,2021-12-18,101.75
135,2021-12-17,101.75
136,2021-12-16,101.75
137,2021-12-15,101.75
138,2021-12-14,101.75
139,2021-12-13,101.75
140,2021-12-12,101.75
141,2021-12-11,101.75
142,2021-12-10,101.75
143,2021-12-09,101.75
144,2021-12-08,101.75
145,2021-12-07,101.75
146,2021-12-06,101.75
147,2021-12-05,101.75
148,2021-12-04,101.75
149,2021-12-03,101.75
150,2021-12-02,101.75
151,2021-11-30,101.75
152,2021-11-29,101.75
153,2021-11-28,101.75
154,2021-11-27,101.75
155,2021-11-26,101.75
156,2021-11-25,101.75
157,2021-11-24,101.75
158,2021-11-23,101.75
159,2021-11-22,101.75
160,2021-11-21,101.75
161,2021-11-20,101.75
162,2021-11-19,101.75
163,2021-11-18,101.75
164,2021-11-17,101.75
165,2021-11-16,101.75
166,2021-11-15,101.75
167,2021-11-14,101.75
168,2021-11-13,101.75
169,2021-11-12,101.75
170,2021-11-11,101.75
171,2021-11-10,101.75
172,2021-11-09,101.75
173,2021-11-08,101.75
174,2021-11-07,101.75
175,2021-11-06,101.75
176,2021-11-05,104.85
177,2021-11-04,104.85
178,2021-11-03,111
179,2021-11-02,111
180,2021-11-01,110.62
181,2021-10-31,110.25
182,2021-10-30,109.89
183,2021-10-29,109.54
184,2021-10-28,109.18
185,2021-10-27,108.83
186,2021-10-26,108.47
187,2021-10-25,108.47
188,2021-10-24,108.47
189,2021-10-23,108.12
190,2021-10-22,107.76
191,2021-10-21,107.41
192,2021-10-20,107.06
193,2021-10-19,106.7
194,2021-10-18,106.7
195,2021-10-15,105.99
196,2021-10-14,105.64
197,2021-10-13,105.28
