,date,price
0,2022-05-01,113.02
1,2022-04-30,113.02
2,2022-04-29,113.02
3,2022-04-28,113.02
4,2022-04-27,113.02
5,2022-04-26,113.02
6,2022-04-25,113.02
7,2022-04-24,113.02
8,2022-04-23,113.02
9,2022-04-22,113.02
10,2022-04-21,113.02
11,2022-04-20,113.02
12,2022-04-19,113.02
13,2022-04-18,113.02
14,2022-04-17,113.02
15,2022-04-16,113.02
16,2022-04-15,113.02
17,2022-04-14,113.02
18,2022-04-13,113.02
19,2022-04-12,113.02
20,2022-04-11,113.02
21,2022-04-10,113.02
22,2022-04-09,113.02
23,2022-04-08,113.02
24,2022-04-07,113.02
25,2022-04-06,113.02
26,2022-04-05,112.16
27,2022-04-04,111.3
28,2022-04-03,110.88
29,2022-04-02,110.02
30,2022-04-01,109.16
31,2022-03-31,109.16
32,2022-03-30,108.31
33,2022-03-29,107.45
34,2022-03-28,106.59
35,2022-03-27,106.27
36,2022-03-26,105.74
37,2022-03-25,104.9
38,2022-03-24,104.04
39,2022-03-23,104.04
40,2022-03-22,103.19
41,2022-03-21,102.33
42,2022-03-20,102.33
43,2022-03-19,102.33
44,2022-03-18,102.33
45,2022-03-17,102.33
46,2022-03-16,102.33
47,2022-03-15,102.33
48,2022-03-14,102.33
49,2022-03-13,102.33
50,2022-03-12,102.33
51,2022-03-11,102.33
52,2022-03-10,102.33
53,2022-03-09,102.33
54,2022-03-08,102.33
55,2022-03-07,102.33
56,2022-03-06,102.33
57,2022-03-05,102.33
58,2022-03-04,102.33
59,2022-03-03,102.33
60,2022-03-02,102.33
61,2022-03-01,102.33
62,2022-02-28,102.33
63,2022-02-27,102.33
64,2022-02-26,102.33
65,2022-02-25,102.33
66,2022-02-24,102.33
67,2022-02-23,102.33
68,2022-02-22,102.33
69,2022-02-21,102.33
70,2022-02-20,102.33
71,2022-02-19,102.33
72,2022-02-18,102.33
73,2022-02-17,102.33
74,2022-02-16,102.33
75,2022-02-15,102.33
76,2022-02-14,102.33
77,2022-02-13,102.33
78,2022-02-12,102.33
79,2022-02-11,102.33
80,2022-02-10,102.33
81,2022-02-09,102.33
82,2022-02-08,102.33
83,2022-02-07,102.33
84,2022-02-06,102.33
85,2022-02-05,102.33
86,2022-02-04,102.33
87,2022-02-03,102.33
88,2022-02-02,102.33
89,2022-02-01,102.33
90,2022-01-31,102.33
91,2022-01-30,102.33
92,2022-01-29,102.33
93,2022-01-28,102.33
94,2022-01-27,102.33
95,2022-01-26,102.33
96,2022-01-25,102.33
97,2022-01-24,102.33
98,2022-01-23,102.33
99,2022-01-22,102.33
100,2022-01-21,102.33
101,2022-01-20,102.33
102,2022-01-19,102.33
