,date,price
0,2022-05-01,112.8
1,2022-04-30,112.8
2,2022-04-29,112.8
3,2022-04-28,112.8
4,2022-04-27,112.8
5,2022-04-26,112.8
6,2022-04-25,112.8
7,2022-04-24,112.8
8,2022-04-23,112.8
9,2022-04-22,112.8
10,2022-04-21,112.8
11,2022-04-20,112.8
12,2022-04-19,112.8
13,2022-04-18,112.8
14,2022-04-17,112.8
15,2022-04-16,112.8
16,2022-04-15,112.8
17,2022-04-14,112.8
18,2022-04-13,112.8
19,2022-04-12,112.8
20,2022-04-11,112.8
21,2022-04-10,112.8
22,2022-04-09,112.8
23,2022-04-08,112.8
24,2022-04-07,112.8
25,2022-04-06,112.8
26,2022-04-05,111.94
27,2022-04-04,111.09
28,2022-04-03,110.66
29,2022-04-02,109.8
30,2022-04-01,108.95
31,2022-03-31,108.95
32,2022-03-30,108.09
33,2022-03-29,107.23
34,2022-03-28,106.38
35,2022-03-27,106.06
36,2022-03-26,105.52
37,2022-03-25,104.68
38,2022-03-24,103.83
39,2022-03-23,103.83
40,2022-03-22,102.97
41,2022-03-21,102.11
42,2022-03-20,102.11
43,2022-03-19,102.11
44,2022-03-18,102.11
45,2022-03-17,102.11
46,2022-03-16,102.11
47,2022-03-15,102.11
48,2022-03-14,102.11
49,2022-03-13,102.11
50,2022-03-12,102.11
51,2022-03-11,102.11
52,2022-03-10,102.11
53,2022-03-09,102.11
54,2022-03-08,102.11
55,2022-03-07,102.11
56,2022-03-06,102.11
57,2022-03-05,102.11
58,2022-03-04,102.11
59,2022-03-03,102.11
60,2022-03-02,102.11
61,2022-03-01,102.11
62,2022-02-28,102.11
63,2022-02-27,102.11
64,2022-02-26,102.11
65,2022-02-25,102.11
66,2022-02-24,102.11
67,2022-02-23,102.11
68,2022-02-22,102.11
69,2022-02-21,102.11
70,2022-02-20,102.11
71,2022-02-19,102.11
72,2022-02-18,102.11
73,2022-02-17,102.11
74,2022-02-16,102.11
75,2022-02-15,102.11
76,2022-02-14,102.11
77,2022-02-13,102.11
78,2022-02-12,102.11
79,2022-02-11,102.11
80,2022-02-10,102.11
81,2022-02-09,102.11
82,2022-02-08,102.11
83,2022-02-07,102.11
84,2022-02-06,102.11
85,2022-02-05,102.11
86,2022-02-04,102.11
87,2022-02-03,102.11
88,2022-02-02,102.11
89,2022-02-01,102.11
90,2022-01-31,102.11
91,2022-01-30,102.11
92,2022-01-29,102.11
93,2022-01-28,102.11
94,2022-01-27,102.11
95,2022-01-26,102.11
96,2022-01-25,102.11
97,2022-01-24,102.11
98,2022-01-23,102.11
99,2022-01-22,102.11
100,2022-01-21,102.11
101,2022-01-20,102.11
102,2022-01-19,102.11
103,2022-01-18,102.11
104,2022-01-17,102.11
105,2022-01-16,102.11
106,2022-01-15,102.11
107,2022-01-14,102.11
108,2022-01-13,102.11
109,2022-01-12,102.11
110,2022-01-11,102.11
111,2022-01-10,102.11
112,2022-01-09,102.11
113,2022-01-08,102.11
114,2022-01-07,102.11
115,2022-01-06,102.11
116,2022-01-05,102.11
117,2022-01-04,102.11
118,2022-01-03,102.11
119,2022-01-02,102.11
120,2022-01-01,102.11
121,2021-12-31,102.11
122,2021-12-30,102.11
123,2021-12-29,102.11
124,2021-12-28,102.11
125,2021-12-27,102.11
126,2021-12-26,102.11
127,2021-12-25,102.11
128,2021-12-24,102.11
129,2021-12-23,102.11
130,2021-12-22,102.11
131,2021-12-21,102.11
132,2021-12-20,102.11
133,2021-12-19,102.11
134,2021-12-18,102.11
135,2021-12-17,102.11
136,2021-12-16,102.11
137,2021-12-15,102.11
138,2021-12-14,102.11
139,2021-12-13,102.11
140,2021-12-12,102.11
141,2021-12-11,102.11
142,2021-12-10,102.11
143,2021-12-09,102.11
144,2021-12-08,102.11
145,2021-12-07,102.11
146,2021-12-06,102.11
147,2021-12-05,102.11
148,2021-12-04,102.11
149,2021-12-03,102.11
150,2021-12-02,102.11
151,2021-11-30,102.11
152,2021-11-29,102.11
153,2021-11-28,102.11
154,2021-11-27,102.11
155,2021-11-26,102.11
156,2021-11-25,102.11
157,2021-11-24,102.11
158,2021-11-23,102.11
159,2021-11-22,102.11
160,2021-11-21,102.11
161,2021-11-20,102.11
162,2021-11-19,102.11
163,2021-11-18,102.11
164,2021-11-17,102.11
165,2021-11-16,102.11
166,2021-11-15,102.11
167,2021-11-14,102.11
168,2021-11-13,102.11
169,2021-11-12,102.11
170,2021-11-11,102.11
171,2021-11-10,102.11
172,2021-11-09,102.11
173,2021-11-08,102.11
174,2021-11-07,102.11
175,2021-11-06,102.11
176,2021-11-05,105.22
177,2021-11-04,105.22
178,2021-11-03,111.37
179,2021-11-02,111.37
180,2021-11-01,110.99
181,2021-10-31,110.59
182,2021-10-30,110.23
183,2021-10-29,109.88
184,2021-10-28,109.52
185,2021-10-27,109.17
186,2021-10-26,108.82
187,2021-10-25,108.82
188,2021-10-24,108.82
189,2021-10-23,108.46
190,2021-10-22,108.11
191,2021-10-21,107.75
192,2021-10-20,107.4
193,2021-10-19,107.04
194,2021-10-18,107.04
195,2021-10-15,106.33
196,2021-10-14,105.98
197,2021-10-13,105.63
198,2021-10-12,105.63
199,2021-10-11,105.63
200,2021-10-10,105.32
201,2021-10-09,105.02
202,2021-10-08,104.71
203,2021-10-07,104.41
204,2021-10-06,104.11
205,2021-10-05,103.8
206,2021-10-04,103.55
207,2021-10-03,103.55
208,2021-10-02,103.3
209,2021-10-01,103.04
210,2021-09-30,102.8
211,2021-09-29,102.56
212,2021-09-28,102.56
213,2021-09-27,102.37
214,2021-09-26,102.37
215,2021-09-25,102.37
216,2021-09-24,102.37
217,2021-09-23,102.37
218,2021-09-22,102.37
219,2021-09-21,102.37
220,2021-09-20,102.37
221,2021-09-19,102.37
222,2021-09-18,102.37
223,2021-09-17,102.37
224,2021-09-16,102.37
225,2021-09-15,102.37
226,2021-09-14,102.37
227,2021-09-13,102.37
228,2021-09-12,102.37
229,2021-09-11,102.37
230,2021-09-10,102.37
231,2021-09-09,102.37
232,2021-09-08,102.37
233,2021-09-07,102.37
234,2021-09-06,102.37
235,2021-09-05,102.37
236,2021-09-03,102.54
237,2021-09-02,102.54
238,2021-09-01,102.54
239,2021-08-31,102.7
240,2021-08-30,102.7
241,2021-08-29,102.7
242,2021-08-28,102.7
243,2021-08-27,102.7
244,2021-08-26,102.7
245,2021-08-25,102.7
246,2021-08-24,102.7
247,2021-08-23,102.84
248,2021-08-22,102.84
249,2021-08-21,103.02
250,2021-08-20,103.02
251,2021-08-19,103.02
252,2021-08-18,103.02
253,2021-08-17,103.02
254,2021-08-16,103.02
255,2021-08-15,103.02
256,2021-08-14,103.02
257,2021-08-13,103.02
258,2021-08-12,103.02
259,2021-08-11,103.02
260,2021-08-10,103.02
261,2021-08-09,103.02
262,2021-08-08,103.02
263,2021-08-07,103.02
264,2021-08-06,103.02
265,2021-08-05,103.02
266,2021-08-04,103.02
267,2021-08-03,103.02
268,2021-08-02,103.02
269,2021-08-01,103.02
270,2021-07-31,103.02
271,2021-07-30,103.02
272,2021-07-29,103.02
273,2021-07-28,103.02
274,2021-07-27,103.02
275,2021-07-26,103.02
276,2021-07-25,103.02
277,2021-07-24,103.02
278,2021-07-23,103.02
279,2021-07-22,103.02
280,2021-07-21,103.02
281,2021-07-20,103.02
282,2021-07-19,103.02
283,2021-07-18,103.02
284,2021-07-17,103.02
285,2021-07-16,102.71
286,2021-07-15,102.71
287,2021-07-14,102.36
288,2021-07-13,102.36
289,2021-07-12,102.36
290,2021-07-11,102.07
291,2021-07-10,102.07
292,2021-07-09,101.72
293,2021-07-08,101.72
294,2021-07-07,101.37
295,2021-07-06,101.01
296,2021-07-05,101.01
297,2021-07-04,100.66
298,2021-07-03,100.3
299,2021-07-02,100.3
300,2021-07-01,99.95
301,2021-06-30,99.95
302,2021-06-29,99.95
303,2021-06-28,99.59
304,2021-06-27,99.59
305,2021-06-26,99.24
306,2021-06-25,98.88
307,2021-06-24,98.88
308,2021-06-23,98.62
309,2021-06-22,98.62
310,2021-06-21,98.34
311,2021-06-20,98.34
312,2021-06-19,98.04
313,2021-06-18,98.04
314,2021-06-17,97.77
315,2021-06-16,97.77
316,2021-06-15,97.52
317,2021-06-14,97.52
318,2021-06-13,97.22
319,2021-06-12,97.22
320,2021-06-11,96.95
321,2021-06-10,96.66
322,2021-06-09,96.66
323,2021-06-08,96.4
324,2021-06-07,96.4
325,2021-06-06,96.12
326,2021-06-05,95.85
327,2021-06-04,95.85
328,2021-06-03,95.57
329,2021-06-02,95.57
330,2021-06-01,95.57
331,2021-05-31,95.31
332,2021-05-30,95.01
333,2021-05-29,95.01
334,2021-05-28,94.75
335,2021-05-27,94.75
336,2021-05-26,94.51
337,2021-05-25,94.51
338,2021-05-24,94.28
339,2021-05-23,94.28
340,2021-05-22,94.1
341,2021-05-21,94.1
342,2021-05-20,93.91
343,2021-05-19,93.91
344,2021-05-18,93.91
345,2021-05-17,93.64
346,2021-05-16,93.64
347,2021-05-15,93.39
348,2021-05-14,93.39
349,2021-05-13,93.1
350,2021-05-12,93.1
351,2021-05-11,92.85
352,2021-05-10,92.57
353,2021-05-09,92.31
354,2021-05-08,92.31
355,2021-05-07,92.31
356,2021-05-06,92.03
357,2021-05-05,91.77
358,2021-05-04,91.58
359,2021-05-03,91.37
360,2021-05-02,91.37
361,2021-05-01,91.37
362,2021-04-30,91.37
363,2021-04-29,91.37
364,2021-04-28,91.37
