,date,price
0,2022-05-01,113.04
1,2022-04-30,113.04
2,2022-04-29,113.04
3,2022-04-28,113.04
4,2022-04-27,113.04
5,2022-04-26,113.04
6,2022-04-25,113.04
7,2022-04-24,113.04
8,2022-04-23,113.04
9,2022-04-22,113.04
10,2022-04-21,113.04
11,2022-04-20,113.04
12,2022-04-19,113.04
13,2022-04-18,113.04
14,2022-04-17,113.04
15,2022-04-16,113.04
16,2022-04-15,113.04
17,2022-04-14,113.04
18,2022-04-13,113.04
19,2022-04-12,113.04
20,2022-04-11,113.04
21,2022-04-10,113.04
22,2022-04-09,113.04
23,2022-04-08,113.04
24,2022-04-07,113.04
25,2022-04-06,113.04
26,2022-04-05,112.18
27,2022-04-04,111.33
28,2022-04-03,110.9
29,2022-04-02,110.04
30,2022-04-01,109.19
31,2022-03-31,109.19
32,2022-03-30,108.33
33,2022-03-29,107.47
34,2022-03-28,106.62
35,2022-03-27,106.3
36,2022-03-26,105.76
37,2022-03-25,104.93
38,2022-03-24,104.07
39,2022-03-23,104.07
40,2022-03-22,103.21
41,2022-03-21,102.36
42,2022-03-20,102.36
43,2022-03-19,102.36
44,2022-03-18,102.36
45,2022-03-17,102.36
46,2022-03-16,102.36
47,2022-03-15,102.36
48,2022-03-14,102.36
49,2022-03-13,102.36
50,2022-03-12,102.36
51,2022-03-11,102.36
52,2022-03-10,102.36
53,2022-03-09,102.36
54,2022-03-08,102.36
55,2022-03-07,102.36
56,2022-03-06,102.36
57,2022-03-05,102.36
58,2022-03-04,102.36
59,2022-03-03,102.36
60,2022-03-02,102.36
61,2022-03-01,102.36
62,2022-02-28,102.36
63,2022-02-27,102.36
64,2022-02-26,102.36
65,2022-02-25,102.36
66,2022-02-24,102.36
67,2022-02-23,102.36
68,2022-02-22,102.36
69,2022-02-21,102.36
70,2022-02-20,102.36
71,2022-02-19,102.36
72,2022-02-18,102.36
73,2022-02-17,102.36
74,2022-02-16,102.36
75,2022-02-15,102.36
76,2022-02-14,102.36
77,2022-02-13,102.36
78,2022-02-12,102.36
79,2022-02-11,102.36
80,2022-02-10,102.36
81,2022-02-09,102.36
82,2022-02-08,102.36
83,2022-02-07,102.36
84,2022-02-06,102.36
85,2022-02-05,102.36
86,2022-02-04,102.36
87,2022-02-03,102.36
88,2022-02-02,102.36
89,2022-02-01,102.36
90,2022-01-31,102.36
91,2022-01-30,102.36
92,2022-01-29,102.36
93,2022-01-28,102.36
94,2022-01-27,102.36
95,2022-01-26,102.36
96,2022-01-25,102.36
97,2022-01-24,102.36
98,2022-01-23,102.36
99,2022-01-22,102.36
100,2022-01-21,102.36
101,2022-01-20,102.36
102,2022-01-19,102.36
103,2022-01-18,102.36
104,2022-01-17,102.36
105,2022-01-16,102.36
106,2022-01-15,102.36
107,2022-01-14,102.36
108,2022-01-13,102.36
109,2022-01-12,102.36
110,2022-01-11,102.36
111,2022-01-10,102.36
112,2022-01-09,102.36
113,2022-01-08,102.36
114,2022-01-07,102.36
115,2022-01-06,102.36
116,2022-01-05,102.36
117,2022-01-04,102.36
118,2022-01-03,102.36
119,2022-01-02,102.36
120,2022-01-01,102.36
121,2021-12-31,102.36
122,2021-12-30,102.36
123,2021-12-29,102.36
124,2021-12-28,102.36
125,2021-12-27,102.36
126,2021-12-26,102.36
127,2021-12-25,102.36
128,2021-12-24,102.36
129,2021-12-23,102.36
130,2021-12-22,102.36
131,2021-12-21,102.36
132,2021-12-20,102.36
133,2021-12-19,102.36
134,2021-12-18,102.36
135,2021-12-17,102.36
136,2021-12-16,102.36
137,2021-12-15,102.36
138,2021-12-14,102.36
139,2021-12-13,102.36
140,2021-12-12,102.36
141,2021-12-11,102.36
142,2021-12-10,102.36
143,2021-12-09,102.36
144,2021-12-08,102.36
145,2021-12-07,102.36
146,2021-12-06,102.36
147,2021-12-05,102.36
148,2021-12-04,102.36
149,2021-12-03,102.36
150,2021-12-02,102.36
151,2021-11-30,102.36
152,2021-11-29,102.36
153,2021-11-28,102.36
154,2021-11-27,102.36
155,2021-11-26,102.36
156,2021-11-25,102.36
157,2021-11-24,102.36
158,2021-11-23,102.36
159,2021-11-22,102.36
160,2021-11-21,102.36
161,2021-11-20,102.36
162,2021-11-19,102.36
163,2021-11-18,102.36
164,2021-11-17,102.36
165,2021-11-16,102.36
166,2021-11-15,102.36
167,2021-11-14,102.36
168,2021-11-13,102.36
169,2021-11-12,102.36
170,2021-11-11,102.36
171,2021-11-10,102.36
172,2021-11-09,102.36
173,2021-11-08,102.36
174,2021-11-07,102.36
175,2021-11-06,102.36
176,2021-11-05,105.47
177,2021-11-04,105.47
178,2021-11-03,111.62
179,2021-11-02,111.62
180,2021-11-01,111.25
181,2021-10-31,110.83
182,2021-10-30,110.48
183,2021-10-29,110.12
184,2021-10-28,109.77
185,2021-10-27,109.41
186,2021-10-26,109.06
187,2021-10-25,109.06
188,2021-10-24,109.06
189,2021-10-23,108.71
