,date,price
0,2022-05-01,104.64
1,2022-04-30,104.64
2,2022-04-29,104.64
3,2022-04-28,104.64
4,2022-04-27,104.64
5,2022-04-26,104.64
6,2022-04-25,104.64
7,2022-04-24,104.64
8,2022-04-23,104.64
9,2022-04-22,104.64
10,2022-04-21,104.64
11,2022-04-20,104.64
12,2022-04-19,104.64
13,2022-04-18,104.64
14,2022-04-17,104.64
15,2022-04-16,104.64
16,2022-04-15,104.64
17,2022-04-14,104.64
18,2022-04-13,104.64
19,2022-04-12,104.64
20,2022-04-11,104.64
21,2022-04-10,104.64
22,2022-04-09,104.64
23,2022-04-08,104.64
24,2022-04-07,104.64
25,2022-04-06,104.64
26,2022-04-05,103.86
27,2022-04-04,103.07
28,2022-04-03,102.68
29,2022-04-02,101.9
30,2022-04-01,101.12
31,2022-03-31,101.12
32,2022-03-30,100.34
33,2022-03-29,99.56
34,2022-03-28,98.78
35,2022-03-27,98.48
36,2022-03-26,97.99
37,2022-03-25,97.27
38,2022-03-24,96.49
39,2022-03-23,96.49
40,2022-03-22,95.71
41,2022-03-21,94.92
42,2022-03-20,94.92
43,2022-03-19,94.92
44,2022-03-18,94.92
45,2022-03-17,94.92
46,2022-03-16,94.92
47,2022-03-15,94.92
48,2022-03-14,94.92
49,2022-03-13,94.92
50,2022-03-12,94.92
51,2022-03-11,94.92
52,2022-03-10,94.92
53,2022-03-09,94.92
54,2022-03-08,94.92
55,2022-03-07,94.92
56,2022-03-06,94.92
57,2022-03-05,94.92
58,2022-03-04,94.92
59,2022-03-03,94.92
60,2022-03-02,94.92
61,2022-03-01,94.92
62,2022-02-28,94.92
63,2022-02-27,94.92
64,2022-02-26,94.92
65,2022-02-25,94.92
66,2022-02-24,94.92
67,2022-02-23,94.92
68,2022-02-22,94.92
69,2022-02-21,94.92
70,2022-02-20,94.92
71,2022-02-19,94.92
72,2022-02-18,94.92
73,2022-02-17,94.92
74,2022-02-16,94.92
75,2022-02-15,94.92
76,2022-02-14,94.92
77,2022-02-13,94.92
78,2022-02-12,94.92
79,2022-02-11,94.92
80,2022-02-10,94.92
81,2022-02-09,94.92
82,2022-02-08,94.92
83,2022-02-07,94.92
84,2022-02-06,94.92
85,2022-02-05,94.92
86,2022-02-04,94.92
87,2022-02-03,94.92
88,2022-02-02,94.92
89,2022-02-01,94.92
90,2022-01-31,94.92
91,2022-01-30,94.92
92,2022-01-29,94.92
93,2022-01-28,94.92
94,2022-01-27,94.92
95,2022-01-26,94.92
96,2022-01-25,94.92
97,2022-01-24,94.92
98,2022-01-23,94.92
99,2022-01-22,94.92
100,2022-01-21,94.92
101,2022-01-20,94.92
102,2022-01-19,94.92
103,2022-01-18,94.92
104,2022-01-17,94.92
105,2022-01-16,94.92
106,2022-01-15,94.92
107,2022-01-14,94.92
108,2022-01-13,94.92
109,2022-01-12,94.92
110,2022-01-11,94.92
111,2022-01-10,94.92
112,2022-01-09,94.92
113,2022-01-08,94.92
114,2022-01-07,94.92
115,2022-01-06,94.92
116,2022-01-05,94.92
117,2022-01-04,94.92
118,2022-01-03,94.92
119,2022-01-02,94.92
120,2022-01-01,94.92
121,2021-12-31,94.92
122,2021-12-30,94.92
123,2021-12-29,94.92
124,2021-12-28,94.92
125,2021-12-27,94.92
126,2021-12-26,94.92
127,2021-12-25,94.92
128,2021-12-24,94.92
129,2021-12-23,94.92
130,2021-12-22,94.92
131,2021-12-21,94.92
132,2021-12-20,94.92
133,2021-12-19,94.92
134,2021-12-18,94.92
135,2021-12-17,94.92
136,2021-12-16,94.92
137,2021-12-15,94.92
138,2021-12-14,94.92
139,2021-12-13,94.92
140,2021-12-12,94.92
141,2021-12-11,94.92
142,2021-12-10,94.92
143,2021-12-09,94.92
144,2021-12-08,94.92
145,2021-12-07,94.92
146,2021-12-06,94.92
147,2021-12-05,94.92
148,2021-12-04,94.92
149,2021-12-03,94.92
150,2021-12-02,94.92
151,2021-11-30,94.92
152,2021-11-29,94.92
153,2021-11-28,94.92
154,2021-11-27,94.92
155,2021-11-26,94.92
156,2021-11-25,94.92
157,2021-11-24,94.92
158,2021-11-23,94.92
159,2021-11-22,94.92
160,2021-11-21,94.92
161,2021-11-20,94.92
162,2021-11-19,94.92
163,2021-11-18,94.92
164,2021-11-17,94.92
165,2021-11-16,94.92
166,2021-11-15,94.92
167,2021-11-14,94.92
168,2021-11-13,94.92
169,2021-11-12,94.92
170,2021-11-11,94.92
171,2021-11-10,94.92
172,2021-11-09,94.92
173,2021-11-08,94.92
174,2021-11-07,94.92
175,2021-11-06,94.92
176,2021-11-05,94.92
177,2021-11-04,101.93
178,2021-11-03,107.77
179,2021-11-02,107.77
180,2021-11-01,107.41
181,2021-10-31,106.94
182,2021-10-30,106.61
183,2021-10-29,106.27
184,2021-10-28,105.93
185,2021-10-27,105.6
186,2021-10-26,105.26
187,2021-10-25,105.26
188,2021-10-24,105.26
189,2021-10-23,104.92
190,2021-10-22,104.59
191,2021-10-21,104.25
192,2021-10-20,103.91
193,2021-10-19,103.57
194,2021-10-18,103.57
195,2021-10-15,102.9
196,2021-10-14,102.56
197,2021-10-13,102.23
198,2021-10-12,102.23
199,2021-10-11,102.23
200,2021-10-10,101.94
201,2021-10-09,101.65
202,2021-10-08,101.36
203,2021-10-07,101.07
204,2021-10-06,100.78
205,2021-10-05,100.49
206,2021-10-04,100.25
207,2021-10-03,100.25
208,2021-10-02,100.01
209,2021-10-01,99.77
210,2021-09-30,99.54
211,2021-09-29,99.32
212,2021-09-28,99.32
213,2021-09-27,99.14
214,2021-09-26,99.14
215,2021-09-25,99.14
216,2021-09-24,99.14
217,2021-09-23,99.14
218,2021-09-22,99.14
219,2021-09-21,99.14
220,2021-09-20,99.14
221,2021-09-19,99.14
222,2021-09-18,99.14
223,2021-09-17,99.14
224,2021-09-16,99.14
225,2021-09-15,99.14
226,2021-09-14,99.14
227,2021-09-13,99.14
228,2021-09-12,99.14
229,2021-09-11,99.14
230,2021-09-10,99.14
231,2021-09-09,99.14
232,2021-09-08,99.14
233,2021-09-07,99.14
234,2021-09-06,99.14
235,2021-09-05,99.14
236,2021-09-03,99.29
237,2021-09-02,99.29
238,2021-09-01,99.29
239,2021-08-31,101.87
240,2021-08-30,101.87
241,2021-08-29,101.87
242,2021-08-28,101.87
243,2021-08-27,101.87
244,2021-08-26,101.87
245,2021-08-25,101.87
246,2021-08-24,101.87
247,2021-08-23,102.01
248,2021-08-22,102.01
249,2021-08-21,102.01
250,2021-08-20,102.01
251,2021-08-19,102.01
252,2021-08-18,102.01
253,2021-08-17,102.01
254,2021-08-16,102.01
255,2021-08-15,102.01
256,2021-08-14,102.01
257,2021-08-13,102.01
258,2021-08-12,102.01
259,2021-08-11,102.01
260,2021-08-10,102.01
261,2021-08-09,102.01
262,2021-08-08,102.01
263,2021-08-07,102.01
264,2021-08-06,102.01
265,2021-08-05,102.01
266,2021-08-04,102.01
267,2021-08-03,102.01
268,2021-08-02,102.01
269,2021-08-01,102.01
270,2021-07-31,102.01
271,2021-07-30,102.01
272,2021-07-29,102.01
273,2021-07-28,102.01
274,2021-07-27,102.01
275,2021-07-26,102.01
276,2021-07-25,102.01
277,2021-07-24,102.01
278,2021-07-23,102.01
279,2021-07-22,102.01
280,2021-07-21,102.01
281,2021-07-20,102.01
282,2021-07-19,102.01
283,2021-07-18,102.01
284,2021-07-17,102.01
285,2021-07-16,101.71
286,2021-07-15,101.71
287,2021-07-14,101.37
288,2021-07-13,101.37
289,2021-07-12,101.37
290,2021-07-11,101.09
291,2021-07-10,101.09
292,2021-07-09,100.74
293,2021-07-08,100.74
294,2021-07-07,100.4
295,2021-07-06,100.05
296,2021-07-05,100.05
297,2021-07-04,99.71
298,2021-07-03,99.36
299,2021-07-02,99.36
300,2021-07-01,99.02
301,2021-06-30,99.02
302,2021-06-29,99.02
303,2021-06-28,98.67
304,2021-06-27,98.67
305,2021-06-26,98.33
306,2021-06-25,97.98
307,2021-06-24,97.98
308,2021-06-23,97.73
309,2021-06-22,97.73
310,2021-06-21,97.45
311,2021-06-20,97.45
312,2021-06-19,97.16
313,2021-06-18,97.16
314,2021-06-17,96.9
315,2021-06-16,96.9
316,2021-06-15,96.65
317,2021-06-14,96.65
318,2021-06-13,96.37
319,2021-06-12,96.37
320,2021-06-11,96.1
321,2021-06-10,95.81
322,2021-06-09,95.81
323,2021-06-08,95.57
324,2021-06-07,95.57
325,2021-06-06,95.29
326,2021-06-05,95.03
327,2021-06-04,95.03
328,2021-06-03,94.76
329,2021-06-02,94.76
330,2021-06-01,94.76
331,2021-05-31,94.5
332,2021-05-30,94.22
333,2021-05-29,94.22
334,2021-05-28,93.96
335,2021-05-27,93.96
336,2021-05-26,93.72
337,2021-05-25,93.72
338,2021-05-24,93.5
339,2021-05-23,93.5
340,2021-05-22,93.33
341,2021-05-21,93.33
342,2021-05-20,93.14
343,2021-05-19,93.14
344,2021-05-18,93.14
345,2021-05-17,92.88
346,2021-05-16,92.88
347,2021-05-15,92.64
348,2021-05-14,92.64
349,2021-05-13,92.35
350,2021-05-12,92.35
351,2021-05-11,92.11
352,2021-05-10,91.84
353,2021-05-09,91.58
354,2021-05-08,91.58
355,2021-05-07,91.58
356,2021-05-06,91.31
357,2021-05-05,91.06
358,2021-05-04,90.87
359,2021-05-03,90.56
360,2021-05-02,90.56
361,2021-05-01,90.56
362,2021-04-30,90.56
363,2021-04-29,90.56
364,2021-04-28,90.56
