,date,price
0,2022-05-01,105.23
1,2022-04-30,105.23
2,2022-04-29,105.23
3,2022-04-28,105.23
4,2022-04-27,105.23
5,2022-04-26,105.23
6,2022-04-25,105.23
7,2022-04-24,105.23
8,2022-04-23,105.23
9,2022-04-22,105.23
10,2022-04-21,105.23
11,2022-04-20,105.23
12,2022-04-19,105.23
13,2022-04-18,105.23
14,2022-04-17,105.23
15,2022-04-16,105.23
16,2022-04-15,105.23
17,2022-04-14,105.23
18,2022-04-13,105.23
19,2022-04-12,105.23
20,2022-04-11,105.23
21,2022-04-10,105.23
22,2022-04-09,105.23
23,2022-04-08,105.23
24,2022-04-07,105.23
25,2022-04-06,105.23
26,2022-04-05,104.46
27,2022-04-04,103.69
28,2022-04-03,103.3
29,2022-04-02,102.53
30,2022-04-01,101.76
31,2022-03-31,101.76
32,2022-03-30,100.99
33,2022-03-29,100.22
34,2022-03-28,99.45
35,2022-03-27,99.16
36,2022-03-26,98.68
37,2022-03-25,97.93
38,2022-03-24,97.15
39,2022-03-23,97.15
40,2022-03-22,96.38
41,2022-03-21,95.61
42,2022-03-20,95.61
43,2022-03-19,95.61
44,2022-03-18,95.61
45,2022-03-17,95.61
46,2022-03-16,95.61
47,2022-03-15,95.61
48,2022-03-14,95.61
49,2022-03-13,95.61
50,2022-03-12,95.61
51,2022-03-11,95.61
52,2022-03-10,95.61
53,2022-03-09,95.61
54,2022-03-08,95.61
55,2022-03-07,95.61
56,2022-03-06,95.61
57,2022-03-05,95.61
58,2022-03-04,95.61
59,2022-03-03,95.61
60,2022-03-02,95.61
61,2022-03-01,95.61
62,2022-02-28,95.61
63,2022-02-27,95.61
64,2022-02-26,95.61
65,2022-02-25,95.61
66,2022-02-24,95.61
67,2022-02-23,95.61
68,2022-02-22,95.61
69,2022-02-21,95.61
70,2022-02-20,95.61
71,2022-02-19,95.61
72,2022-02-18,95.61
73,2022-02-17,95.61
74,2022-02-16,95.61
75,2022-02-15,95.61
76,2022-02-14,95.61
77,2022-02-13,95.61
78,2022-02-12,95.61
79,2022-02-11,95.61
80,2022-02-10,95.61
81,2022-02-09,95.61
82,2022-02-08,95.61
83,2022-02-07,95.61
84,2022-02-06,95.61
85,2022-02-05,95.61
86,2022-02-04,95.61
87,2022-02-03,95.61
88,2022-02-02,95.61
89,2022-02-01,95.61
90,2022-01-31,95.61
91,2022-01-30,95.61
92,2022-01-29,95.61
93,2022-01-28,95.61
94,2022-01-27,95.61
95,2022-01-26,95.61
96,2022-01-25,95.61
97,2022-01-24,95.61
98,2022-01-23,95.61
99,2022-01-22,95.61
100,2022-01-21,95.61
101,2022-01-20,95.61
102,2022-01-19,95.61
103,2022-01-18,95.61
104,2022-01-17,95.61
105,2022-01-16,95.61
106,2022-01-15,95.61
107,2022-01-14,95.61
108,2022-01-13,95.61
109,2022-01-12,95.61
110,2022-01-11,95.61
111,2022-01-10,95.61
112,2022-01-09,95.61
113,2022-01-08,95.61
114,2022-01-07,95.61
115,2022-01-06,95.61
116,2022-01-05,95.61
117,2022-01-04,95.61
118,2022-01-03,95.61
119,2022-01-02,95.61
120,2022-01-01,95.61
121,2021-12-31,95.61
122,2021-12-30,95.61
123,2021-12-29,95.61
124,2021-12-28,95.61
125,2021-12-27,95.61
126,2021-12-26,95.61
127,2021-12-25,95.61
128,2021-12-24,95.61
129,2021-12-23,95.61
130,2021-12-22,95.61
131,2021-12-21,95.61
132,2021-12-20,95.61
133,2021-12-19,95.61
134,2021-12-18,95.61
135,2021-12-17,95.61
136,2021-12-16,95.61
137,2021-12-15,95.61
138,2021-12-14,95.61
139,2021-12-13,95.61
140,2021-12-12,95.61
141,2021-12-11,95.61
142,2021-12-10,95.61
143,2021-12-09,95.61
144,2021-12-08,95.61
145,2021-12-07,95.61
146,2021-12-06,95.61
147,2021-12-05,95.61
148,2021-12-04,95.61
149,2021-12-03,95.61
150,2021-12-02,95.61
151,2021-11-30,95.61
152,2021-11-29,95.61
153,2021-11-28,95.61
154,2021-11-27,95.61
155,2021-11-26,95.61
156,2021-11-25,95.61
157,2021-11-24,95.61
158,2021-11-23,95.61
159,2021-11-22,95.61
160,2021-11-21,95.61
161,2021-11-20,95.61
162,2021-11-19,95.61
163,2021-11-18,95.61
164,2021-11-17,95.61
165,2021-11-16,95.61
166,2021-11-15,95.61
167,2021-11-14,95.61
168,2021-11-13,95.61
169,2021-11-12,95.61
170,2021-11-11,95.61
171,2021-11-10,95.61
172,2021-11-09,95.61
173,2021-11-08,105.79
174,2021-11-07,105.79
175,2021-11-06,105.79
176,2021-11-05,105.79
177,2021-11-04,105.79
178,2021-11-03,111.73
179,2021-11-02,111.73
180,2021-11-01,111.37
181,2021-10-31,110.96
182,2021-10-30,110.62
183,2021-10-29,110.27
184,2021-10-28,109.93
185,2021-10-27,109.59
186,2021-10-26,109.25
187,2021-10-25,109.25
188,2021-10-24,109.25
189,2021-10-23,108.9
190,2021-10-22,108.56
191,2021-10-21,108.22
192,2021-10-20,107.88
193,2021-10-19,107.53
194,2021-10-18,107.53
195,2021-10-15,106.85
196,2021-10-14,106.51
197,2021-10-13,106.16
198,2021-10-12,106.16
199,2021-10-11,106.16
200,2021-10-10,105.87
201,2021-10-09,105.58
202,2021-10-08,105.28
203,2021-10-07,104.99
204,2021-10-06,104.7
205,2021-10-05,104.4
206,2021-10-04,104.16
207,2021-10-03,104.16
208,2021-10-02,103.91
209,2021-10-01,103.67
210,2021-09-30,103.44
211,2021-09-29,103.2
212,2021-09-28,103.2
213,2021-09-27,103.02
214,2021-09-26,103.02
215,2021-09-25,103.02
216,2021-09-24,103.02
217,2021-09-23,103.02
218,2021-09-22,103.02
219,2021-09-21,103.02
220,2021-09-20,103.02
221,2021-09-19,103.02
222,2021-09-18,103.02
