,date,price
0,2022-05-01,105.13
1,2022-04-30,105.13
2,2022-04-29,105.13
3,2022-04-28,105.13
4,2022-04-27,105.13
5,2022-04-26,105.13
6,2022-04-25,105.13
7,2022-04-24,105.13
8,2022-04-23,105.13
9,2022-04-22,105.13
10,2022-04-21,105.13
11,2022-04-20,105.13
12,2022-04-19,105.13
13,2022-04-18,105.13
14,2022-04-17,105.13
15,2022-04-16,105.13
16,2022-04-15,105.13
17,2022-04-14,105.13
18,2022-04-13,105.13
19,2022-04-12,105.13
20,2022-04-11,105.13
21,2022-04-10,105.13
22,2022-04-09,105.13
23,2022-04-08,105.13
24,2022-04-07,105.13
25,2022-04-06,105.13
26,2022-04-05,104.36
27,2022-04-04,103.59
28,2022-04-03,103.21
29,2022-04-02,102.44
30,2022-04-01,101.66
31,2022-03-31,101.66
32,2022-03-30,100.89
33,2022-03-29,100.12
34,2022-03-28,99.35
35,2022-03-27,99.06
36,2022-03-26,98.58
37,2022-03-25,97.83
38,2022-03-24,97.06
39,2022-03-23,97.06
40,2022-03-22,96.29
41,2022-03-21,95.51
42,2022-03-20,95.51
43,2022-03-19,95.51
44,2022-03-18,95.51
45,2022-03-17,95.51
46,2022-03-16,95.51
47,2022-03-15,95.51
48,2022-03-14,95.51
49,2022-03-13,95.51
50,2022-03-12,95.51
51,2022-03-11,95.51
52,2022-03-10,95.51
53,2022-03-09,95.51
54,2022-03-08,95.51
55,2022-03-07,95.51
56,2022-03-06,95.51
57,2022-03-05,95.51
58,2022-03-04,95.51
59,2022-03-03,95.51
60,2022-03-02,95.51
61,2022-03-01,95.51
62,2022-02-28,95.51
63,2022-02-27,95.51
64,2022-02-26,95.51
65,2022-02-25,95.51
66,2022-02-24,95.51
67,2022-02-23,95.51
68,2022-02-22,95.51
69,2022-02-21,95.51
70,2022-02-20,95.51
71,2022-02-19,95.51
72,2022-02-18,95.51
73,2022-02-17,95.51
74,2022-02-16,95.51
75,2022-02-15,95.51
76,2022-02-14,95.51
77,2022-02-13,95.51
78,2022-02-12,95.51
79,2022-02-11,95.51
80,2022-02-10,95.51
81,2022-02-09,95.51
82,2022-02-08,95.51
83,2022-02-07,95.51
84,2022-02-06,95.51
85,2022-02-05,95.51
86,2022-02-04,95.51
87,2022-02-03,95.51
88,2022-02-02,95.51
89,2022-02-01,95.51
90,2022-01-31,95.51
91,2022-01-30,95.51
92,2022-01-29,95.51
93,2022-01-28,95.51
94,2022-01-27,95.51
95,2022-01-26,95.51
96,2022-01-25,95.51
97,2022-01-24,95.51
98,2022-01-23,95.51
99,2022-01-22,95.51
100,2022-01-21,95.51
101,2022-01-20,95.51
102,2022-01-19,95.51
103,2022-01-18,95.51
104,2022-01-17,95.51
105,2022-01-16,95.51
106,2022-01-15,95.51
107,2022-01-14,95.51
108,2022-01-13,95.51
109,2022-01-12,95.51
110,2022-01-11,95.51
111,2022-01-10,95.51
112,2022-01-09,95.51
113,2022-01-08,95.51
114,2022-01-07,95.51
115,2022-01-06,95.51
116,2022-01-05,95.51
117,2022-01-04,95.51
118,2022-01-03,95.51
119,2022-01-02,95.51
120,2022-01-01,95.51
121,2021-12-31,95.51
122,2021-12-30,95.51
123,2021-12-29,95.51
124,2021-12-28,95.51
125,2021-12-27,95.51
126,2021-12-26,95.51
127,2021-12-25,95.51
128,2021-12-24,95.51
129,2021-12-23,95.51
130,2021-12-22,95.51
131,2021-12-21,95.51
132,2021-12-20,95.51
133,2021-12-19,95.51
134,2021-12-18,95.51
135,2021-12-17,95.51
136,2021-12-16,95.51
137,2021-12-15,95.51
138,2021-12-14,95.51
139,2021-12-13,95.51
140,2021-12-12,95.51
141,2021-12-11,95.51
142,2021-12-10,95.51
143,2021-12-09,95.51
144,2021-12-08,95.51
145,2021-12-07,95.51
146,2021-12-06,95.51
147,2021-12-05,95.51
148,2021-12-04,95.51
149,2021-12-03,95.51
150,2021-12-02,95.51
151,2021-11-30,95.51
152,2021-11-29,95.51
153,2021-11-28,95.51
154,2021-11-27,95.51
155,2021-11-26,95.51
156,2021-11-25,95.51
157,2021-11-24,95.51
158,2021-11-23,95.51
159,2021-11-22,95.51
160,2021-11-21,95.51
161,2021-11-20,95.51
162,2021-11-19,95.51
163,2021-11-18,95.51
164,2021-11-17,95.51
165,2021-11-16,95.51
166,2021-11-15,95.51
167,2021-11-14,95.51
168,2021-11-13,95.51
169,2021-11-12,95.51
170,2021-11-11,95.51
171,2021-11-10,95.51
172,2021-11-09,95.51
173,2021-11-08,105.68
174,2021-11-07,105.68
175,2021-11-06,105.68
176,2021-11-05,105.68
177,2021-11-04,105.68
178,2021-11-03,111.62
179,2021-11-02,111.62
180,2021-11-01,111.26
181,2021-10-31,110.85
182,2021-10-30,110.51
183,2021-10-29,110.17
184,2021-10-28,109.83
185,2021-10-27,109.48
186,2021-10-26,109.14
187,2021-10-25,109.14
188,2021-10-24,109.14
189,2021-10-23,108.8
190,2021-10-22,108.46
191,2021-10-21,108.11
192,2021-10-20,107.77
193,2021-10-19,107.43
194,2021-10-18,107.43
195,2021-10-15,106.74
196,2021-10-14,106.4
197,2021-10-13,106.06
198,2021-10-12,106.06
199,2021-10-11,106.06
200,2021-10-10,105.76
201,2021-10-09,105.47
202,2021-10-08,105.18
203,2021-10-07,104.88
204,2021-10-06,104.59
205,2021-10-05,104.3
206,2021-10-04,104.05
207,2021-10-03,104.05
208,2021-10-02,103.81
209,2021-10-01,103.56
210,2021-09-30,103.33
211,2021-09-29,103.1
212,2021-09-28,103.1
213,2021-09-27,102.91
214,2021-09-26,102.91
215,2021-09-25,102.91
216,2021-09-24,102.91
217,2021-09-23,102.91
218,2021-09-22,102.91
219,2021-09-21,102.91
220,2021-09-20,102.91
221,2021-09-19,102.91
222,2021-09-18,102.91
223,2021-09-17,102.91
224,2021-09-16,102.91
225,2021-09-15,102.91
226,2021-09-14,102.91
227,2021-09-13,102.91
228,2021-09-12,102.91
229,2021-09-11,102.91
230,2021-09-10,102.91
231,2021-09-09,102.91
232,2021-09-08,102.91
233,2021-09-07,102.91
234,2021-09-06,102.91
235,2021-09-05,102.91
236,2021-09-03,103.07
237,2021-09-02,103.07
238,2021-09-01,103.07
239,2021-08-31,103.23
240,2021-08-30,103.23
241,2021-08-29,103.23
242,2021-08-28,103.23
243,2021-08-27,103.23
244,2021-08-26,103.23
245,2021-08-25,103.23
246,2021-08-24,103.23
247,2021-08-23,103.37
248,2021-08-22,103.37
249,2021-08-21,103.47
250,2021-08-20,103.47
251,2021-08-19,103.47
252,2021-08-18,103.47
253,2021-08-17,103.47
254,2021-08-16,103.47
255,2021-08-15,103.47
256,2021-08-14,103.47
257,2021-08-13,103.47
258,2021-08-12,103.47
259,2021-08-11,103.47
260,2021-08-10,103.47
261,2021-08-09,103.47
262,2021-08-08,103.47
263,2021-08-07,103.47
264,2021-08-06,103.47
265,2021-08-05,103.47
266,2021-08-04,103.47
267,2021-08-03,103.47
268,2021-08-02,103.47
269,2021-08-01,103.47
270,2021-07-31,103.47
271,2021-07-30,103.47
272,2021-07-29,103.47
273,2021-07-28,103.47
274,2021-07-27,103.47
275,2021-07-26,103.47
276,2021-07-25,103.47
277,2021-07-24,103.47
278,2021-07-23,103.47
279,2021-07-22,103.47
280,2021-07-21,103.47
