,date,price
0,2022-05-01,104.94
1,2022-04-30,104.94
2,2022-04-29,104.94
3,2022-04-28,104.94
4,2022-04-27,104.94
5,2022-04-26,104.94
6,2022-04-25,104.94
7,2022-04-24,104.94
8,2022-04-23,104.94
9,2022-04-22,104.94
10,2022-04-21,104.94
11,2022-04-20,104.94
12,2022-04-19,104.94
13,2022-04-18,104.94
14,2022-04-17,104.94
15,2022-04-16,104.94
16,2022-04-15,104.94
17,2022-04-14,104.94
18,2022-04-13,104.94
19,2022-04-12,104.94
20,2022-04-11,104.94
21,2022-04-10,104.94
22,2022-04-09,104.94
23,2022-04-08,104.94
24,2022-04-07,104.94
25,2022-04-06,104.94
26,2022-04-05,104.17
27,2022-04-04,103.4
28,2022-04-03,103.01
29,2022-04-02,102.24
30,2022-04-01,101.47
31,2022-03-31,101.47
32,2022-03-30,100.7
33,2022-03-29,99.93
34,2022-03-28,99.16
35,2022-03-27,98.87
36,2022-03-26,98.38
37,2022-03-25,97.63
38,2022-03-24,96.86
39,2022-03-23,96.86
40,2022-03-22,96.09
41,2022-03-21,95.31
42,2022-03-20,95.31
43,2022-03-19,95.31
44,2022-03-18,95.31
45,2022-03-17,95.31
46,2022-03-16,95.31
47,2022-03-15,95.31
48,2022-03-14,95.31
49,2022-03-13,95.31
50,2022-03-12,95.31
51,2022-03-11,95.31
52,2022-03-10,95.31
53,2022-03-09,95.31
54,2022-03-08,95.31
55,2022-03-07,95.31
56,2022-03-06,95.31
57,2022-03-05,95.31
58,2022-03-04,95.31
59,2022-03-03,95.31
60,2022-03-02,95.31
61,2022-03-01,95.31
62,2022-02-28,95.31
63,2022-02-27,95.31
64,2022-02-26,95.31
65,2022-02-25,95.31
66,2022-02-24,95.31
67,2022-02-23,95.31
68,2022-02-22,95.31
69,2022-02-21,95.31
70,2022-02-20,95.31
71,2022-02-19,95.31
72,2022-02-18,95.31
73,2022-02-17,95.31
74,2022-02-16,95.31
75,2022-02-15,95.31
76,2022-02-14,95.31
77,2022-02-13,95.31
78,2022-02-12,95.31
79,2022-02-11,95.31
80,2022-02-10,95.31
81,2022-02-09,95.31
82,2022-02-08,95.31
83,2022-02-07,95.31
84,2022-02-06,95.31
85,2022-02-05,95.31
86,2022-02-04,95.31
87,2022-02-03,95.31
88,2022-02-02,95.31
89,2022-02-01,95.31
90,2022-01-31,95.31
91,2022-01-30,95.31
92,2022-01-29,95.31
93,2022-01-28,95.31
94,2022-01-27,95.31
95,2022-01-26,95.31
96,2022-01-25,95.31
97,2022-01-24,95.31
98,2022-01-23,95.31
99,2022-01-22,95.31
100,2022-01-21,95.31
101,2022-01-20,95.31
102,2022-01-19,95.31
103,2022-01-18,95.31
104,2022-01-17,95.31
105,2022-01-16,95.31
106,2022-01-15,95.31
107,2022-01-14,95.31
108,2022-01-13,95.31
109,2022-01-12,95.31
110,2022-01-11,95.31
111,2022-01-10,95.31
112,2022-01-09,95.31
113,2022-01-08,95.31
114,2022-01-07,95.31
115,2022-01-06,95.31
116,2022-01-05,95.31
117,2022-01-04,95.31
118,2022-01-03,95.31
119,2022-01-02,95.31
120,2022-01-01,95.31
121,2021-12-31,95.31
122,2021-12-30,95.31
123,2021-12-29,95.31
124,2021-12-28,95.31
125,2021-12-27,95.31
126,2021-12-26,95.31
127,2021-12-25,95.31
128,2021-12-24,95.31
129,2021-12-23,95.31
130,2021-12-22,95.31
131,2021-12-21,95.31
132,2021-12-20,95.31
133,2021-12-19,95.31
134,2021-12-18,95.31
135,2021-12-17,95.31
136,2021-12-16,95.31
137,2021-12-15,95.31
138,2021-12-14,95.31
139,2021-12-13,95.31
140,2021-12-12,95.31
141,2021-12-11,95.31
142,2021-12-10,95.31
143,2021-12-09,95.31
144,2021-12-08,95.31
145,2021-12-07,95.31
146,2021-12-06,95.31
147,2021-12-05,95.31
148,2021-12-04,95.31
149,2021-12-03,95.31
150,2021-12-02,95.31
151,2021-11-30,95.31
152,2021-11-29,95.31
153,2021-11-28,95.31
154,2021-11-27,95.31
155,2021-11-26,95.31
156,2021-11-25,95.31
157,2021-11-24,95.31
158,2021-11-23,95.31
159,2021-11-22,95.31
160,2021-11-21,95.31
161,2021-11-20,95.31
162,2021-11-19,95.31
163,2021-11-18,95.31
164,2021-11-17,95.31
165,2021-11-16,95.31
166,2021-11-15,95.31
167,2021-11-14,95.31
168,2021-11-13,95.31
169,2021-11-12,95.31
170,2021-11-11,95.31
171,2021-11-10,95.31
172,2021-11-09,95.31
173,2021-11-08,105.46
174,2021-11-07,105.46
175,2021-11-06,105.46
176,2021-11-05,105.46
177,2021-11-04,105.46
178,2021-11-03,111.4
179,2021-11-02,111.4
180,2021-11-01,111.04
181,2021-10-31,110.64
182,2021-10-30,110.3
183,2021-10-29,109.96
184,2021-10-28,109.62
185,2021-10-27,109.27
186,2021-10-26,108.93
187,2021-10-25,108.93
188,2021-10-24,108.93
189,2021-10-23,108.59
190,2021-10-22,108.25
191,2021-10-21,107.9
192,2021-10-20,107.56
193,2021-10-19,107.22
194,2021-10-18,107.22
195,2021-10-15,106.53
196,2021-10-14,106.19
197,2021-10-13,105.85
198,2021-10-12,105.85
199,2021-10-11,105.85
200,2021-10-10,105.55
201,2021-10-09,105.26
202,2021-10-08,104.97
203,2021-10-07,104.67
204,2021-10-06,104.38
205,2021-10-05,104.09
206,2021-10-04,103.84
207,2021-10-03,103.84
208,2021-10-02,103.6
209,2021-10-01,103.35
210,2021-09-30,103.12
211,2021-09-29,102.89
212,2021-09-28,102.89
213,2021-09-27,102.71
214,2021-09-26,102.71
215,2021-09-25,102.71
216,2021-09-24,102.71
217,2021-09-23,102.71
218,2021-09-22,102.71
219,2021-09-21,102.71
220,2021-09-20,102.71
221,2021-09-19,102.71
222,2021-09-18,102.71
223,2021-09-17,102.71
224,2021-09-16,102.71
225,2021-09-15,102.71
226,2021-09-14,102.71
227,2021-09-13,102.71
228,2021-09-12,102.71
229,2021-09-11,102.71
230,2021-09-10,102.71
231,2021-09-09,102.71
232,2021-09-08,102.71
233,2021-09-07,102.71
234,2021-09-06,102.71
235,2021-09-05,102.71
236,2021-09-03,102.86
237,2021-09-02,102.86
238,2021-09-01,102.86
239,2021-08-31,103.02
240,2021-08-30,103.02
241,2021-08-29,103.02
242,2021-08-28,103.02
243,2021-08-27,103.02
244,2021-08-26,103.02
245,2021-08-25,103.02
246,2021-08-24,103.02
247,2021-08-23,103.16
248,2021-08-22,103.16
249,2021-08-21,103.28
250,2021-08-20,103.28
251,2021-08-19,103.28
252,2021-08-18,103.28
253,2021-08-17,103.28
254,2021-08-16,103.28
255,2021-08-15,103.28
256,2021-08-14,103.28
257,2021-08-13,103.28
258,2021-08-12,103.28
259,2021-08-11,103.28
260,2021-08-10,103.28
261,2021-08-09,103.28
262,2021-08-08,103.28
263,2021-08-07,103.28
264,2021-08-06,103.28
265,2021-08-05,103.28
266,2021-08-04,103.28
267,2021-08-03,103.28
268,2021-08-02,103.28
269,2021-08-01,103.28
270,2021-07-31,103.28
271,2021-07-30,103.28
272,2021-07-29,103.28
273,2021-07-28,103.28
274,2021-07-27,103.28
275,2021-07-26,103.28
276,2021-07-25,103.28
277,2021-07-24,103.28
278,2021-07-23,103.28
279,2021-07-22,103.28
280,2021-07-21,103.28
281,2021-07-20,103.28
282,2021-07-19,103.28
283,2021-07-18,103.28
284,2021-07-17,103.28
285,2021-07-16,102.99
286,2021-07-15,102.99
287,2021-07-14,102.65
288,2021-07-13,102.65
289,2021-07-12,102.65
290,2021-07-11,102.37
291,2021-07-10,102.37
292,2021-07-09,102.03
293,2021-07-08,102.03
294,2021-07-07,101.69
295,2021-07-06,101.35
296,2021-07-05,101.35
297,2021-07-04,101
298,2021-07-03,100.66
299,2021-07-02,100.66
300,2021-07-01,100.32
301,2021-06-30,100.32
302,2021-06-29,100.32
303,2021-06-28,99.98
304,2021-06-27,99.98
305,2021-06-26,99.63
306,2021-06-25,99.29
307,2021-06-24,99.29
308,2021-06-23,99.04
309,2021-06-22,99.04
310,2021-06-21,98.76
311,2021-06-20,98.76
312,2021-06-19,98.48
313,2021-06-18,98.48
314,2021-06-17,98.21
315,2021-06-16,98.21
316,2021-06-15,97.97
317,2021-06-14,97.97
318,2021-06-13,97.69
319,2021-06-12,97.69
320,2021-06-11,97.42
321,2021-06-10,97.14
322,2021-06-09,97.14
323,2021-06-08,96.89
324,2021-06-07,96.89
325,2021-06-06,96.62
326,2021-06-05,96.35
327,2021-06-04,96.35
328,2021-06-03,96.09
329,2021-06-02,96.09
330,2021-06-01,96.09
331,2021-05-31,95.84
332,2021-05-30,95.55
333,2021-05-29,95.55
334,2021-05-28,95.3
335,2021-05-27,95.3
336,2021-05-26,95.06
337,2021-05-25,95.06
338,2021-05-24,94.84
339,2021-05-23,94.84
340,2021-05-22,94.67
341,2021-05-21,94.67
342,2021-05-20,94.48
343,2021-05-19,94.48
344,2021-05-18,94.48
345,2021-05-17,94.22
346,2021-05-16,94.22
347,2021-05-15,93.99
348,2021-05-14,93.99
349,2021-05-13,93.7
350,2021-05-12,93.7
351,2021-05-11,93.46
352,2021-05-10,93.19
353,2021-05-09,92.94
354,2021-05-08,92.94
355,2021-05-07,92.94
356,2021-05-06,92.66
357,2021-05-05,92.42
358,2021-05-04,92.23
359,2021-05-03,92.03
360,2021-05-02,92.03
361,2021-05-01,92.03
362,2021-04-30,92.03
363,2021-04-29,92.03
364,2021-04-28,92.03
