,date,price
0,2022-05-01,105.01
1,2022-04-30,105.01
2,2022-04-29,105.01
3,2022-04-28,105.01
4,2022-04-27,105.01
5,2022-04-26,105.01
6,2022-04-25,105.01
7,2022-04-24,105.01
8,2022-04-23,105.01
9,2022-04-22,105.01
10,2022-04-21,105.01
11,2022-04-20,105.01
12,2022-04-19,105.01
13,2022-04-18,105.01
14,2022-04-17,105.01
15,2022-04-16,105.01
16,2022-04-15,105.01
17,2022-04-14,105.01
18,2022-04-13,105.01
19,2022-04-12,105.01
20,2022-04-11,105.01
21,2022-04-10,105.01
22,2022-04-09,105.01
23,2022-04-08,105.01
24,2022-04-07,105.01
25,2022-04-06,105.01
26,2022-04-05,104.23
27,2022-04-04,103.46
28,2022-04-03,103.08
29,2022-04-02,102.31
30,2022-04-01,101.54
31,2022-03-31,101.54
32,2022-03-30,100.76
33,2022-03-29,99.99
34,2022-03-28,99.22
35,2022-03-27,98.93
36,2022-03-26,98.45
37,2022-03-25,97.69
38,2022-03-24,96.92
39,2022-03-23,96.92
40,2022-03-22,96.15
41,2022-03-21,95.38
42,2022-03-20,95.38
43,2022-03-19,95.38
44,2022-03-18,95.38
45,2022-03-17,95.38
46,2022-03-16,95.38
47,2022-03-15,95.38
48,2022-03-14,95.38
49,2022-03-13,95.38
50,2022-03-12,95.38
51,2022-03-11,95.38
52,2022-03-10,95.38
53,2022-03-09,95.38
54,2022-03-08,95.38
55,2022-03-07,95.38
56,2022-03-06,95.38
57,2022-03-05,95.38
58,2022-03-04,95.38
59,2022-03-03,95.38
60,2022-03-02,95.38
61,2022-03-01,95.38
62,2022-02-28,95.38
63,2022-02-27,95.38
64,2022-02-26,95.38
65,2022-02-25,95.38
66,2022-02-24,95.38
67,2022-02-23,95.38
68,2022-02-22,95.38
69,2022-02-21,95.38
70,2022-02-20,95.38
71,2022-02-19,95.38
72,2022-02-18,95.38
73,2022-02-17,95.38
74,2022-02-16,95.38
75,2022-02-15,95.38
76,2022-02-14,95.38
77,2022-02-13,95.38
78,2022-02-12,95.38
79,2022-02-11,95.38
80,2022-02-10,95.38
81,2022-02-09,95.38
82,2022-02-08,95.38
83,2022-02-07,95.38
84,2022-02-06,95.38
85,2022-02-05,95.38
86,2022-02-04,95.38
87,2022-02-03,95.38
88,2022-02-02,95.38
89,2022-02-01,95.38
90,2022-01-31,95.38
91,2022-01-30,95.38
92,2022-01-29,95.38
93,2022-01-28,95.38
94,2022-01-27,95.38
95,2022-01-26,95.38
96,2022-01-25,95.38
97,2022-01-24,95.38
98,2022-01-23,95.38
99,2022-01-22,95.38
100,2022-01-21,95.38
101,2022-01-20,95.38
102,2022-01-19,95.38
103,2022-01-18,95.38
104,2022-01-17,95.38
105,2022-01-16,95.38
106,2022-01-15,95.38
107,2022-01-14,95.38
108,2022-01-13,95.38
109,2022-01-12,95.38
110,2022-01-11,95.38
111,2022-01-10,95.38
112,2022-01-09,95.38
113,2022-01-08,95.38
114,2022-01-07,95.38
115,2022-01-06,95.38
116,2022-01-05,95.38
117,2022-01-04,95.38
118,2022-01-03,95.38
119,2022-01-02,95.38
120,2022-01-01,95.38
121,2021-12-31,95.38
122,2021-12-30,95.38
123,2021-12-29,95.38
124,2021-12-28,95.38
125,2021-12-27,95.38
126,2021-12-26,95.38
127,2021-12-25,95.38
128,2021-12-24,95.38
129,2021-12-23,95.38
130,2021-12-22,95.38
131,2021-12-21,95.38
132,2021-12-20,95.38
133,2021-12-19,95.38
134,2021-12-18,95.38
135,2021-12-17,95.38
136,2021-12-16,95.38
137,2021-12-15,95.38
138,2021-12-14,95.38
139,2021-12-13,95.38
140,2021-12-12,95.38
141,2021-12-11,95.38
142,2021-12-10,95.38
143,2021-12-09,95.38
144,2021-12-08,95.38
145,2021-12-07,95.38
146,2021-12-06,95.38
147,2021-12-05,95.38
148,2021-12-04,95.38
149,2021-12-03,95.38
150,2021-12-02,95.38
151,2021-11-30,95.38
152,2021-11-29,95.38
153,2021-11-28,95.38
154,2021-11-27,95.38
155,2021-11-26,95.38
156,2021-11-25,95.38
157,2021-11-24,95.38
158,2021-11-23,95.38
159,2021-11-22,95.38
160,2021-11-21,95.38
161,2021-11-20,95.38
162,2021-11-19,95.38
163,2021-11-18,95.38
164,2021-11-17,95.38
165,2021-11-16,95.38
166,2021-11-15,95.38
167,2021-11-14,95.38
168,2021-11-13,95.38
169,2021-11-12,95.38
170,2021-11-11,95.38
171,2021-11-10,95.38
172,2021-11-09,95.38
173,2021-11-08,105.53
174,2021-11-07,105.53
175,2021-11-06,105.53
176,2021-11-05,105.53
177,2021-11-04,105.53
178,2021-11-03,111.47
179,2021-11-02,111.47
180,2021-11-01,111.11
181,2021-10-31,110.72
182,2021-10-30,110.38
183,2021-10-29,110.03
184,2021-10-28,109.69
185,2021-10-27,109.35
186,2021-10-26,109.01
187,2021-10-25,109.01
188,2021-10-24,109.01
189,2021-10-23,108.66
190,2021-10-22,108.32
191,2021-10-21,107.98
192,2021-10-20,107.64
193,2021-10-19,107.29
194,2021-10-18,107.29
195,2021-10-15,106.61
196,2021-10-14,106.27
197,2021-10-13,105.92
198,2021-10-12,105.92
199,2021-10-11,105.92
200,2021-10-10,105.63
201,2021-10-09,105.34
202,2021-10-08,105.04
203,2021-10-07,104.75
204,2021-10-06,104.45
205,2021-10-05,104.16
206,2021-10-04,103.92
207,2021-10-03,103.92
208,2021-10-02,103.67
209,2021-10-01,103.43
210,2021-09-30,103.19
211,2021-09-29,102.96
212,2021-09-28,102.96
213,2021-09-27,102.78
214,2021-09-26,102.78
215,2021-09-25,102.78
216,2021-09-24,102.78
217,2021-09-23,102.78
218,2021-09-22,102.78
219,2021-09-21,102.78
220,2021-09-20,102.78
221,2021-09-19,102.78
222,2021-09-18,102.78
223,2021-09-17,102.78
224,2021-09-16,102.78
225,2021-09-15,102.78
226,2021-09-14,102.78
227,2021-09-13,102.78
228,2021-09-12,102.78
229,2021-09-11,102.78
230,2021-09-10,102.78
231,2021-09-09,102.78
232,2021-09-08,102.78
233,2021-09-07,102.78
234,2021-09-06,102.78
235,2021-09-05,102.78
236,2021-09-03,102.94
237,2021-09-02,102.94
238,2021-09-01,102.94
239,2021-08-31,103.09
240,2021-08-30,103.09
241,2021-08-29,103.09
242,2021-08-28,103.09
243,2021-08-27,103.09
244,2021-08-26,103.09
245,2021-08-25,103.09
246,2021-08-24,103.09
247,2021-08-23,103.23
248,2021-08-22,103.23
249,2021-08-21,103.36
250,2021-08-20,103.36
251,2021-08-19,103.36
252,2021-08-18,103.36
253,2021-08-17,103.36
254,2021-08-16,103.36
255,2021-08-15,103.36
256,2021-08-14,103.36
257,2021-08-13,103.36
258,2021-08-12,103.36
259,2021-08-11,103.36
260,2021-08-10,103.36
261,2021-08-09,103.36
262,2021-08-08,103.36
263,2021-08-07,103.36
264,2021-08-06,103.36
265,2021-08-05,103.36
266,2021-08-04,103.36
267,2021-08-03,103.36
268,2021-08-02,103.36
269,2021-08-01,103.36
270,2021-07-31,103.36
271,2021-07-30,103.36
272,2021-07-29,103.36
273,2021-07-28,103.36
274,2021-07-27,103.36
275,2021-07-26,103.36
276,2021-07-25,103.36
277,2021-07-24,103.36
278,2021-07-23,103.36
279,2021-07-22,103.36
280,2021-07-21,103.36
281,2021-07-20,103.36
282,2021-07-19,103.36
283,2021-07-18,103.36
284,2021-07-17,103.36
285,2021-07-16,103.07
286,2021-07-15,103.07
287,2021-07-14,102.72
288,2021-07-13,102.72
289,2021-07-12,102.72
290,2021-07-11,102.45
291,2021-07-10,102.45
292,2021-07-09,102.11
293,2021-07-08,102.11
294,2021-07-07,101.77
295,2021-07-06,101.42
296,2021-07-05,101.42
297,2021-07-04,101.08
298,2021-07-03,100.74
299,2021-07-02,100.74
300,2021-07-01,100.4
301,2021-06-30,100.4
302,2021-06-29,100.4
303,2021-06-28,100.05
304,2021-06-27,100.05
305,2021-06-26,99.71
306,2021-06-25,99.37
307,2021-06-24,99.37
308,2021-06-23,99.11
309,2021-06-22,99.11
310,2021-06-21,98.84
311,2021-06-20,98.84
312,2021-06-19,98.56
313,2021-06-18,98.56
314,2021-06-17,98.29
315,2021-06-16,98.29
316,2021-06-15,98.05
317,2021-06-14,98.05
318,2021-06-13,97.76
319,2021-06-12,97.76
320,2021-06-11,97.5
321,2021-06-10,97.21
322,2021-06-09,97.21
323,2021-06-08,96.97
324,2021-06-07,96.97
325,2021-06-06,96.7
326,2021-06-05,96.43
327,2021-06-04,96.43
328,2021-06-03,96.17
329,2021-06-02,96.17
330,2021-06-01,96.17
331,2021-05-31,95.91
332,2021-05-30,95.63
333,2021-05-29,95.63
334,2021-05-28,95.37
335,2021-05-27,95.37
336,2021-05-26,95.14
337,2021-05-25,95.14
338,2021-05-24,94.91
339,2021-05-23,94.91
340,2021-05-22,94.75
341,2021-05-21,94.75
342,2021-05-20,94.56
343,2021-05-19,94.56
344,2021-05-18,94.56
345,2021-05-17,94.3
346,2021-05-16,94.3
347,2021-05-15,94.06
348,2021-05-14,94.06
349,2021-05-13,93.78
350,2021-05-12,93.78
351,2021-05-11,93.53
352,2021-05-10,93.27
353,2021-05-09,93.02
354,2021-05-08,93.02
355,2021-05-07,93.02
356,2021-05-06,92.74
357,2021-05-05,92.5
358,2021-05-04,92.31
359,2021-05-03,92.11
360,2021-05-02,92.11
361,2021-05-01,92.11
362,2021-04-30,92.11
363,2021-04-29,92.11
364,2021-04-28,92.11
