,date,price
0,2022-05-01,104.48
1,2022-04-30,104.48
2,2022-04-29,104.48
3,2022-04-28,104.48
4,2022-04-27,104.48
5,2022-04-26,104.48
6,2022-04-25,104.48
7,2022-04-24,104.48
8,2022-04-23,104.48
9,2022-04-22,104.48
10,2022-04-21,104.48
11,2022-04-20,104.48
12,2022-04-19,104.48
13,2022-04-18,104.48
14,2022-04-17,104.48
15,2022-04-16,104.48
16,2022-04-15,104.48
17,2022-04-14,104.48
18,2022-04-13,104.48
19,2022-04-12,104.48
20,2022-04-11,104.48
21,2022-04-10,104.48
22,2022-04-09,104.48
23,2022-04-08,104.48
24,2022-04-07,104.48
25,2022-04-06,104.48
26,2022-04-05,103.71
27,2022-04-04,102.94
28,2022-04-03,102.55
29,2022-04-02,101.78
30,2022-04-01,101.01
31,2022-03-31,101.01
32,2022-03-30,100.24
33,2022-03-29,99.47
34,2022-03-28,98.7
35,2022-03-27,98.41
36,2022-03-26,97.92
37,2022-03-25,97.15
38,2022-03-24,96.38
39,2022-03-23,96.38
40,2022-03-22,95.61
41,2022-03-21,94.86
42,2022-03-20,94.86
43,2022-03-19,94.86
44,2022-03-18,94.86
45,2022-03-17,94.86
46,2022-03-16,94.86
47,2022-03-15,94.86
48,2022-03-14,94.86
49,2022-03-13,94.86
50,2022-03-12,94.86
51,2022-03-11,94.86
52,2022-03-10,94.86
53,2022-03-09,94.86
54,2022-03-08,94.86
55,2022-03-07,94.86
56,2022-03-06,94.86
57,2022-03-05,94.86
58,2022-03-04,94.86
59,2022-03-03,94.86
60,2022-03-02,94.86
61,2022-03-01,94.86
62,2022-02-28,94.86
63,2022-02-27,94.86
64,2022-02-26,94.86
65,2022-02-25,94.86
66,2022-02-24,94.86
67,2022-02-23,94.86
68,2022-02-22,94.86
69,2022-02-21,94.86
70,2022-02-20,94.86
71,2022-02-19,94.86
72,2022-02-18,94.86
73,2022-02-17,94.86
74,2022-02-16,94.86
75,2022-02-15,94.86
76,2022-02-14,94.86
77,2022-02-13,94.86
78,2022-02-12,94.86
79,2022-02-11,94.86
80,2022-02-10,94.86
81,2022-02-09,94.86
82,2022-02-08,94.86
83,2022-02-07,94.86
84,2022-02-06,94.86
85,2022-02-05,94.86
86,2022-02-04,94.86
87,2022-02-03,94.86
88,2022-02-02,94.86
89,2022-02-01,94.86
90,2022-01-31,94.86
91,2022-01-30,94.86
92,2022-01-29,94.86
93,2022-01-28,94.86
94,2022-01-27,94.86
95,2022-01-26,94.86
96,2022-01-25,94.86
97,2022-01-24,94.86
98,2022-01-23,94.86
99,2022-01-22,94.86
100,2022-01-21,94.86
101,2022-01-20,94.86
102,2022-01-19,94.86
103,2022-01-18,94.86
104,2022-01-17,94.86
105,2022-01-16,94.86
106,2022-01-15,94.86
107,2022-01-14,94.86
108,2022-01-13,94.86
109,2022-01-12,94.86
110,2022-01-11,94.86
111,2022-01-10,94.86
112,2022-01-09,94.86
113,2022-01-08,94.86
114,2022-01-07,94.86
115,2022-01-06,94.86
116,2022-01-05,94.86
117,2022-01-04,94.86
118,2022-01-03,94.86
119,2022-01-02,94.86
120,2022-01-01,94.86
121,2021-12-31,94.86
122,2021-12-30,94.86
123,2021-12-29,94.86
124,2021-12-28,94.86
125,2021-12-27,94.86
126,2021-12-26,94.86
127,2021-12-25,94.86
128,2021-12-24,94.86
129,2021-12-23,94.86
130,2021-12-22,94.86
131,2021-12-21,94.86
132,2021-12-20,94.86
133,2021-12-19,94.86
134,2021-12-18,94.86
135,2021-12-17,94.86
136,2021-12-16,94.86
137,2021-12-15,94.86
138,2021-12-14,94.86
139,2021-12-13,94.86
140,2021-12-12,94.86
141,2021-12-11,94.86
142,2021-12-10,94.86
143,2021-12-09,94.86
144,2021-12-08,94.86
145,2021-12-07,94.86
146,2021-12-06,94.86
147,2021-12-05,94.86
148,2021-12-04,94.86
149,2021-12-03,94.86
150,2021-12-02,94.86
151,2021-11-30,94.86
152,2021-11-29,94.86
153,2021-11-28,94.86
154,2021-11-27,94.86
155,2021-11-26,94.86
156,2021-11-25,94.86
157,2021-11-24,94.86
158,2021-11-23,94.86
159,2021-11-22,94.86
160,2021-11-21,94.86
161,2021-11-20,94.86
162,2021-11-19,94.86
163,2021-11-18,94.86
164,2021-11-17,94.86
165,2021-11-16,94.86
166,2021-11-15,94.86
167,2021-11-14,94.86
168,2021-11-13,94.86
169,2021-11-12,94.86
170,2021-11-11,94.86
171,2021-11-10,94.86
172,2021-11-09,94.86
173,2021-11-08,104.93
174,2021-11-07,104.93
175,2021-11-06,104.93
176,2021-11-05,104.93
177,2021-11-04,104.93
178,2021-11-03,110.87
179,2021-11-02,110.87
180,2021-11-01,110.51
181,2021-10-31,110.15
182,2021-10-30,109.81
183,2021-10-29,109.46
184,2021-10-28,109.12
185,2021-10-27,108.78
186,2021-10-26,108.44
187,2021-10-25,108.44
188,2021-10-24,108.44
189,2021-10-23,108.09
190,2021-10-22,107.75
191,2021-10-21,107.41
192,2021-10-20,107.07
193,2021-10-19,106.72
194,2021-10-18,106.72
195,2021-10-15,106.04
196,2021-10-14,105.7
197,2021-10-13,105.35
198,2021-10-12,105.35
199,2021-10-11,105.35
200,2021-10-10,105.06
201,2021-10-09,104.77
202,2021-10-08,104.47
203,2021-10-07,104.18
204,2021-10-06,103.89
205,2021-10-05,103.59
206,2021-10-04,103.35
207,2021-10-03,103.35
208,2021-10-02,103.1
209,2021-10-01,102.86
210,2021-09-30,102.63
211,2021-09-29,102.39
212,2021-09-28,102.39
213,2021-09-27,102.21
214,2021-09-26,102.21
215,2021-09-25,102.21
216,2021-09-24,102.21
217,2021-09-23,102.21
218,2021-09-22,102.21
219,2021-09-21,102.21
220,2021-09-20,102.21
221,2021-09-19,102.21
222,2021-09-18,102.21
223,2021-09-17,102.21
224,2021-09-16,102.21
225,2021-09-15,102.21
226,2021-09-14,102.21
227,2021-09-13,102.21
228,2021-09-12,102.21
229,2021-09-11,102.21
230,2021-09-10,102.21
231,2021-09-09,102.21
232,2021-09-08,102.21
233,2021-09-07,102.21
234,2021-09-06,102.21
235,2021-09-05,102.21
236,2021-09-03,102.37
237,2021-09-02,102.37
238,2021-09-01,102.37
239,2021-08-31,102.52
240,2021-08-30,102.52
241,2021-08-29,102.52
242,2021-08-28,102.52
243,2021-08-27,102.52
244,2021-08-26,102.52
245,2021-08-25,102.52
246,2021-08-24,102.52
247,2021-08-23,102.66
248,2021-08-22,102.66
249,2021-08-21,102.83
250,2021-08-20,102.83
251,2021-08-19,102.83
252,2021-08-18,102.83
253,2021-08-17,102.83
254,2021-08-16,102.83
255,2021-08-15,102.83
256,2021-08-14,102.83
257,2021-08-13,102.83
258,2021-08-12,102.83
259,2021-08-11,102.83
260,2021-08-10,102.83
261,2021-08-09,102.83
262,2021-08-08,102.83
263,2021-08-07,102.83
264,2021-08-06,102.83
265,2021-08-05,102.83
266,2021-08-04,102.83
267,2021-08-03,102.83
268,2021-08-02,102.83
269,2021-08-01,102.83
270,2021-07-31,102.83
271,2021-07-30,102.83
272,2021-07-29,102.83
273,2021-07-28,102.83
274,2021-07-27,102.83
275,2021-07-26,102.83
276,2021-07-25,102.83
277,2021-07-24,102.83
278,2021-07-23,102.83
279,2021-07-22,102.83
280,2021-07-21,102.83
281,2021-07-20,102.83
282,2021-07-19,102.83
283,2021-07-18,102.83
284,2021-07-17,102.83
285,2021-07-16,102.54
286,2021-07-15,102.54
287,2021-07-14,102.2
288,2021-07-13,102.2
289,2021-07-12,102.2
290,2021-07-11,101.92
291,2021-07-10,101.92
292,2021-07-09,101.58
293,2021-07-08,101.58
294,2021-07-07,101.24
295,2021-07-06,100.89
296,2021-07-05,100.89
297,2021-07-04,100.55
298,2021-07-03,100.21
299,2021-07-02,100.21
300,2021-07-01,99.87
301,2021-06-30,99.87
302,2021-06-29,99.87
303,2021-06-28,99.52
304,2021-06-27,99.52
305,2021-06-26,99.18
