,date,price
0,2022-05-01,117.6
1,2022-04-30,117.6
2,2022-04-29,117.6
3,2022-04-28,117.6
4,2022-04-27,117.6
5,2022-04-26,117.6
6,2022-04-25,117.6
7,2022-04-24,117.6
8,2022-04-23,117.6
9,2022-04-22,117.6
10,2022-04-21,117.6
11,2022-04-20,117.6
12,2022-04-19,117.6
13,2022-04-18,117.6
14,2022-04-17,117.6
15,2022-04-16,117.6
16,2022-04-15,117.6
17,2022-04-14,117.6
18,2022-04-13,117.6
19,2022-04-12,117.6
20,2022-04-11,117.6
21,2022-04-10,117.6
22,2022-04-09,117.6
23,2022-04-08,117.6
24,2022-04-07,117.6
25,2022-04-06,117.6
26,2022-04-05,116.72
27,2022-04-04,115.85
28,2022-04-03,115.41
29,2022-04-02,114.53
30,2022-04-01,113.65
31,2022-03-31,113.65
32,2022-03-30,112.77
33,2022-03-29,111.89
34,2022-03-28,111.01
35,2022-03-27,110.68
36,2022-03-26,110.13
37,2022-03-25,109.25
38,2022-03-24,108.38
39,2022-03-23,108.38
40,2022-03-22,107.5
41,2022-03-21,106.62
42,2022-03-20,106.62
43,2022-03-19,106.62
44,2022-03-18,106.62
45,2022-03-17,106.62
46,2022-03-16,106.62
47,2022-03-15,106.62
48,2022-03-14,106.62
49,2022-03-13,106.62
50,2022-03-12,106.62
51,2022-03-11,106.62
52,2022-03-10,106.62
53,2022-03-09,106.62
54,2022-03-08,106.62
55,2022-03-07,106.62
56,2022-03-06,106.62
57,2022-03-05,106.62
58,2022-03-04,106.62
59,2022-03-03,106.62
60,2022-03-02,106.62
61,2022-03-01,106.62
62,2022-02-28,106.62
63,2022-02-27,106.62
64,2022-02-26,106.62
65,2022-02-25,106.62
66,2022-02-24,106.62
67,2022-02-23,106.62
68,2022-02-22,106.62
69,2022-02-21,106.62
70,2022-02-20,106.62
71,2022-02-19,106.62
72,2022-02-18,106.62
73,2022-02-17,106.62
74,2022-02-16,106.62
75,2022-02-15,106.62
76,2022-02-14,106.62
