,date,price
0,2022-05-01,118.76
1,2022-04-30,118.76
2,2022-04-29,118.76
3,2022-04-28,118.76
4,2022-04-27,118.76
5,2022-04-26,118.76
6,2022-04-25,118.76
7,2022-04-24,118.76
8,2022-04-23,118.76
9,2022-04-22,118.76
10,2022-04-21,118.76
11,2022-04-20,118.76
12,2022-04-19,118.76
13,2022-04-18,118.76
14,2022-04-17,118.76
15,2022-04-16,118.76
16,2022-04-15,118.76
17,2022-04-14,118.76
18,2022-04-13,118.76
19,2022-04-12,118.76
20,2022-04-11,118.76
21,2022-04-10,118.76
22,2022-04-09,118.76
23,2022-04-08,118.76
24,2022-04-07,118.76
25,2022-04-06,118.76
26,2022-04-05,117.88
27,2022-04-04,117
28,2022-04-03,116.57
29,2022-04-02,115.69
30,2022-04-01,114.81
31,2022-03-31,114.81
32,2022-03-30,113.93
33,2022-03-29,113.05
34,2022-03-28,112.17
35,2022-03-27,111.84
36,2022-03-26,111.29
37,2022-03-25,110.45
38,2022-03-24,109.57
39,2022-03-23,109.57
40,2022-03-22,108.69
41,2022-03-21,107.81
42,2022-03-20,107.81
43,2022-03-19,107.81
44,2022-03-18,107.81
45,2022-03-17,107.81
46,2022-03-16,107.81
47,2022-03-15,107.81
48,2022-03-14,107.81
49,2022-03-13,107.81
50,2022-03-12,107.81
51,2022-03-11,107.81
52,2022-03-10,107.81
53,2022-03-09,107.81
54,2022-03-08,107.81
55,2022-03-07,107.81
56,2022-03-06,107.81
57,2022-03-05,107.81
58,2022-03-04,107.81
59,2022-03-03,107.81
60,2022-03-02,107.81
61,2022-03-01,107.81
62,2022-02-28,107.81
63,2022-02-27,107.81
64,2022-02-26,107.81
65,2022-02-25,107.81
66,2022-02-24,107.81
67,2022-02-23,107.81
68,2022-02-22,107.81
69,2022-02-21,107.81
70,2022-02-20,107.81
71,2022-02-19,107.81
72,2022-02-18,107.81
73,2022-02-17,107.81
74,2022-02-16,107.81
75,2022-02-15,107.81
76,2022-02-14,107.81
77,2022-02-13,107.81
78,2022-02-12,107.81
79,2022-02-11,107.81
80,2022-02-10,107.81
81,2022-02-09,107.81
82,2022-02-08,107.81
83,2022-02-07,107.81
84,2022-02-06,107.81
85,2022-02-05,107.81
86,2022-02-04,107.81
87,2022-02-03,107.81
88,2022-02-02,107.81
89,2022-02-01,107.81
90,2022-01-31,107.81
91,2022-01-30,107.81
92,2022-01-29,107.81
93,2022-01-28,107.81
94,2022-01-27,107.81
95,2022-01-26,107.81
96,2022-01-25,107.81
97,2022-01-24,107.81
98,2022-01-23,107.81
99,2022-01-22,107.81
100,2022-01-21,107.81
101,2022-01-20,107.81
102,2022-01-19,107.81
103,2022-01-18,107.81
104,2022-01-17,107.81
105,2022-01-16,107.81
106,2022-01-15,107.81
107,2022-01-14,107.81
108,2022-01-13,107.81
109,2022-01-12,107.81
110,2022-01-11,107.81
111,2022-01-10,107.81
112,2022-01-09,107.81
113,2022-01-08,107.81
114,2022-01-07,107.81
115,2022-01-06,107.81
116,2022-01-05,107.81
117,2022-01-04,107.81
118,2022-01-03,107.81
119,2022-01-02,107.81
120,2022-01-01,107.81
121,2021-12-31,107.81
122,2021-12-30,107.81
123,2021-12-29,107.81
124,2021-12-28,107.81
125,2021-12-27,107.81
126,2021-12-26,107.81
127,2021-12-25,107.81
128,2021-12-24,107.81
129,2021-12-23,107.81
130,2021-12-22,107.81
131,2021-12-21,107.81
132,2021-12-20,107.81
133,2021-12-19,107.81
134,2021-12-18,107.81
135,2021-12-17,107.81
136,2021-12-16,107.81
137,2021-12-15,107.81
138,2021-12-14,107.81
139,2021-12-13,107.81
140,2021-12-12,107.81
141,2021-12-11,107.81
142,2021-12-10,107.81
143,2021-12-09,107.81
144,2021-12-08,107.81
145,2021-12-07,107.81
146,2021-12-06,107.81
147,2021-12-05,107.81
148,2021-12-04,107.81
149,2021-12-03,107.81
150,2021-12-02,107.81
151,2021-11-30,107.81
152,2021-11-29,107.81
153,2021-11-28,107.81
154,2021-11-27,107.81
155,2021-11-26,107.81
156,2021-11-25,107.81
157,2021-11-24,107.81
158,2021-11-23,107.81
159,2021-11-22,107.81
160,2021-11-21,107.81
161,2021-11-20,107.81
162,2021-11-19,107.81
163,2021-11-18,107.81
164,2021-11-17,107.81
165,2021-11-16,107.81
166,2021-11-15,111.88
167,2021-11-14,111.88
168,2021-11-13,111.88
169,2021-11-12,111.88
170,2021-11-11,111.88
171,2021-11-10,111.88
172,2021-11-09,111.88
173,2021-11-08,111.88
174,2021-11-07,111.88
175,2021-11-06,111.88
176,2021-11-05,111.88
177,2021-11-04,111.88
178,2021-11-03,118.24
179,2021-11-02,118.24
180,2021-11-01,117.85
181,2021-10-31,117.39
182,2021-10-30,117.03
183,2021-10-29,116.66
184,2021-10-28,116.29
185,2021-10-27,115.93
186,2021-10-26,115.56
187,2021-10-25,115.56
188,2021-10-24,115.56
189,2021-10-23,115.19
190,2021-10-22,114.83
191,2021-10-21,114.46
192,2021-10-20,114.09
193,2021-10-19,113.73
194,2021-10-18,113.73
195,2021-10-15,113
196,2021-10-14,112.63
197,2021-10-13,112.26
198,2021-10-12,112.26
199,2021-10-11,112.26
200,2021-10-10,111.95
201,2021-10-09,111.64
202,2021-10-08,111.32
203,2021-10-07,111.01
204,2021-10-06,110.69
205,2021-10-05,110.38
206,2021-10-04,110.12
207,2021-10-03,110.12
208,2021-10-02,109.86
209,2021-10-01,109.59
210,2021-09-30,109.35
211,2021-09-29,109.1
212,2021-09-28,109.1
213,2021-09-27,108.9
214,2021-09-26,108.9
215,2021-09-25,108.9
216,2021-09-24,108.9
217,2021-09-23,108.9
218,2021-09-22,108.9
219,2021-09-21,108.9
220,2021-09-20,108.9
221,2021-09-19,108.9
222,2021-09-18,108.9
223,2021-09-17,108.9
224,2021-09-16,108.9
225,2021-09-15,108.9
226,2021-09-14,108.9
227,2021-09-13,108.9
228,2021-09-12,108.9
229,2021-09-11,108.9
230,2021-09-10,108.9
231,2021-09-09,108.9
232,2021-09-08,108.9
233,2021-09-07,108.9
234,2021-09-06,108.9
235,2021-09-05,108.9
236,2021-09-03,109.07
237,2021-09-02,109.07
238,2021-09-01,109.07
239,2021-08-31,109.24
240,2021-08-30,109.24
241,2021-08-29,109.24
242,2021-08-28,109.24
243,2021-08-27,109.24
244,2021-08-26,109.24
245,2021-08-25,109.24
246,2021-08-24,109.24
247,2021-08-23,109.39
248,2021-08-22,109.39
249,2021-08-21,109.46
250,2021-08-20,109.46
251,2021-08-19,109.46
252,2021-08-18,109.46
253,2021-08-17,109.46
254,2021-08-16,109.46
255,2021-08-15,109.46
256,2021-08-14,109.46
257,2021-08-13,109.46
258,2021-08-12,109.46
259,2021-08-11,109.46
260,2021-08-10,109.46
261,2021-08-09,109.46
262,2021-08-08,109.46
263,2021-08-07,109.46
264,2021-08-06,109.46
265,2021-08-05,109.46
266,2021-08-04,109.46
267,2021-08-03,109.46
268,2021-08-02,109.46
269,2021-08-01,109.46
270,2021-07-31,109.46
271,2021-07-30,109.46
272,2021-07-29,109.46
273,2021-07-28,109.46
274,2021-07-27,109.46
275,2021-07-26,109.46
276,2021-07-25,109.46
277,2021-07-24,109.46
278,2021-07-23,109.46
279,2021-07-22,109.46
280,2021-07-21,109.46
281,2021-07-20,109.46
282,2021-07-19,109.46
283,2021-07-18,109.46
284,2021-07-17,109.46
285,2021-07-16,109.14
286,2021-07-15,109.14
287,2021-07-14,108.78
288,2021-07-13,108.78
289,2021-07-12,108.78
290,2021-07-11,108.48
291,2021-07-10,108.48
292,2021-07-09,108.12
293,2021-07-08,108.12
294,2021-07-07,107.75
295,2021-07-06,107.39
296,2021-07-05,107.39
297,2021-07-04,107.02
298,2021-07-03,106.65
299,2021-07-02,106.65
300,2021-07-01,106.29
301,2021-06-30,106.29
302,2021-06-29,106.29
303,2021-06-28,105.92
304,2021-06-27,105.92
305,2021-06-26,105.55
306,2021-06-25,105.19
307,2021-06-24,105.19
308,2021-06-23,104.91
309,2021-06-22,104.91
310,2021-06-21,104.62
311,2021-06-20,104.62
312,2021-06-19,104.32
313,2021-06-18,104.32
314,2021-06-17,104.04
315,2021-06-16,104.04
316,2021-06-15,103.77
317,2021-06-14,103.77
318,2021-06-13,103.47
319,2021-06-12,103.47
320,2021-06-11,103.19
321,2021-06-10,102.88
322,2021-06-09,102.88
323,2021-06-08,102.62
324,2021-06-07,102.62
325,2021-06-06,102.33
326,2021-06-05,102.05
327,2021-06-04,102.05
328,2021-06-03,101.76
329,2021-06-02,101.76
330,2021-06-01,101.76
331,2021-05-31,101.49
332,2021-05-30,101.19
333,2021-05-29,101.19
334,2021-05-28,100.92
335,2021-05-27,100.92
336,2021-05-26,100.67
337,2021-05-25,100.67
338,2021-05-24,100.42
339,2021-05-23,100.42
340,2021-05-22,100.25
341,2021-05-21,100.25
342,2021-05-20,100.05
343,2021-05-19,100.05
344,2021-05-18,100.05
345,2021-05-17,99.76
346,2021-05-16,99.76
347,2021-05-15,99.51
348,2021-05-14,99.51
349,2021-05-13,99.21
350,2021-05-12,99.21
351,2021-05-11,98.95
352,2021-05-10,98.67
353,2021-05-09,98.39
354,2021-05-08,98.39
355,2021-05-07,98.39
356,2021-05-06,98.1
357,2021-05-05,97.84
358,2021-05-04,97.64
359,2021-05-03,97.37
360,2021-05-02,97.37
361,2021-05-01,97.37
362,2021-04-30,97.37
363,2021-04-29,97.37
364,2021-04-28,97.37
