,date,price
0,2022-05-01,117.84
1,2022-04-30,117.84
2,2022-04-29,117.84
3,2022-04-28,117.84
4,2022-04-27,117.84
5,2022-04-26,117.84
6,2022-04-25,117.84
7,2022-04-24,117.84
8,2022-04-23,117.84
9,2022-04-22,117.84
10,2022-04-21,117.84
11,2022-04-20,117.84
12,2022-04-19,117.84
13,2022-04-18,117.84
14,2022-04-17,117.84
15,2022-04-16,117.84
16,2022-04-15,117.84
17,2022-04-14,117.84
18,2022-04-13,117.84
19,2022-04-12,117.84
20,2022-04-11,117.84
21,2022-04-10,117.84
22,2022-04-09,117.84
23,2022-04-08,117.84
24,2022-04-07,117.84
25,2022-04-06,117.84
26,2022-04-05,116.96
27,2022-04-04,116.08
28,2022-04-03,115.64
29,2022-04-02,114.76
30,2022-04-01,113.88
31,2022-03-31,113.88
32,2022-03-30,113
33,2022-03-29,112.13
34,2022-03-28,111.25
35,2022-03-27,110.92
36,2022-03-26,110.37
37,2022-03-25,109.5
38,2022-03-24,108.62
39,2022-03-23,108.62
40,2022-03-22,107.74
41,2022-03-21,106.86
42,2022-03-20,106.86
43,2022-03-19,106.86
44,2022-03-18,106.86
45,2022-03-17,106.86
46,2022-03-16,106.86
47,2022-03-15,106.86
48,2022-03-14,106.86
49,2022-03-13,106.86
50,2022-03-12,106.86
51,2022-03-11,106.86
52,2022-03-10,106.86
53,2022-03-09,106.86
54,2022-03-08,106.86
55,2022-03-07,106.86
56,2022-03-06,106.86
57,2022-03-05,106.86
58,2022-03-04,106.86
59,2022-03-03,106.86
60,2022-03-02,106.86
61,2022-03-01,106.86
62,2022-02-28,106.86
63,2022-02-27,106.86
64,2022-02-26,106.86
65,2022-02-25,106.86
66,2022-02-24,106.86
67,2022-02-23,106.86
68,2022-02-22,106.86
69,2022-02-21,106.86
70,2022-02-20,106.86
71,2022-02-19,106.86
72,2022-02-18,106.86
73,2022-02-17,106.86
74,2022-02-16,106.86
75,2022-02-15,106.86
76,2022-02-14,106.86
77,2022-02-13,106.86
78,2022-02-12,106.86
79,2022-02-11,106.86
80,2022-02-10,106.86
81,2022-02-09,106.86
82,2022-02-08,106.86
83,2022-02-07,106.86
84,2022-02-06,106.86
85,2022-02-05,106.86
86,2022-02-04,106.86
87,2022-02-03,106.86
88,2022-02-02,106.86
89,2022-02-01,106.86
90,2022-01-31,106.86
91,2022-01-30,106.86
92,2022-01-29,106.86
93,2022-01-28,106.86
94,2022-01-27,106.86
95,2022-01-26,106.86
96,2022-01-25,106.86
97,2022-01-24,106.86
98,2022-01-23,106.86
99,2022-01-22,106.86
100,2022-01-21,106.86
101,2022-01-20,106.86
102,2022-01-19,106.86
103,2022-01-18,106.86
104,2022-01-17,106.86
105,2022-01-16,106.86
106,2022-01-15,106.86
107,2022-01-14,106.86
108,2022-01-13,106.86
109,2022-01-12,106.86
110,2022-01-11,106.86
111,2022-01-10,106.86
112,2022-01-09,106.86
113,2022-01-08,106.86
114,2022-01-07,106.86
115,2022-01-06,106.86
116,2022-01-05,106.86
117,2022-01-04,106.86
118,2022-01-03,106.86
119,2022-01-02,106.86
120,2022-01-01,106.86
121,2021-12-31,106.86
122,2021-12-30,106.86
123,2021-12-29,106.86
124,2021-12-28,106.86
125,2021-12-27,106.86
126,2021-12-26,106.86
127,2021-12-25,106.86
128,2021-12-24,106.86
129,2021-12-23,106.86
130,2021-12-22,106.86
131,2021-12-21,106.86
132,2021-12-20,106.86
133,2021-12-19,106.86
134,2021-12-18,106.86
135,2021-12-17,106.86
136,2021-12-16,106.86
137,2021-12-15,106.86
138,2021-12-14,106.86
139,2021-12-13,106.86
140,2021-12-12,106.86
141,2021-12-11,106.86
142,2021-12-10,106.86
