,date,price
0,2022-05-01,119.94
1,2022-04-30,119.94
2,2022-04-29,119.94
3,2022-04-28,119.94
4,2022-04-27,119.94
5,2022-04-26,119.94
6,2022-04-25,119.94
7,2022-04-24,119.94
8,2022-04-23,119.94
9,2022-04-22,119.94
10,2022-04-21,119.94
11,2022-04-20,119.94
12,2022-04-19,119.94
13,2022-04-18,119.94
14,2022-04-17,119.94
15,2022-04-16,119.94
16,2022-04-15,119.94
17,2022-04-14,119.94
18,2022-04-13,119.94
19,2022-04-12,119.94
20,2022-04-11,119.94
21,2022-04-10,119.94
22,2022-04-09,119.94
23,2022-04-08,119.94
24,2022-04-07,119.94
25,2022-04-06,119.94
26,2022-04-05,119.06
27,2022-04-04,118.18
28,2022-04-03,117.74
29,2022-04-02,116.86
30,2022-04-01,115.98
31,2022-03-31,115.98
32,2022-03-30,115.1
33,2022-03-29,114.22
34,2022-03-28,113.34
35,2022-03-27,113.01
36,2022-03-26,112.46
37,2022-03-25,111.66
38,2022-03-24,110.78
39,2022-03-23,110.78
40,2022-03-22,109.9
41,2022-03-21,109.02
42,2022-03-20,109.02
43,2022-03-19,109.02
44,2022-03-18,109.02
45,2022-03-17,109.02
46,2022-03-16,109.02
47,2022-03-15,109.02
48,2022-03-14,109.02
49,2022-03-13,109.02
50,2022-03-12,109.02
51,2022-03-11,109.02
52,2022-03-10,109.02
53,2022-03-09,109.02
54,2022-03-08,109.02
55,2022-03-07,109.02
56,2022-03-06,109.02
57,2022-03-05,109.02
58,2022-03-04,109.02
59,2022-03-03,109.02
60,2022-03-02,109.02
61,2022-03-01,109.02
62,2022-02-28,109.02
63,2022-02-27,109.02
64,2022-02-26,109.02
65,2022-02-25,109.02
66,2022-02-24,109.02
67,2022-02-23,109.02
68,2022-02-22,109.02
69,2022-02-21,109.02
70,2022-02-20,109.02
71,2022-02-19,109.02
72,2022-02-18,109.02
73,2022-02-17,109.02
74,2022-02-16,109.02
75,2022-02-15,109.02
76,2022-02-14,109.02
77,2022-02-13,109.02
78,2022-02-12,109.02
79,2022-02-11,109.02
80,2022-02-10,109.02
81,2022-02-09,109.02
82,2022-02-08,109.02
83,2022-02-07,109.02
84,2022-02-06,109.02
85,2022-02-05,109.02
86,2022-02-04,109.02
87,2022-02-03,109.02
88,2022-02-02,109.02
89,2022-02-01,109.02
90,2022-01-31,109.02
91,2022-01-30,109.02
92,2022-01-29,109.02
93,2022-01-28,109.02
94,2022-01-27,109.02
95,2022-01-26,109.02
96,2022-01-25,109.02
97,2022-01-24,109.02
98,2022-01-23,109.02
99,2022-01-22,109.02
100,2022-01-21,109.02
101,2022-01-20,109.02
102,2022-01-19,109.02
103,2022-01-18,109.02
104,2022-01-17,109.02
105,2022-01-16,109.02
106,2022-01-15,109.02
107,2022-01-14,109.02
108,2022-01-13,109.02
109,2022-01-12,109.02
110,2022-01-11,109.02
111,2022-01-10,109.02
112,2022-01-09,109.02
113,2022-01-08,109.02
114,2022-01-07,109.02
115,2022-01-06,109.02
116,2022-01-05,109.02
117,2022-01-04,109.02
118,2022-01-03,109.02
119,2022-01-02,109.02
120,2022-01-01,109.02
121,2021-12-31,109.02
122,2021-12-30,109.02
123,2021-12-29,109.02
124,2021-12-28,109.02
125,2021-12-27,109.02
126,2021-12-26,109.02
127,2021-12-25,109.02
128,2021-12-24,109.02
129,2021-12-23,109.02
130,2021-12-22,109.02
131,2021-12-21,109.02
132,2021-12-20,109.02
133,2021-12-19,109.02
134,2021-12-18,109.02
135,2021-12-17,109.02
136,2021-12-16,109.02
137,2021-12-15,109.02
138,2021-12-14,109.02
139,2021-12-13,109.02
140,2021-12-12,109.02
141,2021-12-11,109.02
142,2021-12-10,109.02
143,2021-12-09,109.02
144,2021-12-08,109.02
145,2021-12-07,109.02
146,2021-12-06,109.02
147,2021-12-05,109.02
148,2021-12-04,109.02
149,2021-12-03,109.02
150,2021-12-02,109.02
151,2021-11-30,109.02
152,2021-11-29,109.02
153,2021-11-28,109.02
154,2021-11-27,109.02
155,2021-11-26,109.02
156,2021-11-25,109.02
157,2021-11-24,109.02
158,2021-11-23,109.02
159,2021-11-22,109.02
160,2021-11-21,109.02
161,2021-11-20,109.02
162,2021-11-19,109.02
163,2021-11-18,109.02
164,2021-11-17,109.02
165,2021-11-16,109.02
166,2021-11-15,113.14
167,2021-11-14,113.14
168,2021-11-13,113.14
169,2021-11-12,113.14
170,2021-11-11,113.14
171,2021-11-10,113.14
172,2021-11-09,113.14
173,2021-11-08,113.14
174,2021-11-07,113.14
175,2021-11-06,113.14
176,2021-11-05,113.14
177,2021-11-04,113.14
178,2021-11-03,119.49
179,2021-11-02,119.49
180,2021-11-01,119.11
181,2021-10-31,118.58
182,2021-10-30,118.21
183,2021-10-29,117.84
184,2021-10-28,117.48
185,2021-10-27,117.11
186,2021-10-26,116.75
187,2021-10-25,116.75
188,2021-10-24,116.75
189,2021-10-23,116.38
190,2021-10-22,116.01
191,2021-10-21,115.65
192,2021-10-20,115.28
193,2021-10-19,114.91
194,2021-10-18,114.91
195,2021-10-15,114.18
196,2021-10-14,113.81
197,2021-10-13,113.45
198,2021-10-12,113.45
199,2021-10-11,113.45
200,2021-10-10,113.13
201,2021-10-09,112.82
202,2021-10-08,112.51
203,2021-10-07,112.19
204,2021-10-06,111.88
205,2021-10-05,111.56
206,2021-10-04,111.3
207,2021-10-03,111.3
208,2021-10-02,111.04
209,2021-10-01,110.78
210,2021-09-30,110.53
211,2021-09-29,110.28
212,2021-09-28,110.28
213,2021-09-27,110.09
214,2021-09-26,110.09
215,2021-09-25,110.09
216,2021-09-24,110.09
217,2021-09-23,110.09
218,2021-09-22,110.09
219,2021-09-21,110.09
220,2021-09-20,110.09
221,2021-09-19,110.09
222,2021-09-18,110.09
223,2021-09-17,110.09
224,2021-09-16,110.09
225,2021-09-15,110.09
226,2021-09-14,110.09
227,2021-09-13,110.09
228,2021-09-12,110.09
229,2021-09-11,110.09
230,2021-09-10,110.09
231,2021-09-09,110.09
232,2021-09-08,110.09
233,2021-09-07,110.09
234,2021-09-06,110.09
235,2021-09-05,110.09
236,2021-09-03,110.25
237,2021-09-02,110.25
238,2021-09-01,110.25
239,2021-08-31,110.42
240,2021-08-30,110.42
241,2021-08-29,110.42
242,2021-08-28,110.42
243,2021-08-27,110.42
244,2021-08-26,110.42
245,2021-08-25,110.42
246,2021-08-24,110.42
247,2021-08-23,110.57
248,2021-08-22,110.57
249,2021-08-21,110.54
250,2021-08-20,110.54
251,2021-08-19,110.54
252,2021-08-18,110.54
253,2021-08-17,110.54
254,2021-08-16,110.54
255,2021-08-15,110.54
256,2021-08-14,110.54
257,2021-08-13,110.54
258,2021-08-12,110.54
259,2021-08-11,110.54
260,2021-08-10,110.54
261,2021-08-09,110.54
262,2021-08-08,110.54
263,2021-08-07,110.54
264,2021-08-06,110.54
265,2021-08-05,110.54
266,2021-08-04,110.54
267,2021-08-03,110.54
268,2021-08-02,110.54
269,2021-08-01,110.54
270,2021-07-31,110.54
271,2021-07-30,110.54
272,2021-07-29,110.54
273,2021-07-28,110.54
274,2021-07-27,110.54
275,2021-07-26,110.54
276,2021-07-25,110.54
277,2021-07-24,110.54
278,2021-07-23,110.54
279,2021-07-22,110.54
280,2021-07-21,110.54
281,2021-07-20,110.54
282,2021-07-19,110.54
283,2021-07-18,110.54
284,2021-07-17,110.54
285,2021-07-16,110.23
286,2021-07-15,110.23
287,2021-07-14,109.86
288,2021-07-13,109.86
289,2021-07-12,109.86
290,2021-07-11,109.57
291,2021-07-10,109.57
292,2021-07-09,109.2
293,2021-07-08,109.2
294,2021-07-07,108.84
295,2021-07-06,108.47
296,2021-07-05,108.47
297,2021-07-04,108.1
298,2021-07-03,107.74
299,2021-07-02,107.74
300,2021-07-01,107.37
301,2021-06-30,107.37
302,2021-06-29,107.37
303,2021-06-28,107.01
304,2021-06-27,107.01
305,2021-06-26,106.64
306,2021-06-25,106.27
307,2021-06-24,106.27
308,2021-06-23,106
309,2021-06-22,106
310,2021-06-21,105.71
311,2021-06-20,105.71
312,2021-06-19,105.4
313,2021-06-18,105.4
314,2021-06-17,105.12
315,2021-06-16,105.12
316,2021-06-15,104.86
317,2021-06-14,104.86
318,2021-06-13,104.56
319,2021-06-12,104.56
320,2021-06-11,104.27
321,2021-06-10,103.97
322,2021-06-09,103.97
323,2021-06-08,103.71
324,2021-06-07,103.71
325,2021-06-06,103.42
326,2021-06-05,103.13
327,2021-06-04,103.13
328,2021-06-03,102.85
329,2021-06-02,102.85
330,2021-06-01,102.85
331,2021-05-31,102.58
332,2021-05-30,102.27
333,2021-05-29,102.27
334,2021-05-28,102
335,2021-05-27,102
336,2021-05-26,101.75
337,2021-05-25,101.75
338,2021-05-24,101.51
339,2021-05-23,101.51
340,2021-05-22,101.33
341,2021-05-21,101.33
342,2021-05-20,101.13
343,2021-05-19,101.13
344,2021-05-18,101.13
345,2021-05-17,100.85
346,2021-05-16,100.85
347,2021-05-15,100.6
348,2021-05-14,100.6
349,2021-05-13,100.3
350,2021-05-12,100.3
351,2021-05-11,100.03
352,2021-05-10,99.75
353,2021-05-09,99.48
354,2021-05-08,99.48
355,2021-05-07,99.48
356,2021-05-06,99.19
357,2021-05-05,98.92
358,2021-05-04,98.73
359,2021-05-03,98.37
360,2021-05-02,98.37
361,2021-05-01,98.37
362,2021-04-30,98.37
363,2021-04-29,98.37
364,2021-04-28,98.37
