,date,price
0,2022-05-01,118.91
1,2022-04-30,118.91
2,2022-04-29,118.91
3,2022-04-28,118.91
4,2022-04-27,118.91
5,2022-04-26,118.91
6,2022-04-25,118.91
7,2022-04-24,118.91
8,2022-04-23,118.91
9,2022-04-22,118.91
10,2022-04-21,118.91
11,2022-04-20,118.91
12,2022-04-19,118.91
13,2022-04-18,118.91
14,2022-04-17,118.91
15,2022-04-16,118.91
16,2022-04-15,118.91
17,2022-04-14,118.91
18,2022-04-13,118.91
19,2022-04-12,118.91
20,2022-04-11,118.91
21,2022-04-10,118.91
22,2022-04-09,118.91
23,2022-04-08,118.91
24,2022-04-07,118.91
25,2022-04-06,118.91
26,2022-04-05,118.03
27,2022-04-04,117.15
28,2022-04-03,116.71
29,2022-04-02,115.83
30,2022-04-01,114.95
31,2022-03-31,114.95
32,2022-03-30,114.07
33,2022-03-29,113.2
34,2022-03-28,112.32
35,2022-03-27,111.99
36,2022-03-26,111.44
37,2022-03-25,110.6
38,2022-03-24,109.72
39,2022-03-23,109.72
40,2022-03-22,108.84
41,2022-03-21,107.96
42,2022-03-20,107.96
43,2022-03-19,107.96
44,2022-03-18,107.96
45,2022-03-17,107.96
46,2022-03-16,107.96
47,2022-03-15,107.96
48,2022-03-14,107.96
49,2022-03-13,107.96
50,2022-03-12,107.96
51,2022-03-11,107.96
52,2022-03-10,107.96
53,2022-03-09,107.96
54,2022-03-08,107.96
55,2022-03-07,107.96
56,2022-03-06,107.96
57,2022-03-05,107.96
58,2022-03-04,107.96
59,2022-03-03,107.96
60,2022-03-02,107.96
61,2022-03-01,107.96
62,2022-02-28,107.96
63,2022-02-27,107.96
64,2022-02-26,107.96
65,2022-02-25,107.96
66,2022-02-24,107.96
67,2022-02-23,107.96
68,2022-02-22,107.96
69,2022-02-21,107.96
70,2022-02-20,107.96
71,2022-02-19,107.96
72,2022-02-18,107.96
73,2022-02-17,107.96
74,2022-02-16,107.96
75,2022-02-15,107.96
76,2022-02-14,107.96
77,2022-02-13,107.96
78,2022-02-12,107.96
79,2022-02-11,107.96
80,2022-02-10,107.96
81,2022-02-09,107.96
82,2022-02-08,107.96
83,2022-02-07,107.96
84,2022-02-06,107.96
85,2022-02-05,107.96
86,2022-02-04,107.96
87,2022-02-03,107.96
88,2022-02-02,107.96
89,2022-02-01,107.96
90,2022-01-31,107.96
91,2022-01-30,107.96
92,2022-01-29,107.96
93,2022-01-28,107.96
94,2022-01-27,107.96
95,2022-01-26,107.96
96,2022-01-25,107.96
97,2022-01-24,107.96
98,2022-01-23,107.96
99,2022-01-22,107.96
100,2022-01-21,107.96
101,2022-01-20,107.96
102,2022-01-19,107.96
103,2022-01-18,107.96
104,2022-01-17,107.96
105,2022-01-16,107.96
106,2022-01-15,107.96
107,2022-01-14,107.96
108,2022-01-13,107.96
109,2022-01-12,107.96
110,2022-01-11,107.96
111,2022-01-10,107.96
112,2022-01-09,107.96
113,2022-01-08,107.96
114,2022-01-07,107.96
115,2022-01-06,107.96
116,2022-01-05,107.96
117,2022-01-04,107.96
118,2022-01-03,107.96
119,2022-01-02,107.96
120,2022-01-01,107.96
121,2021-12-31,107.96
122,2021-12-30,107.96
123,2021-12-29,107.96
124,2021-12-28,107.96
125,2021-12-27,107.96
126,2021-12-26,107.96
127,2021-12-25,107.96
128,2021-12-24,107.96
129,2021-12-23,107.96
130,2021-12-22,107.96
131,2021-12-21,107.96
132,2021-12-20,107.96
133,2021-12-19,107.96
134,2021-12-18,107.96
135,2021-12-17,107.96
136,2021-12-16,107.96
137,2021-12-15,107.96
138,2021-12-14,107.96
139,2021-12-13,107.96
140,2021-12-12,107.96
141,2021-12-11,107.96
142,2021-12-10,107.96
143,2021-12-09,107.96
144,2021-12-08,107.96
145,2021-12-07,107.96
146,2021-12-06,107.96
147,2021-12-05,107.96
148,2021-12-04,107.96
149,2021-12-03,107.96
150,2021-12-02,107.96
151,2021-11-30,107.96
152,2021-11-29,107.96
153,2021-11-28,107.96
154,2021-11-27,107.96
155,2021-11-26,107.96
156,2021-11-25,107.96
