,date,price
0,2022-05-01,118.56
1,2022-04-30,118.56
2,2022-04-29,118.56
3,2022-04-28,118.56
4,2022-04-27,118.56
5,2022-04-26,118.56
6,2022-04-25,118.56
7,2022-04-24,118.56
8,2022-04-23,118.56
9,2022-04-22,118.56
10,2022-04-21,118.56
11,2022-04-20,118.56
12,2022-04-19,118.56
13,2022-04-18,118.56
14,2022-04-17,118.56
15,2022-04-16,118.56
16,2022-04-15,118.56
17,2022-04-14,118.56
18,2022-04-13,118.56
19,2022-04-12,118.56
20,2022-04-11,118.56
21,2022-04-10,118.56
22,2022-04-09,118.56
23,2022-04-08,118.56
24,2022-04-07,118.56
25,2022-04-06,118.56
26,2022-04-05,117.68
27,2022-04-04,116.8
28,2022-04-03,116.36
29,2022-04-02,115.48
30,2022-04-01,114.6
31,2022-03-31,114.6
32,2022-03-30,113.72
33,2022-03-29,112.84
34,2022-03-28,111.97
35,2022-03-27,111.64
36,2022-03-26,111.09
37,2022-03-25,110.24
38,2022-03-24,109.36
39,2022-03-23,109.36
40,2022-03-22,108.48
41,2022-03-21,107.6
42,2022-03-20,107.6
43,2022-03-19,107.6
44,2022-03-18,107.6
45,2022-03-17,107.6
46,2022-03-16,107.6
47,2022-03-15,107.6
48,2022-03-14,107.6
49,2022-03-13,107.6
50,2022-03-12,107.6
51,2022-03-11,107.6
52,2022-03-10,107.6
53,2022-03-09,107.6
54,2022-03-08,107.6
55,2022-03-07,107.6
56,2022-03-06,107.6
57,2022-03-05,107.6
58,2022-03-04,107.6
59,2022-03-03,107.6
60,2022-03-02,107.6
61,2022-03-01,107.6
62,2022-02-28,107.6
63,2022-02-27,107.6
64,2022-02-26,107.6
65,2022-02-25,107.6
66,2022-02-24,107.6
67,2022-02-23,107.6
68,2022-02-22,107.6
69,2022-02-21,107.6
70,2022-02-20,107.6
71,2022-02-19,107.6
72,2022-02-18,107.6
73,2022-02-17,107.6
74,2022-02-16,107.6
75,2022-02-15,107.6
76,2022-02-14,107.6
77,2022-02-13,107.6
78,2022-02-12,107.6
79,2022-02-11,107.6
80,2022-02-10,107.6
81,2022-02-09,107.6
82,2022-02-08,107.6
83,2022-02-07,107.6
84,2022-02-06,107.6
85,2022-02-05,107.6
86,2022-02-04,107.6
87,2022-02-03,107.6
88,2022-02-02,107.6
89,2022-02-01,107.6
90,2022-01-31,107.6
91,2022-01-30,107.6
92,2022-01-29,107.6
93,2022-01-28,107.6
94,2022-01-27,107.6
95,2022-01-26,107.6
96,2022-01-25,107.6
97,2022-01-24,107.6
98,2022-01-23,107.6
99,2022-01-22,107.6
100,2022-01-21,107.6
101,2022-01-20,107.6
102,2022-01-19,107.6
103,2022-01-18,107.6
104,2022-01-17,107.6
105,2022-01-16,107.6
106,2022-01-15,107.6
107,2022-01-14,107.6
108,2022-01-13,107.6
109,2022-01-12,107.6
110,2022-01-11,107.6
111,2022-01-10,107.6
112,2022-01-09,107.6
