,date,price
0,2022-05-01,119.81
1,2022-04-30,119.81
2,2022-04-29,119.81
3,2022-04-28,119.81
4,2022-04-27,119.81
5,2022-04-26,119.81
6,2022-04-25,119.81
7,2022-04-24,119.81
8,2022-04-23,119.81
9,2022-04-22,119.81
10,2022-04-21,119.81
11,2022-04-20,119.81
12,2022-04-19,119.81
13,2022-04-18,119.81
14,2022-04-17,119.81
15,2022-04-16,119.81
16,2022-04-15,119.81
17,2022-04-14,119.81
18,2022-04-13,119.81
19,2022-04-12,119.81
20,2022-04-11,119.81
21,2022-04-10,119.81
22,2022-04-09,119.81
23,2022-04-08,119.81
24,2022-04-07,119.81
25,2022-04-06,119.81
26,2022-04-05,118.93
27,2022-04-04,118.05
28,2022-04-03,117.61
29,2022-04-02,116.73
30,2022-04-01,115.85
31,2022-03-31,115.85
32,2022-03-30,114.98
33,2022-03-29,114.1
34,2022-03-28,113.22
35,2022-03-27,112.89
36,2022-03-26,112.34
37,2022-03-25,111.53
38,2022-03-24,110.65
39,2022-03-23,110.65
40,2022-03-22,109.77
41,2022-03-21,108.89
42,2022-03-20,108.89
43,2022-03-19,108.89
44,2022-03-18,108.89
45,2022-03-17,108.89
46,2022-03-16,108.89
47,2022-03-15,108.89
48,2022-03-14,108.89
49,2022-03-13,108.89
50,2022-03-12,108.89
51,2022-03-11,108.89
52,2022-03-10,108.89
53,2022-03-09,108.89
54,2022-03-08,108.89
55,2022-03-07,108.89
56,2022-03-06,108.89
57,2022-03-05,108.89
58,2022-03-04,108.89
59,2022-03-03,108.89
60,2022-03-02,108.89
61,2022-03-01,108.89
62,2022-02-28,108.89
63,2022-02-27,108.89
64,2022-02-26,108.89
65,2022-02-25,108.89
66,2022-02-24,108.89
67,2022-02-23,108.89
68,2022-02-22,108.89
69,2022-02-21,108.89
70,2022-02-20,108.89
71,2022-02-19,108.89
72,2022-02-18,108.89
73,2022-02-17,108.89
74,2022-02-16,108.89
75,2022-02-15,108.89
76,2022-02-14,108.89
77,2022-02-13,108.89
78,2022-02-12,108.89
79,2022-02-11,108.89
80,2022-02-10,108.89
81,2022-02-09,108.89
82,2022-02-08,108.89
83,2022-02-07,108.89
84,2022-02-06,108.89
85,2022-02-05,108.89
86,2022-02-04,108.89
87,2022-02-03,108.89
88,2022-02-02,108.89
89,2022-02-01,108.89
90,2022-01-31,108.89
91,2022-01-30,108.89
92,2022-01-29,108.89
93,2022-01-28,108.89
94,2022-01-27,108.89
95,2022-01-26,108.89
96,2022-01-25,108.89
97,2022-01-24,108.89
98,2022-01-23,108.89
99,2022-01-22,108.89
100,2022-01-21,108.89
101,2022-01-20,108.89
102,2022-01-19,108.89
103,2022-01-18,108.89
104,2022-01-17,108.89
105,2022-01-16,108.89
106,2022-01-15,108.89
107,2022-01-14,108.89
108,2022-01-13,108.89
109,2022-01-12,108.89
110,2022-01-11,108.89
111,2022-01-10,108.89
112,2022-01-09,108.89
113,2022-01-08,108.89
114,2022-01-07,108.89
115,2022-01-06,108.89
116,2022-01-05,108.89
117,2022-01-04,108.89
118,2022-01-03,108.89
119,2022-01-02,108.89
120,2022-01-01,108.89
121,2021-12-31,108.89
122,2021-12-30,108.89
123,2021-12-29,108.89
124,2021-12-28,108.89
125,2021-12-27,108.89
126,2021-12-26,108.89
127,2021-12-25,108.89
128,2021-12-24,108.89
129,2021-12-23,108.89
130,2021-12-22,108.89
131,2021-12-21,108.89
132,2021-12-20,108.89
