,date,price
0,2022-05-01,122.14
1,2022-04-30,122.14
2,2022-04-29,122.14
3,2022-04-28,122.14
4,2022-04-27,122.14
5,2022-04-26,122.14
6,2022-04-25,122.14
7,2022-04-24,122.14
8,2022-04-23,122.14
9,2022-04-22,122.14
10,2022-04-21,122.14
11,2022-04-20,122.14
12,2022-04-19,122.14
13,2022-04-18,122.14
14,2022-04-17,122.14
15,2022-04-16,122.14
16,2022-04-15,122.14
17,2022-04-14,122.14
18,2022-04-13,122.14
19,2022-04-12,122.14
20,2022-04-11,122.14
21,2022-04-10,122.14
22,2022-04-09,122.14
23,2022-04-08,122.14
24,2022-04-07,122.14
25,2022-04-06,122.14
26,2022-04-05,121.26
27,2022-04-04,120.38
28,2022-04-03,119.94
29,2022-04-02,119.06
30,2022-04-01,118.19
31,2022-03-31,118.19
32,2022-03-30,117.31
33,2022-03-29,116.43
34,2022-03-28,115.55
35,2022-03-27,115.22
36,2022-03-26,114.67
37,2022-03-25,113.94
38,2022-03-24,113.06
39,2022-03-23,113.06
40,2022-03-22,112.18
41,2022-03-21,111.3
42,2022-03-20,111.3
43,2022-03-19,111.3
44,2022-03-18,111.3
45,2022-03-17,111.3
46,2022-03-16,111.3
47,2022-03-15,111.3
48,2022-03-14,111.3
49,2022-03-13,111.3
50,2022-03-12,111.3
51,2022-03-11,111.3
52,2022-03-10,111.3
53,2022-03-09,111.3
54,2022-03-08,111.3
55,2022-03-07,111.3
56,2022-03-06,111.3
57,2022-03-05,111.3
58,2022-03-04,111.3
59,2022-03-03,111.3
60,2022-03-02,111.3
61,2022-03-01,111.3
62,2022-02-28,111.3
63,2022-02-27,111.3
64,2022-02-26,111.3
65,2022-02-25,111.3
66,2022-02-24,111.3
67,2022-02-23,111.3
68,2022-02-22,111.3
69,2022-02-21,111.3
70,2022-02-20,111.3
71,2022-02-19,111.3
72,2022-02-18,111.3
73,2022-02-17,111.3
74,2022-02-16,111.3
75,2022-02-15,111.3
76,2022-02-14,111.3
77,2022-02-13,111.3
78,2022-02-12,111.3
79,2022-02-11,111.3
80,2022-02-10,111.3
81,2022-02-09,111.3
82,2022-02-08,111.3
83,2022-02-07,111.3
84,2022-02-06,111.3
85,2022-02-05,111.3
86,2022-02-04,111.3
87,2022-02-03,111.3
88,2022-02-02,111.3
89,2022-02-01,111.3
90,2022-01-31,111.3
91,2022-01-30,111.3
92,2022-01-29,111.3
93,2022-01-28,111.3
94,2022-01-27,111.3
95,2022-01-26,111.3
96,2022-01-25,111.3
97,2022-01-24,111.3
98,2022-01-23,111.3
99,2022-01-22,111.3
100,2022-01-21,111.3
101,2022-01-20,111.3
102,2022-01-19,111.3
103,2022-01-18,111.3
104,2022-01-17,111.3
105,2022-01-16,111.3
106,2022-01-15,111.3
107,2022-01-14,111.3
108,2022-01-13,111.3
109,2022-01-12,111.3
110,2022-01-11,111.3
111,2022-01-10,111.3
112,2022-01-09,111.3
113,2022-01-08,111.3
114,2022-01-07,111.3
115,2022-01-06,111.3
116,2022-01-05,111.3
117,2022-01-04,111.3
118,2022-01-03,111.3
119,2022-01-02,111.3
120,2022-01-01,111.3
121,2021-12-31,111.3
122,2021-12-30,111.3
123,2021-12-29,111.3
124,2021-12-28,111.3
125,2021-12-27,111.3
126,2021-12-26,111.3
127,2021-12-25,111.3
128,2021-12-24,111.3
129,2021-12-23,111.3
130,2021-12-22,111.3
131,2021-12-21,111.3
132,2021-12-20,111.3
133,2021-12-19,111.3
134,2021-12-18,111.3
135,2021-12-17,111.3
136,2021-12-16,111.3
137,2021-12-15,111.3
138,2021-12-14,111.3
139,2021-12-13,111.3
140,2021-12-12,111.3
141,2021-12-11,111.3
142,2021-12-10,111.3
143,2021-12-09,111.3
144,2021-12-08,111.3
145,2021-12-07,111.3
146,2021-12-06,111.3
147,2021-12-05,111.3
148,2021-12-04,111.3
149,2021-12-03,111.3
150,2021-12-02,111.3
151,2021-11-30,111.3
152,2021-11-29,111.3
153,2021-11-28,111.3
154,2021-11-27,111.3
155,2021-11-26,111.3
156,2021-11-25,111.3
157,2021-11-24,111.3
158,2021-11-23,111.3
159,2021-11-22,111.3
160,2021-11-21,111.3
161,2021-11-20,111.3
162,2021-11-19,111.3
163,2021-11-18,111.3
164,2021-11-17,111.3
165,2021-11-16,111.3
166,2021-11-15,115.5
167,2021-11-14,115.5
168,2021-11-13,115.5
169,2021-11-12,115.5
170,2021-11-11,115.5
171,2021-11-10,115.5
172,2021-11-09,115.5
173,2021-11-08,115.5
174,2021-11-07,115.5
175,2021-11-06,115.5
176,2021-11-05,115.5
177,2021-11-04,115.5
178,2021-11-03,121.86
179,2021-11-02,121.86
180,2021-11-01,121.47
181,2021-10-31,120.81
182,2021-10-30,120.44
183,2021-10-29,120.07
184,2021-10-28,119.71
185,2021-10-27,119.34
186,2021-10-26,118.97
187,2021-10-25,118.97
188,2021-10-24,118.97
189,2021-10-23,118.61
190,2021-10-22,118.24
191,2021-10-21,117.87
192,2021-10-20,117.51
193,2021-10-19,117.14
194,2021-10-18,117.14
195,2021-10-15,116.41
196,2021-10-14,116.04
197,2021-10-13,115.68
198,2021-10-12,115.68
199,2021-10-11,115.68
200,2021-10-10,115.36
201,2021-10-09,115.05
202,2021-10-08,114.73
203,2021-10-07,114.42
204,2021-10-06,114.11
205,2021-10-05,113.79
206,2021-10-04,113.53
207,2021-10-03,113.53
208,2021-10-02,113.27
209,2021-10-01,113.01
210,2021-09-30,112.76
211,2021-09-29,112.51
212,2021-09-28,112.51
213,2021-09-27,112.32
214,2021-09-26,112.32
215,2021-09-25,112.32
216,2021-09-24,112.32
217,2021-09-23,112.32
218,2021-09-22,112.32
219,2021-09-21,112.32
220,2021-09-20,112.32
221,2021-09-19,112.32
222,2021-09-18,112.32
223,2021-09-17,112.32
224,2021-09-16,112.32
225,2021-09-15,112.32
226,2021-09-14,112.32
227,2021-09-13,112.32
228,2021-09-12,112.32
229,2021-09-11,112.32
230,2021-09-10,112.32
231,2021-09-09,112.32
232,2021-09-08,112.32
233,2021-09-07,112.32
234,2021-09-06,112.32
235,2021-09-05,112.32
236,2021-09-03,112.48
237,2021-09-02,112.48
238,2021-09-01,112.48
239,2021-08-31,112.65
240,2021-08-30,112.65
241,2021-08-29,112.65
242,2021-08-28,112.65
243,2021-08-27,112.65
244,2021-08-26,112.65
245,2021-08-25,112.65
246,2021-08-24,112.65
247,2021-08-23,112.8
248,2021-08-22,112.8
249,2021-08-21,112.57
250,2021-08-20,112.57
251,2021-08-19,112.57
252,2021-08-18,112.57
253,2021-08-17,112.57
254,2021-08-16,112.57
255,2021-08-15,112.57
256,2021-08-14,112.57
257,2021-08-13,112.57
258,2021-08-12,112.57
259,2021-08-11,112.57
260,2021-08-10,112.57
261,2021-08-09,112.57
262,2021-08-08,112.57
263,2021-08-07,112.57
264,2021-08-06,112.57
265,2021-08-05,112.57
266,2021-08-04,112.57
267,2021-08-03,112.57
268,2021-08-02,112.57
269,2021-08-01,112.57
270,2021-07-31,112.57
271,2021-07-30,112.57
272,2021-07-29,112.57
273,2021-07-28,112.57
274,2021-07-27,112.57
275,2021-07-26,112.57
276,2021-07-25,112.57
277,2021-07-24,112.57
278,2021-07-23,112.57
279,2021-07-22,112.57
280,2021-07-21,112.57
281,2021-07-20,112.57
282,2021-07-19,112.57
283,2021-07-18,112.57
284,2021-07-17,112.57
285,2021-07-16,112.26
286,2021-07-15,112.26
287,2021-07-14,111.89
288,2021-07-13,111.89
289,2021-07-12,111.89
290,2021-07-11,111.6
291,2021-07-10,111.6
292,2021-07-09,111.23
293,2021-07-08,111.23
294,2021-07-07,110.86
295,2021-07-06,110.5
296,2021-07-05,110.5
297,2021-07-04,110.13
298,2021-07-03,109.76
299,2021-07-02,109.76
300,2021-07-01,109.4
301,2021-06-30,109.4
302,2021-06-29,109.4
303,2021-06-28,109.03
304,2021-06-27,109.03
305,2021-06-26,108.67
306,2021-06-25,108.3
307,2021-06-24,108.3
308,2021-06-23,108.03
309,2021-06-22,108.03
310,2021-06-21,107.73
311,2021-06-20,107.73
312,2021-06-19,107.43
313,2021-06-18,107.43
314,2021-06-17,107.15
315,2021-06-16,107.15
316,2021-06-15,106.89
317,2021-06-14,106.89
318,2021-06-13,106.58
319,2021-06-12,106.58
320,2021-06-11,106.3
321,2021-06-10,106
322,2021-06-09,106
323,2021-06-08,105.73
324,2021-06-07,105.73
325,2021-06-06,105.44
326,2021-06-05,105.16
327,2021-06-04,105.16
328,2021-06-03,104.88
329,2021-06-02,104.88
330,2021-06-01,104.88
331,2021-05-31,104.6
332,2021-05-30,104.3
333,2021-05-29,104.3
334,2021-05-28,104.03
335,2021-05-27,104.03
336,2021-05-26,103.78
337,2021-05-25,103.78
338,2021-05-24,103.54
339,2021-05-23,103.54
340,2021-05-22,103.36
341,2021-05-21,103.36
342,2021-05-20,103.16
343,2021-05-19,103.16
344,2021-05-18,103.16
345,2021-05-17,102.88
346,2021-05-16,102.88
347,2021-05-15,102.63
348,2021-05-14,102.63
349,2021-05-13,102.32
350,2021-05-12,102.32
351,2021-05-11,102.06
352,2021-05-10,101.78
353,2021-05-09,101.51
354,2021-05-08,101.51
355,2021-05-07,101.51
356,2021-05-06,101.21
357,2021-05-05,100.95
358,2021-05-04,100.75
359,2021-05-03,100.23
360,2021-05-02,100.23
361,2021-05-01,100.23
362,2021-04-30,100.23
363,2021-04-29,100.23
364,2021-04-28,100.23
