,date,price
0,2022-05-01,118.01
1,2022-04-30,118.01
2,2022-04-29,118.01
3,2022-04-28,118.01
4,2022-04-27,118.01
5,2022-04-26,118.01
6,2022-04-25,118.01
7,2022-04-24,118.01
8,2022-04-23,118.01
9,2022-04-22,118.01
10,2022-04-21,118.01
11,2022-04-20,118.01
12,2022-04-19,118.01
13,2022-04-18,118.01
14,2022-04-17,118.01
15,2022-04-16,118.01
16,2022-04-15,118.01
17,2022-04-14,118.01
18,2022-04-13,118.01
19,2022-04-12,118.01
20,2022-04-11,118.01
21,2022-04-10,118.01
22,2022-04-09,118.01
23,2022-04-08,118.01
24,2022-04-07,118.01
25,2022-04-06,118.01
26,2022-04-05,117.13
27,2022-04-04,116.25
28,2022-04-03,115.81
29,2022-04-02,114.93
30,2022-04-01,114.05
31,2022-03-31,114.05
32,2022-03-30,113.18
33,2022-03-29,112.3
34,2022-03-28,111.42
35,2022-03-27,111.09
36,2022-03-26,110.54
37,2022-03-25,109.67
38,2022-03-24,108.79
39,2022-03-23,108.79
40,2022-03-22,107.92
41,2022-03-21,107.04
42,2022-03-20,107.04
43,2022-03-19,107.04
44,2022-03-18,107.04
45,2022-03-17,107.04
46,2022-03-16,107.04
47,2022-03-15,107.04
48,2022-03-14,107.04
49,2022-03-13,107.04
50,2022-03-12,107.04
51,2022-03-11,107.04
52,2022-03-10,107.04
53,2022-03-09,107.04
54,2022-03-08,107.04
55,2022-03-07,107.04
56,2022-03-06,107.04
57,2022-03-05,107.04
58,2022-03-04,107.04
59,2022-03-03,107.04
60,2022-03-02,107.04
61,2022-03-01,107.04
62,2022-02-28,107.04
63,2022-02-27,107.04
64,2022-02-26,107.04
65,2022-02-25,107.04
66,2022-02-24,107.04
67,2022-02-23,107.04
68,2022-02-22,107.04
69,2022-02-21,107.04
70,2022-02-20,107.04
71,2022-02-19,107.04
72,2022-02-18,107.04
73,2022-02-17,107.04
74,2022-02-16,107.04
75,2022-02-15,107.04
76,2022-02-14,107.04
77,2022-02-13,107.04
78,2022-02-12,107.04
79,2022-02-11,107.04
80,2022-02-10,107.04
81,2022-02-09,107.04
82,2022-02-08,107.04
83,2022-02-07,107.04
84,2022-02-06,107.04
85,2022-02-05,107.04
86,2022-02-04,107.04
87,2022-02-03,107.04
88,2022-02-02,107.04
89,2022-02-01,107.04
90,2022-01-31,107.04
91,2022-01-30,107.04
92,2022-01-29,107.04
93,2022-01-28,107.04
94,2022-01-27,107.04
95,2022-01-26,107.04
96,2022-01-25,107.04
97,2022-01-24,107.04
98,2022-01-23,107.04
99,2022-01-22,107.04
100,2022-01-21,107.04
101,2022-01-20,107.04
102,2022-01-19,107.04
103,2022-01-18,107.04
104,2022-01-17,107.04
105,2022-01-16,107.04
106,2022-01-15,107.04
107,2022-01-14,107.04
108,2022-01-13,107.04
109,2022-01-12,107.04
110,2022-01-11,107.04
111,2022-01-10,107.04
112,2022-01-09,107.04
113,2022-01-08,107.04
114,2022-01-07,107.04
115,2022-01-06,107.04
116,2022-01-05,107.04
117,2022-01-04,107.04
118,2022-01-03,107.04
119,2022-01-02,107.04
120,2022-01-01,107.04
121,2021-12-31,107.04
122,2021-12-30,107.04
123,2021-12-29,107.04
124,2021-12-28,107.04
125,2021-12-27,107.04
126,2021-12-26,107.04
127,2021-12-25,107.04
128,2021-12-24,107.04
129,2021-12-23,107.04
130,2021-12-22,107.04
131,2021-12-21,107.04
132,2021-12-20,107.04
133,2021-12-19,107.04
134,2021-12-18,107.04
135,2021-12-17,107.04
136,2021-12-16,107.04
137,2021-12-15,107.04
138,2021-12-14,107.04
139,2021-12-13,107.04
140,2021-12-12,107.04
141,2021-12-11,107.04
142,2021-12-10,107.04
143,2021-12-09,107.04
144,2021-12-08,107.04
145,2021-12-07,107.04
146,2021-12-06,107.04
147,2021-12-05,107.04
148,2021-12-04,107.04
149,2021-12-03,107.04
150,2021-12-02,107.04
151,2021-11-30,107.04
152,2021-11-29,107.04
153,2021-11-28,107.04
154,2021-11-27,107.04
155,2021-11-26,107.04
156,2021-11-25,107.04
157,2021-11-24,107.04
158,2021-11-23,107.04
159,2021-11-22,107.04
160,2021-11-21,107.04
161,2021-11-20,107.04
162,2021-11-19,107.04
163,2021-11-18,107.04
164,2021-11-17,107.04
165,2021-11-16,107.04
166,2021-11-15,111.08
167,2021-11-14,111.08
168,2021-11-13,111.08
169,2021-11-12,111.08
170,2021-11-11,111.08
171,2021-11-10,111.08
172,2021-11-09,111.08
173,2021-11-08,111.08
174,2021-11-07,111.08
175,2021-11-06,111.08
176,2021-11-05,111.08
177,2021-11-04,111.08
178,2021-11-03,117.43
179,2021-11-02,117.43
180,2021-11-01,117.04
181,2021-10-31,116.63
182,2021-10-30,116.27
183,2021-10-29,115.9
184,2021-10-28,115.53
185,2021-10-27,115.17
186,2021-10-26,114.8
187,2021-10-25,114.8
188,2021-10-24,114.8
