,date,price
0,2022-05-01,119.02
1,2022-04-30,119.02
2,2022-04-29,119.02
3,2022-04-28,119.02
4,2022-04-27,119.02
5,2022-04-26,119.02
6,2022-04-25,119.02
7,2022-04-24,119.02
8,2022-04-23,119.02
9,2022-04-22,119.02
10,2022-04-21,119.02
11,2022-04-20,119.02
12,2022-04-19,119.02
13,2022-04-18,119.02
14,2022-04-17,119.02
15,2022-04-16,119.02
16,2022-04-15,119.02
17,2022-04-14,119.02
18,2022-04-13,119.02
19,2022-04-12,119.02
20,2022-04-11,119.02
21,2022-04-10,119.02
22,2022-04-09,119.02
23,2022-04-08,119.02
24,2022-04-07,119.02
25,2022-04-06,119.02
26,2022-04-05,118.14
27,2022-04-04,117.26
28,2022-04-03,116.82
29,2022-04-02,115.94
30,2022-04-01,115.06
31,2022-03-31,115.06
32,2022-03-30,114.18
33,2022-03-29,113.31
34,2022-03-28,112.43
35,2022-03-27,112.1
36,2022-03-26,111.55
37,2022-03-25,110.71
38,2022-03-24,109.83
39,2022-03-23,109.83
40,2022-03-22,108.95
41,2022-03-21,108.07
42,2022-03-20,108.07
43,2022-03-19,108.07
44,2022-03-18,108.07
45,2022-03-17,108.07
46,2022-03-16,108.07
47,2022-03-15,108.07
48,2022-03-14,108.07
49,2022-03-13,108.07
50,2022-03-12,108.07
51,2022-03-11,108.07
52,2022-03-10,108.07
53,2022-03-09,108.07
54,2022-03-08,108.07
55,2022-03-07,108.07
56,2022-03-06,108.07
57,2022-03-05,108.07
58,2022-03-04,108.07
59,2022-03-03,108.07
60,2022-03-02,108.07
61,2022-03-01,108.07
62,2022-02-28,108.07
63,2022-02-27,108.07
64,2022-02-26,108.07
65,2022-02-25,108.07
66,2022-02-24,108.07
67,2022-02-23,108.07
68,2022-02-22,108.07
69,2022-02-21,108.07
70,2022-02-20,108.07
71,2022-02-19,108.07
72,2022-02-18,108.07
73,2022-02-17,108.07
74,2022-02-16,108.07
75,2022-02-15,108.07
76,2022-02-14,108.07
77,2022-02-13,108.07
78,2022-02-12,108.07
79,2022-02-11,108.07
80,2022-02-10,108.07
81,2022-02-09,108.07
82,2022-02-08,108.07
83,2022-02-07,108.07
84,2022-02-06,108.07
85,2022-02-05,108.07
86,2022-02-04,108.07
87,2022-02-03,108.07
88,2022-02-02,108.07
89,2022-02-01,108.07
90,2022-01-31,108.07
91,2022-01-30,108.07
92,2022-01-29,108.07
93,2022-01-28,108.07
94,2022-01-27,108.07
95,2022-01-26,108.07
96,2022-01-25,108.07
97,2022-01-24,108.07
98,2022-01-23,108.07
99,2022-01-22,108.07
100,2022-01-21,108.07
101,2022-01-20,108.07
102,2022-01-19,108.07
103,2022-01-18,108.07
104,2022-01-17,108.07
105,2022-01-16,108.07
106,2022-01-15,108.07
107,2022-01-14,108.07
108,2022-01-13,108.07
109,2022-01-12,108.07
110,2022-01-11,108.07
111,2022-01-10,108.07
112,2022-01-09,108.07
113,2022-01-08,108.07
114,2022-01-07,108.07
115,2022-01-06,108.07
116,2022-01-05,108.07
117,2022-01-04,108.07
118,2022-01-03,108.07
119,2022-01-02,108.07
120,2022-01-01,108.07
121,2021-12-31,108.07
122,2021-12-30,108.07
123,2021-12-29,108.07
124,2021-12-28,108.07
125,2021-12-27,108.07
126,2021-12-26,108.07
127,2021-12-25,108.07
128,2021-12-24,108.07
129,2021-12-23,108.07
130,2021-12-22,108.07
131,2021-12-21,108.07
132,2021-12-20,108.07
133,2021-12-19,108.07
134,2021-12-18,108.07
135,2021-12-17,108.07
136,2021-12-16,108.07
137,2021-12-15,108.07
138,2021-12-14,108.07
139,2021-12-13,108.07
140,2021-12-12,108.07
141,2021-12-11,108.07
142,2021-12-10,108.07
143,2021-12-09,108.07
144,2021-12-08,108.07
145,2021-12-07,108.07
146,2021-12-06,108.07
147,2021-12-05,108.07
148,2021-12-04,108.07
149,2021-12-03,108.07
150,2021-12-02,108.07
151,2021-11-30,108.07
152,2021-11-29,108.07
153,2021-11-28,108.07
154,2021-11-27,108.07
155,2021-11-26,108.07
156,2021-11-25,108.07
157,2021-11-24,108.07
158,2021-11-23,108.07
159,2021-11-22,108.07
160,2021-11-21,108.07
161,2021-11-20,108.07
162,2021-11-19,108.07
163,2021-11-18,108.07
164,2021-11-17,108.07
165,2021-11-16,108.07
166,2021-11-15,112.15
167,2021-11-14,112.15
168,2021-11-13,112.15
169,2021-11-12,112.15
170,2021-11-11,112.15
171,2021-11-10,112.15
172,2021-11-09,112.15
173,2021-11-08,112.15
174,2021-11-07,112.15
175,2021-11-06,112.15
176,2021-11-05,112.15
177,2021-11-04,112.15
178,2021-11-03,118.51
179,2021-11-02,118.51
180,2021-11-01,118.12
181,2021-10-31,117.65
182,2021-10-30,117.29
183,2021-10-29,116.92
184,2021-10-28,116.55
185,2021-10-27,116.19
186,2021-10-26,115.82
187,2021-10-25,115.82
188,2021-10-24,115.82
189,2021-10-23,115.46
190,2021-10-22,115.09
191,2021-10-21,114.72
192,2021-10-20,114.36
193,2021-10-19,113.99
194,2021-10-18,113.99
195,2021-10-15,113.26
196,2021-10-14,112.89
197,2021-10-13,112.52
198,2021-10-12,112.52
199,2021-10-11,112.52
200,2021-10-10,112.21
201,2021-10-09,111.9
202,2021-10-08,111.58
203,2021-10-07,111.27
204,2021-10-06,110.95
205,2021-10-05,110.64
