,date,price
0,2022-05-01,119.77
1,2022-04-30,119.77
2,2022-04-29,119.77
3,2022-04-28,119.77
4,2022-04-27,119.77
5,2022-04-26,119.77
6,2022-04-25,119.77
7,2022-04-24,119.77
8,2022-04-23,119.77
9,2022-04-22,119.77
10,2022-04-21,119.77
11,2022-04-20,119.77
12,2022-04-19,119.77
13,2022-04-18,119.77
14,2022-04-17,119.77
15,2022-04-16,119.77
16,2022-04-15,119.77
17,2022-04-14,119.77
18,2022-04-13,119.77
19,2022-04-12,119.77
20,2022-04-11,119.77
21,2022-04-10,119.77
22,2022-04-09,119.77
23,2022-04-08,119.77
24,2022-04-07,119.77
25,2022-04-06,119.77
26,2022-04-05,118.89
27,2022-04-04,118.02
28,2022-04-03,117.58
29,2022-04-02,116.7
30,2022-04-01,115.82
31,2022-03-31,115.82
32,2022-03-30,114.94
33,2022-03-29,114.06
34,2022-03-28,113.18
35,2022-03-27,112.85
36,2022-03-26,112.3
37,2022-03-25,111.49
38,2022-03-24,110.61
39,2022-03-23,110.61
40,2022-03-22,109.74
41,2022-03-21,108.86
42,2022-03-20,108.86
43,2022-03-19,108.86
44,2022-03-18,108.86
45,2022-03-17,108.86
46,2022-03-16,108.86
47,2022-03-15,108.86
48,2022-03-14,108.86
49,2022-03-13,108.86
50,2022-03-12,108.86
51,2022-03-11,108.86
52,2022-03-10,108.86
53,2022-03-09,108.86
54,2022-03-08,108.86
55,2022-03-07,108.86
56,2022-03-06,108.86
57,2022-03-05,108.86
58,2022-03-04,108.86
59,2022-03-03,108.86
60,2022-03-02,108.86
61,2022-03-01,108.86
62,2022-02-28,108.86
63,2022-02-27,108.86
64,2022-02-26,108.86
65,2022-02-25,108.86
66,2022-02-24,108.86
67,2022-02-23,108.86
68,2022-02-22,108.86
69,2022-02-21,108.86
70,2022-02-20,108.86
71,2022-02-19,108.86
72,2022-02-18,108.86
73,2022-02-17,108.86
74,2022-02-16,108.86
75,2022-02-15,108.86
76,2022-02-14,108.86
77,2022-02-13,108.86
78,2022-02-12,108.86
79,2022-02-11,108.86
80,2022-02-10,108.86
81,2022-02-09,108.86
82,2022-02-08,108.86
83,2022-02-07,108.86
84,2022-02-06,108.86
85,2022-02-05,108.86
86,2022-02-04,108.86
87,2022-02-03,108.86
88,2022-02-02,108.86
89,2022-02-01,108.86
90,2022-01-31,108.86
91,2022-01-30,108.86
92,2022-01-29,108.86
93,2022-01-28,108.86
94,2022-01-27,108.86
95,2022-01-26,108.86
96,2022-01-25,108.86
97,2022-01-24,108.86
98,2022-01-23,108.86
99,2022-01-22,108.86
100,2022-01-21,108.86
101,2022-01-20,108.86
102,2022-01-19,108.86
103,2022-01-18,108.86
104,2022-01-17,108.86
105,2022-01-16,108.86
106,2022-01-15,108.86
107,2022-01-14,108.86
108,2022-01-13,108.86
109,2022-01-12,108.86
110,2022-01-11,108.86
111,2022-01-10,108.86
112,2022-01-09,108.86
113,2022-01-08,108.86
114,2022-01-07,108.86
115,2022-01-06,108.86
116,2022-01-05,108.86
117,2022-01-04,108.86
118,2022-01-03,108.86
119,2022-01-02,108.86
120,2022-01-01,108.86
121,2021-12-31,108.86
122,2021-12-30,108.86
