,date,price
0,2022-05-01,118.67
1,2022-04-30,118.67
2,2022-04-29,118.67
3,2022-04-28,118.67
4,2022-04-27,118.67
5,2022-04-26,118.67
6,2022-04-25,118.67
7,2022-04-24,118.67
8,2022-04-23,118.67
9,2022-04-22,118.67
10,2022-04-21,118.67
11,2022-04-20,118.67
12,2022-04-19,118.67
13,2022-04-18,118.67
14,2022-04-17,118.67
15,2022-04-16,118.67
16,2022-04-15,118.67
17,2022-04-14,118.67
18,2022-04-13,118.67
19,2022-04-12,118.67
20,2022-04-11,118.67
21,2022-04-10,118.67
22,2022-04-09,118.67
23,2022-04-08,118.67
24,2022-04-07,118.67
25,2022-04-06,118.67
26,2022-04-05,117.79
27,2022-04-04,116.91
28,2022-04-03,116.47
29,2022-04-02,115.59
30,2022-04-01,114.71
31,2022-03-31,114.71
32,2022-03-30,113.83
33,2022-03-29,112.95
34,2022-03-28,112.07
35,2022-03-27,111.74
36,2022-03-26,111.19
37,2022-03-25,110.35
38,2022-03-24,109.47
39,2022-03-23,109.47
40,2022-03-22,108.59
41,2022-03-21,107.71
42,2022-03-20,107.71
43,2022-03-19,107.71
44,2022-03-18,107.71
45,2022-03-17,107.71
46,2022-03-16,107.71
47,2022-03-15,107.71
48,2022-03-14,107.71
49,2022-03-13,107.71
50,2022-03-12,107.71
51,2022-03-11,107.71
52,2022-03-10,107.71
53,2022-03-09,107.71
54,2022-03-08,107.71
55,2022-03-07,107.71
56,2022-03-06,107.71
57,2022-03-05,107.71
58,2022-03-04,107.71
59,2022-03-03,107.71
60,2022-03-02,107.71
61,2022-03-01,107.71
62,2022-02-28,107.71
63,2022-02-27,107.71
64,2022-02-26,107.71
65,2022-02-25,107.71
66,2022-02-24,107.71
67,2022-02-23,107.71
68,2022-02-22,107.71
69,2022-02-21,107.71
70,2022-02-20,107.71
71,2022-02-19,107.71
72,2022-02-18,107.71
73,2022-02-17,107.71
74,2022-02-16,107.71
75,2022-02-15,107.71
76,2022-02-14,107.71
77,2022-02-13,107.71
78,2022-02-12,107.71
79,2022-02-11,107.71
80,2022-02-10,107.71
81,2022-02-09,107.71
82,2022-02-08,107.71
83,2022-02-07,107.71
84,2022-02-06,107.71
85,2022-02-05,107.71
86,2022-02-04,107.71
87,2022-02-03,107.71
88,2022-02-02,107.71
89,2022-02-01,107.71
90,2022-01-31,107.71
91,2022-01-30,107.71
92,2022-01-29,107.71
93,2022-01-28,107.71
94,2022-01-27,107.71
95,2022-01-26,107.71
96,2022-01-25,107.71
97,2022-01-24,107.71
98,2022-01-23,107.71
99,2022-01-22,107.71
100,2022-01-21,107.71
101,2022-01-20,107.71
102,2022-01-19,107.71
103,2022-01-18,107.71
104,2022-01-17,107.71
105,2022-01-16,107.71
106,2022-01-15,107.71
107,2022-01-14,107.71
108,2022-01-13,107.71
109,2022-01-12,107.71
110,2022-01-11,107.71
111,2022-01-10,107.71
112,2022-01-09,107.71
113,2022-01-08,107.71
114,2022-01-07,107.71
115,2022-01-06,107.71
116,2022-01-05,107.71
117,2022-01-04,107.71
118,2022-01-03,107.71
119,2022-01-02,107.71
120,2022-01-01,107.71
121,2021-12-31,107.71
122,2021-12-30,107.71
123,2021-12-29,107.71
124,2021-12-28,107.71
125,2021-12-27,107.71
126,2021-12-26,107.71
127,2021-12-25,107.71
128,2021-12-24,107.71
129,2021-12-23,107.71
130,2021-12-22,107.71
131,2021-12-21,107.71
132,2021-12-20,107.71
133,2021-12-19,107.71
134,2021-12-18,107.71
135,2021-12-17,107.71
136,2021-12-16,107.71
137,2021-12-15,107.71
138,2021-12-14,107.71
139,2021-12-13,107.71
140,2021-12-12,107.71
141,2021-12-11,107.71
142,2021-12-10,107.71
143,2021-12-09,107.71
144,2021-12-08,107.71
145,2021-12-07,107.71
146,2021-12-06,107.71
147,2021-12-05,107.71
148,2021-12-04,107.71
149,2021-12-03,107.71
150,2021-12-02,107.71
151,2021-11-30,107.71
152,2021-11-29,107.71
153,2021-11-28,107.71
154,2021-11-27,107.71
155,2021-11-26,107.71
156,2021-11-25,107.71
157,2021-11-24,107.71
158,2021-11-23,107.71
159,2021-11-22,107.71
160,2021-11-21,107.71
161,2021-11-20,107.71
162,2021-11-19,107.71
163,2021-11-18,107.71
164,2021-11-17,107.71
165,2021-11-16,107.71
166,2021-11-15,111.78
167,2021-11-14,111.78
168,2021-11-13,111.78
169,2021-11-12,111.78
170,2021-11-11,111.78
171,2021-11-10,111.78
172,2021-11-09,111.78
173,2021-11-08,111.78
174,2021-11-07,111.78
175,2021-11-06,111.78
176,2021-11-05,111.78
177,2021-11-04,111.78
178,2021-11-03,118.13
179,2021-11-02,118.13
180,2021-11-01,117.75
181,2021-10-31,117.29
182,2021-10-30,116.93
183,2021-10-29,116.56
184,2021-10-28,116.19
185,2021-10-27,115.83
186,2021-10-26,115.46
187,2021-10-25,115.46
188,2021-10-24,115.46
189,2021-10-23,115.1
190,2021-10-22,114.73
191,2021-10-21,114.36
192,2021-10-20,114
193,2021-10-19,113.63
194,2021-10-18,113.63
195,2021-10-15,112.9
196,2021-10-14,112.53
197,2021-10-13,112.17
198,2021-10-12,112.17
199,2021-10-11,112.17
200,2021-10-10,111.85
201,2021-10-09,111.54
202,2021-10-08,111.22
203,2021-10-07,110.91
204,2021-10-06,110.6
205,2021-10-05,110.28
206,2021-10-04,110.02
207,2021-10-03,110.02
208,2021-10-02,109.76
209,2021-10-01,109.5
210,2021-09-30,109.25
211,2021-09-29,109
212,2021-09-28,109
213,2021-09-27,108.8
214,2021-09-26,108.8
215,2021-09-25,108.8
216,2021-09-24,108.8
217,2021-09-23,108.8
218,2021-09-22,108.8
219,2021-09-21,108.8
220,2021-09-20,108.8
221,2021-09-19,108.8
222,2021-09-18,108.8
223,2021-09-17,108.8
224,2021-09-16,108.8
225,2021-09-15,108.8
226,2021-09-14,108.8
227,2021-09-13,108.8
228,2021-09-12,108.8
229,2021-09-11,108.8
230,2021-09-10,108.8
231,2021-09-09,108.8
232,2021-09-08,108.8
233,2021-09-07,108.8
234,2021-09-06,108.8
235,2021-09-05,108.8
236,2021-09-03,108.97
237,2021-09-02,108.97
238,2021-09-01,108.97
239,2021-08-31,109.14
240,2021-08-30,109.14
241,2021-08-29,109.14
242,2021-08-28,109.14
243,2021-08-27,109.14
244,2021-08-26,109.14
245,2021-08-25,109.14
246,2021-08-24,109.14
247,2021-08-23,109.29
248,2021-08-22,109.29
249,2021-08-21,109.37
250,2021-08-20,109.37
251,2021-08-19,109.37
252,2021-08-18,109.37
253,2021-08-17,109.37
254,2021-08-16,109.37
255,2021-08-15,109.37
256,2021-08-14,109.37
257,2021-08-13,109.37
258,2021-08-12,109.37
259,2021-08-11,109.37
260,2021-08-10,109.37
261,2021-08-09,109.37
262,2021-08-08,109.37
263,2021-08-07,109.37
264,2021-08-06,109.37
265,2021-08-05,109.37
266,2021-08-04,109.37
267,2021-08-03,109.37
268,2021-08-02,109.37
269,2021-08-01,109.37
270,2021-07-31,109.37
271,2021-07-30,109.37
272,2021-07-29,109.37
273,2021-07-28,109.37
274,2021-07-27,109.37
275,2021-07-26,109.37
276,2021-07-25,109.37
277,2021-07-24,109.37
278,2021-07-23,109.37
279,2021-07-22,109.37
280,2021-07-21,109.37
281,2021-07-20,109.37
282,2021-07-19,109.37
283,2021-07-18,109.37
284,2021-07-17,109.37
