,date,price
0,2022-05-01,119.57
1,2022-04-30,119.57
2,2022-04-29,119.57
3,2022-04-28,119.57
4,2022-04-27,119.57
5,2022-04-26,119.57
6,2022-04-25,119.57
7,2022-04-24,119.57
8,2022-04-23,119.57
9,2022-04-22,119.57
10,2022-04-21,119.57
11,2022-04-20,119.57
12,2022-04-19,119.57
13,2022-04-18,119.57
14,2022-04-17,119.57
15,2022-04-16,119.57
16,2022-04-15,119.57
17,2022-04-14,119.57
18,2022-04-13,119.57
19,2022-04-12,119.57
20,2022-04-11,119.57
21,2022-04-10,119.57
22,2022-04-09,119.57
23,2022-04-08,119.57
24,2022-04-07,119.57
25,2022-04-06,119.57
26,2022-04-05,118.69
27,2022-04-04,117.81
28,2022-04-03,117.37
29,2022-04-02,116.49
30,2022-04-01,115.61
31,2022-03-31,115.61
32,2022-03-30,114.73
33,2022-03-29,113.86
34,2022-03-28,112.98
35,2022-03-27,112.65
36,2022-03-26,112.1
37,2022-03-25,111.28
38,2022-03-24,110.4
39,2022-03-23,110.4
40,2022-03-22,109.52
41,2022-03-21,108.64
42,2022-03-20,108.64
43,2022-03-19,108.64
44,2022-03-18,108.64
45,2022-03-17,108.64
46,2022-03-16,108.64
47,2022-03-15,108.64
48,2022-03-14,108.64
49,2022-03-13,108.64
50,2022-03-12,108.64
51,2022-03-11,108.64
52,2022-03-10,108.64
53,2022-03-09,108.64
54,2022-03-08,108.64
55,2022-03-07,108.64
56,2022-03-06,108.64
57,2022-03-05,108.64
58,2022-03-04,108.64
59,2022-03-03,108.64
60,2022-03-02,108.64
61,2022-03-01,108.64
62,2022-02-28,108.64
63,2022-02-27,108.64
64,2022-02-26,108.64
65,2022-02-25,108.64
66,2022-02-24,108.64
67,2022-02-23,108.64
68,2022-02-22,108.64
69,2022-02-21,108.64
70,2022-02-20,108.64
71,2022-02-19,108.64
72,2022-02-18,108.64
73,2022-02-17,108.64
74,2022-02-16,108.64
75,2022-02-15,108.64
76,2022-02-14,108.64
77,2022-02-13,108.64
78,2022-02-12,108.64
79,2022-02-11,108.64
80,2022-02-10,108.64
81,2022-02-09,108.64
82,2022-02-08,108.64
83,2022-02-07,108.64
84,2022-02-06,108.64
85,2022-02-05,108.64
86,2022-02-04,108.64
87,2022-02-03,108.64
88,2022-02-02,108.64
89,2022-02-01,108.64
90,2022-01-31,108.64
91,2022-01-30,108.64
92,2022-01-29,108.64
93,2022-01-28,108.64
94,2022-01-27,108.64
95,2022-01-26,108.64
96,2022-01-25,108.64
97,2022-01-24,108.64
98,2022-01-23,108.64
99,2022-01-22,108.64
100,2022-01-21,108.64
101,2022-01-20,108.64
102,2022-01-19,108.64
103,2022-01-18,108.64
104,2022-01-17,108.64
105,2022-01-16,108.64
106,2022-01-15,108.64
107,2022-01-14,108.64
108,2022-01-13,108.64
109,2022-01-12,108.64
110,2022-01-11,108.64
111,2022-01-10,108.64
112,2022-01-09,108.64
113,2022-01-08,108.64
114,2022-01-07,108.64
115,2022-01-06,108.64
116,2022-01-05,108.64
117,2022-01-04,108.64
118,2022-01-03,108.64
119,2022-01-02,108.64
120,2022-01-01,108.64
121,2021-12-31,108.64
122,2021-12-30,108.64
123,2021-12-29,108.64
124,2021-12-28,108.64
125,2021-12-27,108.64
126,2021-12-26,108.64
127,2021-12-25,108.64
128,2021-12-24,108.64
129,2021-12-23,108.64
130,2021-12-22,108.64
131,2021-12-21,108.64
132,2021-12-20,108.64
133,2021-12-19,108.64
134,2021-12-18,108.64
135,2021-12-17,108.64
136,2021-12-16,108.64
137,2021-12-15,108.64
138,2021-12-14,108.64
139,2021-12-13,108.64
140,2021-12-12,108.64
141,2021-12-11,108.64
142,2021-12-10,108.64
143,2021-12-09,108.64
144,2021-12-08,108.64
145,2021-12-07,108.64
146,2021-12-06,108.64
147,2021-12-05,108.64
148,2021-12-04,108.64
149,2021-12-03,108.64
150,2021-12-02,108.64
151,2021-11-30,108.64
152,2021-11-29,108.64
153,2021-11-28,108.64
154,2021-11-27,108.64
155,2021-11-26,108.64
156,2021-11-25,108.64
157,2021-11-24,108.64
158,2021-11-23,108.64
159,2021-11-22,108.64
160,2021-11-21,108.64
161,2021-11-20,108.64
162,2021-11-19,108.64
163,2021-11-18,108.64
164,2021-11-17,108.64
165,2021-11-16,108.64
166,2021-11-15,112.74
167,2021-11-14,112.74
168,2021-11-13,112.74
169,2021-11-12,112.74
170,2021-11-11,112.74
171,2021-11-10,112.74
172,2021-11-09,112.74
173,2021-11-08,112.74
174,2021-11-07,112.74
175,2021-11-06,112.74
176,2021-11-05,112.74
177,2021-11-04,112.74
178,2021-11-03,119.1
179,2021-11-02,119.1
180,2021-11-01,118.71
181,2021-10-31,118.21
182,2021-10-30,117.84
183,2021-10-29,117.48
184,2021-10-28,117.11
185,2021-10-27,116.74
186,2021-10-26,116.38
187,2021-10-25,116.38
188,2021-10-24,116.38
189,2021-10-23,116.01
190,2021-10-22,115.64
191,2021-10-21,115.28
192,2021-10-20,114.91
193,2021-10-19,114.55
194,2021-10-18,114.55
195,2021-10-15,113.81
196,2021-10-14,113.45
197,2021-10-13,113.08
198,2021-10-12,113.08
199,2021-10-11,113.08
200,2021-10-10,112.77
201,2021-10-09,112.45
202,2021-10-08,112.14
203,2021-10-07,111.82
204,2021-10-06,111.51
205,2021-10-05,111.2
206,2021-10-04,110.93
207,2021-10-03,110.93
208,2021-10-02,110.67
209,2021-10-01,110.41
210,2021-09-30,110.16
211,2021-09-29,109.92
212,2021-09-28,109.92
213,2021-09-27,109.72
214,2021-09-26,109.72
215,2021-09-25,109.72
216,2021-09-24,109.72
