,date,price
0,2022-05-01,119.72
1,2022-04-30,119.72
2,2022-04-29,119.72
3,2022-04-28,119.72
4,2022-04-27,119.72
5,2022-04-26,119.72
6,2022-04-25,119.72
7,2022-04-24,119.72
8,2022-04-23,119.72
9,2022-04-22,119.72
10,2022-04-21,119.72
11,2022-04-20,119.72
12,2022-04-19,119.72
13,2022-04-18,119.72
14,2022-04-17,119.72
15,2022-04-16,119.72
16,2022-04-15,119.72
17,2022-04-14,119.72
18,2022-04-13,119.72
19,2022-04-12,119.72
20,2022-04-11,119.72
21,2022-04-10,119.72
22,2022-04-09,119.72
23,2022-04-08,119.72
24,2022-04-07,119.72
25,2022-04-06,119.72
26,2022-04-05,118.84
27,2022-04-04,117.96
28,2022-04-03,117.52
29,2022-04-02,116.64
30,2022-04-01,115.76
31,2022-03-31,115.76
32,2022-03-30,114.88
33,2022-03-29,114
34,2022-03-28,113.13
35,2022-03-27,112.8
36,2022-03-26,112.25
37,2022-03-25,111.44
38,2022-03-24,110.56
39,2022-03-23,110.56
40,2022-03-22,109.68
41,2022-03-21,108.8
42,2022-03-20,108.8
43,2022-03-19,108.8
44,2022-03-18,108.8
45,2022-03-17,108.8
46,2022-03-16,108.8
47,2022-03-15,108.8
48,2022-03-14,108.8
49,2022-03-13,108.8
50,2022-03-12,108.8
51,2022-03-11,108.8
52,2022-03-10,108.8
53,2022-03-09,108.8
54,2022-03-08,108.8
55,2022-03-07,108.8
56,2022-03-06,108.8
57,2022-03-05,108.8
58,2022-03-04,108.8
59,2022-03-03,108.8
60,2022-03-02,108.8
61,2022-03-01,108.8
62,2022-02-28,108.8
63,2022-02-27,108.8
64,2022-02-26,108.8
65,2022-02-25,108.8
66,2022-02-24,108.8
67,2022-02-23,108.8
68,2022-02-22,108.8
69,2022-02-21,108.8
70,2022-02-20,108.8
71,2022-02-19,108.8
72,2022-02-18,108.8
73,2022-02-17,108.8
74,2022-02-16,108.8
75,2022-02-15,108.8
76,2022-02-14,108.8
77,2022-02-13,108.8
78,2022-02-12,108.8
79,2022-02-11,108.8
80,2022-02-10,108.8
81,2022-02-09,108.8
82,2022-02-08,108.8
83,2022-02-07,108.8
84,2022-02-06,108.8
85,2022-02-05,108.8
86,2022-02-04,108.8
87,2022-02-03,108.8
88,2022-02-02,108.8
89,2022-02-01,108.8
90,2022-01-31,108.8
91,2022-01-30,108.8
92,2022-01-29,108.8
93,2022-01-28,108.8
94,2022-01-27,108.8
95,2022-01-26,108.8
96,2022-01-25,108.8
97,2022-01-24,108.8
98,2022-01-23,108.8
99,2022-01-22,108.8
100,2022-01-21,108.8
101,2022-01-20,108.8
102,2022-01-19,108.8
103,2022-01-18,108.8
104,2022-01-17,108.8
105,2022-01-16,108.8
106,2022-01-15,108.8
107,2022-01-14,108.8
108,2022-01-13,108.8
109,2022-01-12,108.8
110,2022-01-11,108.8
111,2022-01-10,108.8
112,2022-01-09,108.8
113,2022-01-08,108.8
114,2022-01-07,108.8
115,2022-01-06,108.8
116,2022-01-05,108.8
117,2022-01-04,108.8
118,2022-01-03,108.8
119,2022-01-02,108.8
120,2022-01-01,108.8
121,2021-12-31,108.8
122,2021-12-30,108.8
123,2021-12-29,108.8
124,2021-12-28,108.8
125,2021-12-27,108.8
126,2021-12-26,108.8
127,2021-12-25,108.8
128,2021-12-24,108.8
129,2021-12-23,108.8
130,2021-12-22,108.8
131,2021-12-21,108.8
132,2021-12-20,108.8
133,2021-12-19,108.8
134,2021-12-18,108.8
135,2021-12-17,108.8
136,2021-12-16,108.8
137,2021-12-15,108.8
138,2021-12-14,108.8
139,2021-12-13,108.8
140,2021-12-12,108.8
141,2021-12-11,108.8
142,2021-12-10,108.8
143,2021-12-09,108.8
144,2021-12-08,108.8
145,2021-12-07,108.8
146,2021-12-06,108.8
147,2021-12-05,108.8
148,2021-12-04,108.8
149,2021-12-03,108.8
150,2021-12-02,108.8
151,2021-11-30,108.8
152,2021-11-29,108.8
153,2021-11-28,108.8
154,2021-11-27,108.8
155,2021-11-26,108.8
156,2021-11-25,108.8
157,2021-11-24,108.8
158,2021-11-23,108.8
159,2021-11-22,108.8
160,2021-11-21,108.8
161,2021-11-20,108.8
162,2021-11-19,108.8
163,2021-11-18,108.8
164,2021-11-17,108.8
165,2021-11-16,108.8
166,2021-11-15,112.91
167,2021-11-14,112.91
168,2021-11-13,112.91
169,2021-11-12,112.91
170,2021-11-11,112.91
171,2021-11-10,112.91
172,2021-11-09,112.91
173,2021-11-08,112.91
174,2021-11-07,112.91
175,2021-11-06,112.91
176,2021-11-05,112.91
177,2021-11-04,112.91
178,2021-11-03,119.26
179,2021-11-02,119.26
180,2021-11-01,118.87
181,2021-10-31,118.36
182,2021-10-30,117.99
183,2021-10-29,117.62
184,2021-10-28,117.26
185,2021-10-27,116.89
186,2021-10-26,116.52
187,2021-10-25,116.52
188,2021-10-24,116.52
189,2021-10-23,116.16
190,2021-10-22,115.79
191,2021-10-21,115.43
192,2021-10-20,115.06
193,2021-10-19,114.69
194,2021-10-18,114.69
195,2021-10-15,113.96
196,2021-10-14,113.59
197,2021-10-13,113.23
198,2021-10-12,113.23
199,2021-10-11,113.23
200,2021-10-10,112.91
201,2021-10-09,112.6
202,2021-10-08,112.29
203,2021-10-07,111.97
204,2021-10-06,111.66
205,2021-10-05,111.34
206,2021-10-04,111.08
207,2021-10-03,111.08
208,2021-10-02,110.82
209,2021-10-01,110.56
210,2021-09-30,110.31
211,2021-09-29,110.06
212,2021-09-28,110.06
213,2021-09-27,109.87
214,2021-09-26,109.87
215,2021-09-25,109.87
216,2021-09-24,109.87
217,2021-09-23,109.87
218,2021-09-22,109.87
219,2021-09-21,109.87
220,2021-09-20,109.87
221,2021-09-19,109.87
222,2021-09-18,109.87
223,2021-09-17,109.87
224,2021-09-16,109.87
225,2021-09-15,109.87
226,2021-09-14,109.87
227,2021-09-13,109.87
228,2021-09-12,109.87
229,2021-09-11,109.87
230,2021-09-10,109.87
231,2021-09-09,109.87
232,2021-09-08,109.87
233,2021-09-07,109.87
234,2021-09-06,109.87
235,2021-09-05,109.87
236,2021-09-03,110.03
237,2021-09-02,110.03
238,2021-09-01,110.03
239,2021-08-31,110.2
240,2021-08-30,110.2
241,2021-08-29,110.2
242,2021-08-28,110.2
243,2021-08-27,110.2
244,2021-08-26,110.2
245,2021-08-25,110.2
246,2021-08-24,110.2
247,2021-08-23,110.35
248,2021-08-22,110.35
249,2021-08-21,110.34
250,2021-08-20,110.34
251,2021-08-19,110.34
252,2021-08-18,110.33
253,2021-08-17,110.33
254,2021-08-16,110.33
255,2021-08-15,110.33
256,2021-08-14,110.33
257,2021-08-13,110.33
258,2021-08-12,110.33
259,2021-08-11,110.33
260,2021-08-10,110.33
261,2021-08-09,110.33
262,2021-08-08,110.33
263,2021-08-07,110.33
264,2021-08-06,110.33
265,2021-08-05,110.33
266,2021-08-04,110.33
267,2021-08-03,110.33
268,2021-08-02,110.33
269,2021-08-01,110.33
270,2021-07-31,110.33
271,2021-07-30,110.33
272,2021-07-29,110.33
273,2021-07-28,110.33
274,2021-07-27,110.33
275,2021-07-26,110.33
276,2021-07-25,110.33
277,2021-07-24,110.33
278,2021-07-23,110.33
279,2021-07-22,110.33
280,2021-07-21,110.33
281,2021-07-20,110.33
282,2021-07-19,110.33
283,2021-07-18,110.33
284,2021-07-17,110.33
285,2021-07-16,110.02
286,2021-07-15,110.02
287,2021-07-14,109.65
288,2021-07-13,109.65
289,2021-07-12,109.65
290,2021-07-11,109.36
291,2021-07-10,109.36
292,2021-07-09,108.99
293,2021-07-08,108.99
294,2021-07-07,108.63
295,2021-07-06,108.26
296,2021-07-05,108.26
297,2021-07-04,107.9
298,2021-07-03,107.53
299,2021-07-02,107.53
300,2021-07-01,107.16
301,2021-06-30,107.16
302,2021-06-29,107.16
303,2021-06-28,106.8
304,2021-06-27,106.8
305,2021-06-26,106.43
306,2021-06-25,106.06
307,2021-06-24,106.06
308,2021-06-23,105.79
309,2021-06-22,105.79
310,2021-06-21,105.5
311,2021-06-20,105.5
312,2021-06-19,105.19
313,2021-06-18,105.19
314,2021-06-17,104.91
315,2021-06-16,104.91
316,2021-06-15,104.65
317,2021-06-14,104.65
318,2021-06-13,104.35
319,2021-06-12,104.35
320,2021-06-11,104.06
321,2021-06-10,103.76
322,2021-06-09,103.76
323,2021-06-08,103.5
324,2021-06-07,103.5
325,2021-06-06,103.21
326,2021-06-05,102.92
327,2021-06-04,102.92
328,2021-06-03,102.64
329,2021-06-02,102.64
330,2021-06-01,102.64
331,2021-05-31,102.37
332,2021-05-30,102.07
333,2021-05-29,102.07
334,2021-05-28,101.79
335,2021-05-27,101.79
336,2021-05-26,101.54
337,2021-05-25,101.54
338,2021-05-24,101.3
339,2021-05-23,101.3
340,2021-05-22,101.12
341,2021-05-21,101.12
342,2021-05-20,100.92
343,2021-05-19,100.92
344,2021-05-18,100.92
345,2021-05-17,100.64
346,2021-05-16,100.64
347,2021-05-15,100.39
348,2021-05-14,100.39
349,2021-05-13,100.09
350,2021-05-12,100.09
351,2021-05-11,99.83
352,2021-05-10,99.54
353,2021-05-09,99.27
354,2021-05-08,99.27
355,2021-05-07,99.27
356,2021-05-06,98.98
357,2021-05-05,98.72
358,2021-05-04,98.52
359,2021-05-03,98.18
360,2021-05-02,98.18
361,2021-05-01,98.18
362,2021-04-30,98.18
363,2021-04-29,98.18
364,2021-04-28,98.18
