,date,price
0,2022-05-01,118.96
1,2022-04-30,118.96
2,2022-04-29,118.96
3,2022-04-28,118.96
4,2022-04-27,118.96
5,2022-04-26,118.96
6,2022-04-25,118.96
7,2022-04-24,118.96
8,2022-04-23,118.96
9,2022-04-22,118.96
10,2022-04-21,118.96
11,2022-04-20,118.96
12,2022-04-19,118.96
13,2022-04-18,118.96
14,2022-04-17,118.96
15,2022-04-16,118.96
16,2022-04-15,118.96
17,2022-04-14,118.96
18,2022-04-13,118.96
19,2022-04-12,118.96
20,2022-04-11,118.96
21,2022-04-10,118.96
22,2022-04-09,118.96
23,2022-04-08,118.96
24,2022-04-07,118.96
25,2022-04-06,118.96
26,2022-04-05,118.09
27,2022-04-04,117.21
28,2022-04-03,116.77
29,2022-04-02,115.89
30,2022-04-01,115.01
31,2022-03-31,115.01
32,2022-03-30,114.13
33,2022-03-29,113.25
34,2022-03-28,112.37
35,2022-03-27,112.04
36,2022-03-26,111.49
37,2022-03-25,110.66
38,2022-03-24,109.78
39,2022-03-23,109.78
40,2022-03-22,108.9
41,2022-03-21,108.02
42,2022-03-20,108.02
43,2022-03-19,108.02
44,2022-03-18,108.02
45,2022-03-17,108.02
46,2022-03-16,108.02
47,2022-03-15,108.02
48,2022-03-14,108.02
49,2022-03-13,108.02
50,2022-03-12,108.02
51,2022-03-11,108.02
52,2022-03-10,108.02
53,2022-03-09,108.02
54,2022-03-08,108.02
55,2022-03-07,108.02
56,2022-03-06,108.02
57,2022-03-05,108.02
58,2022-03-04,108.02
59,2022-03-03,108.02
60,2022-03-02,108.02
61,2022-03-01,108.02
62,2022-02-28,108.02
63,2022-02-27,108.02
64,2022-02-26,108.02
65,2022-02-25,108.02
66,2022-02-24,108.02
67,2022-02-23,108.02
68,2022-02-22,108.02
69,2022-02-21,108.02
70,2022-02-20,108.02
71,2022-02-19,108.02
72,2022-02-18,108.02
73,2022-02-17,108.02
74,2022-02-16,108.02
75,2022-02-15,108.02
76,2022-02-14,108.02
77,2022-02-13,108.02
78,2022-02-12,108.02
79,2022-02-11,108.02
80,2022-02-10,108.02
81,2022-02-09,108.02
82,2022-02-08,108.02
83,2022-02-07,108.02
84,2022-02-06,108.02
85,2022-02-05,108.02
86,2022-02-04,108.02
87,2022-02-03,108.02
88,2022-02-02,108.02
89,2022-02-01,108.02
90,2022-01-31,108.02
91,2022-01-30,108.02
92,2022-01-29,108.02
93,2022-01-28,108.02
94,2022-01-27,108.02
95,2022-01-26,108.02
96,2022-01-25,108.02
97,2022-01-24,108.02
98,2022-01-23,108.02
99,2022-01-22,108.02
100,2022-01-21,108.02
101,2022-01-20,108.02
102,2022-01-19,108.02
103,2022-01-18,108.02
104,2022-01-17,108.02
105,2022-01-16,108.02
106,2022-01-15,108.02
107,2022-01-14,108.02
108,2022-01-13,108.02
109,2022-01-12,108.02
110,2022-01-11,108.02
111,2022-01-10,108.02
112,2022-01-09,108.02
113,2022-01-08,108.02
114,2022-01-07,108.02
115,2022-01-06,108.02
116,2022-01-05,108.02
117,2022-01-04,108.02
118,2022-01-03,108.02
119,2022-01-02,108.02
120,2022-01-01,108.02
121,2021-12-31,108.02
122,2021-12-30,108.02
123,2021-12-29,108.02
124,2021-12-28,108.02
125,2021-12-27,108.02
126,2021-12-26,108.02
127,2021-12-25,108.02
128,2021-12-24,108.02
129,2021-12-23,108.02
130,2021-12-22,108.02
131,2021-12-21,108.02
132,2021-12-20,108.02
133,2021-12-19,108.02
134,2021-12-18,108.02
135,2021-12-17,108.02
136,2021-12-16,108.02
137,2021-12-15,108.02
138,2021-12-14,108.02
139,2021-12-13,108.02
140,2021-12-12,108.02
141,2021-12-11,108.02
142,2021-12-10,108.02
143,2021-12-09,108.02
144,2021-12-08,108.02
145,2021-12-07,108.02
146,2021-12-06,108.02
147,2021-12-05,108.02
148,2021-12-04,108.02
149,2021-12-03,108.02
150,2021-12-02,108.02
151,2021-11-30,108.02
152,2021-11-29,108.02
153,2021-11-28,108.02
154,2021-11-27,108.02
155,2021-11-26,108.02
156,2021-11-25,108.02
157,2021-11-24,108.02
158,2021-11-23,108.02
159,2021-11-22,108.02
160,2021-11-21,108.02
161,2021-11-20,108.02
162,2021-11-19,108.02
163,2021-11-18,108.02
164,2021-11-17,108.02
165,2021-11-16,108.02
166,2021-11-15,112.1
167,2021-11-14,112.1
168,2021-11-13,112.1
169,2021-11-12,112.1
170,2021-11-11,112.1
171,2021-11-10,112.1
172,2021-11-09,112.1
173,2021-11-08,112.1
174,2021-11-07,112.1
175,2021-11-06,112.1
176,2021-11-05,112.1
177,2021-11-04,112.1
178,2021-11-03,118.45
179,2021-11-02,118.45
180,2021-11-01,118.07
181,2021-10-31,117.6
182,2021-10-30,117.23
183,2021-10-29,116.86
184,2021-10-28,116.5
185,2021-10-27,116.13
186,2021-10-26,115.76
187,2021-10-25,115.76
188,2021-10-24,115.76
189,2021-10-23,115.4
190,2021-10-22,115.03
191,2021-10-21,114.67
192,2021-10-20,114.3
193,2021-10-19,113.93
194,2021-10-18,113.93
195,2021-10-15,113.2
196,2021-10-14,112.83
197,2021-10-13,112.47
198,2021-10-12,112.47
199,2021-10-11,112.47
200,2021-10-10,112.15
201,2021-10-09,111.84
202,2021-10-08,111.53
203,2021-10-07,111.21
204,2021-10-06,110.9
205,2021-10-05,110.58
206,2021-10-04,110.32
207,2021-10-03,110.32
208,2021-10-02,110.06
209,2021-10-01,109.8
210,2021-09-30,109.55
211,2021-09-29,109.3
212,2021-09-28,109.3
213,2021-09-27,109.11
214,2021-09-26,109.11
215,2021-09-25,109.11
216,2021-09-24,109.11
217,2021-09-23,109.11
218,2021-09-22,109.11
219,2021-09-21,109.11
220,2021-09-20,109.11
221,2021-09-19,109.11
222,2021-09-18,109.11
223,2021-09-17,109.11
224,2021-09-16,109.11
225,2021-09-15,109.11
226,2021-09-14,109.11
227,2021-09-13,109.11
228,2021-09-12,109.11
229,2021-09-11,109.11
230,2021-09-10,109.11
231,2021-09-09,109.11
232,2021-09-08,109.11
233,2021-09-07,109.11
234,2021-09-06,109.11
235,2021-09-05,109.11
236,2021-09-03,109.27
237,2021-09-02,109.27
238,2021-09-01,109.27
239,2021-08-31,109.44
240,2021-08-30,109.44
241,2021-08-29,109.44
242,2021-08-28,109.44
