,date,price
0,2022-05-01,111.4
1,2022-04-30,111.4
2,2022-04-29,111.4
3,2022-04-28,111.4
4,2022-04-27,111.4
5,2022-04-26,111.4
6,2022-04-25,111.4
7,2022-04-24,111.4
8,2022-04-23,111.4
9,2022-04-22,111.4
10,2022-04-21,111.4
11,2022-04-20,111.4
12,2022-04-19,111.4
13,2022-04-18,111.4
14,2022-04-17,111.4
15,2022-04-16,111.4
16,2022-04-15,111.4
17,2022-04-14,111.4
18,2022-04-13,111.4
19,2022-04-12,111.4
20,2022-04-11,111.4
21,2022-04-10,111.4
22,2022-04-09,111.4
23,2022-04-08,111.4
24,2022-04-07,111.4
25,2022-04-06,111.4
26,2022-04-05,110.6
27,2022-04-04,109.8
28,2022-04-03,109.4
29,2022-04-02,108.6
30,2022-04-01,105.5
31,2022-03-31,105.5
32,2022-03-30,104.75
33,2022-03-29,103.95
34,2022-03-28,103.15
35,2022-03-27,102.85
36,2022-03-26,102.35
37,2022-03-25,101.65
38,2022-03-24,100.85
39,2022-03-23,100.85
40,2022-03-22,100.05
41,2022-03-21,98.5
42,2022-03-20,98.5
43,2022-03-19,98.5
44,2022-03-18,98.5
45,2022-03-17,98.5
46,2022-03-16,98.5
47,2022-03-15,98.5
48,2022-03-14,98.5
49,2022-03-13,98.5
50,2022-03-12,98.5
51,2022-03-11,98.5
52,2022-03-10,98.5
53,2022-03-09,98.5
54,2022-03-08,98.5
55,2022-03-07,98.5
56,2022-03-06,98.5
57,2022-03-05,98.5
58,2022-03-04,98.5
59,2022-03-03,98.5
60,2022-03-02,98.5
61,2022-03-01,98.5
62,2022-02-28,98.5
63,2022-02-27,98.5
64,2022-02-26,98.5
65,2022-02-25,98.5
66,2022-02-24,98.5
67,2022-02-23,98.5
68,2022-02-22,98.5
69,2022-02-21,98.5
70,2022-02-20,98.5
71,2022-02-19,98.5
72,2022-02-18,98.5
73,2022-02-17,98.5
74,2022-02-16,98.5
75,2022-02-15,98.5
76,2022-02-14,98.5
77,2022-02-13,98.5
78,2022-02-12,98.5
79,2022-02-11,98.5
80,2022-02-10,98.5
81,2022-02-09,98.5
82,2022-02-08,98.5
83,2022-02-07,98.5
84,2022-02-06,98.5
85,2022-02-05,98.5
86,2022-02-04,98.5
87,2022-02-03,98.5
88,2022-02-02,98.5
89,2022-02-01,98.5
90,2022-01-31,98.5
91,2022-01-30,98.5
92,2022-01-29,98.5
93,2022-01-28,98.5
94,2022-01-27,98.5
95,2022-01-26,98.5
96,2022-01-25,98.5
97,2022-01-24,98.5
98,2022-01-23,98.5
99,2022-01-22,98.5
100,2022-01-21,98.5
101,2022-01-20,98.5
102,2022-01-19,98.5
103,2022-01-18,98.5
104,2022-01-17,98.5
105,2022-01-16,98.5
106,2022-01-15,98.5
107,2022-01-14,98.5
108,2022-01-13,98.5
109,2022-01-12,98.5
110,2022-01-11,98.5
111,2022-01-10,98.5
112,2022-01-09,98.5
113,2022-01-08,98.5
114,2022-01-07,98.5
115,2022-01-06,98.5
116,2022-01-05,98.5
117,2022-01-04,98.5
118,2022-01-03,98.5
119,2022-01-02,98.5
120,2022-01-01,98.5
121,2021-12-31,98.5
122,2021-12-30,98.5
123,2021-12-29,98.5
124,2021-12-28,98.5
125,2021-12-27,98.5
126,2021-12-26,98.5
127,2021-12-25,98.5
128,2021-12-24,98.5
129,2021-12-23,98.5
130,2021-12-22,98.5
131,2021-12-21,98.5
132,2021-12-20,98.5
133,2021-12-19,98.5
134,2021-12-18,98.5
135,2021-12-17,98.5
136,2021-12-16,98.5
137,2021-12-15,98.5
138,2021-12-14,98.5
139,2021-12-13,98.5
140,2021-12-12,98.5
141,2021-12-11,98.5
142,2021-12-10,98.5
143,2021-12-09,98.5
144,2021-12-08,98.5
145,2021-12-07,98.5
146,2021-12-06,98.5
147,2021-12-05,98.5
148,2021-12-04,98.5
149,2021-12-03,98.5
150,2021-12-02,98.5
151,2021-11-30,97.7
152,2021-11-29,97.7
153,2021-11-28,97.7
154,2021-11-27,97.7
155,2021-11-26,97.7
156,2021-11-25,97.7
157,2021-11-24,97.7
158,2021-11-23,97.7
159,2021-11-22,97.7
160,2021-11-21,97.7
161,2021-11-20,97.7
162,2021-11-19,97.7
163,2021-11-18,97.7
164,2021-11-17,97.7
165,2021-11-16,97.7
166,2021-11-15,97.7
167,2021-11-14,97.7
168,2021-11-13,97.7
169,2021-11-12,97.7
170,2021-11-11,97.7
171,2021-11-10,97.7
172,2021-11-09,97.7
173,2021-11-08,97.7
174,2021-11-07,97.7
175,2021-11-06,97.7
176,2021-11-05,97.7
177,2021-11-04,104.8
178,2021-11-03,110.6
179,2021-11-02,110.6
180,2021-11-01,110.25
181,2021-10-31,109.8
182,2021-10-30,109.45
183,2021-10-29,109.1
184,2021-10-28,108.75
185,2021-10-27,108.45
186,2021-10-26,108.1
187,2021-10-25,108.1
188,2021-10-24,108.1
189,2021-10-23,107.75
190,2021-10-22,107.45
191,2021-10-21,107.1
192,2021-10-20,106.75
193,2021-10-19,106.4
194,2021-10-18,106.4
195,2021-10-15,105.75
196,2021-10-14,105.4
197,2021-10-13,105.05
198,2021-10-12,105.05
199,2021-10-11,105.05
200,2021-10-10,104.8
201,2021-10-09,104.5
202,2021-10-08,104.2
203,2021-10-07,103.9
204,2021-10-06,103.65
205,2021-10-05,103.35
206,2021-10-04,103.1
207,2021-10-03,103.1
208,2021-10-02,102.85
209,2021-10-01,102.6
210,2021-09-30,102.4
211,2021-09-29,102.15
212,2021-09-28,102.15
213,2021-09-27,102
214,2021-09-26,102
215,2021-09-25,102
216,2021-09-24,102
217,2021-09-23,102
218,2021-09-22,102
219,2021-09-21,102
220,2021-09-20,102
221,2021-09-19,102
222,2021-09-18,102
223,2021-09-17,102
224,2021-09-16,102
225,2021-09-15,102
226,2021-09-14,102
227,2021-09-13,102
228,2021-09-12,102
229,2021-09-11,102
230,2021-09-10,102
231,2021-09-09,102
232,2021-09-08,102
233,2021-09-07,102
234,2021-09-06,102
235,2021-09-05,102
236,2021-09-03,102.15
237,2021-09-02,102.15
238,2021-09-01,102.15
239,2021-08-31,102.3
240,2021-08-30,102.3
241,2021-08-29,102.3
242,2021-08-28,102.3
243,2021-08-27,102.3
244,2021-08-26,102.3
245,2021-08-25,102.3
246,2021-08-24,102.3
247,2021-08-23,102.45
248,2021-08-22,102.45
249,2021-08-21,102.5
250,2021-08-20,102.5
251,2021-08-19,102.5
252,2021-07-16,102.2
253,2021-07-15,102.2
254,2021-07-14,101.85
255,2021-07-13,101.85
256,2021-07-12,101.85
257,2021-07-11,101.6
258,2021-07-10,101.6
259,2021-07-09,101.25
260,2021-07-08,101.25
261,2021-07-07,100.95
262,2021-07-06,100.6
263,2021-07-05,100.6
264,2021-07-04,100.25
265,2021-07-03,99.9
266,2021-07-02,99.9
